raw_value,category,numeric_value
18,numeric,18.0
55/100,numeric_fraction,55.0
68,numeric,68.0
74,numeric,74.0
81,numeric,81.0
78,numeric,78.0
16,numeric,16.0
5,numeric,5.0
3,numeric,3.0
146,numeric,146.0
84,numeric,84.0
Medium,categorical_risk,
99,numeric,99.0
medium,categorical_risk,
30,numeric,30.0
21,numeric,21.0
12,numeric,12.0
84,numeric,84.0
20,numeric,20.0
93/100,numeric_fraction,93.0
100,numeric,100.0
239,numeric,239.0
63,numeric,63.0
-1,numeric,-1.0
71,numeric,71.0
63,numeric,63.0
medium,categorical_risk,
70,numeric,70.0
55,numeric,55.0
7/100,numeric_fraction,7.0
66,numeric,66.0
64,numeric,64.0
57,numeric,57.0
68,numeric,68.0
187,numeric,187.0
40,numeric,40.0
165,numeric,165.0
37,numeric,37.0
98,numeric,98.0
40,numeric,40.0
,missing,
80,numeric,80.0
High,categorical_risk,
-1,numeric,-1.0
188,numeric,188.0
34,numeric,34.0
73,numeric,73.0
,missing,
27,numeric,27.0
152,numeric,152.0
,missing,
-4,numeric,-4.0
50,numeric,50.0
90,numeric,90.0
High,categorical_risk,
196,numeric,196.0
55,numeric,55.0
96,numeric,96.0
93/100,numeric_fraction,93.0
57,numeric,57.0
-4,numeric,-4.0
10,numeric,10.0
5,numeric,5.0
102,numeric,102.0
58,numeric,58.0
4,numeric,4.0
85,numeric,85.0
36,numeric,36.0
34,numeric,34.0
55,numeric,55.0
63,numeric,63.0
55,numeric,55.0
40,numeric,40.0
58/100,numeric_fraction,58.0
1,numeric,1.0
-2,numeric,-2.0
63,numeric,63.0
217,numeric,217.0
96,numeric,96.0
70,numeric,70.0
185,numeric,185.0
98,numeric,98.0
82,numeric,82.0
62,numeric,62.0
90,numeric,90.0
,missing,
91,numeric,91.0
92,numeric,92.0
44,numeric,44.0
22,numeric,22.0
204,numeric,204.0
76,numeric,76.0
145,numeric,145.0
30,numeric,30.0
53,numeric,53.0
30,numeric,30.0
High,categorical_risk,
,missing,
70,numeric,70.0
-7,numeric,-7.0
12,numeric,12.0
39/100,numeric_fraction,39.0
67,numeric,67.0
,missing,
102,numeric,102.0
64,numeric,64.0
78,numeric,78.0
59,numeric,59.0
93,numeric,93.0
35,numeric,35.0
209,numeric,209.0
72,numeric,72.0
1,numeric,1.0
145,numeric,145.0
74,numeric,74.0
2,numeric,2.0
18,numeric,18.0
68,numeric,68.0
217,numeric,217.0
19,numeric,19.0
34,numeric,34.0
69,numeric,69.0
4,numeric,4.0
87,numeric,87.0
99,numeric,99.0
HIGH,categorical_risk,
49,numeric,49.0
45,numeric,45.0
28,numeric,28.0
162,numeric,162.0
36,numeric,36.0
,missing,
45,numeric,45.0
48,numeric,48.0
61,numeric,61.0
95,numeric,95.0
,missing,
28,numeric,28.0
97,numeric,97.0
-5,numeric,-5.0
21,numeric,21.0
71/100,numeric_fraction,71.0
47,numeric,47.0
25,numeric,25.0
62,numeric,62.0
76,numeric,76.0
,missing,
62,numeric,62.0
22,numeric,22.0
72,numeric,72.0
84,numeric,84.0
3/100,numeric_fraction,3.0
-4,numeric,-4.0
9,numeric,9.0
,missing,
74,numeric,74.0
72,numeric,72.0
98,numeric,98.0
87,numeric,87.0
3,numeric,3.0
14,numeric,14.0
70,numeric,70.0
195,numeric,195.0
37,numeric,37.0
193,numeric,193.0
92,numeric,92.0
-4,numeric,-4.0
51,numeric,51.0
14,numeric,14.0
70,numeric,70.0
77,numeric,77.0
14,numeric,14.0
37,numeric,37.0
12,numeric,12.0
74,numeric,74.0
47,numeric,47.0
5,numeric,5.0
80,numeric,80.0
64,numeric,64.0
34,numeric,34.0
79,numeric,79.0
High,categorical_risk,
87,numeric,87.0
232,numeric,232.0
39,numeric,39.0
76,numeric,76.0
47,numeric,47.0
73,numeric,73.0
43,numeric,43.0
3,numeric,3.0
High,categorical_risk,
54,numeric,54.0
66,numeric,66.0
11,numeric,11.0
4/100,numeric_fraction,4.0
94,numeric,94.0
58,numeric,58.0
37,numeric,37.0
13/100,numeric_fraction,13.0
65,numeric,65.0
95,numeric,95.0
105,numeric,105.0
35,numeric,35.0
48,numeric,48.0
32,numeric,32.0
75/100,numeric_fraction,75.0
,missing,
40,numeric,40.0
69,numeric,69.0
43,numeric,43.0
235,numeric,235.0
51,numeric,51.0
7/100,numeric_fraction,7.0
30,numeric,30.0
6,numeric,6.0
37,numeric,37.0
16,numeric,16.0
26,numeric,26.0
98,numeric,98.0
71,numeric,71.0
92,numeric,92.0
132,numeric,132.0
34,numeric,34.0
Medium,categorical_risk,
44/100,numeric_fraction,44.0
78,numeric,78.0
2,numeric,2.0
84,numeric,84.0
39,numeric,39.0
100,numeric,100.0
52,numeric,52.0
High,categorical_risk,
5,numeric,5.0
24,numeric,24.0
24,numeric,24.0
96,numeric,96.0
41,numeric,41.0
83,numeric,83.0
51,numeric,51.0
68,numeric,68.0
113,numeric,113.0
99,numeric,99.0
21,numeric,21.0
63,numeric,63.0
10,numeric,10.0
33,numeric,33.0
62,numeric,62.0
234,numeric,234.0
15,numeric,15.0
67,numeric,67.0
27,numeric,27.0
65,numeric,65.0
47,numeric,47.0
92,numeric,92.0
87,numeric,87.0
46/100,numeric_fraction,46.0
31,numeric,31.0
37,numeric,37.0
medium,categorical_risk,
55,numeric,55.0
44,numeric,44.0
-1,numeric,-1.0
247,numeric,247.0
81,numeric,81.0
78,numeric,78.0
HIGH,categorical_risk,
-3,numeric,-3.0
6,numeric,6.0
17,numeric,17.0
-4,numeric,-4.0
40,numeric,40.0
80,numeric,80.0
Low,categorical_risk,
15/100,numeric_fraction,15.0
18,numeric,18.0
24,numeric,24.0
86,numeric,86.0
,missing,
39/100,numeric_fraction,39.0
68,numeric,68.0
12,numeric,12.0
,missing,
Low,categorical_risk,
7/100,numeric_fraction,7.0
28/100,numeric_fraction,28.0
7,numeric,7.0
68,numeric,68.0
,missing,
70,numeric,70.0
97,numeric,97.0
-4,numeric,-4.0
97,numeric,97.0
51,numeric,51.0
55,numeric,55.0
65,numeric,65.0
HIGH,categorical_risk,
,missing,
3,numeric,3.0
86,numeric,86.0
-4,numeric,-4.0
13,numeric,13.0
26,numeric,26.0
High,categorical_risk,
214,numeric,214.0
81,numeric,81.0
65,numeric,65.0
,missing,
31,numeric,31.0
-1,numeric,-1.0
6,numeric,6.0
72,numeric,72.0
52,numeric,52.0
91,numeric,91.0
-7,numeric,-7.0
High,categorical_risk,
45,numeric,45.0
59/100,numeric_fraction,59.0
6,numeric,6.0
45,numeric,45.0
100,numeric,100.0
64,numeric,64.0
82,numeric,82.0
63,numeric,63.0
217,numeric,217.0
58,numeric,58.0
28,numeric,28.0
HIGH,categorical_risk,
Low,categorical_risk,
-7,numeric,-7.0
84,numeric,84.0
73,numeric,73.0
26,numeric,26.0
16,numeric,16.0
102,numeric,102.0
92,numeric,92.0
-6,numeric,-6.0
97,numeric,97.0
56,numeric,56.0
High,categorical_risk,
80,numeric,80.0
64,numeric,64.0
98,numeric,98.0
21,numeric,21.0
93,numeric,93.0
90,numeric,90.0
27,numeric,27.0
68,numeric,68.0
60,numeric,60.0
26,numeric,26.0
80,numeric,80.0
18,numeric,18.0
21,numeric,21.0
Low,categorical_risk,
99,numeric,99.0
154,numeric,154.0
33,numeric,33.0
HIGH,categorical_risk,
74,numeric,74.0
21,numeric,21.0
89/100,numeric_fraction,89.0
229,numeric,229.0
81,numeric,81.0
,missing,
68,numeric,68.0
56,numeric,56.0
47/100,numeric_fraction,47.0
34,numeric,34.0
5/100,numeric_fraction,5.0
93,numeric,93.0
86,numeric,86.0
188,numeric,188.0
37/100,numeric_fraction,37.0
medium,categorical_risk,
0,numeric,0.0
77,numeric,77.0
56,numeric,56.0
143,numeric,143.0
65,numeric,65.0
15,numeric,15.0
47,numeric,47.0
63,numeric,63.0
14,numeric,14.0
98,numeric,98.0
-8,numeric,-8.0
185,numeric,185.0
30,numeric,30.0
12,numeric,12.0
98,numeric,98.0
79,numeric,79.0
66,numeric,66.0
33,numeric,33.0
0,numeric,0.0
92,numeric,92.0
51,numeric,51.0
-7,numeric,-7.0
87,numeric,87.0
85,numeric,85.0
236,numeric,236.0
90,numeric,90.0
87,numeric,87.0
,missing,
15,numeric,15.0
-2,numeric,-2.0
57,numeric,57.0
20/100,numeric_fraction,20.0
76/100,numeric_fraction,76.0
52,numeric,52.0
34,numeric,34.0
88,numeric,88.0
79/100,numeric_fraction,79.0
86,numeric,86.0
90,numeric,90.0
98,numeric,98.0
33,numeric,33.0
86,numeric,86.0
47,numeric,47.0
95,numeric,95.0
83,numeric,83.0
4/100,numeric_fraction,4.0
medium,categorical_risk,
92/100,numeric_fraction,92.0
54,numeric,54.0
40,numeric,40.0
19,numeric,19.0
74,numeric,74.0
78,numeric,78.0
33,numeric,33.0
78,numeric,78.0
-5,numeric,-5.0
79,numeric,79.0
Medium,categorical_risk,
,missing,
57,numeric,57.0
13,numeric,13.0
61,numeric,61.0
12,numeric,12.0
35,numeric,35.0
55,numeric,55.0
-3,numeric,-3.0
38,numeric,38.0
75,numeric,75.0
72,numeric,72.0
10,numeric,10.0
40,numeric,40.0
80,numeric,80.0
30/100,numeric_fraction,30.0
32,numeric,32.0
,missing,
85,numeric,85.0
100,numeric,100.0
27,numeric,27.0
52,numeric,52.0
15,numeric,15.0
23,numeric,23.0
210,numeric,210.0
,missing,
11,numeric,11.0
64,numeric,64.0
Medium,categorical_risk,
64,numeric,64.0
29,numeric,29.0
33,numeric,33.0
3,numeric,3.0
,missing,
13,numeric,13.0
73,numeric,73.0
67,numeric,67.0
84,numeric,84.0
60,numeric,60.0
100,numeric,100.0
51,numeric,51.0
84,numeric,84.0
74/100,numeric_fraction,74.0
105,numeric,105.0
HIGH,categorical_risk,
,missing,
37,numeric,37.0
49,numeric,49.0
-6,numeric,-6.0
18,numeric,18.0
-9,numeric,-9.0
48,numeric,48.0
79,numeric,79.0
80,numeric,80.0
87/100,numeric_fraction,87.0
77,numeric,77.0
59,numeric,59.0
1,numeric,1.0
4,numeric,4.0
3,numeric,3.0
99/100,numeric_fraction,99.0
81,numeric,81.0
55,numeric,55.0
-7,numeric,-7.0
128,numeric,128.0
215,numeric,215.0
163,numeric,163.0
21,numeric,21.0
182,numeric,182.0
-9,numeric,-9.0
119,numeric,119.0
20,numeric,20.0
153,numeric,153.0
-4,numeric,-4.0
10,numeric,10.0
53/100,numeric_fraction,53.0
62,numeric,62.0
12,numeric,12.0
91,numeric,91.0
-8,numeric,-8.0
34,numeric,34.0
10,numeric,10.0
15,numeric,15.0
53,numeric,53.0
37,numeric,37.0
-10,numeric,-10.0
95,numeric,95.0
-1,numeric,-1.0
86,numeric,86.0
48,numeric,48.0
79/100,numeric_fraction,79.0
13/100,numeric_fraction,13.0
,missing,
8,numeric,8.0
62,numeric,62.0
65,numeric,65.0
16,numeric,16.0
71,numeric,71.0
151,numeric,151.0
79,numeric,79.0
77,numeric,77.0
55,numeric,55.0
-7,numeric,-7.0
36,numeric,36.0
38,numeric,38.0
1,numeric,1.0
30,numeric,30.0
43,numeric,43.0
93,numeric,93.0
87,numeric,87.0
medium,categorical_risk,
7/100,numeric_fraction,7.0
99/100,numeric_fraction,99.0
98,numeric,98.0
5/100,numeric_fraction,5.0
,missing,
31,numeric,31.0
48,numeric,48.0
72,numeric,72.0
,missing,
High,categorical_risk,
36,numeric,36.0
7,numeric,7.0
86,numeric,86.0
Low,categorical_risk,
83,numeric,83.0
86,numeric,86.0
High,categorical_risk,
Low,categorical_risk,
-3,numeric,-3.0
173,numeric,173.0
53,numeric,53.0
25,numeric,25.0
77,numeric,77.0
71,numeric,71.0
30,numeric,30.0
98,numeric,98.0
21/100,numeric_fraction,21.0
81,numeric,81.0
17,numeric,17.0
66,numeric,66.0
88,numeric,88.0
24/100,numeric_fraction,24.0
47/100,numeric_fraction,47.0
40,numeric,40.0
62,numeric,62.0
87,numeric,87.0
50,numeric,50.0
77,numeric,77.0
60,numeric,60.0
19,numeric,19.0
34,numeric,34.0
67,numeric,67.0
-8,numeric,-8.0
27,numeric,27.0
98,numeric,98.0
47/100,numeric_fraction,47.0
13,numeric,13.0
8,numeric,8.0
93,numeric,93.0
27,numeric,27.0
41,numeric,41.0
33,numeric,33.0
4/100,numeric_fraction,4.0
57,numeric,57.0
12,numeric,12.0
59,numeric,59.0
27,numeric,27.0
5,numeric,5.0
8,numeric,8.0
10,numeric,10.0
31/100,numeric_fraction,31.0
26/100,numeric_fraction,26.0
24,numeric,24.0
94,numeric,94.0
3,numeric,3.0
22,numeric,22.0
70,numeric,70.0
100,numeric,100.0
82,numeric,82.0
32,numeric,32.0
53,numeric,53.0
27,numeric,27.0
-9,numeric,-9.0
66,numeric,66.0
High,categorical_risk,
92,numeric,92.0
143,numeric,143.0
High,categorical_risk,
1,numeric,1.0
39,numeric,39.0
48,numeric,48.0
68,numeric,68.0
38,numeric,38.0
102,numeric,102.0
82,numeric,82.0
44,numeric,44.0
55,numeric,55.0
27,numeric,27.0
28,numeric,28.0
93,numeric,93.0
,missing,
88,numeric,88.0
-5,numeric,-5.0
109,numeric,109.0
-2,numeric,-2.0
59,numeric,59.0
,missing,
55,numeric,55.0
20,numeric,20.0
16,numeric,16.0
24,numeric,24.0
18,numeric,18.0
53,numeric,53.0
59,numeric,59.0
82,numeric,82.0
99,numeric,99.0
78,numeric,78.0
,missing,
17,numeric,17.0
32,numeric,32.0
9,numeric,9.0
High,categorical_risk,
55,numeric,55.0
7,numeric,7.0
156,numeric,156.0
44,numeric,44.0
60,numeric,60.0
54,numeric,54.0
31,numeric,31.0
87,numeric,87.0
51,numeric,51.0
25,numeric,25.0
132,numeric,132.0
7,numeric,7.0
7,numeric,7.0
-10,numeric,-10.0
122,numeric,122.0
58,numeric,58.0
82,numeric,82.0
Medium,categorical_risk,
38,numeric,38.0
38,numeric,38.0
30,numeric,30.0
26,numeric,26.0
207,numeric,207.0
9,numeric,9.0
25,numeric,25.0
72/100,numeric_fraction,72.0
239,numeric,239.0
58,numeric,58.0
209,numeric,209.0
HIGH,categorical_risk,
17,numeric,17.0
90,numeric,90.0
58,numeric,58.0
4,numeric,4.0
51,numeric,51.0
26,numeric,26.0
63,numeric,63.0
28,numeric,28.0
33,numeric,33.0
-8,numeric,-8.0
178,numeric,178.0
,missing,
78,numeric,78.0
21/100,numeric_fraction,21.0
,missing,
,missing,
-3,numeric,-3.0
30/100,numeric_fraction,30.0
21,numeric,21.0
22,numeric,22.0
21,numeric,21.0
46/100,numeric_fraction,46.0
20,numeric,20.0
40/100,numeric_fraction,40.0
234,numeric,234.0
27,numeric,27.0
Medium,categorical_risk,
97,numeric,97.0
36,numeric,36.0
17,numeric,17.0
88/100,numeric_fraction,88.0
174,numeric,174.0
63,numeric,63.0
26,numeric,26.0
93,numeric,93.0
89,numeric,89.0
98/100,numeric_fraction,98.0
94,numeric,94.0
70,numeric,70.0
96,numeric,96.0
64,numeric,64.0
-7,numeric,-7.0
medium,categorical_risk,
-2,numeric,-2.0
82,numeric,82.0
35,numeric,35.0
34,numeric,34.0
90,numeric,90.0
69,numeric,69.0
72,numeric,72.0
,missing,
59,numeric,59.0
89,numeric,89.0
96,numeric,96.0
112,numeric,112.0
169,numeric,169.0
72,numeric,72.0
24,numeric,24.0
98,numeric,98.0
64,numeric,64.0
12,numeric,12.0
227,numeric,227.0
38,numeric,38.0
39,numeric,39.0
2,numeric,2.0
99,numeric,99.0
25,numeric,25.0
94,numeric,94.0
38,numeric,38.0
34,numeric,34.0
8,numeric,8.0
medium,categorical_risk,
56,numeric,56.0
63,numeric,63.0
38,numeric,38.0
29,numeric,29.0
37,numeric,37.0
66,numeric,66.0
148,numeric,148.0
59,numeric,59.0
53/100,numeric_fraction,53.0
182,numeric,182.0
-2,numeric,-2.0
21,numeric,21.0
78/100,numeric_fraction,78.0
85/100,numeric_fraction,85.0
54/100,numeric_fraction,54.0
23,numeric,23.0
77,numeric,77.0
43,numeric,43.0
65,numeric,65.0
6,numeric,6.0
61/100,numeric_fraction,61.0
55,numeric,55.0
,missing,
22/100,numeric_fraction,22.0
58,numeric,58.0
87,numeric,87.0
70,numeric,70.0
51,numeric,51.0
Medium,categorical_risk,
-5,numeric,-5.0
84,numeric,84.0
100,numeric,100.0
113,numeric,113.0
67,numeric,67.0
-6,numeric,-6.0
19,numeric,19.0
55,numeric,55.0
66,numeric,66.0
93,numeric,93.0
15,numeric,15.0
95,numeric,95.0
78,numeric,78.0
16,numeric,16.0
47/100,numeric_fraction,47.0
88/100,numeric_fraction,88.0
79,numeric,79.0
233,numeric,233.0
51,numeric,51.0
5,numeric,5.0
99,numeric,99.0
10/100,numeric_fraction,10.0
61,numeric,61.0
11,numeric,11.0
223,numeric,223.0
,missing,
High,categorical_risk,
67,numeric,67.0
81,numeric,81.0
82,numeric,82.0
77,numeric,77.0
Medium,categorical_risk,
48,numeric,48.0
28,numeric,28.0
,missing,
66,numeric,66.0
5,numeric,5.0
,missing,
234,numeric,234.0
Medium,categorical_risk,
46/100,numeric_fraction,46.0
88,numeric,88.0
16,numeric,16.0
7,numeric,7.0
0,numeric,0.0
62,numeric,62.0
1,numeric,1.0
83,numeric,83.0
5,numeric,5.0
216,numeric,216.0
13,numeric,13.0
14,numeric,14.0
4,numeric,4.0
2,numeric,2.0
80,numeric,80.0
64,numeric,64.0
94/100,numeric_fraction,94.0
43,numeric,43.0
24,numeric,24.0
89,numeric,89.0
21,numeric,21.0
10,numeric,10.0
44,numeric,44.0
-4,numeric,-4.0
17/100,numeric_fraction,17.0
97,numeric,97.0
64/100,numeric_fraction,64.0
Low,categorical_risk,
38,numeric,38.0
187,numeric,187.0
,missing,
45/100,numeric_fraction,45.0
60/100,numeric_fraction,60.0
80,numeric,80.0
77,numeric,77.0
31,numeric,31.0
9,numeric,9.0
76,numeric,76.0
-6,numeric,-6.0
64,numeric,64.0
154,numeric,154.0
High,categorical_risk,
242,numeric,242.0
8,numeric,8.0
94,numeric,94.0
39,numeric,39.0
39,numeric,39.0
62,numeric,62.0
95,numeric,95.0
36,numeric,36.0
11,numeric,11.0
25,numeric,25.0
92,numeric,92.0
49,numeric,49.0
7,numeric,7.0
18,numeric,18.0
Low,categorical_risk,
-6,numeric,-6.0
29,numeric,29.0
44,numeric,44.0
126,numeric,126.0
14,numeric,14.0
49,numeric,49.0
80,numeric,80.0
,missing,
35,numeric,35.0
89,numeric,89.0
28,numeric,28.0
72,numeric,72.0
55,numeric,55.0
46,numeric,46.0
159,numeric,159.0
,missing,
41,numeric,41.0
-6,numeric,-6.0
38,numeric,38.0
High,categorical_risk,
-10,numeric,-10.0
31,numeric,31.0
,missing,
47,numeric,47.0
36,numeric,36.0
High,categorical_risk,
54,numeric,54.0
72/100,numeric_fraction,72.0
5,numeric,5.0
94,numeric,94.0
30,numeric,30.0
63,numeric,63.0
94,numeric,94.0
60,numeric,60.0
24,numeric,24.0
45,numeric,45.0
,missing,
96,numeric,96.0
Low,categorical_risk,
39,numeric,39.0
0,numeric,0.0
53,numeric,53.0
70,numeric,70.0
21,numeric,21.0
,missing,
5,numeric,5.0
57,numeric,57.0
Medium,categorical_risk,
7,numeric,7.0
43,numeric,43.0
37,numeric,37.0
73,numeric,73.0
High,categorical_risk,
11/100,numeric_fraction,11.0
11,numeric,11.0
69,numeric,69.0
82,numeric,82.0
98,numeric,98.0
77,numeric,77.0
43,numeric,43.0
148,numeric,148.0
14,numeric,14.0
59,numeric,59.0
83,numeric,83.0
68,numeric,68.0
62,numeric,62.0
87,numeric,87.0
51/100,numeric_fraction,51.0
,missing,
-7,numeric,-7.0
97,numeric,97.0
34,numeric,34.0
14,numeric,14.0
33,numeric,33.0
69,numeric,69.0
medium,categorical_risk,
34,numeric,34.0
34,numeric,34.0
88,numeric,88.0
65,numeric,65.0
86,numeric,86.0
96,numeric,96.0
HIGH,categorical_risk,
217,numeric,217.0
-4,numeric,-4.0
59,numeric,59.0
69,numeric,69.0
32/100,numeric_fraction,32.0
87,numeric,87.0
168,numeric,168.0
47,numeric,47.0
136,numeric,136.0
26,numeric,26.0
97,numeric,97.0
94,numeric,94.0
20/100,numeric_fraction,20.0
76,numeric,76.0
33,numeric,33.0
-5,numeric,-5.0
47,numeric,47.0
52,numeric,52.0
82,numeric,82.0
44,numeric,44.0
34/100,numeric_fraction,34.0
56/100,numeric_fraction,56.0
39,numeric,39.0
13,numeric,13.0
94,numeric,94.0
35,numeric,35.0
86,numeric,86.0
81,numeric,81.0
54/100,numeric_fraction,54.0
27,numeric,27.0
25,numeric,25.0
26,numeric,26.0
97,numeric,97.0
56,numeric,56.0
30,numeric,30.0
21,numeric,21.0
21,numeric,21.0
37/100,numeric_fraction,37.0
62,numeric,62.0
26,numeric,26.0
86,numeric,86.0
130,numeric,130.0
43,numeric,43.0
High,categorical_risk,
44,numeric,44.0
242,numeric,242.0
47,numeric,47.0
220,numeric,220.0
94,numeric,94.0
-4,numeric,-4.0
76,numeric,76.0
12,numeric,12.0
6,numeric,6.0
133,numeric,133.0
75,numeric,75.0
41,numeric,41.0
68,numeric,68.0
83,numeric,83.0
High,categorical_risk,
62/100,numeric_fraction,62.0
130,numeric,130.0
70,numeric,70.0
41,numeric,41.0
86,numeric,86.0
15,numeric,15.0
13,numeric,13.0
15,numeric,15.0
65,numeric,65.0
91,numeric,91.0
83,numeric,83.0
-1,numeric,-1.0
,missing,
17,numeric,17.0
197,numeric,197.0
88,numeric,88.0
28,numeric,28.0
23/100,numeric_fraction,23.0
56,numeric,56.0
18,numeric,18.0
,missing,
20,numeric,20.0
54,numeric,54.0
5,numeric,5.0
9,numeric,9.0
94,numeric,94.0
30,numeric,30.0
3,numeric,3.0
1,numeric,1.0
15,numeric,15.0
68,numeric,68.0
44/100,numeric_fraction,44.0
,missing,
95,numeric,95.0
24,numeric,24.0
95,numeric,95.0
55,numeric,55.0
153,numeric,153.0
90,numeric,90.0
72/100,numeric_fraction,72.0
-3,numeric,-3.0
56,numeric,56.0
170,numeric,170.0
42,numeric,42.0
,missing,
Medium,categorical_risk,
Low,categorical_risk,
3,numeric,3.0
22,numeric,22.0
41,numeric,41.0
48,numeric,48.0
82,numeric,82.0
38,numeric,38.0
249,numeric,249.0
50,numeric,50.0
47/100,numeric_fraction,47.0
21,numeric,21.0
56/100,numeric_fraction,56.0
23,numeric,23.0
7/100,numeric_fraction,7.0
,missing,
5/100,numeric_fraction,5.0
16,numeric,16.0
74,numeric,74.0
High,categorical_risk,
46,numeric,46.0
54/100,numeric_fraction,54.0
69,numeric,69.0
68,numeric,68.0
72,numeric,72.0
61,numeric,61.0
13,numeric,13.0
65,numeric,65.0
35,numeric,35.0
13,numeric,13.0
32,numeric,32.0
16,numeric,16.0
63,numeric,63.0
96,numeric,96.0
129,numeric,129.0
77,numeric,77.0
60,numeric,60.0
73,numeric,73.0
58,numeric,58.0
227,numeric,227.0
34,numeric,34.0
,missing,
,missing,
,missing,
2,numeric,2.0
99,numeric,99.0
22,numeric,22.0
16,numeric,16.0
-6,numeric,-6.0
66,numeric,66.0
-9,numeric,-9.0
38,numeric,38.0
63,numeric,63.0
97,numeric,97.0
medium,categorical_risk,
6,numeric,6.0
79,numeric,79.0
21,numeric,21.0
24/100,numeric_fraction,24.0
-8,numeric,-8.0
2,numeric,2.0
-8,numeric,-8.0
120,numeric,120.0
70/100,numeric_fraction,70.0
High,categorical_risk,
36,numeric,36.0
94,numeric,94.0
,missing,
156,numeric,156.0
169,numeric,169.0
91,numeric,91.0
24,numeric,24.0
-1,numeric,-1.0
39,numeric,39.0
155,numeric,155.0
56/100,numeric_fraction,56.0
52,numeric,52.0
41,numeric,41.0
82,numeric,82.0
32,numeric,32.0
4,numeric,4.0
53,numeric,53.0
45,numeric,45.0
Medium,categorical_risk,
,missing,
6,numeric,6.0
93,numeric,93.0
69,numeric,69.0
121,numeric,121.0
217,numeric,217.0
132,numeric,132.0
20/100,numeric_fraction,20.0
74,numeric,74.0
27,numeric,27.0
35,numeric,35.0
81,numeric,81.0
69,numeric,69.0
117,numeric,117.0
71,numeric,71.0
High,categorical_risk,
99,numeric,99.0
130,numeric,130.0
35,numeric,35.0
79,numeric,79.0
23/100,numeric_fraction,23.0
180,numeric,180.0
77,numeric,77.0
49,numeric,49.0
84,numeric,84.0
54,numeric,54.0
47,numeric,47.0
78,numeric,78.0
20,numeric,20.0
81,numeric,81.0
-9,numeric,-9.0
34,numeric,34.0
69,numeric,69.0
32,numeric,32.0
65,numeric,65.0
20,numeric,20.0
10,numeric,10.0
82,numeric,82.0
80,numeric,80.0
69,numeric,69.0
-10,numeric,-10.0
31,numeric,31.0
5,numeric,5.0
23,numeric,23.0
29,numeric,29.0
58,numeric,58.0
54,numeric,54.0
56/100,numeric_fraction,56.0
5,numeric,5.0
12,numeric,12.0
Medium,categorical_risk,
58,numeric,58.0
-5,numeric,-5.0
6,numeric,6.0
42,numeric,42.0
Medium,categorical_risk,
5,numeric,5.0
172,numeric,172.0
30,numeric,30.0
37,numeric,37.0
93,numeric,93.0
95,numeric,95.0
85,numeric,85.0
0,numeric,0.0
49/100,numeric_fraction,49.0
88,numeric,88.0
212,numeric,212.0
94,numeric,94.0
High,categorical_risk,
84,numeric,84.0
46,numeric,46.0
223,numeric,223.0
23,numeric,23.0
,missing,
20,numeric,20.0
23,numeric,23.0
74,numeric,74.0
52,numeric,52.0
121,numeric,121.0
,missing,
31/100,numeric_fraction,31.0
20,numeric,20.0
99,numeric,99.0
86,numeric,86.0
49,numeric,49.0
High,categorical_risk,
,missing,
-2,numeric,-2.0
243,numeric,243.0
41,numeric,41.0
61,numeric,61.0
50,numeric,50.0
68/100,numeric_fraction,68.0
63,numeric,63.0
-5,numeric,-5.0
2,numeric,2.0
32,numeric,32.0
