dataset,column,raw_value,frequency
IAM,user_id,emp11090,11
IAM,user_id,EMP-10472,11
IAM,user_id,emp12895,11
IAM,user_id,EMP 10408,11
IAM,user_id,emp12111,11
IAM,user_id,EMP-11763,11
IAM,user_id,emp12505,11
IAM,user_id,EMP-10014,11
IAM,user_id,EMP 11241,11
IAM,user_id,emp10014,11
IAM,user_id,emp10912,10
IAM,user_id,EMP-12111,10
IAM,user_id,11359,10
IAM,user_id,EMP12280,10
IAM,user_id,emp10194,10
IAM,user_id,emp12603,10
IAM,user_id,emp_12113,10
IAM,user_id,EMP-11190,10
IAM,user_id,EMP 11226,10
IAM,user_id,EMP-12776,10
IAM,user_id,12901,10
IAM,user_id,EMP-10194,10
IAM,user_id,EMP12117,10
IAM,user_id,EMP-10152,10
IAM,user_id,emp10296,10
IAM,user_id,10322,10
IAM,user_id,EMP12670,10
IAM,user_id,emp10408,10
IAM,user_id,EMP-11359,10
IAM,user_id,EMP11678,10
IAM,user_id,emp10322,10
IAM,user_id,emp12144,9
IAM,user_id,emp_12254,9
IAM,user_id,EMP-10781,9
IAM,user_id,EMP11330,9
IAM,user_id,EMP10849,9
IAM,user_id,emp_12901,9
IAM,user_id,EMP 11817,9
IAM,user_id,EMP11822,9
IAM,user_id,EMP11742,9
IAM,user_id,EMP11264,9
IAM,user_id,emp10063,9
IAM,user_id,EMP10768,9
IAM,user_id,EMP12779,9
IAM,user_id,emp11600,9
IAM,user_id,EMP10747,9
IAM,user_id,EMP 11298,9
IAM,user_id,EMP 11001,9
IAM,user_id,EMP12762,9
IAM,user_id,emp_11583,9
IAM,user_id,emp_10746,9
IAM,user_id,emp10472,9
IAM,user_id,EMP-11117,9
IAM,user_id,EMP10617,9
IAM,user_id,11411,9
IAM,user_id,11801,9
IAM,user_id,12083,9
IAM,user_id,11073,9
IAM,user_id,EMP11505,9
IAM,user_id,EMP12253,9
IAM,user_id,emp10900,9
IAM,user_id,12505,8
IAM,user_id,EMP12235,8
IAM,user_id,emp_12418,8
IAM,user_id,12579,8
IAM,user_id,EMP11159,8
IAM,user_id,EMP10748,8
IAM,user_id,EMP10951,8
IAM,user_id,EMP11000,8
IAM,user_id,emp12546,8
IAM,user_id,EMP11692,8
IAM,user_id,emp11073,8
IAM,user_id,EMP-12546,8
IAM,user_id,emp_11241,8
IAM,user_id,11001,8
IAM,user_id,EMP 10298,8
IAM,user_id,EMP 11600,8
IAM,user_id,emp10203,8
IAM,user_id,EMP 12113,8
IAM,user_id,EMP10928,8
IAM,user_id,EMP12922,8
IAM,user_id,EMP12848,8
IAM,user_id,EMP 10289,8
IAM,user_id,EMP 11360,8
IAM,user_id,EMP10593,8
IAM,user_id,emp11001,8
IAM,user_id,EMP11634,8
IAM,user_id,EMP-12678,8
IAM,user_id,EMP-12254,8
IAM,user_id,EMP11463,8
IAM,user_id,EMP 10727,8
IAM,user_id,12418,8
IAM,user_id,10296,8
IAM,user_id,emp_11001,8
IAM,user_id,emp_12083,8
IAM,user_id,emp12425,8
IAM,user_id,EMP12823,8
IAM,user_id,EMP11175,8
IAM,user_id,EMP12502,8
IAM,user_id,EMP12248,8
IAM,user_id,EMP11020,8
IAM,user_id,EMP12497,8
IAM,user_id,EMP12609,8
IAM,user_id,EMP12099,8
IAM,user_id,EMP 10746,8
IAM,user_id,EMP11961,8
IAM,user_id,EMP12944,8
IAM,user_id,emp_12567,8
IAM,user_id,EMP10851,8
IAM,user_id,emp12738,8
IAM,user_id,EMP 10251,8
IAM,user_id,EMP 12603,8
IAM,user_id,EMP-12083,8
IAM,user_id,EMP 12254,8
IAM,user_id,EMP-10772,8
IAM,user_id,EMP10123,8
IAM,user_id,EMP-10251,8
IAM,user_id,11817,8
IAM,user_id,EMP 10203,8
IAM,user_id,EMP11211,8
IAM,user_id,EMP10963,8
IAM,user_id,EMP-11360,8
IAM,user_id,EMP12961,7
IAM,user_id,EMP 10912,7
IAM,user_id,EMP10843,7
IAM,user_id,EMP12027,7
IAM,user_id,emp10746,7
IAM,user_id,EMP11358,7
IAM,user_id,EMP10785,7
IAM,user_id,EMP10625,7
IAM,user_id,EMP12285,7
IAM,user_id,EMP10994,7
IAM,user_id,EMP-10746,7
IAM,user_id,emp10298,7
IAM,user_id,EMP10539,7
IAM,user_id,emp12678,7
IAM,user_id,EMP 12678,7
IAM,user_id,EMP12472,7
IAM,user_id,11241,7
IAM,user_id,EMP12660,7
IAM,user_id,EMP12654,7
IAM,user_id,EMP10643,7
IAM,user_id,emp12113,7
IAM,user_id,EMP-12425,7
IAM,user_id,10298,7
IAM,user_id,EMP10280,7
IAM,user_id,EMP12693,7
IAM,user_id,EMP 10291,7
IAM,user_id,10152,7
IAM,user_id,EMP10830,7
IAM,user_id,10194,7
IAM,user_id,EMP 10472,7
IAM,user_id,EMP12396,7
IAM,user_id,EMP11427,7
IAM,user_id,EMP11224,7
IAM,user_id,EMP11156,7
IAM,user_id,EMP10483,7
IAM,user_id,EMP10077,7
IAM,user_id,EMP10120,7
IAM,user_id,emp_11117,7
IAM,user_id,EMP11574,7
IAM,user_id,EMP11375,7
IAM,user_id,EMP12630,7
IAM,user_id,10014,7
IAM,user_id,EMP12627,7
IAM,user_id,12254,7
IAM,user_id,EMP10319,7
IAM,user_id,emp_10052,7
IAM,user_id,EMP12017,7
IAM,user_id,EMP-11600,7
IAM,user_id,10289,7
IAM,user_id,EMP10292,7
IAM,user_id,emp_10727,7
IAM,user_id,EMP10608,7
IAM,user_id,EMP11876,7
IAM,user_id,EMP10057,7
IAM,user_id,EMP11992,7
IAM,user_id,EMP-12901,7
IAM,user_id,11190,7
IAM,user_id,EMP10162,7
IAM,user_id,EMP12834,7
IAM,user_id,EMP10405,7
IAM,user_id,EMP10475,7
IAM,user_id,emp12851,7
IAM,user_id,10772,7
IAM,user_id,EMP12556,7
IAM,user_id,EMP10462,7
IAM,user_id,11763,7
IAM,user_id,EMP11374,7
IAM,user_id,EMP12401,7
IAM,user_id,10900,7
IAM,user_id,EMP12141,7
IAM,user_id,EMP10664,7
IAM,user_id,EMP11085,7
IAM,user_id,EMP12123,7
IAM,user_id,EMP 11547,7
IAM,user_id,EMP 10900,7
IAM,user_id,EMP10725,7
IAM,user_id,EMP12795,7
IAM,user_id,EMP12057,7
IAM,user_id,EMP11148,7
IAM,user_id,EMP11471,7
IAM,user_id,EMP12297,7
IAM,user_id,11117,7
IAM,user_id,emp12254,7
IAM,user_id,EMP12982,7
IAM,user_id,10912,7
IAM,user_id,EMP11132,7
IAM,user_id,EMP11840,7
IAM,user_id,EMP10316,7
IAM,user_id,EMP11558,7
IAM,user_id,EMP12447,7
IAM,user_id,emp10044,7
IAM,user_id,EMP10131,7
IAM,user_id,EMP12735,7
IAM,user_id,EMP12930,7
IAM,user_id,EMP11390,7
IAM,user_id,EMP10894,7
IAM,user_id,EMP10930,7
IAM,user_id,EMP12785,7
IAM,user_id,EMP11127,7
IAM,user_id,EMP12154,7
IAM,user_id,EMP11914,7
IAM,user_id,emp10152,7
IAM,user_id,EMP11044,7
IAM,user_id,EMP11944,7
IAM,user_id,EMP 12425,7
IAM,user_id,EMP10372,7
IAM,user_id,EMP12704,6
IAM,user_id,EMP10486,6
IAM,user_id,EMP10585,6
IAM,user_id,EMP12550,6
IAM,user_id,EMP12831,6
IAM,user_id,EMP12850,6
IAM,user_id,EMP11397,6
IAM,user_id,12425,6
IAM,user_id,EMP10985,6
IAM,user_id,EMP12976,6
IAM,user_id,EMP10841,6
IAM,user_id,emp_10472,6
IAM,user_id,EMP10691,6
IAM,user_id,EMP11107,6
IAM,user_id,EMP10480,6
IAM,user_id,EMP11795,6
IAM,user_id,EMP10459,6
IAM,user_id,EMP11141,6
IAM,user_id,EMP12628,6
IAM,user_id,EMP12385,6
IAM,user_id,emp11763,6
IAM,user_id,emp_10063,6
IAM,user_id,10781,6
IAM,user_id,EMP12814,6
IAM,user_id,EMP10705,6
IAM,user_id,EMP12610,6
IAM,user_id,EMP11591,6
IAM,user_id,EMP12707,6
IAM,user_id,EMP-10644,6
IAM,user_id,EMP11076,6
IAM,user_id,EMP 12738,6
IAM,user_id,EMP 10052,6
IAM,user_id,EMP12138,6
IAM,user_id,EMP-11001,6
IAM,user_id,EMP11901,6
IAM,user_id,EMP11194,6
IAM,user_id,emp_10900,6
IAM,user_id,EMP11865,6
IAM,user_id,EMP12030,6
IAM,user_id,EMP 10781,6
IAM,user_id,EMP12290,6
IAM,user_id,EMP11205,6
IAM,user_id,EMP12902,6
IAM,user_id,EMP-10393,6
IAM,user_id,EMP 11090,6
IAM,user_id,EMP12160,6
IAM,user_id,EMP10508,6
IAM,user_id,EMP10822,6
IAM,user_id,EMP10988,6
IAM,user_id,EMP12695,6
IAM,user_id,EMP-11547,6
IAM,user_id,EMP10038,6
IAM,user_id,EMP10008,6
IAM,user_id,EMP 10152,6
IAM,user_id,EMP-11073,6
IAM,user_id,EMP-10044,6
IAM,user_id,EMP12049,6
IAM,user_id,EMP11773,6
IAM,user_id,EMP10924,6
IAM,user_id,emp11583,6
IAM,user_id,EMP 11005,6
IAM,user_id,EMP11415,6
IAM,user_id,EMP10079,6
IAM,user_id,EMP11026,6
IAM,user_id,EMP10454,6
IAM,user_id,10472,6
IAM,user_id,EMP12973,6
IAM,user_id,EMP11743,6
IAM,user_id,EMP12174,6
IAM,user_id,EMP12391,6
IAM,user_id,EMP12706,6
IAM,user_id,EMP11694,6
IAM,user_id,EMP12683,6
IAM,user_id,EMP10642,6
IAM,user_id,EMP10391,6
IAM,user_id,emp_11411,6
IAM,user_id,EMP10952,6
IAM,user_id,EMP10986,6
IAM,user_id,12776,6
IAM,user_id,EMP11512,6
IAM,user_id,EMP12439,6
IAM,user_id,emp_11801,6
IAM,user_id,10553,6
IAM,user_id,EMP 12111,6
IAM,user_id,EMP12577,6
IAM,user_id,EMP12626,6
IAM,user_id,EMP12343,6
IAM,user_id,EMP12487,6
IAM,user_id,emp_11298,6
IAM,user_id,EMP11864,6
IAM,user_id,EMP12275,6
IAM,user_id,EMP11065,6
IAM,user_id,EMP10695,6
IAM,user_id,emp_10296,6
IAM,user_id,EMP12271,6
IAM,user_id,EMP11982,6
IAM,user_id,EMP12341,6
IAM,user_id,EMP11568,6
IAM,user_id,EMP12516,6
IAM,user_id,EMP10596,6
IAM,user_id,EMP10788,6
IAM,user_id,EMP10969,6
IAM,user_id,EMP12005,6
IAM,user_id,EMP11602,6
IAM,user_id,EMP12220,6
IAM,user_id,emp_12505,6
IAM,user_id,EMP10551,6
IAM,user_id,EMP12416,6
IAM,user_id,EMP11934,6
IAM,user_id,EMP10188,6
IAM,user_id,EMP11621,6
IAM,user_id,EMP12400,6
IAM,user_id,EMP 10772,6
IAM,user_id,EMP12012,6
IAM,user_id,EMP11853,6
IAM,user_id,12113,6
IAM,user_id,EMP11576,6
IAM,user_id,EMP10598,6
IAM,user_id,EMP10800,6
IAM,user_id,emp_12895,6
IAM,user_id,EMP10581,6
IAM,user_id,EMP10041,6
IAM,user_id,EMP12592,6
IAM,user_id,EMP12354,6
IAM,user_id,emp_10014,6
IAM,user_id,EMP12065,6
IAM,user_id,EMP12677,6
IAM,user_id,EMP12368,6
IAM,user_id,EMP10602,6
IAM,user_id,EMP12010,6
IAM,user_id,EMP-11583,6
IAM,user_id,EMP11626,6
IAM,user_id,EMP11937,6
IAM,user_id,EMP10176,6
IAM,user_id,EMP 11583,6
IAM,user_id,EMP11034,6
IAM,user_id,EMP-12113,6
IAM,user_id,EMP11975,6
IAM,user_id,12546,6
IAM,user_id,EMP10037,6
IAM,user_id,EMP11252,6
IAM,user_id,EMP10888,6
IAM,user_id,11226,6
IAM,user_id,EMP12326,6
IAM,user_id,EMP10887,6
IAM,user_id,EMP10361,6
IAM,user_id,EMP12337,6
IAM,user_id,EMP10433,6
IAM,user_id,EMP11255,6
IAM,user_id,emp12579,6
IAM,user_id,EMP11047,6
IAM,user_id,EMP11676,6
IAM,user_id,EMP12219,6
IAM,user_id,EMP11229,6
IAM,user_id,EMP11500,6
IAM,user_id,EMP11376,6
IAM,user_id,emp11005,6
IAM,user_id,EMP11648,6
IAM,user_id,EMP12389,6
IAM,user_id,EMP10129,6
IAM,user_id,EMP12586,6
IAM,user_id,11090,6
IAM,user_id,EMP10236,6
IAM,user_id,EMP12940,6
IAM,user_id,EMP11858,6
IAM,user_id,EMP10392,6
IAM,user_id,EMP11354,6
IAM,user_id,EMP 11073,6
IAM,user_id,EMP10807,6
IAM,user_id,EMP12227,6
IAM,user_id,EMP12559,6
IAM,user_id,emp10052,6
IAM,user_id,EMP12692,6
IAM,user_id,emp10291,6
IAM,user_id,EMP10522,6
IAM,user_id,EMP11571,6
IAM,user_id,EMP12046,6
IAM,user_id,EMP12873,6
IAM,user_id,EMP10509,6
IAM,user_id,EMP10532,6
IAM,user_id,EMP12023,6
IAM,user_id,emp11190,6
IAM,user_id,10393,6
IAM,user_id,EMP11968,6
IAM,user_id,EMP10089,6
IAM,user_id,EMP12168,6
IAM,user_id,EMP10517,6
IAM,user_id,EMP-12603,6
IAM,user_id,EMP12085,6
IAM,user_id,EMP11109,6
IAM,user_id,EMP10824,6
IAM,user_id,EMP11550,6
IAM,user_id,EMP10040,6
IAM,user_id,EMP12581,6
IAM,user_id,10044,6
IAM,user_id,EMP12956,6
IAM,user_id,EMP12602,6
IAM,user_id,EMP10813,6
IAM,user_id,EMP10939,6
IAM,user_id,EMP12781,6
IAM,user_id,EMP10834,6
IAM,user_id,EMP10649,6
IAM,user_id,EMP12576,6
IAM,user_id,EMP12907,6
IAM,user_id,EMP12943,6
IAM,user_id,EMP11991,6
IAM,user_id,EMP11918,6
IAM,user_id,EMP11218,6
IAM,user_id,EMP12450,6
IAM,user_id,EMP11036,6
IAM,user_id,EMP-12144,6
IAM,user_id,EMP 11665,6
IAM,user_id,EMP11112,6
IAM,user_id,EMP12331,6
IAM,user_id,EMP11710,6
IAM,user_id,EMP11435,6
IAM,user_id,EMP12894,6
IAM,user_id,EMP11664,6
IAM,user_id,emp11665,6
IAM,user_id,EMP11118,6
IAM,user_id,EMP11192,6
IAM,user_id,emp_12851,6
IAM,user_id,EMP12758,6
IAM,user_id,EMP10005,6
IAM,user_id,EMP11874,6
IAM,user_id,EMP11238,6
IAM,user_id,EMP12140,6
IAM,user_id,EMP12358,6
IAM,user_id,EMP10192,6
IAM,user_id,EMP12177,6
IAM,user_id,EMP12622,5
IAM,user_id,EMP10606,5
IAM,user_id,EMP11232,5
IAM,user_id,EMP11942,5
IAM,user_id,EMP12378,5
IAM,user_id,EMP12852,5
IAM,user_id,emp11226,5
IAM,user_id,emp_10393,5
IAM,user_id,EMP10799,5
IAM,user_id,EMP-10203,5
IAM,user_id,EMP10665,5
IAM,user_id,EMP11668,5
IAM,user_id,EMP12896,5
IAM,user_id,EMP12390,5
IAM,user_id,12678,5
IAM,user_id,EMP12970,5
IAM,user_id,EMP10947,5
IAM,user_id,EMP12149,5
IAM,user_id,EMP10447,5
IAM,user_id,EMP11521,5
IAM,user_id,EMP10973,5
IAM,user_id,EMP-11005,5
IAM,user_id,EMP12399,5
IAM,user_id,EMP10418,5
IAM,user_id,EMP10712,5
IAM,user_id,EMP12946,5
IAM,user_id,EMP12126,5
IAM,user_id,EMP11770,5
IAM,user_id,EMP10662,5
IAM,user_id,EMP12636,5
IAM,user_id,EMP12920,5
IAM,user_id,EMP11124,5
IAM,user_id,EMP-11665,5
IAM,user_id,EMP12288,5
IAM,user_id,EMP11261,5
IAM,user_id,EMP10868,5
IAM,user_id,EMP10891,5
IAM,user_id,EMP11398,5
IAM,user_id,EMP12548,5
IAM,user_id,EMP12855,5
IAM,user_id,EMP11130,5
IAM,user_id,EMP10355,5
IAM,user_id,EMP11643,5
IAM,user_id,EMP11929,5
IAM,user_id,12895,5
IAM,user_id,EMP10069,5
IAM,user_id,EMP11794,5
IAM,user_id,emp_11005,5
IAM,user_id,EMP12373,5
IAM,user_id,EMP12828,5
IAM,user_id,EMP11049,5
IAM,user_id,EMP11012,5
IAM,user_id,EMP12035,5
IAM,user_id,EMP12398,5
IAM,user_id,EMP10971,5
IAM,user_id,EMP 12776,5
IAM,user_id,EMP-11801,5
IAM,user_id,EMP11989,5
IAM,user_id,EMP10083,5
IAM,user_id,EMP 10393,5
IAM,user_id,EMP12161,5
IAM,user_id,EMP11965,5
IAM,user_id,EMP11915,5
IAM,user_id,EMP10519,5
IAM,user_id,EMP11453,5
IAM,user_id,EMP10066,5
IAM,user_id,EMP10612,5
IAM,user_id,EMP10936,5
IAM,user_id,EMP12350,5
IAM,user_id,EMP11828,5
IAM,user_id,EMP12052,5
IAM,user_id,EMP11140,5
IAM,user_id,EMP11837,5
IAM,user_id,EMP12260,5
IAM,user_id,EMP10731,5
IAM,user_id,EMP10118,5
IAM,user_id,EMP10796,5
IAM,user_id,12738,5
IAM,user_id,EMP10938,5
IAM,user_id,EMP11669,5
IAM,user_id,EMP11716,5
IAM,user_id,EMP-11226,5
IAM,user_id,EMP11460,5
IAM,user_id,EMP11732,5
IAM,user_id,EMP11064,5
IAM,user_id,EMP12066,5
IAM,user_id,EMP12521,5
IAM,user_id,EMP10150,5
IAM,user_id,EMP10337,5
IAM,user_id,EMP10732,5
IAM,user_id,EMP11002,5
IAM,user_id,EMP10301,5
IAM,user_id,EMP12477,5
IAM,user_id,EMP11575,5
IAM,user_id,EMP11974,5
IAM,user_id,EMP11675,5
IAM,user_id,EMP10618,5
IAM,user_id,EMP 11701,5
IAM,user_id,EMP11850,5
IAM,user_id,EMP10082,5
IAM,user_id,EMP12615,5
IAM,user_id,EMP10488,5
IAM,user_id,EMP12651,5
IAM,user_id,EMP10369,5
IAM,user_id,EMP12136,5
IAM,user_id,EMP11426,5
IAM,user_id,emp_11472,5
IAM,user_id,EMP11039,5
IAM,user_id,EMP11932,5
IAM,user_id,EMP11948,5
IAM,user_id,EMP11855,5
IAM,user_id,EMP12153,5
IAM,user_id,EMP10218,5
IAM,user_id,EMP 10296,5
IAM,user_id,EMP10287,5
IAM,user_id,EMP11686,5
IAM,user_id,EMP11704,5
IAM,user_id,EMP11201,5
IAM,user_id,EMP11344,5
IAM,user_id,EMP10346,5
IAM,user_id,EMP11829,5
IAM,user_id,EMP10051,5
IAM,user_id,EMP12496,5
IAM,user_id,EMP11866,5
IAM,user_id,EMP11595,5
IAM,user_id,EMP10500,5
IAM,user_id,EMP11097,5
IAM,user_id,EMP12745,5
IAM,user_id,EMP10693,5
IAM,user_id,EMP-10404,5
IAM,user_id,EMP11499,5
IAM,user_id,EMP11053,5
IAM,user_id,EMP10441,5
IAM,user_id,EMP12542,5
IAM,user_id,EMP10558,5
IAM,user_id,EMP11289,5
IAM,user_id,EMP10364,5
IAM,user_id,11583,5
IAM,user_id,EMP10335,5
IAM,user_id,EMP12231,5
IAM,user_id,emp10393,5
IAM,user_id,EMP11494,5
IAM,user_id,EMP11248,5
IAM,user_id,EMP11357,5
IAM,user_id,EMP10222,5
IAM,user_id,EMP11170,5
IAM,user_id,emp11725,5
IAM,user_id,EMP11546,5
IAM,user_id,EMP10958,5
IAM,user_id,EMP11758,5
IAM,user_id,EMP12016,5
IAM,user_id,emp11117,5
IAM,user_id,EMP12180,5
IAM,user_id,EMP10511,5
IAM,user_id,12144,5
IAM,user_id,EMP10783,5
IAM,user_id,EMP12812,5
IAM,user_id,EMP12968,5
IAM,user_id,EMP10474,5
IAM,user_id,EMP10742,5
IAM,user_id,EMP10026,5
IAM,user_id,EMP10011,5
IAM,user_id,EMP12495,5
IAM,user_id,EMP12810,5
IAM,user_id,EMP10383,5
IAM,user_id,EMP11335,5
IAM,user_id,EMP12841,5
IAM,user_id,EMP10653,5
IAM,user_id,EMP11138,5
IAM,user_id,EMP11219,5
IAM,user_id,EMP10680,5
IAM,user_id,EMP10352,5
