alert_id,detected_timestamp,resolved_timestamp,user_id,hostname,severity,status,detected_parsed,resolved_parsed,duration_hours
EPA00007175,12/08/2026 04:42,08-12-2026 04:42:28 AM,EMP11987,WS_11987,H,OPEN,2026-12-08 04:42:00,2026-08-12 04:42:28,-2831.992222222222
EPA00000081,2026-09-05 16:36:45,06/09/2026 20:36,EMP10683,WS-10683,Critical,Resolved,2026-09-05 16:36:45,2026-06-09 20:36:00,-2108.0125
EPA00003104,11/08/2026 06:51,2026-08-11 20:51:53,emp_10461,WS-10461,P3,RESOLVED,2026-11-08 06:51:00,2026-08-11 20:51:53,-2121.985277777778
EPA00005113,08-02-2026 12:42:07 AM,03/08/2026 00:42,EMP-10946,WS-10946,CRIT,New,2026-08-02 00:42:07,2026-03-08 00:42:00,-3528.0019444444442
EPA00000246,2026-09-01T15:29:32,09-01-2026 04:29:32 AM,EMP12995,LPT-12995,P4,O,2026-09-01 15:29:32,2026-09-01 04:29:32,-11.0
EPA00004405,2026-08-27 06:58:20,08-26-2026 10:58:20 AM,EMP10653,LPT-10653,Major,R,2026-08-27 06:58:20,2026-08-26 10:58:20,-20.0
EPA00005667,2026-08-19T05:26:39,17/08/2026 15:26,emp10672,,P1,Resolved,2026-08-19 05:26:39,2026-08-17 15:26:00,-38.01083333333333
EPA00007133,2026-08-18T12:52:19,2026-08-17 15:52:19,EMP 11994,ws-11994,L,New,2026-08-18 12:52:19,2026-08-17 15:52:19,-21.0
EPA00004831,03-Aug-2026 09:13:10,04/08/2026,emp12326,LPT-12326,M,Unassigned,2026-08-03 09:13:10,2026-04-08 00:00:00,-2817.2194444444444
EPA00001062,2026/08/03,07/08/2026 09:19,EMP10743,VDR_10743,HIGH,Closed,2026-08-03 00:00:00,2026-07-08 09:19:00,-614.6833333333333
EPA00001408,22-Aug-2026 00:51:46,2026/08/22,EMP12564,VDR-12564,P4,OPEN,2026-08-22 00:51:46,2026-08-22 00:00:00,-0.8627777777777778
EPA00000107,11/08/2026 03:12,13-Aug-2026 04:12:38,EMP10109,VDR-10109,CRIT,Open,2026-11-08 03:12:00,2026-08-13 04:12:38,-2086.9894444444444
EPA00000168,03-Sep-2026 06:16:20,05/09/2026 17:16,EMP10946,WS-10946,P3,Unassigned,2026-09-03 06:16:20,2026-05-09 17:16:00,-2797.0055555555555
EPA00006320,2026-09-03 04:27:16,04/09/2026 14:27,EMP 10894,LPT-10894,H,Resolved,2026-09-03 04:27:16,2026-04-09 14:27:00,-3518.0044444444443
EPA00007475,2026-09-05T19:17:52,08/09/2026 00:17,11491,LPT-11491,MEDIUM,N,2026-09-05 19:17:52,2026-08-09 00:17:00,-667.0144444444444
EPA00000074,2026-08-15T07:59:24,2026/08/15,EMP 10094,LPT_10094,Medium,NEW,2026-08-15 07:59:24,2026-08-15 00:00:00,-7.99
EPA00002132,09/08/2026 20:50,2026-08-10 16:50:25,EMP12218,VDR-12218,H,IN_PROGRESS,2026-09-08 20:50:00,2026-08-10 16:50:25,-699.9930555555555
EPA00005375,2026-09-04 04:49:01,06/09/2026 02:49,emp11683,LPT-11683,Minor,CLOSED,2026-09-04 04:49:01,2026-06-09 02:49:00,-2090.0002777777777
EPA00006527,12/08/2026,2026-08-14 19:39:43,EMP11583,VDR-11583,P3,Resolved,2026-12-08 00:00:00,2026-08-14 19:39:43,-2764.3380555555555
EPA00003784,2026-09-04 06:57:25,05/09/2026 23:57,emp_11201,,P4,Resolved,2026-09-04 06:57:25,2026-05-09 23:57:00,-2815.0069444444443
EPA00004985,10/08/2026 04:23,08-13-2026 05:23:49 AM,emp12533,WS-12533,Minor,NEW,2026-10-08 04:23:00,2026-08-13 05:23:49,-1342.986388888889
EPA00004620,02-Aug-2026 10:02:46,07/08/2026 03:02,EMP12222,VDR-12222,P3,Active,2026-08-02 10:02:46,2026-07-08 03:02:00,-607.0127777777777
EPA00006717,2026-09-06 21:53:56,08/09/2026 14:53,EMP11075,WS-11075,P3,Active,2026-09-06 21:53:56,2026-08-09 14:53:00,-679.0155555555556
EPA00004281,2026/09/01,06/09/2026 04:35,EMP 12619,WS-12619,Medium,Open,2026-09-01 00:00:00,2026-06-09 04:35:00,-2011.4166666666667
EPA00003396,2026-09-01 15:10:44,2026-08-30 18:10:44,EMP10534,WS-10534.corp.local,MEDIUM,NEW,2026-09-01 15:10:44,2026-08-30 18:10:44,-45.0
EPA00001993,10/08/2026 21:40,15/08/2026,EMP 10767,,LOW,Not Malicious,2026-10-08 21:40:00,2026-08-15 00:00:00,-1317.6666666666667
EPA00007433,09/08/2026,2026-08-13 21:43:59,EMP11877,VDR-11877,Medium,OPEN,2026-09-08 00:00:00,2026-08-13 21:43:59,-602.2669444444444
EPA00005122,08-03-2026 07:01:59 PM,05/08/2026 14:01,EMP10842,LPT-10842,M,NEW,2026-08-03 19:01:59,2026-05-08 14:01:00,-2093.0163888888887
EPA00001692,2026-09-01T08:54:44,30/08/2026,EMP-10403,LPT-10403,M,WIP,2026-09-01 08:54:44,2026-08-30 00:00:00,-56.91222222222222
EPA00004688,20/08/2026 17:15,08-20-2026 02:15:54 PM,EMP 11278,LPT-11278,Low,Open,2026-08-20 17:15:00,2026-08-20 14:15:54,-2.985
EPA00000757,2026-08-03T23:42:22,2026-08-03 01:42:22,EMP10431,LPT-10431,Medium,Resolved,2026-08-03 23:42:22,2026-08-03 01:42:22,-22.0
EPA00003909,01-Sep-2026 17:27:28,05/09/2026,EMP10749,WS-10749,L,Investigating,2026-09-01 17:27:28,2026-05-09 00:00:00,-2777.4577777777777
EPA00003514,2026-08-15 03:46:23,2026/08/15,12875,VDR-12875,L,Active,2026-08-15 03:46:23,2026-08-15 00:00:00,-3.7730555555555556
EPA00002448,10/08/2026 18:01,2026-08-12 09:01:55,emp_12887,WS-12887,Minor,O,2026-10-08 18:01:00,2026-08-12 09:01:55,-1376.9847222222222
EPA00004265,12/08/2026 20:45,17/08/2026 14:45,EMP10706,WS-10706,P2,CLOSED,2026-12-08 20:45:00,2026-08-17 14:45:00,-2718.0
EPA00007122,2026-08-08T14:03:59,06/08/2026 16:03,EMP 11840,LPT-11840,P1,New,2026-08-08 14:03:59,2026-06-08 16:03:00,-1462.016388888889
EPA00007725,2026-08-30T08:54:16,02/09/2026 02:54,11709,VDR-11709,MEDIUM,IN_PROGRESS,2026-08-30 08:54:16,2026-02-09 02:54:00,-4854.004444444445
EPA00000173,12/08/2026 16:54,2026-08-14 00:54:02,EMP 10236,WS-10236,LOW,Resolved,2026-12-08 16:54:00,2026-08-14 00:54:02,-2799.9994444444446
EPA00003406,05-Aug-2026 11:27:12,06/08/2026,EMP11536,ws-11536,Moderate,N,2026-08-05 11:27:12,2026-06-08 00:00:00,-1403.4533333333334
EPA00000473,2026-09-04T00:04:58,05/09/2026 08:04,EMP10872,LPT-10872,P3,New,2026-09-04 00:04:58,2026-05-09 08:04:00,-2824.016111111111
EPA00001130,12/08/2026 12:10,13/08/2026,EMP10708,LPT-10708,H,N,2026-12-08 12:10:00,2026-08-13 00:00:00,-2820.1666666666665
EPA00002955,08-18-2026 05:12:31 AM,18/08/2026,12163,VDR-12163,Low,Not Malicious,2026-08-18 05:12:31,2026-08-18 00:00:00,-5.208611111111111
EPA00001322,08-08-2026 07:18:56 AM,06/08/2026,EMP-12961,LPT-12961,P2,IN_PROGRESS,2026-08-08 07:18:56,2026-06-08 00:00:00,-1471.3155555555556
EPA00001618,11/08/2026,15/08/2026 02:23,EMP12187,VDR-12187,LOW,New,2026-11-08 00:00:00,2026-08-15 02:23:00,-2037.6166666666666
EPA00007296,2026/08/24,23/08/2026 13:22,10504,vdr-10504,L,False Positive,2026-08-24 00:00:00,2026-08-23 13:22:00,-10.633333333333333
EPA00005647,09-04-2026 12:03:30 AM,05/09/2026,EMP10265,WS-10265,L,WIP,2026-09-04 00:03:30,2026-05-09 00:00:00,-2832.0583333333334
EPA00006455,2026-08-24T23:51:29,2026-08-24 06:51:29,EMP12533,WS-12533,L,In Progress,2026-08-24 23:51:29,2026-08-24 06:51:29,-17.0
EPA00003591,11/08/2026 04:52,2026-08-09 10:52:19,EMP 12414,lpt-12414,LOW,FALSE_POSITIVE,2026-11-08 04:52:00,2026-08-09 10:52:19,-2177.994722222222
EPA00001702,2026-08-12 17:09:00,10-Aug-2026 21:09:00,emp12696,VDR-12696,P1,Unassigned,2026-08-12 17:09:00,2026-08-10 21:09:00,-44.0
EPA00006813,09/08/2026 18:41,2026-08-13 14:41:41,EMP11731,VDR-11731.corp.local,CRITICAL,In Progress,2026-09-08 18:41:00,2026-08-13 14:41:41,-627.9886111111111
EPA00006344,08-02-2026 10:57:09 AM,04/08/2026 00:57,EMP11911,WS-11911,P4,Active,2026-08-02 10:57:09,2026-04-08 00:57:00,-2794.0025
EPA00006135,12/08/2026 15:54,2026-08-13T00:54:29,EMP11178,LPT-11178,Minor,IN_PROGRESS,2026-12-08 15:54:00,2026-08-13 00:54:29,-2822.9919444444445
EPA00007898,2026-09-04 01:19:32,07/09/2026,EMP10157,LPT-10157,P3,Active,2026-09-04 01:19:32,2026-07-09 00:00:00,-1369.3255555555556
EPA00006886,08-Aug-2026 14:18:13,08-07-2026 10:18:13 PM,emp_11488,LPT-11488,Severe,Closed,2026-08-08 14:18:13,2026-08-07 22:18:13,-16.0
EPA00006407,2026-09-01 22:27:35,05/09/2026 12:27,EMP10739,WS-10739,MEDIUM,In Progress,2026-09-01 22:27:35,2026-05-09 12:27:00,-2770.009722222222
EPA00001080,2026/08/01,06/08/2026 04:55,EMP 11020,ws-11020,High,Active,2026-08-01 00:00:00,2026-06-08 04:55:00,-1291.0833333333333
EPA00001040,2026-09-03 09:54:15,06/09/2026,EMP-11211,WS-11211,H,NEW,2026-09-03 09:54:15,2026-06-09 00:00:00,-2073.9041666666667
EPA00001091,2026-09-01T11:02:18,03/09/2026 07:02,EMP11017,LPT-11017,Moderate,WIP,2026-09-01 11:02:18,2026-03-09 07:02:00,-4228.005
EPA00001318,09/08/2026,2026-08-10 11:49:04,EMP12269,VDR-12269,Minor,OPEN,2026-09-08 00:00:00,2026-08-10 11:49:04,-684.1822222222222
EPA00005863,2026/09/05,08/09/2026,emp_12293,LPT-12293,LOW,FP,2026-09-05 00:00:00,2026-08-09 00:00:00,-648.0
EPA00007359,01-Sep-2026 02:01:43,05/09/2026,EMP10210,lpt-10210,M,New,2026-09-01 02:01:43,2026-05-09 00:00:00,-2762.0286111111113
EPA00006150,2026-08-20T07:10:38,2026/08/18,EMP-11337,LPT-11337,Moderate,Closed,2026-08-20 07:10:38,2026-08-18 00:00:00,-55.17722222222222
EPA00005975,09-03-2026 01:49:18 AM,04/09/2026 21:49,EMP11363,VDR_11363,MEDIUM,IN_PROGRESS,2026-09-03 01:49:18,2026-04-09 21:49:00,-3508.005
EPA00001075,2026-08-01 11:31:44,03/08/2026 03:31,EMP12340,WS-12340,H,N,2026-08-01 11:31:44,2026-03-08 03:31:00,-3512.012222222222
EPA00003108,30/08/2026,03/09/2026,EMP11316,VDR-11316,Major,O,2026-08-30 00:00:00,2026-03-09 00:00:00,-4176.0
EPA00006862,2026-08-06T06:23:30,07/08/2026 16:23,EMP11659,LPT-11659,Minor,In Progress,2026-08-06 06:23:30,2026-07-08 16:23:00,-686.0083333333333
EPA00000255,10/08/2026 12:40,2026-08-12T21:40:29,EMP11211,ws-11211,M,N,2026-10-08 12:40:00,2026-08-12 21:40:29,-1358.9919444444445
EPA00006204,2026-08-12 20:36:25,2026-08-12T13:36:25,EMP-12193,VDR-12193.corp.local,P1,NEW,2026-08-12 20:36:25,2026-08-12 13:36:25,-7.0
EPA00007086,13/08/2026 04:03,2026/08/13,EMP11372,WS-11372,L,IN_PROGRESS,2026-08-13 04:03:00,2026-08-13 00:00:00,-4.05
EPA00004846,08-01-2026 06:36:26 AM,03/08/2026,EMP11152,VDR-11152,H,OPEN,2026-08-01 06:36:26,2026-03-08 00:00:00,-3510.6072222222224
EPA00001544,2026-09-01 03:45:06,03/09/2026,EMP11025,LPT-11025,P3,New,2026-09-01 03:45:06,2026-03-09 00:00:00,-4227.751666666667
EPA00000189,2026-09-04 09:27:38,2026-09-03T10:27:38,EMP-11084,WS-11084,P4,NEW,2026-09-04 09:27:38,2026-09-03 10:27:38,-23.0
EPA00004185,12/08/2026,16-Aug-2026 04:50:06,EMP-11078,WS-11078,Low,Resolved,2026-12-08 00:00:00,2026-08-16 04:50:06,-2731.165
EPA00007670,2026-09-03T09:37:35,08/09/2026 08:37,EMP 11714,LPT-11714,Minor,New,2026-09-03 09:37:35,2026-08-09 08:37:00,-601.0097222222222
EPA00000422,2026-08-22 04:49:18,2026-08-21 20:49:18,12202,lpt-12202,CRITICAL,WIP,2026-08-22 04:49:18,2026-08-21 20:49:18,-8.0
EPA00006527,12/08/2026,2026-08-14 19:39:43,EMP11583,VDR-11583,P3,Resolved,2026-12-08 00:00:00,2026-08-14 19:39:43,-2764.3380555555555
EPA00005709,2026-08-15 08:24:01,2026/08/15,emp_10128,WS-10128,P2,FALSE_POSITIVE,2026-08-15 08:24:01,2026-08-15 00:00:00,-8.400277777777777
EPA00000427,08-04-2026 07:42:55 AM,03-Aug-2026 19:42:55,EMP10339,VDR-10339,HIGH,Active,2026-08-04 07:42:55,2026-08-03 19:42:55,-12.0
EPA00000211,12/08/2026,14-Aug-2026 22:52:03,EMP 12893,VDR-12893,P3,N,2026-12-08 00:00:00,2026-08-14 22:52:03,-2761.1325
EPA00001973,2026/08/06,07/08/2026 18:18,EMP10226,VDR-10226,P4,False Positive,2026-08-06 00:00:00,2026-07-08 18:18:00,-677.7
EPA00005556,01-Sep-2026 22:16:03,05/09/2026 18:16,EMP 12225,VDR-12225.corp.local,H,New,2026-09-01 22:16:03,2026-05-09 18:16:00,-2764.0008333333335
EPA00002856,2026-08-29 22:48:55,01/09/2026,emp10726,WS-10726,CRIT,FALSE_POSITIVE,2026-08-29 22:48:55,2026-01-09 00:00:00,-5590.815277777778
EPA00000706,11/08/2026 00:04,15-Aug-2026 07:04:50,10899,vdr-10899,P2,Resolved,2026-11-08 00:04:00,2026-08-15 07:04:50,-2032.986111111111
EPA00001873,09-06-2026 07:06:14 AM,07/09/2026 00:06,EMP11543,WS-11543,P3,Unassigned,2026-09-06 07:06:14,2026-07-09 00:06:00,-1423.003888888889
EPA00000326,10/08/2026,2026-08-14T04:00:53,EMP11372,WS-11372,P1,NEW,2026-10-08 00:00:00,2026-08-14 04:00:53,-1315.9852777777778
EPA00006779,2026-08-04 15:07:49,06/08/2026 20:07,EMP11523,ws-11523,Severe,Unassigned,2026-08-04 15:07:49,2026-06-08 20:07:00,-1363.013611111111
EPA00002267,2026-08-31 20:28:08,03/09/2026 01:28,EMP11677,WS-11677,P2,R,2026-08-31 20:28:08,2026-03-09 01:28:00,-4219.002222222222
EPA00003802,09-05-2026 11:11:11 AM,06/09/2026 18:11,EMP10350,VDR-10350,H,Unassigned,2026-09-05 11:11:11,2026-06-09 18:11:00,-2105.0030555555554
EPA00003612,08-06-2026 01:10:42 AM,06/08/2026,10693,VDR_10693,Major,Closed,2026-08-06 01:10:42,2026-06-08 00:00:00,-1417.1783333333333
EPA00007604,08-02-2026 06:42:36 AM,01/08/2026 06:42,EMP11876,WS-11876,L,Open,2026-08-02 06:42:36,2026-01-08 06:42:00,-4944.01
EPA00000421,23/08/2026 05:04,2026-08-21T08:04:54,EMP12297,LPT-12297,LOW,Open,2026-08-23 05:04:00,2026-08-21 08:04:54,-44.985
EPA00000656,11/08/2026,14/08/2026 04:52,EMP11679,LPT-11679.corp.local,L,O,2026-11-08 00:00:00,2026-08-14 04:52:00,-2059.133333333333
