hostname,firewall_event_count,firewall_deny_count,threat_flag_count,unique_source_ip_count,unique_destination_ip_count,bytes_sent,bytes_received,session_count,endpoint_alert_count,critical_endpoint_alert_count,is_managed,firewall_deny_ratio,evidence_count,feature_confidence,observation_count,valid_timestamp_count,distinct_active_days,distinct_active_hours,min_ts,max_ts,unknown_timestamp_count,historical_span_days,timestamp_quality_score,eligibility_status,baseline_confidence,baseline_method,baseline_window,population_deny_ratio_median,population_deny_ratio_mad,population_endpoint_alert_median,population_endpoint_alert_mad
ws-11393,2.0,1.0,0.0,1.0,2.0,61210303.22,39468417.64,2.0,0.0,0.0,False,0.5,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-10117.corp.local,2.0,0.0,1.0,2.0,1.0,63548061.22,43898459.64,1.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-10190,4.0,0.0,1.0,2.0,1.0,65306045.14,109476491.28,4.0,5.0,0.0,False,0.0,9.0,PROBABLE,17,12,10,7,2026-07-08 00:00:00,2026-09-07 10:50:35,5,61.45,0.7059,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-12169,7.0,0.0,0.0,3.0,3.0,128143050.44,120811108.68,7.0,4.0,0.0,True,0.0,11.0,EXACT,16,8,8,6,2026-08-08 20:30:05,2026-08-29 02:58:37,8,20.27,0.5,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
lpt-10107,1.0,1.0,0.0,1.0,1.0,17482311.68,24526192.64,1.0,0.0,0.0,False,1.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
lpt-10414,1.0,0.0,0.0,0.0,1.0,45070294.0,24526192.64,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-11281,4.0,0.0,0.0,2.0,2.0,129904501.24,111512729.36,4.0,2.0,2.0,True,0.0,6.0,EXACT,10,5,5,4,2026-08-05 04:00:06,2026-09-09 01:40:01,5,34.9,0.5,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-11696,6.0,1.0,1.0,4.0,3.0,149106930.14,165509911.92000002,5.0,2.0,0.0,True,0.1666666666666666,8.0,EXACT,14,5,5,5,2026-08-02 22:06:46,2026-08-25 11:21:33,9,22.55,0.3571,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-10970,4.0,1.0,1.0,3.0,2.0,74040744.0,151450593.96,3.0,3.0,0.0,True,0.25,7.0,EXACT,10,5,5,4,2026-08-01 19:56:44,2026-09-06 09:58:39,5,35.58,0.5,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT_12813,2.0,0.0,0.0,1.0,1.0,30451891.0,53532584.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-12775.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,EXACT,0,0,0,0,,,0,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-12225,6.0,3.0,0.0,3.0,3.0,181945283.86,131764875.84,6.0,7.0,0.0,True,0.5,13.0,EXACT,18,10,7,8,2026-08-03 10:51:10,2026-09-06 21:02:00,8,34.42,0.5556,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT_10763,2.0,0.0,0.0,2.0,0.0,28700682.22,45216719.12,1.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-12643.corp.local,1.0,0.0,0.0,1.0,0.0,9385954.0,30769109.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-12699,3.0,0.0,0.0,0.0,2.0,60499464.22,86793737.28,2.0,5.0,0.0,True,0.0,8.0,EXACT,14,8,8,6,2026-03-08 21:33:00,2026-08-23 22:15:49,6,168.03,0.5714,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-11928.corp.local,2.0,1.0,0.0,0.0,0.0,34578123.22,48504577.0,2.0,0.0,0.0,False,0.5,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-11437,10.0,1.0,2.0,5.0,3.0,239550692.64,206655290.04,8.0,2.0,1.0,True,0.1,12.0,EXACT,16,6,6,5,2026-03-09 00:00:00,2026-09-03 07:06:47,10,178.3,0.375,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
vdr-12178,2.0,0.0,0.0,1.0,0.0,59560366.22,19436880.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-10960.corp.local,1.0,0.0,0.0,1.0,0.0,47323050.0,20508999.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
lpt-10364,1.0,0.0,0.0,1.0,1.0,23969656.0,18011804.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-11627,8.0,1.0,0.0,3.0,3.0,209212926.46,202273304.68,7.0,3.0,0.0,True,0.125,11.0,EXACT,15,4,4,4,2026-08-08 06:10:03,2026-09-01 09:25:41,11,24.14,0.2667,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
vdr-10924,1.0,0.0,0.0,1.0,0.0,24819643.22,22674816.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-11487,5.0,1.0,1.0,3.0,3.0,122656092.22,138426606.72,4.0,4.0,0.0,True,0.2,9.0,EXACT,13,6,5,6,2026-08-02 05:48:46,2026-09-07 14:36:46,7,36.37,0.4615,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-10299,2.0,0.0,0.0,1.0,1.0,53464545.22,86454904.44,2.0,2.0,0.0,True,0.0,4.0,EXACT,11,9,8,7,2026-08-01 00:00:00,2026-09-03 09:49:01,2,33.41,0.8182,SUFFICIENT_HISTORY,HIGH,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-10127,2.0,1.0,1.0,0.0,1.0,33356216.32,50095943.64,2.0,2.0,0.0,True,0.5,4.0,EXACT,7,4,4,3,2026-08-12 15:17:30,2026-09-08 07:47:57,3,26.69,0.5714,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-10418,4.0,2.0,1.0,2.0,0.0,89027745.0,118642679.64,3.0,3.0,0.0,True,0.5,7.0,EXACT,13,7,6,6,2026-08-03 19:37:12,2026-09-07 15:48:29,6,34.84,0.5385,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
lpt-12014,1.0,0.0,0.0,0.0,1.0,24819643.22,23152558.08,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-10010,7.0,1.0,1.0,4.0,3.0,150364410.28,196698340.28,6.0,0.0,0.0,True,0.1428571428571428,7.0,EXACT,13,5,4,4,2026-08-09 06:53:47,2026-08-20 06:53:27,8,11.0,0.3846,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-10375,5.0,2.0,1.0,4.0,1.0,134434151.66,123234423.12,5.0,1.0,0.0,True,0.4,6.0,EXACT,10,5,4,4,2026-08-17 00:35:23,2026-08-28 00:34:36,5,11.0,0.5,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR_12936,2.0,0.0,0.0,2.0,1.0,49639286.44,89357700.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT_10496,3.0,1.0,0.0,3.0,0.0,74458929.66,109179061.0,3.0,0.0,0.0,False,0.3333333333333333,3.0,PROBABLE,3,0,0,0,,,3,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-10387.corp.local,2.0,2.0,0.0,1.0,2.0,55657428.04,70911006.0,1.0,0.0,0.0,False,1.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-10940,5.0,0.0,1.0,1.0,2.0,148159445.54,89919933.68,5.0,2.0,0.0,True,0.0,7.0,EXACT,11,6,6,5,2026-04-08 17:46:00,2026-09-09 07:13:00,5,153.56,0.5455,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-10744,7.0,2.0,1.0,2.0,3.0,182710803.44,175492817.12,6.0,4.0,2.0,False,0.2857142857142857,11.0,PROBABLE,15,7,6,6,2026-08-01 01:21:34,2026-09-04 17:15:00,8,34.66,0.4667,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
ws-11172,1.0,0.0,0.0,1.0,1.0,24819643.22,4071551.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR_11068,1.0,0.0,0.0,0.0,0.0,35481585.0,2924195.84,0.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
lpt-11903,1.0,0.0,0.0,1.0,0.0,24819643.22,35185102.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
lpt-12349,1.0,0.0,0.0,1.0,0.0,46651146.24,24702110.0,0.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
ws-10128,1.0,1.0,0.0,1.0,0.0,18633195.52,17542676.48,0.0,0.0,0.0,False,1.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-11185.corp.local,3.0,2.0,0.0,1.0,3.0,89504480.12,104948914.84,3.0,0.0,0.0,False,0.6666666666666666,3.0,PROBABLE,3,0,0,0,,,3,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR_12958,2.0,0.0,1.0,1.0,2.0,59737289.0,69853716.64,2.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT_10905,1.0,0.0,0.0,0.0,0.0,24819643.22,31720533.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-10168,7.0,1.0,1.0,3.0,2.0,205550122.82,161786512.92000002,5.0,3.0,0.0,True,0.1428571428571428,10.0,EXACT,14,7,5,4,2026-08-06 07:47:06,2026-09-07 12:31:32,7,32.2,0.5,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-10874,5.0,1.0,1.0,4.0,1.0,103703015.22,130391837.12,3.0,3.0,0.0,True,0.2,8.0,EXACT,12,7,7,6,2026-06-09 09:34:00,2026-08-27 13:00:00,5,79.14,0.5833,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-10621,6.0,2.0,0.0,4.0,2.0,169867620.44,145576470.64,6.0,1.0,0.0,True,0.3333333333333333,7.0,EXACT,11,4,4,3,2026-08-09 13:22:46,2026-09-04 13:22:33,7,26.0,0.3636,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-11953,9.0,1.0,1.0,3.0,7.0,204852102.32,262538297.68,8.0,3.0,0.0,True,0.1111111111111111,12.0,EXACT,16,6,6,4,2026-08-06 21:41:22,2026-09-08 19:20:35,10,32.9,0.375,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-12475.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,EXACT,0,0,0,0,,,0,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR_12663,2.0,1.0,0.0,1.0,0.0,44952363.86,32626126.0,1.0,0.0,0.0,False,0.5,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
ws-11952,1.0,0.0,0.0,0.0,1.0,37145389.0,49907947.52,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-11365,6.0,3.0,0.0,5.0,2.0,148289077.66,192059507.4,5.0,3.0,0.0,True,0.5,9.0,EXACT,13,6,4,4,2026-08-20 22:32:58,2026-09-06 00:00:00,7,16.06,0.4615,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-12549,12.0,4.0,0.0,5.0,7.0,288350363.96,258756380.44,9.0,1.0,0.0,False,0.3333333333333333,13.0,PROBABLE,18,6,6,4,2026-08-02 08:00:10,2026-09-07 00:00:00,12,35.67,0.3333,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-12910.corp.local,1.0,0.0,0.0,1.0,0.0,24819643.22,5313436.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-10969,2.0,0.0,0.0,1.0,1.0,42171878.22,68539050.64,2.0,2.0,0.0,False,0.0,4.0,PROBABLE,10,7,7,6,2026-08-03 08:59:57,2026-09-09 19:00:08,3,37.42,0.7,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-12554.corp.local,1.0,1.0,0.0,1.0,0.0,34375012.0,13063328.0,1.0,0.0,0.0,False,1.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-11887.corp.local,1.0,0.0,0.0,1.0,0.0,24819643.22,24526192.64,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-12409.corp.local,1.0,0.0,0.0,0.0,0.0,39932846.0,36579518.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR_10667,2.0,1.0,1.0,2.0,1.0,37132771.96,36236437.64,2.0,0.0,0.0,False,0.5,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR_11575,1.0,1.0,0.0,0.0,0.0,24819643.22,24814478.0,1.0,0.0,0.0,False,1.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-10279.corp.local,4.0,3.0,0.0,2.0,2.0,88590658.25999999,85482445.64,4.0,0.0,0.0,False,0.75,4.0,PROBABLE,4,0,0,0,,,4,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-10931,8.0,1.0,1.0,1.0,3.0,194634007.04,207781488.92,8.0,0.0,0.0,True,0.125,8.0,EXACT,13,5,5,4,2026-01-09 00:00:00,2026-08-25 01:15:48,8,228.05,0.3846,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-11166.corp.local,1.0,0.0,0.0,1.0,1.0,23926723.0,38802390.0,0.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-10793,6.0,2.0,1.0,3.0,4.0,83668026.24,137481425.92000002,6.0,2.0,0.0,True,0.3333333333333333,8.0,EXACT,13,7,7,6,2026-08-15 10:22:12,2026-09-02 01:13:54,6,17.62,0.5385,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
vdr-12308,3.0,1.0,1.0,2.0,1.0,68144112.8,79280893.0,3.0,0.0,0.0,False,0.3333333333333333,3.0,PROBABLE,3,0,0,0,,,3,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-10396,8.0,3.0,0.0,3.0,5.0,250119414.04,225046800.28,8.0,1.0,0.0,True,0.375,9.0,EXACT,14,6,6,4,2026-08-08 00:00:00,2026-09-09 00:00:00,8,32.0,0.4286,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR_12618,1.0,0.0,0.0,1.0,1.0,24819643.22,32645026.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-12978,6.0,2.0,1.0,3.0,5.0,116348605.12,119010920.56,4.0,1.0,0.0,True,0.3333333333333333,7.0,EXACT,13,7,6,7,2026-08-07 13:23:28,2026-09-07 11:24:48,6,30.92,0.5385,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT_12852,1.0,0.0,0.0,1.0,0.0,21109197.0,1356839.0,0.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT_11577,1.0,0.0,0.0,1.0,1.0,8493827.0,3583014.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-10129.corp.local,1.0,0.0,0.0,1.0,1.0,33564917.76,49986383.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-11062,11.0,3.0,2.0,5.0,8.0,261372266.56,244784019.04,10.0,4.0,1.0,True,0.2727272727272727,15.0,EXACT,19,8,7,8,2026-03-09 23:00:00,2026-09-05 12:03:00,11,179.54,0.4211,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-11705.corp.local,3.0,2.0,0.0,2.0,3.0,76855076.52,8451596.120000001,3.0,0.0,0.0,False,0.6666666666666666,3.0,PROBABLE,3,0,0,0,,,3,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-12337.corp.local,2.0,0.0,0.0,1.0,1.0,55220595.54,25406651.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-12657,4.0,1.0,0.0,3.0,1.0,92501511.44,119301225.64,4.0,1.0,0.0,True,0.25,5.0,EXACT,13,8,6,6,2026-08-16 15:44:00,2026-09-08 08:22:16,5,22.69,0.6154,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-12337,10.0,2.0,2.0,5.0,6.0,348168162.22,298525592.48,7.0,4.0,0.0,True,0.2,14.0,EXACT,22,10,8,9,2026-02-09 00:00:00,2026-09-03 08:33:18,12,206.36,0.4545,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
