edge_id,source_id,target_id,relationship_type,relationship_confidence,source_dataset,source_record_id,evidence_type
EDG-10047,EMP10900,DEPT-PROCUREMENT,BELONGS_TO,EXACT,canonical_users,EMP10900,ORGANIZATIONAL_ASSIGNMENT
EDG-10048,EMP12130,DEPT-CUSTOMER_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP12130,ORGANIZATIONAL_ASSIGNMENT
EDG-10049,EMP11681,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP11681,ORGANIZATIONAL_ASSIGNMENT
EDG-10050,EMP12334,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP12334,ORGANIZATIONAL_ASSIGNMENT
EDG-10051,EMP10889,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP10889,ORGANIZATIONAL_ASSIGNMENT
EDG-10052,EMP11268,DEPT-INNOVATION,BELONGS_TO,EXACT,canonical_users,EMP11268,ORGANIZATIONAL_ASSIGNMENT
EDG-10053,EMP11926,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP11926,ORGANIZATIONAL_ASSIGNMENT
EDG-10054,EMP11620,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP11620,ORGANIZATIONAL_ASSIGNMENT
EDG-10055,EMP10700,DEPT-CALL_CENTER,BELONGS_TO,EXACT,canonical_users,EMP10700,ORGANIZATIONAL_ASSIGNMENT
EDG-10056,EMP11061,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP11061,ORGANIZATIONAL_ASSIGNMENT
EDG-10057,EMP10485,DEPT-CUSTOMER_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP10485,ORGANIZATIONAL_ASSIGNMENT
EDG-10058,EMP11356,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP11356,ORGANIZATIONAL_ASSIGNMENT
EDG-10059,EMP12310,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP12310,ORGANIZATIONAL_ASSIGNMENT
EDG-10060,EMP12181,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP12181,ORGANIZATIONAL_ASSIGNMENT
EDG-10061,EMP10761,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP10761,ORGANIZATIONAL_ASSIGNMENT
EDG-10062,EMP10746,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP10746,ORGANIZATIONAL_ASSIGNMENT
EDG-10063,EMP10321,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP10321,ORGANIZATIONAL_ASSIGNMENT
EDG-10064,EMP12707,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP12707,ORGANIZATIONAL_ASSIGNMENT
EDG-10065,EMP10188,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP10188,ORGANIZATIONAL_ASSIGNMENT
EDG-10066,EMP10772,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP10772,ORGANIZATIONAL_ASSIGNMENT
EDG-10067,EMP12496,DEPT-SUPPLY_CHAIN,BELONGS_TO,EXACT,canonical_users,EMP12496,ORGANIZATIONAL_ASSIGNMENT
EDG-10068,EMP11451,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP11451,ORGANIZATIONAL_ASSIGNMENT
EDG-10069,EMP12354,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP12354,ORGANIZATIONAL_ASSIGNMENT
EDG-10070,EMP10410,DEPT-SUPPLY_CHAIN,BELONGS_TO,EXACT,canonical_users,EMP10410,ORGANIZATIONAL_ASSIGNMENT
EDG-10071,EMP11727,DEPT-IT,BELONGS_TO,EXACT,canonical_users,EMP11727,ORGANIZATIONAL_ASSIGNMENT
EDG-10072,EMP12852,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP12852,ORGANIZATIONAL_ASSIGNMENT
EDG-10073,EMP12216,DEPT-CUSTOMER_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP12216,ORGANIZATIONAL_ASSIGNMENT
EDG-10074,EMP11398,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP11398,ORGANIZATIONAL_ASSIGNMENT
EDG-10075,EMP11361,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP11361,ORGANIZATIONAL_ASSIGNMENT
EDG-10076,EMP11657,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP11657,ORGANIZATIONAL_ASSIGNMENT
EDG-10077,EMP10051,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP10051,ORGANIZATIONAL_ASSIGNMENT
EDG-10078,EMP11624,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP11624,ORGANIZATIONAL_ASSIGNMENT
EDG-10079,EMP10063,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP10063,ORGANIZATIONAL_ASSIGNMENT
EDG-10080,EMP12789,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP12789,ORGANIZATIONAL_ASSIGNMENT
EDG-10081,EMP12553,DEPT-IT,BELONGS_TO,EXACT,canonical_users,EMP12553,ORGANIZATIONAL_ASSIGNMENT
EDG-10082,EMP12530,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP12530,ORGANIZATIONAL_ASSIGNMENT
EDG-10083,EMP11090,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP11090,ORGANIZATIONAL_ASSIGNMENT
EDG-10084,EMP11465,DEPT-CUSTOMER_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP11465,ORGANIZATIONAL_ASSIGNMENT
EDG-10085,EMP11896,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP11896,ORGANIZATIONAL_ASSIGNMENT
EDG-10086,EMP10052,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP10052,ORGANIZATIONAL_ASSIGNMENT
EDG-10087,EMP12807,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP12807,ORGANIZATIONAL_ASSIGNMENT
EDG-10088,EMP12763,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP12763,ORGANIZATIONAL_ASSIGNMENT
EDG-10089,EMP12551,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP12551,ORGANIZATIONAL_ASSIGNMENT
EDG-10090,EMP12864,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP12864,ORGANIZATIONAL_ASSIGNMENT
EDG-10091,EMP10544,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP10544,ORGANIZATIONAL_ASSIGNMENT
EDG-10092,EMP12948,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP12948,ORGANIZATIONAL_ASSIGNMENT
EDG-10093,EMP10450,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP10450,ORGANIZATIONAL_ASSIGNMENT
EDG-10094,EMP12515,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP12515,ORGANIZATIONAL_ASSIGNMENT
EDG-10095,EMP10044,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP10044,ORGANIZATIONAL_ASSIGNMENT
EDG-10096,EMP11001,DEPT-PROCUREMENT,BELONGS_TO,EXACT,canonical_users,EMP11001,ORGANIZATIONAL_ASSIGNMENT
EDG-10097,EMP11831,DEPT-SUPPLY_CHAIN,BELONGS_TO,EXACT,canonical_users,EMP11831,ORGANIZATIONAL_ASSIGNMENT
EDG-10098,EMP10829,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP10829,ORGANIZATIONAL_ASSIGNMENT
EDG-10099,EMP10598,DEPT-IT,BELONGS_TO,EXACT,canonical_users,EMP10598,ORGANIZATIONAL_ASSIGNMENT
EDG-10100,EMP10408,DEPT-PROCUREMENT,BELONGS_TO,EXACT,canonical_users,EMP10408,ORGANIZATIONAL_ASSIGNMENT
EDG-10101,EMP12917,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP12917,ORGANIZATIONAL_ASSIGNMENT
EDG-10102,EMP10256,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP10256,ORGANIZATIONAL_ASSIGNMENT
EDG-10103,EMP12028,DEPT-SUPPLY_CHAIN,BELONGS_TO,EXACT,canonical_users,EMP12028,ORGANIZATIONAL_ASSIGNMENT
EDG-10104,EMP12303,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP12303,ORGANIZATIONAL_ASSIGNMENT
EDG-10105,EMP11837,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP11837,ORGANIZATIONAL_ASSIGNMENT
EDG-10106,EMP11702,DEPT-CUSTOMER_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP11702,ORGANIZATIONAL_ASSIGNMENT
EDG-10107,EMP12490,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP12490,ORGANIZATIONAL_ASSIGNMENT
EDG-10108,EMP11662,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP11662,ORGANIZATIONAL_ASSIGNMENT
EDG-10109,EMP10144,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP10144,ORGANIZATIONAL_ASSIGNMENT
EDG-10110,EMP12090,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP12090,ORGANIZATIONAL_ASSIGNMENT
EDG-10111,EMP11292,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP11292,ORGANIZATIONAL_ASSIGNMENT
EDG-10112,EMP12155,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP12155,ORGANIZATIONAL_ASSIGNMENT
EDG-10113,EMP10416,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP10416,ORGANIZATIONAL_ASSIGNMENT
EDG-10114,EMP10929,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP10929,ORGANIZATIONAL_ASSIGNMENT
EDG-10115,EMP12022,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP12022,ORGANIZATIONAL_ASSIGNMENT
EDG-10116,EMP10170,DEPT-CUSTOMER_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP10170,ORGANIZATIONAL_ASSIGNMENT
EDG-10117,EMP11125,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP11125,ORGANIZATIONAL_ASSIGNMENT
EDG-10118,EMP10567,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP10567,ORGANIZATIONAL_ASSIGNMENT
EDG-10119,EMP11590,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP11590,ORGANIZATIONAL_ASSIGNMENT
EDG-10120,EMP12673,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP12673,ORGANIZATIONAL_ASSIGNMENT
EDG-10121,EMP10134,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP10134,ORGANIZATIONAL_ASSIGNMENT
EDG-10122,EMP11717,DEPT-IT,BELONGS_TO,EXACT,canonical_users,EMP11717,ORGANIZATIONAL_ASSIGNMENT
EDG-10123,EMP10642,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP10642,ORGANIZATIONAL_ASSIGNMENT
EDG-10124,EMP11689,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP11689,ORGANIZATIONAL_ASSIGNMENT
EDG-10125,EMP12745,DEPT-CUSTOMER_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP12745,ORGANIZATIONAL_ASSIGNMENT
EDG-10126,EMP10554,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP10554,ORGANIZATIONAL_ASSIGNMENT
EDG-10127,EMP12174,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP12174,ORGANIZATIONAL_ASSIGNMENT
EDG-10128,EMP11538,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP11538,ORGANIZATIONAL_ASSIGNMENT
EDG-10129,EMP10999,DEPT-CUSTOMER_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP10999,ORGANIZATIONAL_ASSIGNMENT
EDG-10130,EMP10291,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP10291,ORGANIZATIONAL_ASSIGNMENT
EDG-10131,EMP11338,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP11338,ORGANIZATIONAL_ASSIGNMENT
EDG-10132,EMP12247,DEPT-IT_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP12247,ORGANIZATIONAL_ASSIGNMENT
EDG-10133,EMP10781,DEPT-INNOVATION,BELONGS_TO,EXACT,canonical_users,EMP10781,ORGANIZATIONAL_ASSIGNMENT
EDG-10134,EMP10443,DEPT-IT,BELONGS_TO,EXACT,canonical_users,EMP10443,ORGANIZATIONAL_ASSIGNMENT
EDG-10135,EMP12601,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP12601,ORGANIZATIONAL_ASSIGNMENT
EDG-10136,EMP12149,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP12149,ORGANIZATIONAL_ASSIGNMENT
EDG-10137,EMP10449,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP10449,ORGANIZATIONAL_ASSIGNMENT
EDG-10138,EMP11029,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP11029,ORGANIZATIONAL_ASSIGNMENT
EDG-10139,EMP11992,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP11992,ORGANIZATIONAL_ASSIGNMENT
EDG-10140,EMP12403,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP12403,ORGANIZATIONAL_ASSIGNMENT
EDG-10141,EMP12750,DEPT-IT,BELONGS_TO,EXACT,canonical_users,EMP12750,ORGANIZATIONAL_ASSIGNMENT
EDG-10142,EMP10000,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP10000,ORGANIZATIONAL_ASSIGNMENT
EDG-10143,EMP11048,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP11048,ORGANIZATIONAL_ASSIGNMENT
EDG-10144,EMP10270,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP10270,ORGANIZATIONAL_ASSIGNMENT
EDG-10145,EMP10736,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP10736,ORGANIZATIONAL_ASSIGNMENT
EDG-10146,EMP10298,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP10298,ORGANIZATIONAL_ASSIGNMENT
EDG-10147,EMP10032,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP10032,ORGANIZATIONAL_ASSIGNMENT
EDG-10148,EMP12498,DEPT-INNOVATION,BELONGS_TO,EXACT,canonical_users,EMP12498,ORGANIZATIONAL_ASSIGNMENT
EDG-10149,EMP10014,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP10014,ORGANIZATIONAL_ASSIGNMENT
EDG-10150,EMP10093,DEPT-PROCUREMENT,BELONGS_TO,EXACT,canonical_users,EMP10093,ORGANIZATIONAL_ASSIGNMENT
EDG-10151,EMP10411,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP10411,ORGANIZATIONAL_ASSIGNMENT
EDG-10152,EMP11159,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP11159,ORGANIZATIONAL_ASSIGNMENT
EDG-10153,EMP12362,DEPT-PROCUREMENT,BELONGS_TO,EXACT,canonical_users,EMP12362,ORGANIZATIONAL_ASSIGNMENT
EDG-10154,EMP12819,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP12819,ORGANIZATIONAL_ASSIGNMENT
EDG-10155,EMP10149,DEPT-CUSTOMER_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP10149,ORGANIZATIONAL_ASSIGNMENT
EDG-10156,EMP11600,DEPT-PROCUREMENT,BELONGS_TO,EXACT,canonical_users,EMP11600,ORGANIZATIONAL_ASSIGNMENT
EDG-10157,EMP11044,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP11044,ORGANIZATIONAL_ASSIGNMENT
EDG-10158,EMP12153,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP12153,ORGANIZATIONAL_ASSIGNMENT
EDG-10159,EMP10495,DEPT-PROCUREMENT,BELONGS_TO,EXACT,canonical_users,EMP10495,ORGANIZATIONAL_ASSIGNMENT
EDG-10160,EMP10332,DEPT-PROCUREMENT,BELONGS_TO,EXACT,canonical_users,EMP10332,ORGANIZATIONAL_ASSIGNMENT
EDG-10161,EMP12788,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP12788,ORGANIZATIONAL_ASSIGNMENT
EDG-10162,EMP12066,DEPT-CUSTOMER_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP12066,ORGANIZATIONAL_ASSIGNMENT
EDG-10163,EMP11874,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP11874,ORGANIZATIONAL_ASSIGNMENT
EDG-10164,EMP10756,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP10756,ORGANIZATIONAL_ASSIGNMENT
EDG-10165,EMP10798,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP10798,ORGANIZATIONAL_ASSIGNMENT
EDG-10166,EMP12274,DEPT-SUPPLY_CHAIN,BELONGS_TO,EXACT,canonical_users,EMP12274,ORGANIZATIONAL_ASSIGNMENT
EDG-10167,EMP10203,DEPT-CALL_CENTER,BELONGS_TO,EXACT,canonical_users,EMP10203,ORGANIZATIONAL_ASSIGNMENT
EDG-10168,EMP10463,DEPT-INNOVATION,BELONGS_TO,EXACT,canonical_users,EMP10463,ORGANIZATIONAL_ASSIGNMENT
EDG-10169,EMP12851,DEPT-SUPPLY_CHAIN,BELONGS_TO,EXACT,canonical_users,EMP12851,ORGANIZATIONAL_ASSIGNMENT
EDG-10170,EMP12749,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP12749,ORGANIZATIONAL_ASSIGNMENT
EDG-10171,EMP11583,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP11583,ORGANIZATIONAL_ASSIGNMENT
EDG-10172,EMP10555,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP10555,ORGANIZATIONAL_ASSIGNMENT
EDG-10173,EMP10174,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP10174,ORGANIZATIONAL_ASSIGNMENT
EDG-10174,EMP10289,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP10289,ORGANIZATIONAL_ASSIGNMENT
EDG-10175,EMP10120,DEPT-COMPLIANCE,BELONGS_TO,EXACT,canonical_users,EMP10120,ORGANIZATIONAL_ASSIGNMENT
EDG-10176,EMP12839,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP12839,ORGANIZATIONAL_ASSIGNMENT
EDG-10177,EMP10847,DEPT-CALL_CENTER,BELONGS_TO,EXACT,canonical_users,EMP10847,ORGANIZATIONAL_ASSIGNMENT
EDG-10178,EMP12699,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP12699,ORGANIZATIONAL_ASSIGNMENT
EDG-10179,EMP10432,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP10432,ORGANIZATIONAL_ASSIGNMENT
EDG-10180,EMP12969,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP12969,ORGANIZATIONAL_ASSIGNMENT
EDG-10181,EMP11317,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP11317,ORGANIZATIONAL_ASSIGNMENT
EDG-10182,EMP11200,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP11200,ORGANIZATIONAL_ASSIGNMENT
EDG-10183,EMP10393,DEPT-IT_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP10393,ORGANIZATIONAL_ASSIGNMENT
EDG-10184,EMP12031,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP12031,ORGANIZATIONAL_ASSIGNMENT
EDG-10185,EMP11800,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP11800,ORGANIZATIONAL_ASSIGNMENT
EDG-10186,EMP11721,DEPT-IT,BELONGS_TO,EXACT,canonical_users,EMP11721,ORGANIZATIONAL_ASSIGNMENT
EDG-10187,EMP10192,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP10192,ORGANIZATIONAL_ASSIGNMENT
