entity_id,entity_type,traceone_risk_score,auth_contribution,network_contribution,endpoint_contribution,operational_contribution,multi_signal_boost
EMP10781,USER,100.0,37.5,37.5,6.32,37.5,39.61
EMP10443,USER,8.43,4.22,0.0,4.22,0.0,0.0
EMP12601,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12149,USER,16.86,8.43,4.22,4.22,0.0,0.0
EMP10449,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP11029,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11992,USER,57.96,21.08,21.08,0.0,15.81,11.59
EMP12403,USER,15.18,6.74,0.0,4.22,4.22,0.0
EMP12750,USER,12.65,4.22,8.43,0.0,0.0,0.0
EMP10000,USER,12.65,0.0,0.0,4.22,8.43,0.0
EMP11048,USER,16.86,4.22,0.0,12.65,0.0,0.0
EMP10270,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP10736,USER,7.38,3.16,0.0,4.22,0.0,0.0
EMP10298,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP10032,USER,4.22,0.0,4.22,0.0,0.0,0.0
EMP12498,USER,12.65,0.0,0.0,12.65,0.0,0.0
EMP10014,USER,100.0,37.5,37.5,12.65,37.5,41.72
EMP10093,USER,8.43,8.43,0.0,0.0,0.0,0.0
EMP10411,USER,8.43,0.0,8.43,0.0,0.0,0.0
EMP11159,USER,75.88,25.29,25.29,0.0,25.29,25.29
EMP12362,USER,8.43,8.43,0.0,0.0,0.0,0.0
EMP12819,USER,21.08,4.22,4.22,8.43,4.22,0.0
EMP10149,USER,9.99,9.99,0.0,0.0,0.0,0.0
EMP11600,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP11044,USER,21.08,0.0,16.86,0.0,4.22,0.0
EMP12153,USER,23.93,11.29,8.43,4.22,0.0,0.0
EMP10495,USER,12.65,0.0,0.0,12.65,0.0,0.0
EMP10332,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12788,USER,12.65,4.22,0.0,8.43,0.0,0.0
EMP12066,USER,16.86,0.0,4.22,4.22,8.43,0.0
EMP11874,USER,4.22,0.0,0.0,0.0,4.22,0.0
EMP10756,USER,25.29,16.86,0.0,8.43,0.0,0.0
EMP10798,USER,8.43,8.43,0.0,0.0,0.0,0.0
EMP12274,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10203,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP10463,USER,12.65,0.0,0.0,12.65,0.0,0.0
EMP12851,USER,100.0,43.75,43.75,43.75,43.75,75.0
EMP12749,USER,25.29,0.0,4.22,4.22,16.86,0.0
EMP11583,USER,100.0,37.5,37.5,6.32,37.5,39.61
EMP10555,USER,8.43,0.0,8.43,0.0,0.0,0.0
EMP10174,USER,8.43,0.0,4.22,0.0,4.22,0.0
EMP10289,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP10120,USER,21.08,0.0,8.43,0.0,12.65,0.0
EMP12839,USER,12.65,0.0,0.0,12.65,0.0,0.0
EMP10847,USER,21.08,0.0,12.65,4.22,4.22,0.0
EMP12699,USER,21.08,0.0,8.43,12.65,0.0,0.0
EMP10432,USER,8.43,8.43,0.0,0.0,0.0,0.0
EMP12969,USER,8.43,4.22,0.0,0.0,4.22,0.0
EMP11317,USER,8.43,8.43,0.0,0.0,0.0,0.0
EMP11200,USER,8.43,0.0,4.22,0.0,4.22,0.0
EMP10393,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP12031,USER,14.75,10.54,0.0,0.0,4.22,0.0
EMP11800,USER,7.38,3.16,4.22,0.0,0.0,0.0
EMP11721,USER,10.12,1.69,0.0,8.43,0.0,0.0
EMP10192,USER,25.29,8.43,16.86,0.0,0.0,0.0
EMP10266,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12692,USER,12.65,4.22,4.22,0.0,4.22,0.0
EMP10805,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP10331,USER,12.65,0.0,4.22,0.0,8.43,0.0
EMP10528,USER,15.67,3.02,0.0,12.65,0.0,0.0
EMP11225,USER,6.32,2.11,0.0,4.22,0.0,0.0
EMP10801,USER,1.41,0.0,0.0,1.41,0.0,0.0
EMP11089,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10764,USER,16.86,8.43,0.0,8.43,0.0,0.0
EMP10218,USER,25.29,16.86,0.0,0.0,8.43,0.0
EMP10479,USER,16.86,16.86,0.0,0.0,0.0,0.0
EMP10790,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP10478,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP12645,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10727,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP10581,USER,37.94,8.43,16.86,0.0,12.65,0.0
EMP11157,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12547,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11688,USER,6.32,6.32,0.0,0.0,0.0,0.0
EMP12633,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10045,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP12849,USER,29.51,21.08,0.0,4.22,4.22,0.0
EMP10240,USER,12.65,4.22,0.0,0.0,8.43,0.0
EMP10251,USER,100.0,37.5,37.5,12.65,37.5,41.72
EMP10990,USER,20.23,11.8,8.43,0.0,0.0,0.0
EMP10457,USER,8.43,0.0,8.43,0.0,0.0,0.0
EMP11272,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP10676,USER,15.81,11.59,0.0,4.22,0.0,0.0
EMP11814,USER,10.54,10.54,0.0,0.0,0.0,0.0
EMP11533,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12356,USER,18.97,6.32,0.0,12.65,0.0,0.0
EMP11084,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11511,USER,21.08,4.22,4.22,8.43,4.22,0.0
EMP12404,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10257,USER,4.22,0.0,0.0,0.0,4.22,0.0
EMP12272,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP10368,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP12050,USER,5.9,1.69,0.0,4.22,0.0,0.0
EMP12973,USER,33.73,0.0,12.65,4.22,16.86,0.0
EMP12844,USER,25.29,8.43,4.22,0.0,12.65,0.0
EMP10354,USER,3.02,3.02,0.0,0.0,0.0,0.0
EMP11299,USER,12.65,4.22,4.22,0.0,4.22,0.0
EMP11864,USER,12.65,4.22,0.0,0.0,8.43,0.0
EMP12219,USER,25.29,12.65,0.0,8.43,4.22,0.0
EMP11196,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11830,USER,6.32,2.11,0.0,4.22,0.0,0.0
EMP12202,USER,12.65,0.0,0.0,12.65,0.0,0.0
EMP11302,USER,9.84,1.41,0.0,8.43,0.0,0.0
EMP10682,USER,13.7,1.05,4.22,0.0,8.43,0.0
EMP11381,USER,16.86,4.22,0.0,8.43,4.22,0.0
EMP10507,USER,4.22,4.22,0.0,0.0,0.0,0.0
EMP10211,USER,12.65,8.43,0.0,0.0,4.22,0.0
EMP11454,USER,16.86,4.22,4.22,0.0,8.43,0.0
EMP10819,USER,8.43,4.22,0.0,4.22,0.0,0.0
EMP11650,USER,11.13,11.13,0.0,0.0,0.0,0.0
EMP12909,USER,21.08,8.43,8.43,4.22,0.0,0.0
EMP10582,USER,4.22,4.22,0.0,0.0,0.0,0.0
EMP10175,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP11712,USER,16.02,7.59,0.0,8.43,0.0,0.0
EMP10430,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11507,USER,33.73,4.22,8.43,12.65,8.43,0.0
EMP10744,USER,9.48,5.27,0.0,4.22,0.0,0.0
EMP11362,USER,7.23,3.02,0.0,0.0,4.22,0.0
EMP11097,USER,25.29,12.65,4.22,0.0,8.43,0.0
EMP10506,USER,20.02,15.81,0.0,4.22,0.0,0.0
EMP10945,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP11135,USER,16.86,16.86,0.0,0.0,0.0,0.0
EMP11023,USER,4.22,0.0,4.22,0.0,0.0,0.0
EMP10196,USER,9.48,5.27,4.22,0.0,0.0,0.0
EMP12512,USER,12.65,8.43,4.22,0.0,0.0,0.0
EMP10088,USER,4.22,0.0,4.22,0.0,0.0,0.0
EMP11047,USER,21.08,8.43,0.0,0.0,12.65,0.0
EMP12878,USER,9.84,5.62,0.0,4.22,0.0,0.0
EMP12025,USER,22.13,9.49,0.0,12.65,0.0,0.0
EMP12943,USER,16.86,4.22,4.22,0.0,8.43,0.0
EMP10678,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11034,USER,63.23,21.08,26.35,0.0,15.81,12.65
EMP10564,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10343,USER,16.86,8.43,0.0,8.43,0.0,0.0
EMP12346,USER,4.22,4.22,0.0,0.0,0.0,0.0
EMP10025,USER,1.41,1.41,0.0,0.0,0.0,0.0
EMP10940,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11859,USER,21.08,8.43,8.43,0.0,4.22,0.0
EMP12892,USER,12.65,4.22,0.0,8.43,0.0,0.0
EMP12795,USER,29.51,0.0,8.43,8.43,12.65,0.0
EMP11488,USER,7.38,3.16,0.0,4.22,0.0,0.0
EMP11525,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP12422,USER,12.65,0.0,8.43,0.0,4.22,0.0
EMP12574,USER,10.54,10.54,0.0,0.0,0.0,0.0
EMP10650,USER,21.08,12.65,0.0,4.22,4.22,0.0
EMP10867,USER,12.65,0.0,8.43,4.22,0.0,0.0
EMP11350,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10067,USER,7.23,3.02,0.0,4.22,0.0,0.0
EMP12249,USER,5.27,5.27,0.0,0.0,0.0,0.0
EMP10621,USER,4.22,0.0,4.22,0.0,0.0,0.0
EMP10651,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP12195,USER,10.12,1.69,0.0,8.43,0.0,0.0
EMP10602,USER,12.65,0.0,12.65,0.0,0.0,0.0
EMP12911,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP10423,USER,4.22,4.22,0.0,0.0,0.0,0.0
EMP12171,USER,15.67,3.02,0.0,8.43,4.22,0.0
EMP12805,USER,16.86,12.65,0.0,0.0,4.22,0.0
EMP11910,USER,11.29,11.29,0.0,0.0,0.0,0.0
EMP12861,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP11113,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP11477,USER,5.27,5.27,0.0,0.0,0.0,0.0
EMP11553,USER,4.22,4.22,0.0,0.0,0.0,0.0
EMP10124,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12541,USER,4.22,0.0,4.22,0.0,0.0,0.0
EMP12903,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11866,USER,25.29,8.43,8.43,0.0,8.43,0.0
EMP11872,USER,32.04,6.74,0.0,16.86,8.43,0.0
EMP10532,USER,16.86,0.0,0.0,8.43,8.43,0.0
EMP12009,USER,25.29,8.43,0.0,4.22,12.65,0.0
EMP11057,USER,8.43,4.22,0.0,4.22,0.0,0.0
EMP12907,USER,33.73,4.22,4.22,4.22,21.08,0.0
EMP11690,USER,33.73,0.0,8.43,21.08,4.22,0.0
EMP11487,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP10557,USER,21.92,9.27,8.43,0.0,4.22,0.0
EMP12561,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP11173,USER,12.65,0.0,4.22,4.22,4.22,0.0
EMP10176,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10322,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP11188,USER,21.92,9.27,4.22,8.43,0.0,0.0
EMP11461,USER,8.43,0.0,0.0,0.0,8.43,0.0
EMP12478,USER,21.08,0.0,8.43,4.22,8.43,0.0
EMP11545,USER,25.29,16.86,0.0,8.43,0.0,0.0
EMP10695,USER,37.94,12.65,21.08,0.0,4.22,0.0
EMP11628,USER,8.43,0.0,0.0,0.0,8.43,0.0
EMP10080,USER,37.94,4.22,12.65,12.65,8.43,0.0
EMP12525,USER,33.73,4.22,12.65,4.22,12.65,0.0
EMP11149,USER,1.41,1.41,0.0,0.0,0.0,0.0
EMP11151,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10862,USER,21.08,4.22,12.65,4.22,0.0,0.0
EMP11260,USER,19.2,12.18,0.0,7.03,0.0,0.0
EMP10439,USER,13.7,5.27,0.0,8.43,0.0,0.0
EMP10471,USER,4.22,4.22,0.0,0.0,0.0,0.0
EMP12230,USER,12.65,0.0,4.22,0.0,8.43,0.0
EMP12011,USER,15.18,6.74,0.0,0.0,8.43,0.0
EMP11706,USER,2.11,2.11,0.0,0.0,0.0,0.0
EMP10812,USER,21.08,0.0,12.65,0.0,8.43,0.0
EMP11234,USER,41.03,15.74,8.43,12.65,4.22,0.0
EMP12246,USER,33.73,21.08,12.65,0.0,0.0,0.0
EMP10568,USER,5.9,1.69,0.0,0.0,4.22,0.0
EMP12425,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP11653,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10141,USER,21.08,0.0,4.22,12.65,4.22,0.0
EMP10511,USER,12.65,0.0,0.0,12.65,0.0,0.0
EMP11612,USER,16.86,8.43,0.0,8.43,0.0,0.0
EMP12605,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11809,USER,8.43,0.0,8.43,0.0,0.0,0.0
EMP12866,USER,1.25,1.25,0.0,0.0,0.0,0.0
EMP11684,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10610,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12810,USER,21.08,4.22,0.0,4.22,12.65,0.0
EMP11966,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10831,USER,10.54,10.54,0.0,0.0,0.0,0.0
EMP10177,USER,1.69,1.69,0.0,0.0,0.0,0.0
EMP10857,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10693,USER,25.29,4.22,12.65,8.43,0.0,0.0
EMP11736,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11072,USER,1.05,1.05,0.0,0.0,0.0,0.0
EMP11278,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP11503,USER,21.08,0.0,0.0,12.65,8.43,0.0
EMP10183,USER,4.22,0.0,0.0,0.0,4.22,0.0
EMP11468,USER,7.23,3.02,0.0,0.0,4.22,0.0
EMP12227,USER,21.08,4.22,12.65,0.0,4.22,0.0
EMP12727,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10565,USER,12.65,0.0,4.22,8.43,0.0,0.0
EMP12901,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP12340,USER,12.65,8.43,0.0,0.0,4.22,0.0
EMP11985,USER,0.94,0.94,0.0,0.0,0.0,0.0
EMP11829,USER,29.51,4.22,12.65,0.0,12.65,0.0
EMP12850,USER,33.73,0.0,12.65,4.22,16.86,0.0
EMP10486,USER,25.29,4.22,4.22,16.86,0.0,0.0
EMP12940,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11204,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP10370,USER,1.25,1.25,0.0,0.0,0.0,0.0
EMP10162,USER,37.94,12.65,12.65,8.43,4.22,0.0
EMP12646,USER,42.16,8.43,8.43,12.65,12.65,0.0
EMP12650,USER,12.65,4.22,8.43,0.0,0.0,0.0
EMP12931,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP11911,USER,6.32,6.32,0.0,0.0,0.0,0.0
EMP10729,USER,5.17,0.95,0.0,4.22,0.0,0.0
EMP10969,USER,8.43,4.22,0.0,0.0,4.22,0.0
EMP10670,USER,8.43,0.0,4.22,4.22,0.0,0.0
EMP10887,USER,16.86,4.22,8.43,0.0,4.22,0.0
EMP10030,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11055,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12079,USER,11.83,11.83,0.0,0.0,0.0,0.0
EMP11591,USER,33.73,0.0,12.65,0.0,21.08,0.0
EMP10173,USER,4.22,0.0,4.22,0.0,0.0,0.0
EMP11962,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP10296,USER,100.0,37.5,37.5,12.65,37.5,41.72
EMP10325,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11236,USER,19.67,11.24,0.0,8.43,0.0,0.0
EMP11988,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP11738,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12759,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11472,USER,12.65,0.0,0.0,0.0,12.65,0.0
EMP11925,USER,6.12,6.12,0.0,0.0,0.0,0.0
EMP12714,USER,8.43,8.43,0.0,0.0,0.0,0.0
EMP10605,USER,33.73,0.0,8.43,12.65,12.65,0.0
EMP11283,USER,12.65,0.0,4.22,0.0,8.43,0.0
EMP12671,USER,21.08,4.22,4.22,0.0,12.65,0.0
EMP12626,USER,21.08,8.43,4.22,8.43,0.0,0.0
EMP12881,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12669,USER,12.65,8.43,4.22,0.0,0.0,0.0
EMP10073,USER,8.43,0.0,8.43,0.0,0.0,0.0
EMP10048,USER,19.67,19.67,0.0,0.0,0.0,0.0
EMP12258,USER,42.16,12.65,12.65,0.0,16.86,0.0
EMP11916,USER,16.86,0.0,4.22,12.65,0.0,0.0
EMP11815,USER,46.37,0.0,12.65,21.08,12.65,0.0
EMP10535,USER,33.73,12.65,8.43,0.0,12.65,0.0
EMP11270,USER,3.02,3.02,0.0,0.0,0.0,0.0
EMP12132,USER,12.65,8.43,4.22,0.0,0.0,0.0
EMP11665,USER,100.0,37.5,37.5,12.65,37.5,41.72
EMP11071,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11566,USER,21.08,0.0,4.22,8.43,8.43,0.0
EMP12748,USER,12.65,0.0,0.0,12.65,0.0,0.0
EMP12206,USER,25.29,0.0,8.43,4.22,12.65,0.0
EMP12780,USER,10.96,6.74,0.0,4.22,0.0,0.0
EMP10838,USER,12.65,0.0,0.0,12.65,0.0,0.0
EMP11094,USER,5.27,5.27,0.0,0.0,0.0,0.0
EMP11345,USER,7.55,7.55,0.0,0.0,0.0,0.0
EMP12304,USER,8.43,4.22,0.0,4.22,0.0,0.0
EMP11233,USER,21.08,0.0,12.65,8.43,0.0,0.0
EMP12597,USER,15.81,15.81,0.0,0.0,0.0,0.0
EMP11846,USER,29.09,16.44,0.0,12.65,0.0,0.0
EMP12829,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10324,USER,10.54,10.54,0.0,0.0,0.0,0.0
EMP10759,USER,0.0,0.0,0.0,0.0,0.0,0.0
