hostname,total_firewall_logs,firewall_denies,threat_flags,endpoint_alerts,is_managed
WS_11953,1.0,0.0,0.0,0.0,False
VDR-10247.,0.0,0.0,0.0,0.0,True
LPT-12143,4.0,0.0,0.0,2.0,True
WS-10351,8.0,2.0,1.0,2.0,True
LPT-12197.corp.local,1.0,0.0,0.0,0.0,False
vdr-11042,3.0,1.0,0.0,0.0,False
VDR-12959,8.0,3.0,2.0,3.0,True
LPT-11015.corp.local,1.0,1.0,0.0,0.0,False
VDR-11797,6.0,2.0,0.0,3.0,True
lpt-11631,1.0,1.0,0.0,0.0,False
LPT-10954,7.0,1.0,0.0,3.0,True
WS-11497,9.0,1.0,1.0,2.0,True
LPT_11593,1.0,0.0,1.0,0.0,False
WS-10175.corp.local,1.0,0.0,0.0,0.0,False
lpt-12967,2.0,0.0,0.0,0.0,False
LPT-12326.corp.local,1.0,0.0,0.0,0.0,False
VDR-11815,7.0,1.0,2.0,6.0,True
LPT_11311,1.0,0.0,0.0,0.0,False
LPT-11015,11.0,4.0,3.0,5.0,True
WS-10543,1.0,0.0,0.0,4.0,True
WS-11391,2.0,1.0,0.0,3.0,True
WS-11080,5.0,0.0,1.0,1.0,True
LPT-10904,3.0,0.0,0.0,5.0,True
VDR-12222,6.0,1.0,0.0,5.0,True
vdr-10585,2.0,1.0,1.0,0.0,False
WS-12192,4.0,1.0,1.0,1.0,True
VDR-10767,3.0,0.0,0.0,1.0,True
WS-12851.corp.local,1.0,1.0,1.0,0.0,False
WS-12164.corp.local,2.0,1.0,0.0,0.0,False
LPT-12578,6.0,0.0,0.0,4.0,True
WS-10265,5.0,1.0,1.0,3.0,True
LPT-12466,2.0,0.0,0.0,2.0,True
VDR-10838,8.0,2.0,0.0,4.0,True
LPT-10750,10.0,2.0,0.0,6.0,True
WS-12746,7.0,0.0,0.0,2.0,False
VDR-12423,4.0,1.0,0.0,1.0,True
LPT-11710.corp.local,3.0,0.0,0.0,0.0,False
VDR_10016,1.0,0.0,0.0,0.0,False
WS-10082.corp.local,1.0,0.0,0.0,0.0,False
VDR-12430.corp.local,2.0,0.0,1.0,0.0,False
lpt-11023,1.0,0.0,0.0,0.0,False
WS-12788.corp.local,1.0,1.0,0.0,0.0,False
LPT-11028.,0.0,0.0,0.0,0.0,True
WS_10134,1.0,1.0,0.0,0.0,False
WS-12283.corp.local,1.0,0.0,0.0,0.0,False
VDR-10677,10.0,2.0,0.0,1.0,True
lpt-12060,2.0,2.0,0.0,0.0,False
lpt-11506,2.0,0.0,0.0,0.0,False
LPT-12083,6.0,0.0,1.0,2.0,True
WS-11496.corp.local,1.0,0.0,0.0,0.0,False
vdr-11298,1.0,0.0,0.0,0.0,False
VDR-12856,8.0,2.0,1.0,5.0,True
WS-12256.corp.local,2.0,1.0,0.0,0.0,False
VDR-12963,7.0,1.0,0.0,3.0,True
vdr-10504,1.0,1.0,0.0,0.0,False
ws-11863,3.0,0.0,0.0,0.0,False
LPT-10141,6.0,2.0,2.0,5.0,True
VDR-11128.corp.local,1.0,0.0,0.0,0.0,False
ws-12244,2.0,0.0,0.0,0.0,False
VDR_11389,1.0,0.0,0.0,0.0,False
VDR_11930,1.0,0.0,0.0,0.0,False
WS_12496,1.0,0.0,0.0,0.0,False
VDR-11419,5.0,1.0,0.0,1.0,True
lpt-11310,1.0,0.0,0.0,0.0,False
LPT-11285,4.0,1.0,0.0,3.0,False
LPT-11866,3.0,0.0,0.0,2.0,True
lpt-12783,2.0,0.0,0.0,0.0,False
lpt-11257,2.0,0.0,0.0,0.0,False
LPT-10763,7.0,3.0,0.0,2.0,True
WS-12454.corp.local,2.0,0.0,0.0,0.0,False
VDR_12168,1.0,0.0,0.0,0.0,False
WS-11845,3.0,1.0,0.0,4.0,True
LPT-11884,6.0,1.0,0.0,3.0,True
VDR-10123.corp.local,1.0,0.0,0.0,0.0,False
LPT-10852.corp.local,2.0,1.0,0.0,0.0,False
LPT_10416,1.0,0.0,0.0,0.0,False
LPT-11917,12.0,3.0,1.0,0.0,True
vdr-12580,1.0,0.0,0.0,0.0,False
LPT-12737.corp.local,1.0,0.0,0.0,0.0,False
WS_12632,1.0,0.0,0.0,0.0,False
VDR-11412,8.0,2.0,1.0,2.0,True
VDR_10648,1.0,0.0,0.0,0.0,False
lpt-10745,2.0,0.0,1.0,0.0,False
WS-11865,9.0,1.0,1.0,5.0,True
WS-11939,3.0,0.0,1.0,1.0,True
VDR_10218,1.0,0.0,0.0,0.0,False
VDR_12991,1.0,0.0,0.0,0.0,False
ws-10517,2.0,1.0,0.0,0.0,False
VDR-12450,10.0,1.0,0.0,5.0,False
VDR_12090,1.0,0.0,0.0,0.0,False
WS-10721,10.0,3.0,1.0,3.0,True
ws-12221,1.0,0.0,0.0,0.0,False
LPT_10654,1.0,0.0,0.0,0.0,False
WS-11381,5.0,3.0,1.0,4.0,True
LPT-10863.corp.local,1.0,0.0,0.0,0.0,False
lpt-12049,3.0,0.0,0.0,0.0,False
LPT_11732,1.0,0.0,0.0,0.0,False
WS-11540,3.0,0.0,0.0,4.0,True
WS-10870,7.0,1.0,0.0,3.0,True
WS-12136,2.0,1.0,0.0,0.0,True
VDR-12543.corp.local,2.0,0.0,0.0,0.0,False
WS-12396,3.0,0.0,1.0,1.0,True
VDR-11094,6.0,1.0,0.0,3.0,True
lpt-12094,1.0,1.0,0.0,0.0,False
WS-10292,5.0,0.0,1.0,5.0,True
VDR_10357,1.0,0.0,0.0,0.0,False
LPT_10965,1.0,0.0,0.0,0.0,False
WS-12977,5.0,0.0,0.0,4.0,True
ws-12553,4.0,2.0,1.0,0.0,False
LPT-10403.corp.local,2.0,0.0,0.0,0.0,False
WS_12439,1.0,0.0,0.0,0.0,False
VDR-12353,8.0,1.0,1.0,1.0,True
VDR-11929,11.0,2.0,0.0,4.0,True
VDR-11697,7.0,1.0,1.0,2.0,True
VDR_10793,1.0,0.0,0.0,0.0,False
WS-12637,5.0,2.0,1.0,2.0,True
ws-11361,1.0,0.0,0.0,0.0,False
vdr-10234,1.0,1.0,0.0,0.0,False
vdr-10466,1.0,0.0,0.0,0.0,False
VDR-10196,9.0,4.0,1.0,3.0,False
ws-11416,1.0,0.0,0.0,0.0,False
VDR-12823,5.0,2.0,1.0,0.0,True
VDR-10462,7.0,1.0,1.0,5.0,True
VDR-10358,7.0,1.0,0.0,1.0,True
LPT-10439,7.0,0.0,2.0,5.0,False
LPT_11631,1.0,0.0,0.0,0.0,False
ws-12072,2.0,0.0,0.0,0.0,False
WS_12255,2.0,0.0,0.0,0.0,False
LPT-10596,9.0,4.0,3.0,3.0,False
LPT-11614.corp.local,2.0,0.0,0.0,0.0,False
WS-11193,2.0,0.0,0.0,1.0,True
LPT-12762.corp.local,1.0,1.0,0.0,0.0,False
lpt-11573,1.0,0.0,0.0,0.0,False
VDR-12395.corp.local,1.0,1.0,0.0,0.0,False
vdr-11493,3.0,0.0,1.0,0.0,False
LPT-11615.corp.local,1.0,1.0,0.0,0.0,False
WS-10737,7.0,0.0,1.0,2.0,True
lpt-12810,3.0,0.0,1.0,0.0,False
LPT-11369.corp.local,1.0,0.0,0.0,0.0,False
vdr-11817,1.0,0.0,0.0,0.0,False
VDR_10664,1.0,1.0,0.0,0.0,False
LPT_10488,1.0,0.0,0.0,0.0,False
VDR-11853,7.0,2.0,0.0,2.0,True
WS-11715.corp.local,2.0,0.0,0.0,0.0,False
VDR-10300.corp.local,1.0,1.0,0.0,0.0,False
WS-11154,8.0,2.0,0.0,2.0,True
VDR-12945,5.0,2.0,0.0,3.0,True
lpt-10563,1.0,0.0,0.0,0.0,False
vdr-11396,1.0,0.0,0.0,0.0,False
LPT-10463,6.0,4.0,0.0,5.0,True
LPT_10098,1.0,1.0,0.0,0.0,False
VDR_11081,1.0,0.0,0.0,0.0,False
LPT_12907,1.0,0.0,1.0,0.0,False
lpt-12662,1.0,0.0,0.0,0.0,False
vdr-11345,1.0,0.0,0.0,0.0,False
LPT-11751.corp.local,1.0,0.0,0.0,0.0,False
LPT_12772,1.0,1.0,0.0,0.0,False
LPT-12068,4.0,0.0,0.0,1.0,True
vdr-12022,1.0,0.0,0.0,0.0,False
LPT_12207,1.0,1.0,0.0,0.0,False
VDR-11913,10.0,3.0,1.0,0.0,True
VDR_11083,1.0,0.0,0.0,0.0,False
VDR-11794,8.0,2.0,1.0,3.0,True
VDR-12270.corp.local,1.0,0.0,0.0,0.0,False
lpt-12885,3.0,0.0,1.0,0.0,False
ws-11672,2.0,0.0,0.0,0.0,False
lpt-10852,4.0,1.0,0.0,0.0,False
ws-12255,2.0,1.0,0.0,0.0,False
VDR-12624,8.0,1.0,0.0,2.0,True
VDR-10124,8.0,1.0,0.0,2.0,True
VDR-12142,4.0,0.0,1.0,2.0,False
LPT-12202,12.0,1.0,2.0,5.0,True
LPT_12566,1.0,0.0,0.0,0.0,False
WS_12175,1.0,1.0,0.0,0.0,False
LPT-10311,8.0,1.0,3.0,3.0,True
WS-11245.corp.local,1.0,0.0,0.0,0.0,False
LPT_12167,3.0,1.0,0.0,0.0,False
VDR-11400,7.0,1.0,1.0,0.0,True
LPT-10637,3.0,1.0,0.0,7.0,False
LPT-12675,6.0,2.0,0.0,0.0,True
LPT-12252.corp.local,2.0,1.0,0.0,0.0,False
lpt-12768,2.0,0.0,1.0,0.0,False
WS-11041,6.0,1.0,0.0,2.0,True
VDR-10571,3.0,1.0,0.0,3.0,False
LPT-10130.corp.local,2.0,0.0,0.0,0.0,False
VDR-12816,9.0,2.0,1.0,0.0,True
VDR-11811.corp.local,2.0,1.0,1.0,0.0,False
VDR-12330,6.0,4.0,0.0,1.0,True
VDR-11883,2.0,0.0,0.0,2.0,True
WS-11723.,0.0,0.0,0.0,0.0,True
LPT-11123,5.0,0.0,0.0,3.0,True
VDR-11838,5.0,2.0,0.0,2.0,True
WS-11111.corp.local,1.0,0.0,0.0,0.0,False
LPT-11825.corp.local,1.0,0.0,0.0,0.0,False
LPT-11862,7.0,0.0,0.0,7.0,True
VDR-12019.corp.local,2.0,1.0,0.0,0.0,False
ws-11331,2.0,0.0,0.0,0.0,False
VDR-12059.,0.0,0.0,0.0,0.0,True
VDR-12185.corp.local,1.0,1.0,0.0,0.0,False
vdr-11838,2.0,1.0,0.0,0.0,False
LPT-12786,5.0,2.0,1.0,3.0,True
LPT-10678,4.0,1.0,1.0,2.0,True
LPT-12772,4.0,1.0,0.0,1.0,True
lpt-11546,2.0,0.0,0.0,0.0,False
LPT_12584,2.0,0.0,0.0,0.0,False
LPT-11258,5.0,1.0,1.0,6.0,True
ws-10090,1.0,0.0,0.0,0.0,False
LPT-10254,10.0,2.0,1.0,3.0,True
VDR-11996.corp.local,1.0,0.0,0.0,0.0,False
LPT-12303,6.0,2.0,0.0,2.0,True
LPT-10894.corp.local,2.0,1.0,0.0,0.0,False
VDR-12200.corp.local,1.0,0.0,0.0,0.0,False
VDR-12896.,0.0,0.0,0.0,0.0,True
VDR-12543,5.0,1.0,0.0,3.0,True
vdr-10238,1.0,0.0,0.0,0.0,False
VDR-12119,5.0,0.0,0.0,2.0,True
lpt-10114,1.0,0.0,1.0,0.0,False
vdr-12342,1.0,0.0,1.0,0.0,False
WS_10800,3.0,2.0,1.0,0.0,False
ws-12866,2.0,0.0,0.0,0.0,False
LPT-12566.corp.local,3.0,1.0,0.0,0.0,False
WS-11366,12.0,3.0,2.0,3.0,False
WS_12987,1.0,0.0,0.0,0.0,False
VDR-10244.corp.local,1.0,0.0,0.0,0.0,False
VDR-12040,4.0,1.0,0.0,3.0,False
VDR-10761.corp.local,1.0,0.0,0.0,0.0,False
lpt-10345,3.0,0.0,0.0,0.0,False
WS-11342,10.0,3.0,0.0,2.0,True
VDR-12033.corp.local,1.0,1.0,0.0,0.0,False
LPT-11346,3.0,1.0,0.0,6.0,True
WS-10408.corp.local,2.0,1.0,0.0,0.0,False
WS-10307.corp.local,4.0,1.0,0.0,0.0,False
WS-11360.corp.local,1.0,0.0,0.0,0.0,False
VDR-11752,7.0,1.0,1.0,2.0,True
ws-12614,2.0,0.0,0.0,0.0,False
lpt-10321,1.0,1.0,0.0,0.0,False
ws-10564,1.0,1.0,0.0,0.0,False
LPT-12960.corp.local,2.0,1.0,0.0,0.0,False
VDR_11666,2.0,0.0,1.0,0.0,False
lpt-10522,3.0,2.0,0.0,0.0,False
WS-11711,3.0,1.0,1.0,5.0,True
LPT-11438,6.0,2.0,0.0,4.0,True
VDR-11606.corp.local,2.0,0.0,1.0,0.0,False
WS-12930,14.0,4.0,1.0,1.0,True
LPT-10131,9.0,3.0,2.0,1.0,True
VDR-12896.corp.local,1.0,0.0,0.0,0.0,False
LPT-11691.corp.local,1.0,0.0,0.0,0.0,False
LPT_12044,1.0,1.0,0.0,0.0,False
vdr-10502,1.0,1.0,0.0,0.0,False
LPT-11488.corp.local,5.0,2.0,1.0,0.0,False
LPT_12116,1.0,0.0,0.0,0.0,False
lpt-11941,1.0,0.0,0.0,0.0,False
VDR-11273.corp.local,1.0,0.0,0.0,0.0,False
vdr-10342,2.0,0.0,0.0,0.0,False
LPT-10811.corp.local,1.0,0.0,0.0,0.0,False
LPT-12462,6.0,2.0,0.0,3.0,False
VDR-10449.corp.local,1.0,1.0,0.0,0.0,False
WS_10105,1.0,1.0,0.0,0.0,False
LPT-11569,6.0,0.0,0.0,3.0,True
LPT-12920,9.0,4.0,1.0,0.0,True
VDR-10502.corp.local,1.0,0.0,1.0,0.0,False
WS-12236,7.0,1.0,0.0,2.0,True
WS-11456,6.0,0.0,1.0,2.0,True
vdr-10732,1.0,0.0,1.0,0.0,False
lpt-12708,2.0,0.0,0.0,0.0,False
WS-12125,6.0,4.0,2.0,1.0,True
VDR-10724,5.0,3.0,0.0,3.0,True
WS-10730,10.0,4.0,3.0,1.0,True
WS-10602,8.0,2.0,0.0,2.0,True
WS-11000,6.0,3.0,0.0,2.0,True
lpt-12506,1.0,0.0,0.0,0.0,False
ws-12172,4.0,0.0,0.0,0.0,False
WS-11044,11.0,2.0,1.0,1.0,True
LPT-12182.,0.0,0.0,0.0,0.0,True
WS-11967,8.0,3.0,1.0,1.0,True
LPT-11184.corp.local,1.0,1.0,0.0,0.0,False
VDR-10830.corp.local,1.0,0.0,0.0,0.0,False
vdr-11703,2.0,0.0,0.0,0.0,False
lpt-10581,1.0,0.0,0.0,0.0,False
vdr-12646,1.0,0.0,0.0,0.0,False
LPT-11561,4.0,0.0,1.0,1.0,False
vdr-12152,1.0,0.0,0.0,0.0,False
VDR-10846,5.0,3.0,1.0,1.0,True
VDR-11910,5.0,1.0,2.0,1.0,False
VDR-12488.corp.local,2.0,1.0,0.0,0.0,False
lpt-12689,2.0,1.0,0.0,0.0,False
VDR-11748,6.0,1.0,1.0,3.0,True
VDR-12568.corp.local,1.0,1.0,0.0,0.0,False
WS_10564,3.0,0.0,0.0,0.0,False
vdr-11090,1.0,0.0,0.0,0.0,False
LPT-10364,5.0,0.0,0.0,0.0,True
LPT-12322.,0.0,0.0,0.0,0.0,True
VDR_10698,1.0,0.0,0.0,0.0,False
VDR_12663,2.0,1.0,0.0,0.0,False
LPT-11673,4.0,2.0,0.0,1.0,True
vdr-10680,4.0,0.0,0.0,0.0,False
ws-12344,1.0,0.0,0.0,0.0,False
LPT_12670,1.0,1.0,0.0,0.0,False
VDR-10536,5.0,1.0,0.0,4.0,True
VDR-10801,5.0,2.0,1.0,3.0,False
ws-11760,1.0,0.0,0.0,0.0,False
ws-12833,4.0,1.0,0.0,0.0,False
VDR-12137.corp.local,1.0,1.0,0.0,0.0,False
VDR-10499,2.0,0.0,0.0,2.0,True
LPT-11438.corp.local,1.0,1.0,0.0,0.0,False
LPT-11926.corp.local,1.0,0.0,0.0,0.0,False
LPT_11321,1.0,0.0,0.0,0.0,False
WS-12931,7.0,1.0,0.0,3.0,False
WS-10812,14.0,1.0,1.0,1.0,True
vdr-11327,6.0,1.0,1.0,0.0,False
lpt-11751,2.0,1.0,1.0,0.0,False
LPT-11685.corp.local,1.0,0.0,0.0,0.0,False
WS_11613,1.0,1.0,0.0,0.0,False
VDR-11811.,0.0,0.0,0.0,0.0,True
LPT_11528,1.0,0.0,0.0,0.0,False
WS-12031.corp.local,2.0,0.0,0.0,0.0,False
VDR-12579,5.0,2.0,0.0,4.0,True
LPT_11478,4.0,1.0,1.0,0.0,False
VDR_11155,1.0,0.0,0.0,0.0,False
LPT-10107.corp.local,2.0,0.0,0.0,0.0,False
LPT-12301.corp.local,3.0,0.0,0.0,0.0,False
VDR-12005,9.0,2.0,1.0,4.0,True
VDR_10689,2.0,1.0,1.0,0.0,False
VDR-11731.corp.local,1.0,0.0,0.0,0.0,False
LPT-11235.corp.local,2.0,0.0,0.0,0.0,False
LPT_11561,1.0,1.0,0.0,0.0,False
LPT-10775,6.0,0.0,0.0,2.0,True
WS-12047.corp.local,4.0,3.0,0.0,0.0,False
lpt-10976,1.0,0.0,1.0,0.0,False
VDR-11596,10.0,3.0,0.0,1.0,True
lpt-10076,2.0,0.0,1.0,0.0,False
WS-10506,8.0,2.0,1.0,2.0,True
LPT_11178,1.0,0.0,0.0,0.0,False
WS-10505,6.0,1.0,2.0,3.0,True
LPT-12133,7.0,2.0,1.0,2.0,True
LPT-11614,7.0,1.0,2.0,2.0,True
WS-10726,6.0,0.0,1.0,3.0,True
VDR-12692,5.0,1.0,1.0,2.0,True
WS-10399,11.0,2.0,0.0,1.0,True
ws-12846,3.0,0.0,0.0,0.0,False
WS-10749,6.0,0.0,0.0,3.0,True
WS-10832,11.0,2.0,1.0,4.0,True
WS-11422.corp.local,1.0,0.0,0.0,0.0,False
VDR-12646.corp.local,3.0,0.0,0.0,0.0,False
VDR-12740,7.0,1.0,0.0,2.0,True
WS-12559.corp.local,1.0,1.0,0.0,0.0,False
WS-11026,3.0,0.0,0.0,2.0,True
LPT-11052.corp.local,1.0,0.0,0.0,0.0,False
WS-11020,9.0,4.0,0.0,2.0,True
LPT-10375.corp.local,1.0,0.0,0.0,0.0,False
LPT-10989,10.0,4.0,1.0,1.0,False
vdr-12825,2.0,0.0,0.0,0.0,False
ws-12745,1.0,0.0,0.0,0.0,False
WS-11186.,0.0,0.0,0.0,0.0,True
LPT-12575.,0.0,0.0,0.0,0.0,True
WS_11535,1.0,0.0,0.0,0.0,False
WS-11915,8.0,1.0,0.0,2.0,True
ws-11621,1.0,0.0,1.0,0.0,False
LPT-10447.corp.local,1.0,0.0,0.0,0.0,False
ws-12283,2.0,0.0,1.0,0.0,False
LPT-10424,11.0,5.0,1.0,2.0,True
VDR-10907,5.0,2.0,1.0,3.0,False
WS-11043,6.0,5.0,0.0,1.0,False
VDR_10923,1.0,1.0,0.0,0.0,False
VDR-10795,6.0,3.0,1.0,2.0,True
VDR-10611.corp.local,1.0,0.0,0.0,0.0,False
WS_11905,1.0,0.0,0.0,0.0,False
VDR-10597,2.0,0.0,0.0,6.0,True
VDR-12781.corp.local,2.0,2.0,0.0,0.0,False
VDR-12212,10.0,4.0,1.0,1.0,True
WS-11944,7.0,1.0,1.0,2.0,True
VDR_11082,1.0,0.0,0.0,0.0,False
WS-12035,8.0,4.0,0.0,1.0,False
ws-12794,1.0,1.0,1.0,0.0,False
lpt-10055,2.0,0.0,0.0,0.0,False
LPT-11824,11.0,3.0,1.0,4.0,True
LPT_12524,1.0,1.0,0.0,0.0,False
LPT-11050,6.0,2.0,0.0,4.0,False
VDR_11413,1.0,1.0,0.0,0.0,False
lpt-11869,1.0,0.0,0.0,0.0,False
VDR-11306.corp.local,2.0,1.0,0.0,0.0,False
VDR-10244,4.0,1.0,0.0,3.0,False
VDR_11653,1.0,0.0,0.0,0.0,False
ws-12981,1.0,1.0,0.0,0.0,False
LPT-12315,11.0,4.0,1.0,2.0,True
ws-11879,1.0,0.0,0.0,0.0,False
LPT_12743,1.0,0.0,0.0,0.0,False
WS-12828.corp.local,1.0,0.0,0.0,0.0,False
WS-11347.corp.local,1.0,0.0,0.0,0.0,False
vdr-10110,2.0,1.0,1.0,0.0,False
WS-11553.,0.0,0.0,0.0,0.0,True
lpt-11903,1.0,0.0,0.0,0.0,False
WS-12219.corp.local,3.0,0.0,1.0,0.0,False
VDR-11412.corp.local,2.0,0.0,0.0,0.0,False
vdr-12568,3.0,0.0,0.0,0.0,False
LPT_12069,1.0,0.0,0.0,0.0,False
WS-11137,8.0,3.0,0.0,1.0,True
lpt-11635,1.0,0.0,1.0,0.0,False
ws-11355,2.0,1.0,0.0,0.0,False
VDR-11433,8.0,2.0,1.0,6.0,False
LPT-11212,7.0,1.0,0.0,3.0,True
LPT-11741,5.0,1.0,1.0,2.0,True
ws-11864,3.0,2.0,0.0,0.0,False
vdr-11087,2.0,1.0,0.0,0.0,False
LPT-11162.corp.local,1.0,0.0,0.0,0.0,False
LPT-10420.corp.local,2.0,1.0,1.0,0.0,False
WS_11849,1.0,0.0,0.0,0.0,False
WS-11915.corp.local,3.0,0.0,0.0,0.0,False
WS-11218,5.0,1.0,0.0,4.0,True
WS-10023.corp.local,2.0,2.0,0.0,0.0,False
LPT-12029,12.0,4.0,0.0,0.0,True
VDR-10326,3.0,1.0,0.0,1.0,True
ws-10213,2.0,0.0,0.0,0.0,False
WS-10803.corp.local,3.0,1.0,0.0,0.0,False
lpt-11457,1.0,0.0,0.0,0.0,False
lpt-10441,1.0,0.0,0.0,0.0,False
VDR-11251,7.0,0.0,2.0,1.0,False
WS-11756.corp.local,4.0,0.0,0.0,0.0,False
LPT-12004,9.0,0.0,0.0,0.0,True
ws-12935,1.0,0.0,0.0,0.0,False
WS-10794,8.0,1.0,1.0,4.0,True
ws-11049,1.0,1.0,0.0,0.0,False
VDR-11779.corp.local,2.0,1.0,0.0,0.0,False
LPT_12294,1.0,0.0,0.0,0.0,False
WS-11520,12.0,2.0,1.0,3.0,True
LPT-11716,10.0,1.0,2.0,3.0,False
VDR-11596.corp.local,2.0,1.0,0.0,0.0,False
lpt-12787,2.0,1.0,0.0,0.0,False
WS_10039,2.0,0.0,0.0,0.0,False
vdr-10947,1.0,0.0,0.0,0.0,False
LPT-10894,4.0,2.0,0.0,2.0,True
LPT-11116.corp.local,2.0,0.0,0.0,0.0,False
vdr-10622,2.0,1.0,1.0,0.0,False
WS-10242,10.0,2.0,0.0,1.0,True
LPT-12831.corp.local,2.0,1.0,0.0,0.0,False
WS-12726,10.0,1.0,3.0,2.0,True
WS-12952,5.0,0.0,1.0,0.0,True
LPT-12708.,0.0,0.0,0.0,0.0,True
vdr-12875,1.0,0.0,0.0,0.0,False
WS-10915,3.0,0.0,0.0,1.0,True
lpt-11149,1.0,0.0,0.0,0.0,False
VDR-10193,9.0,1.0,0.0,2.0,True
vdr-12156,3.0,0.0,0.0,0.0,False
WS_11851,1.0,0.0,0.0,0.0,False
LPT_11701,1.0,0.0,0.0,0.0,False
VDR-12173.,0.0,0.0,0.0,0.0,True
lpt-12203,2.0,0.0,1.0,0.0,False
ws-11384,1.0,1.0,0.0,0.0,False
lpt-12528,2.0,0.0,0.0,0.0,False
LPT-12205,6.0,1.0,0.0,1.0,True
vdr-10869,1.0,0.0,0.0,0.0,False
LPT-10094,4.0,1.0,0.0,4.0,True
WS-11203.corp.local,1.0,0.0,0.0,0.0,False
VDR-11509,7.0,1.0,2.0,1.0,True
LPT-11616,8.0,2.0,0.0,2.0,False
ws-11699,1.0,0.0,0.0,0.0,False
