event_id,source_dataset,source_record_id,event_category,event_type,severity,action,user_id,hostname,session_id,data_quality_status,is_off_hours,is_chronology_anomaly,feature_confidence
IAM00018081,IAM,IAM00018081,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP12175,WS-12175,SID494071,UNKNOWN,False,False,PROBABLE
IAM00015178,IAM,IAM00015178,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP12704,LPT-12704,Unknown,REPAIRED,True,False,PROBABLE
IAM00001123,IAM,IAM00001123,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP10486,WS-10486,SID505840,VALID,True,False,EXACT
IAM00008713,IAM,IAM00008713,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP10726,Unknown,Unknown,UNKNOWN,False,False,PROBABLE
IAM00007968,IAM,IAM00007968,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP12197,LPT-12197,SID184227,VALID,False,False,EXACT
IAM00000908,IAM,IAM00000908,AUTHENTICATION,login_failed,Low,LOGIN_FAILED,EMP12144,LPT-12144,SID243770,UNKNOWN,True,False,PROBABLE
IAM00013125,IAM,IAM00013125,AUTHENTICATION,other,Low,OTHER,EMP12056,LPT-12056,Unknown,UNKNOWN,False,False,PROBABLE
IAM00014481,IAM,IAM00014481,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP10317,WS-10317,Unknown,UNKNOWN,False,False,PROBABLE
IAM00001695,IAM,IAM00001695,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP10795,VDR-10795,SID785493,REPAIRED,False,False,PROBABLE
IAM00001632,IAM,IAM00001632,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP11969,VDR-11969,SID303551,UNKNOWN,False,False,PROBABLE
IAM00008500,IAM,IAM00008500,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP11411,VDR-11411,Unknown,UNKNOWN,True,False,PROBABLE
IAM00009796,IAM,IAM00009796,AUTHENTICATION,other,High,OTHER,EMP10845,Unknown,SID-761290,REPAIRED,False,False,PROBABLE
IAM00016398,IAM,IAM00016398,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP11001,VDR-11001,SID692231,UNKNOWN,False,False,PROBABLE
IAM00006344,IAM,IAM00006344,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP10540,WS-10540,SID583041,REPAIRED,False,False,PROBABLE
IAM00009028,IAM,IAM00009028,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP10750,Unknown,SID303611,REPAIRED,True,False,PROBABLE
IAM00019876,IAM,IAM00019876,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP11269,WS-11269,SID558111,UNKNOWN,False,False,PROBABLE
IAM00016832,IAM,IAM00016832,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP11877,VDR-11877,Unknown,UNKNOWN,True,False,PROBABLE
IAM00017893,IAM,IAM00017893,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP12179,WS-12179,Unknown,UNKNOWN,True,False,PROBABLE
IAM00011019,IAM,IAM00011019,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP11788,LPT-11788,SID171239,REPAIRED,False,False,PROBABLE
IAM00002644,IAM,IAM00002644,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP11178,LPT-11178,Unknown,IMPUTED,False,False,PROBABLE
IAM00018557,IAM,IAM00018557,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP11559,VDR-11559,SID715746,REPAIRED,True,False,PROBABLE
IAM00000277,IAM,IAM00000277,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP10606,WS-10606,SID484519,UNKNOWN,False,False,PROBABLE
IAM00000759,IAM,IAM00000759,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP11829,WS-11829,SID105481,REPAIRED,False,False,PROBABLE
IAM00004991,IAM,IAM00004991,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP10280,WS-10280,SID161473,UNKNOWN,False,False,PROBABLE
IAM00003438,IAM,IAM00003438,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP10585,VDR-10585,SID194230,VALID,True,False,EXACT
IAM00000401,IAM,IAM00000401,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP10340,VDR-10340,SID919749,UNKNOWN,False,False,PROBABLE
IAM00017849,IAM,IAM00017849,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP12111,LPT-12111,SID736536,UNKNOWN,False,False,PROBABLE
IAM00010888,IAM,IAM00010888,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP10912,LPT-10912,SID353274,REPAIRED,True,False,PROBABLE
IAM00005264,IAM,IAM00005264,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP12505,LPT-12505,SID357127,REPAIRED,True,False,PROBABLE
IAM00013994,IAM,IAM00013994,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP12775,VDR-12775,Unknown,REPAIRED,True,False,PROBABLE
IAM00011264,IAM,IAM00011264,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP10446,LPT-10446,SID850207,REPAIRED,False,False,PROBABLE
IAM00019608,IAM,IAM00019608,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP10746,WS-10746,Unknown,REPAIRED,True,False,PROBABLE
IAM00004561,IAM,IAM00004561,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP12550,WS-12550,SID685934,UNKNOWN,False,False,PROBABLE
IAM00000365,IAM,IAM00000365,AUTHENTICATION,login_failed,Low,LOGIN_FAILED,EMP12079,VDR-12079,SID961370,UNKNOWN,True,False,PROBABLE
IAM00000883,IAM,IAM00000883,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP10554,WS-10554,Unknown,REPAIRED,False,False,PROBABLE
IAM00005465,IAM,IAM00005465,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP10843,VDR-10843,Unknown,UNKNOWN,False,False,PROBABLE
IAM00018271,IAM,IAM00018271,AUTHENTICATION,login_failed,Low,LOGIN_FAILED,EMP12423,VDR-12423,Unknown,UNKNOWN,False,False,PROBABLE
IAM00010074,IAM,IAM00010074,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP12777,VDR-12777,SID190608,UNKNOWN,False,False,PROBABLE
IAM00006398,IAM,IAM00006398,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP10356,LPT-10356,Unknown,UNKNOWN,True,False,PROBABLE
IAM00007012,IAM,IAM00007012,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP12061,LPT-12061,SID983969,REPAIRED,True,False,PROBABLE
IAM00014128,IAM,IAM00014128,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP10781,WS-10781,SID705402,VALID,False,False,EXACT
IAM00003459,IAM,IAM00003459,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP12353,VDR-12353,Unknown,UNKNOWN,False,False,PROBABLE
IAM00014663,IAM,IAM00014663,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP10525,LPT-10525,Unknown,REPAIRED,False,False,PROBABLE
IAM00014377,IAM,IAM00014377,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP12579,VDR-12579,SID271554,IMPUTED,True,False,PROBABLE
IAM00004374,IAM,IAM00004374,AUTHENTICATION,other,Low,OTHER,EMP12157,VDR-12157,Unknown,UNKNOWN,False,False,PROBABLE
IAM00015556,IAM,IAM00015556,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP12197,LPT-12197,Unknown,UNKNOWN,False,False,PROBABLE
IAM00008339,IAM,IAM00008339,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP10320,LPT-10320,SID469797,UNKNOWN,False,False,PROBABLE
IAM00015981,IAM,IAM00015981,AUTHENTICATION,login_failed,Low,LOGIN_FAILED,EMP11232,VDR-11232,SID232927,UNKNOWN,False,False,PROBABLE
IAM00016222,IAM,IAM00016222,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP12027,LPT-12027,SID461004,UNKNOWN,True,False,PROBABLE
IAM00008614,IAM,IAM00008614,AUTHENTICATION,other,High,OTHER,EMP11821,VDR-11821,Unknown,UNKNOWN,True,False,PROBABLE
IAM00019041,IAM,IAM00019041,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP12235,VDR-12235,Unknown,UNKNOWN,False,False,PROBABLE
IAM00016213,IAM,IAM00016213,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP12767,LPT-12767,SID849855,REPAIRED,True,False,PROBABLE
IAM00013290,IAM,IAM00013290,AUTHENTICATION,other,Medium,OTHER,EMP11104,WS-11104,SID-473409,REPAIRED,True,False,PROBABLE
IAM00019419,IAM,IAM00019419,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP11359,LPT-11359,Unknown,UNKNOWN,False,False,PROBABLE
IAM00005379,IAM,IAM00005379,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP12418,WS-12418,SID843137,UNKNOWN,False,False,PROBABLE
IAM00012904,IAM,IAM00012904,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP11321,LPT-11321,SID859629,UNKNOWN,True,False,PROBABLE
IAM00000582,IAM,IAM00000582,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP12546,WS-12546,SID617454,UNKNOWN,False,False,PROBABLE
IAM00019344,IAM,IAM00019344,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP11846,VDR-11846,SID584977,VALID,False,False,EXACT
IAM00015925,IAM,IAM00015925,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP12111,LPT-12111,Unknown,UNKNOWN,False,False,PROBABLE
IAM00006142,IAM,IAM00006142,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP10251,VDR-10251,SID259499,VALID,True,False,EXACT
IAM00009370,IAM,IAM00009370,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP12604,VDR-12604,SID342883,IMPUTED,True,False,PROBABLE
IAM00000213,IAM,IAM00000213,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP10741,LPT-10741,SID124331,UNKNOWN,True,False,PROBABLE
IAM00008999,IAM,IAM00008999,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP10957,LPT-10957,Unknown,REPAIRED,True,False,PROBABLE
IAM00016908,IAM,IAM00016908,AUTHENTICATION,other,Low,OTHER,EMP10139,WS-10139,Unknown,UNKNOWN,False,False,PROBABLE
IAM00003394,IAM,IAM00003394,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP10332,WS-10332,SID380484,UNKNOWN,False,False,PROBABLE
IAM00003763,IAM,IAM00003763,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP12937,LPT-12937,SID486287,VALID,True,False,EXACT
IAM00016155,IAM,IAM00016155,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP11444,WS-11444,Unknown,VALID,False,False,EXACT
IAM00011170,IAM,IAM00011170,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP11942,VDR-11942,Unknown,UNKNOWN,False,False,PROBABLE
IAM00009429,IAM,IAM00009429,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP12848,WS-12848,SID-992324,UNKNOWN,False,False,PROBABLE
IAM00010398,IAM,IAM00010398,AUTHENTICATION,login_failed,Low,LOGIN_FAILED,EMP12325,VDR-12325,Unknown,UNKNOWN,False,False,PROBABLE
IAM00007301,IAM,IAM00007301,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP10496,LPT-10496,SID758281,VALID,False,False,EXACT
IAM00016325,IAM,IAM00016325,AUTHENTICATION,login_failed,Low,LOGIN_FAILED,EMP10746,WS-10746,Unknown,REPAIRED,False,False,PROBABLE
IAM00000519,IAM,IAM00000519,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP12913,WS-12913,Unknown,UNKNOWN,False,False,PROBABLE
IAM00001033,IAM,IAM00001033,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP10968,LPT-10968,SID780067,REPAIRED,True,False,PROBABLE
IAM00000157,IAM,IAM00000157,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP10278,VDR-10278,SID373363,UNKNOWN,True,False,PROBABLE
IAM00007419,IAM,IAM00007419,AUTHENTICATION,login_failed,Low,LOGIN_FAILED,EMP10218,VDR-10218,SID335882,UNKNOWN,True,False,PROBABLE
IAM00010497,IAM,IAM00010497,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP10212,LPT-10212,SID302615,REPAIRED,False,False,PROBABLE
IAM00016239,IAM,IAM00016239,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP12378,LPT-12378,SID455043,UNKNOWN,False,False,PROBABLE
IAM00018740,IAM,IAM00018740,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP12852,LPT-12852,SID878009,REPAIRED,True,False,PROBABLE
IAM00002341,IAM,IAM00002341,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP10187,WS-10187,SID689073,UNKNOWN,True,False,PROBABLE
IAM00016326,IAM,IAM00016326,AUTHENTICATION,login_failed,Low,LOGIN_FAILED,EMP10114,LPT-10114,Unknown,REPAIRED,True,False,PROBABLE
IAM00011419,IAM,IAM00011419,AUTHENTICATION,other,Medium,OTHER,EMP11644,VDR-11644,Unknown,VALID,False,False,EXACT
IAM00010772,IAM,IAM00010772,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP12844,VDR-12844,Unknown,VALID,False,False,EXACT
IAM00009089,IAM,IAM00009089,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP12808,Unknown,SID473649,UNKNOWN,True,False,PROBABLE
IAM00009085,IAM,IAM00009085,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP10115,WS-10115,Unknown,REPAIRED,False,False,PROBABLE
IAM00009746,IAM,IAM00009746,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP10902,VDR-10902,Unknown,REPAIRED,False,False,PROBABLE
IAM00013526,IAM,IAM00013526,AUTHENTICATION,login_failed,Low,LOGIN_FAILED,EMP12830,WS-12830,Unknown,UNKNOWN,False,False,PROBABLE
IAM00015649,IAM,IAM00015649,AUTHENTICATION,login_failed,Low,LOGIN_FAILED,EMP12975,VDR-12975,Unknown,UNKNOWN,True,False,PROBABLE
IAM00004008,IAM,IAM00004008,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP10746,WS-10746,Unknown,UNKNOWN,True,False,PROBABLE
IAM00002207,IAM,IAM00002207,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP11042,VDR-11042,Unknown,UNKNOWN,False,False,PROBABLE
IAM00006711,IAM,IAM00006711,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP12373,VDR-12373,SID573291,REPAIRED,True,False,PROBABLE
IAM00009398,IAM,IAM00009398,AUTHENTICATION,other,Medium,OTHER,EMP12778,LPT-12778,Unknown,UNKNOWN,True,False,PROBABLE
IAM00012268,IAM,IAM00012268,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP11662,LPT-11662,SID241447,VALID,True,False,EXACT
IAM00003544,IAM,IAM00003544,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP10468,WS-10468,Unknown,IMPUTED,False,False,PROBABLE
IAM00016535,IAM,IAM00016535,AUTHENTICATION,login_failed,Low,LOGIN_FAILED,EMP12418,WS-12418,Unknown,UNKNOWN,True,False,PROBABLE
IAM00010319,IAM,IAM00010319,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP11561,LPT-11561,Unknown,VALID,False,False,EXACT
IAM00007409,IAM,IAM00007409,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP11640,LPT-11640,SID207852,REPAIRED,False,False,PROBABLE
IAM00012194,IAM,IAM00012194,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP12583,LPT-12583,Unknown,UNKNOWN,True,False,PROBABLE
IAM00018701,IAM,IAM00018701,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP12643,LPT-12643,Unknown,UNKNOWN,False,False,PROBABLE
IAM00013939,IAM,IAM00013939,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP12304,LPT-12304,Unknown,UNKNOWN,True,False,PROBABLE
IAM00008498,IAM,IAM00008498,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP10956,LPT-10956,SID188027,REPAIRED,True,False,PROBABLE
IAM00010607,IAM,IAM00010607,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP10126,WS-10126,SID283764,REPAIRED,True,False,PROBABLE
IAM00014355,IAM,IAM00014355,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP12650,VDR-12650,SID539890,UNKNOWN,True,False,PROBABLE
IAM00000446,IAM,IAM00000446,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP11358,WS-11358,Unknown,REPAIRED,True,False,PROBABLE
IAM00000697,IAM,IAM00000697,AUTHENTICATION,other,High,OTHER,EMP10573,WS-10573,Unknown,REPAIRED,False,False,PROBABLE
IAM00006570,IAM,IAM00006570,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP11892,VDR-11892,Unknown,UNKNOWN,True,False,PROBABLE
IAM00003891,IAM,IAM00003891,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP11347,WS-11347,Unknown,UNKNOWN,False,False,PROBABLE
IAM00003044,IAM,IAM00003044,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP12777,VDR-12777,Unknown,REPAIRED,True,False,PROBABLE
IAM00012467,IAM,IAM00012467,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP10745,LPT-10745,Unknown,UNKNOWN,True,False,PROBABLE
IAM00016256,IAM,IAM00016256,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP12418,WS-12418,SID781413,UNKNOWN,True,False,PROBABLE
IAM00019549,IAM,IAM00019549,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP10565,LPT-10565,SID512528,REPAIRED,True,False,PROBABLE
IAM00011225,IAM,IAM00011225,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP10255,VDR-10255,SID981443,UNKNOWN,True,False,PROBABLE
IAM00005537,IAM,IAM00005537,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP12067,WS-12067,Unknown,UNKNOWN,False,False,PROBABLE
IAM00005730,IAM,IAM00005730,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP10785,LPT-10785,Unknown,REPAIRED,True,False,PROBABLE
IAM00005565,IAM,IAM00005565,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP10063,WS-10063,Unknown,UNKNOWN,True,False,PROBABLE
IAM00002079,IAM,IAM00002079,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP10625,WS-10625,SID682182,VALID,True,False,EXACT
IAM00007021,IAM,IAM00007021,AUTHENTICATION,other,Info,OTHER,EMP10786,WS-10786,Unknown,UNKNOWN,False,False,PROBABLE
IAM00006867,IAM,IAM00006867,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP12039,WS-12039,Unknown,UNKNOWN,True,False,PROBABLE
IAM00013532,IAM,IAM00013532,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP12567,VDR-12567,Unknown,VALID,True,False,EXACT
IAM00007826,IAM,IAM00007826,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP12831,LPT-12831,SID540616,REPAIRED,False,False,PROBABLE
IAM00009832,IAM,IAM00009832,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP10885,VDR-10885,Unknown,UNKNOWN,False,False,PROBABLE
IAM00008800,IAM,IAM00008800,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP12309,WS-12309,SID875740,UNKNOWN,True,False,PROBABLE
IAM00004578,IAM,IAM00004578,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP12157,VDR-12157,SID271756,REPAIRED,True,False,PROBABLE
IAM00018194,IAM,IAM00018194,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP12850,WS-12850,SID930722,IMPUTED,False,False,PROBABLE
IAM00004100,IAM,IAM00004100,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP10261,WS-10261,SID487209,REPAIRED,True,False,PROBABLE
IAM00015355,IAM,IAM00015355,AUTHENTICATION,other,Medium,OTHER,EMP10048,WS-10048,Unknown,UNKNOWN,False,False,PROBABLE
IAM00008599,IAM,IAM00008599,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP10989,LPT-10989,SID878439,REPAIRED,True,False,PROBABLE
IAM00014527,IAM,IAM00014527,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP12825,VDR-12825,Unknown,UNKNOWN,False,False,PROBABLE
IAM00016637,IAM,IAM00016637,AUTHENTICATION,login_failed,Low,LOGIN_FAILED,EMP11397,WS-11397,Unknown,REPAIRED,True,False,PROBABLE
IAM00013201,IAM,IAM00013201,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP11665,VDR-11665,SID296851,REPAIRED,True,False,PROBABLE
IAM00010708,IAM,IAM00010708,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP12039,WS-12039,Unknown,UNKNOWN,True,False,PROBABLE
IAM00003157,IAM,IAM00003157,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP11363,VDR-11363,SID-269176,REPAIRED,True,False,PROBABLE
IAM00002400,IAM,IAM00002400,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP11356,LPT-11356,Unknown,REPAIRED,True,False,PROBABLE
IAM00013773,IAM,IAM00013773,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP10130,LPT-10130,SID872243,UNKNOWN,False,False,PROBABLE
IAM00014065,IAM,IAM00014065,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP12796,LPT-12796,SID220420,UNKNOWN,False,False,PROBABLE
IAM00016698,IAM,IAM00016698,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP12978,VDR-12978,SID253003,REPAIRED,True,False,PROBABLE
IAM00012440,IAM,IAM00012440,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP11226,LPT-11226,SID755167,UNKNOWN,True,False,PROBABLE
IAM00002876,IAM,IAM00002876,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP12216,VDR-12216,Unknown,UNKNOWN,True,False,PROBABLE
IAM00016940,IAM,IAM00016940,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP10245,LPT-10245,SID460563,REPAIRED,True,False,PROBABLE
IAM00000877,IAM,IAM00000877,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP10785,LPT-10785,Unknown,REPAIRED,True,False,PROBABLE
IAM00017359,IAM,IAM00017359,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP11958,VDR-11958,Unknown,REPAIRED,True,False,PROBABLE
IAM00017456,IAM,IAM00017456,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP10871,Unknown,Unknown,UNKNOWN,True,False,PROBABLE
IAM00013370,IAM,IAM00013370,AUTHENTICATION,other,Low,OTHER,EMP12505,LPT-12505,Unknown,REPAIRED,False,False,PROBABLE
IAM00007353,IAM,IAM00007353,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP10673,VDR-10673,Unknown,IMPUTED,False,False,PROBABLE
IAM00018246,IAM,IAM00018246,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP12833,WS-12833,SID425266,UNKNOWN,True,False,PROBABLE
IAM00008344,IAM,IAM00008344,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP11226,LPT-11226,SID245559,UNKNOWN,False,False,PROBABLE
IAM00013434,IAM,IAM00013434,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP11222,LPT-11222,Unknown,REPAIRED,False,False,PROBABLE
IAM00018689,IAM,IAM00018689,AUTHENTICATION,other,Medium,OTHER,EMP12285,LPT-12285,Unknown,UNKNOWN,False,False,PROBABLE
IAM00015162,IAM,IAM00015162,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP10393,WS-10393,SID972269,VALID,True,False,EXACT
IAM00000565,IAM,IAM00000565,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP10712,VDR-10712,Unknown,UNKNOWN,True,False,PROBABLE
IAM00005233,IAM,IAM00005233,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP11801,LPT-11801,SID785705,UNKNOWN,False,False,PROBABLE
IAM00008512,IAM,IAM00008512,AUTHENTICATION,login_success,Medium,LOGIN_SUCCESS,EMP12425,LPT-12425,SID485968,UNKNOWN,False,False,PROBABLE
