hostname,temporal_sequence_count,strongest_sequence_strength,temporal_evidence_count,temporal_confidence,temporal_signal_present
lpt-11023,0,0.0,0,0.0,False
WS-12788.corp.local,0,0.0,0,0.0,False
LPT-11028.,0,0.0,0,0.0,False
WS_10134,0,0.0,0,0.0,False
WS-12283.corp.local,0,0.0,0,0.0,False
VDR-10677,0,0.0,0,0.0,False
lpt-12060,0,0.0,0,0.0,False
lpt-11506,0,0.0,0,0.0,False
LPT-12083,1,100.0,2,0.88,True
WS-11496.corp.local,0,0.0,0,0.0,False
vdr-11298,0,0.0,0,0.0,False
VDR-12856,0,0.0,0,0.0,False
WS-12256.corp.local,0,0.0,0,0.0,False
VDR-12963,0,0.0,0,0.0,False
vdr-10504,0,0.0,0,0.0,False
ws-11863,0,0.0,0,0.0,False
LPT-10141,0,0.0,0,0.0,False
VDR-11128.corp.local,0,0.0,0,0.0,False
ws-12244,0,0.0,0,0.0,False
VDR_11389,0,0.0,0,0.0,False
VDR_11930,0,0.0,0,0.0,False
WS_12496,0,0.0,0,0.0,False
VDR-11419,0,0.0,0,0.0,False
lpt-11310,0,0.0,0,0.0,False
LPT-11285,0,0.0,0,0.0,False
LPT-11866,0,0.0,0,0.0,False
lpt-12783,0,0.0,0,0.0,False
lpt-11257,0,0.0,0,0.0,False
LPT-10763,0,0.0,0,0.0,False
WS-12454.corp.local,0,0.0,0,0.0,False
VDR_12168,0,0.0,0,0.0,False
WS-11845,0,0.0,0,0.0,False
LPT-11884,0,0.0,0,0.0,False
VDR-10123.corp.local,0,0.0,0,0.0,False
LPT-10852.corp.local,0,0.0,0,0.0,False
LPT_10416,0,0.0,0,0.0,False
LPT-11917,0,0.0,0,0.0,False
vdr-12580,0,0.0,0,0.0,False
LPT-12737.corp.local,0,0.0,0,0.0,False
WS_12632,0,0.0,0,0.0,False
VDR-11412,0,0.0,0,0.0,False
VDR_10648,0,0.0,0,0.0,False
lpt-10745,0,0.0,0,0.0,False
WS-11865,0,0.0,0,0.0,False
WS-11939,0,0.0,0,0.0,False
VDR_10218,0,0.0,0,0.0,False
VDR_12991,0,0.0,0,0.0,False
ws-10517,0,0.0,0,0.0,False
VDR-12450,1,100.0,2,0.88,True
VDR_12090,0,0.0,0,0.0,False
WS-10721,0,0.0,0,0.0,False
ws-12221,0,0.0,0,0.0,False
LPT_10654,0,0.0,0,0.0,False
WS-11381,1,100.0,2,0.88,True
LPT-10863.corp.local,0,0.0,0,0.0,False
lpt-12049,0,0.0,0,0.0,False
LPT_11732,0,0.0,0,0.0,False
WS-11540,0,0.0,0,0.0,False
WS-10870,0,0.0,0,0.0,False
WS-12136,0,0.0,0,0.0,False
VDR-12543.corp.local,0,0.0,0,0.0,False
WS-12396,0,0.0,0,0.0,False
VDR-11094,0,0.0,0,0.0,False
lpt-12094,0,0.0,0,0.0,False
WS-10292,1,100.0,2,0.88,True
VDR_10357,0,0.0,0,0.0,False
LPT_10965,0,0.0,0,0.0,False
WS-12977,0,0.0,0,0.0,False
ws-12553,0,0.0,0,0.0,False
LPT-10403.corp.local,0,0.0,0,0.0,False
WS_12439,0,0.0,0,0.0,False
VDR-12353,0,0.0,0,0.0,False
VDR-11929,1,75.0,2,0.73,True
VDR-11697,1,100.0,2,0.88,True
VDR_10793,0,0.0,0,0.0,False
WS-12637,0,0.0,0,0.0,False
ws-11361,0,0.0,0,0.0,False
vdr-10234,0,0.0,0,0.0,False
vdr-10466,0,0.0,0,0.0,False
VDR-10196,0,0.0,0,0.0,False
ws-11416,0,0.0,0,0.0,False
VDR-12823,0,0.0,0,0.0,False
VDR-10462,0,0.0,0,0.0,False
VDR-10358,1,90.0,3,0.77,True
LPT-10439,0,0.0,0,0.0,False
LPT_11631,0,0.0,0,0.0,False
ws-12072,0,0.0,0,0.0,False
WS_12255,0,0.0,0,0.0,False
LPT-10596,0,0.0,0,0.0,False
LPT-11614.corp.local,0,0.0,0,0.0,False
WS-11193,0,0.0,0,0.0,False
LPT-12762.corp.local,0,0.0,0,0.0,False
lpt-11573,0,0.0,0,0.0,False
VDR-12395.corp.local,0,0.0,0,0.0,False
vdr-11493,0,0.0,0,0.0,False
LPT-11615.corp.local,0,0.0,0,0.0,False
WS-10737,0,0.0,0,0.0,False
lpt-12810,0,0.0,0,0.0,False
LPT-11369.corp.local,0,0.0,0,0.0,False
vdr-11817,0,0.0,0,0.0,False
VDR_10664,0,0.0,0,0.0,False
LPT_10488,0,0.0,0,0.0,False
VDR-11853,1,100.0,2,0.88,True
WS-11715.corp.local,0,0.0,0,0.0,False
VDR-10300.corp.local,0,0.0,0,0.0,False
WS-11154,0,0.0,0,0.0,False
VDR-12945,0,0.0,0,0.0,False
lpt-10563,0,0.0,0,0.0,False
vdr-11396,0,0.0,0,0.0,False
LPT-10463,0,0.0,0,0.0,False
LPT_10098,0,0.0,0,0.0,False
VDR_11081,0,0.0,0,0.0,False
LPT_12907,0,0.0,0,0.0,False
lpt-12662,0,0.0,0,0.0,False
vdr-11345,0,0.0,0,0.0,False
LPT-11751.corp.local,0,0.0,0,0.0,False
LPT_12772,0,0.0,0,0.0,False
LPT-12068,0,0.0,0,0.0,False
vdr-12022,0,0.0,0,0.0,False
LPT_12207,0,0.0,0,0.0,False
VDR-11913,0,0.0,0,0.0,False
VDR_11083,0,0.0,0,0.0,False
VDR-11794,0,0.0,0,0.0,False
VDR-12270.corp.local,0,0.0,0,0.0,False
lpt-12885,0,0.0,0,0.0,False
ws-11672,0,0.0,0,0.0,False
lpt-10852,0,0.0,0,0.0,False
ws-12255,0,0.0,0,0.0,False
VDR-12624,0,0.0,0,0.0,False
VDR-10124,0,0.0,0,0.0,False
VDR-12142,0,0.0,0,0.0,False
LPT-12202,0,0.0,0,0.0,False
LPT_12566,0,0.0,0,0.0,False
WS_12175,0,0.0,0,0.0,False
LPT-10311,0,0.0,0,0.0,False
WS-11245.corp.local,0,0.0,0,0.0,False
LPT_12167,0,0.0,0,0.0,False
VDR-11400,0,0.0,0,0.0,False
LPT-10637,2,100.0,4,0.88,True
LPT-12675,0,0.0,0,0.0,False
LPT-12252.corp.local,0,0.0,0,0.0,False
lpt-12768,0,0.0,0,0.0,False
WS-11041,0,0.0,0,0.0,False
VDR-10571,0,0.0,0,0.0,False
LPT-10130.corp.local,0,0.0,0,0.0,False
VDR-12816,0,0.0,0,0.0,False
VDR-11811.corp.local,0,0.0,0,0.0,False
VDR-12330,0,0.0,0,0.0,False
VDR-11883,0,0.0,0,0.0,False
WS-11723.,0,0.0,0,0.0,False
LPT-11123,1,100.0,2,0.88,True
VDR-11838,0,0.0,0,0.0,False
WS-11111.corp.local,0,0.0,0,0.0,False
LPT-11825.corp.local,0,0.0,0,0.0,False
LPT-11862,0,0.0,0,0.0,False
VDR-12019.corp.local,0,0.0,0,0.0,False
ws-11331,0,0.0,0,0.0,False
VDR-12059.,0,0.0,0,0.0,False
VDR-12185.corp.local,0,0.0,0,0.0,False
vdr-11838,0,0.0,0,0.0,False
LPT-12786,0,0.0,0,0.0,False
LPT-10678,0,0.0,0,0.0,False
LPT-12772,0,0.0,0,0.0,False
lpt-11546,0,0.0,0,0.0,False
LPT_12584,0,0.0,0,0.0,False
LPT-11258,0,0.0,0,0.0,False
ws-10090,0,0.0,0,0.0,False
LPT-10254,0,0.0,0,0.0,False
VDR-11996.corp.local,0,0.0,0,0.0,False
LPT-12303,0,0.0,0,0.0,False
LPT-10894.corp.local,0,0.0,0,0.0,False
VDR-12200.corp.local,0,0.0,0,0.0,False
VDR-12896.,0,0.0,0,0.0,False
VDR-12543,0,0.0,0,0.0,False
vdr-10238,0,0.0,0,0.0,False
VDR-12119,0,0.0,0,0.0,False
lpt-10114,0,0.0,0,0.0,False
vdr-12342,0,0.0,0,0.0,False
WS_10800,0,0.0,0,0.0,False
ws-12866,0,0.0,0,0.0,False
LPT-12566.corp.local,0,0.0,0,0.0,False
WS-11366,0,0.0,0,0.0,False
WS_12987,0,0.0,0,0.0,False
VDR-10244.corp.local,0,0.0,0,0.0,False
VDR-12040,0,0.0,0,0.0,False
VDR-10761.corp.local,0,0.0,0,0.0,False
lpt-10345,0,0.0,0,0.0,False
WS-11342,0,0.0,0,0.0,False
VDR-12033.corp.local,0,0.0,0,0.0,False
LPT-11346,0,0.0,0,0.0,False
WS-10408.corp.local,0,0.0,0,0.0,False
WS-10307.corp.local,0,0.0,0,0.0,False
WS-11360.corp.local,0,0.0,0,0.0,False
VDR-11752,0,0.0,0,0.0,False
ws-12614,0,0.0,0,0.0,False
lpt-10321,0,0.0,0,0.0,False
ws-10564,0,0.0,0,0.0,False
LPT-12960.corp.local,0,0.0,0,0.0,False
VDR_11666,0,0.0,0,0.0,False
lpt-10522,0,0.0,0,0.0,False
WS-11711,0,0.0,0,0.0,False
LPT-11438,0,0.0,0,0.0,False
VDR-11606.corp.local,0,0.0,0,0.0,False
WS-12930,0,0.0,0,0.0,False
LPT-10131,0,0.0,0,0.0,False
VDR-12896.corp.local,0,0.0,0,0.0,False
LPT-11691.corp.local,0,0.0,0,0.0,False
LPT_12044,0,0.0,0,0.0,False
vdr-10502,0,0.0,0,0.0,False
LPT-11488.corp.local,0,0.0,0,0.0,False
LPT_12116,0,0.0,0,0.0,False
lpt-11941,0,0.0,0,0.0,False
VDR-11273.corp.local,0,0.0,0,0.0,False
vdr-10342,0,0.0,0,0.0,False
LPT-10811.corp.local,0,0.0,0,0.0,False
LPT-12462,0,0.0,0,0.0,False
VDR-10449.corp.local,0,0.0,0,0.0,False
WS_10105,0,0.0,0,0.0,False
LPT-11569,0,0.0,0,0.0,False
LPT-12920,0,0.0,0,0.0,False
VDR-10502.corp.local,0,0.0,0,0.0,False
WS-12236,0,0.0,0,0.0,False
WS-11456,0,0.0,0,0.0,False
vdr-10732,0,0.0,0,0.0,False
lpt-12708,0,0.0,0,0.0,False
WS-12125,0,0.0,0,0.0,False
VDR-10724,0,0.0,0,0.0,False
WS-10730,0,0.0,0,0.0,False
WS-10602,0,0.0,0,0.0,False
WS-11000,0,0.0,0,0.0,False
lpt-12506,0,0.0,0,0.0,False
ws-12172,0,0.0,0,0.0,False
WS-11044,0,0.0,0,0.0,False
LPT-12182.,0,0.0,0,0.0,False
WS-11967,0,0.0,0,0.0,False
LPT-11184.corp.local,0,0.0,0,0.0,False
VDR-10830.corp.local,0,0.0,0,0.0,False
vdr-11703,0,0.0,0,0.0,False
lpt-10581,0,0.0,0,0.0,False
vdr-12646,0,0.0,0,0.0,False
LPT-11561,0,0.0,0,0.0,False
vdr-12152,0,0.0,0,0.0,False
VDR-10846,0,0.0,0,0.0,False
VDR-11910,0,0.0,0,0.0,False
VDR-12488.corp.local,0,0.0,0,0.0,False
lpt-12689,0,0.0,0,0.0,False
VDR-11748,0,0.0,0,0.0,False
VDR-12568.corp.local,0,0.0,0,0.0,False
WS_10564,0,0.0,0,0.0,False
vdr-11090,0,0.0,0,0.0,False
LPT-10364,0,0.0,0,0.0,False
LPT-12322.,0,0.0,0,0.0,False
VDR_10698,0,0.0,0,0.0,False
VDR_12663,0,0.0,0,0.0,False
LPT-11673,0,0.0,0,0.0,False
vdr-10680,0,0.0,0,0.0,False
ws-12344,0,0.0,0,0.0,False
LPT_12670,0,0.0,0,0.0,False
VDR-10536,0,0.0,0,0.0,False
VDR-10801,0,0.0,0,0.0,False
ws-11760,0,0.0,0,0.0,False
ws-12833,0,0.0,0,0.0,False
VDR-12137.corp.local,0,0.0,0,0.0,False
VDR-10499,0,0.0,0,0.0,False
LPT-11438.corp.local,0,0.0,0,0.0,False
LPT-11926.corp.local,0,0.0,0,0.0,False
LPT_11321,0,0.0,0,0.0,False
WS-12931,0,0.0,0,0.0,False
WS-10812,1,100.0,2,0.88,True
vdr-11327,0,0.0,0,0.0,False
lpt-11751,0,0.0,0,0.0,False
LPT-11685.corp.local,0,0.0,0,0.0,False
WS_11613,0,0.0,0,0.0,False
VDR-11811.,0,0.0,0,0.0,False
LPT_11528,0,0.0,0,0.0,False
WS-12031.corp.local,0,0.0,0,0.0,False
VDR-12579,5,75.0,10,0.73,True
LPT_11478,0,0.0,0,0.0,False
VDR_11155,0,0.0,0,0.0,False
LPT-10107.corp.local,0,0.0,0,0.0,False
LPT-12301.corp.local,0,0.0,0,0.0,False
VDR-12005,0,0.0,0,0.0,False
VDR_10689,0,0.0,0,0.0,False
VDR-11731.corp.local,0,0.0,0,0.0,False
LPT-11235.corp.local,0,0.0,0,0.0,False
LPT_11561,0,0.0,0,0.0,False
LPT-10775,0,0.0,0,0.0,False
WS-12047.corp.local,0,0.0,0,0.0,False
lpt-10976,0,0.0,0,0.0,False
VDR-11596,0,0.0,0,0.0,False
lpt-10076,0,0.0,0,0.0,False
WS-10506,0,0.0,0,0.0,False
LPT_11178,0,0.0,0,0.0,False
WS-10505,0,0.0,0,0.0,False
LPT-12133,0,0.0,0,0.0,False
LPT-11614,0,0.0,0,0.0,False
WS-10726,0,0.0,0,0.0,False
VDR-12692,0,0.0,0,0.0,False
WS-10399,0,0.0,0,0.0,False
ws-12846,0,0.0,0,0.0,False
WS-10749,0,0.0,0,0.0,False
WS-10832,0,0.0,0,0.0,False
WS-11422.corp.local,0,0.0,0,0.0,False
VDR-12646.corp.local,0,0.0,0,0.0,False
VDR-12740,0,0.0,0,0.0,False
WS-12559.corp.local,0,0.0,0,0.0,False
WS-11026,1,75.0,2,0.73,True
LPT-11052.corp.local,0,0.0,0,0.0,False
WS-11020,0,0.0,0,0.0,False
LPT-10375.corp.local,0,0.0,0,0.0,False
LPT-10989,0,0.0,0,0.0,False
vdr-12825,0,0.0,0,0.0,False
ws-12745,0,0.0,0,0.0,False
WS-11186.,0,0.0,0,0.0,False
LPT-12575.,0,0.0,0,0.0,False
WS_11535,0,0.0,0,0.0,False
WS-11915,0,0.0,0,0.0,False
ws-11621,0,0.0,0,0.0,False
LPT-10447.corp.local,0,0.0,0,0.0,False
ws-12283,0,0.0,0,0.0,False
LPT-10424,0,0.0,0,0.0,False
VDR-10907,0,0.0,0,0.0,False
WS-11043,0,0.0,0,0.0,False
VDR_10923,0,0.0,0,0.0,False
VDR-10795,0,0.0,0,0.0,False
VDR-10611.corp.local,0,0.0,0,0.0,False
WS_11905,0,0.0,0,0.0,False
VDR-10597,0,0.0,0,0.0,False
VDR-12781.corp.local,0,0.0,0,0.0,False
VDR-12212,1,75.0,2,0.73,True
WS-11944,0,0.0,0,0.0,False
VDR_11082,0,0.0,0,0.0,False
WS-12035,0,0.0,0,0.0,False
ws-12794,0,0.0,0,0.0,False
lpt-10055,0,0.0,0,0.0,False
LPT-11824,0,0.0,0,0.0,False
LPT_12524,0,0.0,0,0.0,False
LPT-11050,0,0.0,0,0.0,False
VDR_11413,0,0.0,0,0.0,False
lpt-11869,0,0.0,0,0.0,False
VDR-11306.corp.local,0,0.0,0,0.0,False
VDR-10244,1,100.0,2,0.88,True
VDR_11653,0,0.0,0,0.0,False
ws-12981,0,0.0,0,0.0,False
LPT-12315,1,100.0,2,0.88,True
ws-11879,0,0.0,0,0.0,False
LPT_12743,0,0.0,0,0.0,False
WS-12828.corp.local,0,0.0,0,0.0,False
WS-11347.corp.local,0,0.0,0,0.0,False
vdr-10110,0,0.0,0,0.0,False
WS-11553.,0,0.0,0,0.0,False
lpt-11903,0,0.0,0,0.0,False
WS-12219.corp.local,0,0.0,0,0.0,False
VDR-11412.corp.local,0,0.0,0,0.0,False
vdr-12568,0,0.0,0,0.0,False
LPT_12069,0,0.0,0,0.0,False
WS-11137,0,0.0,0,0.0,False
lpt-11635,0,0.0,0,0.0,False
ws-11355,0,0.0,0,0.0,False
VDR-11433,0,0.0,0,0.0,False
LPT-11212,0,0.0,0,0.0,False
LPT-11741,1,75.0,2,0.73,True
ws-11864,0,0.0,0,0.0,False
vdr-11087,0,0.0,0,0.0,False
LPT-11162.corp.local,0,0.0,0,0.0,False
LPT-10420.corp.local,0,0.0,0,0.0,False
WS_11849,0,0.0,0,0.0,False
WS-11915.corp.local,0,0.0,0,0.0,False
WS-11218,0,0.0,0,0.0,False
WS-10023.corp.local,0,0.0,0,0.0,False
LPT-12029,2,75.0,4,0.73,True
VDR-10326,0,0.0,0,0.0,False
ws-10213,0,0.0,0,0.0,False
WS-10803.corp.local,0,0.0,0,0.0,False
lpt-11457,0,0.0,0,0.0,False
lpt-10441,0,0.0,0,0.0,False
VDR-11251,0,0.0,0,0.0,False
WS-11756.corp.local,0,0.0,0,0.0,False
LPT-12004,0,0.0,0,0.0,False
ws-12935,0,0.0,0,0.0,False
WS-10794,0,0.0,0,0.0,False
ws-11049,0,0.0,0,0.0,False
VDR-11779.corp.local,0,0.0,0,0.0,False
LPT_12294,0,0.0,0,0.0,False
WS-11520,1,75.0,2,0.73,True
LPT-11716,0,0.0,0,0.0,False
VDR-11596.corp.local,0,0.0,0,0.0,False
lpt-12787,0,0.0,0,0.0,False
WS_10039,0,0.0,0,0.0,False
vdr-10947,0,0.0,0,0.0,False
LPT-10894,0,0.0,0,0.0,False
LPT-11116.corp.local,0,0.0,0,0.0,False
vdr-10622,0,0.0,0,0.0,False
WS-10242,0,0.0,0,0.0,False
LPT-12831.corp.local,0,0.0,0,0.0,False
WS-12726,0,0.0,0,0.0,False
WS-12952,0,0.0,0,0.0,False
LPT-12708.,0,0.0,0,0.0,False
vdr-12875,0,0.0,0,0.0,False
WS-10915,0,0.0,0,0.0,False
lpt-11149,0,0.0,0,0.0,False
VDR-10193,0,0.0,0,0.0,False
vdr-12156,0,0.0,0,0.0,False
WS_11851,0,0.0,0,0.0,False
LPT_11701,0,0.0,0,0.0,False
VDR-12173.,0,0.0,0,0.0,False
lpt-12203,0,0.0,0,0.0,False
ws-11384,0,0.0,0,0.0,False
lpt-12528,0,0.0,0,0.0,False
LPT-12205,0,0.0,0,0.0,False
vdr-10869,0,0.0,0,0.0,False
LPT-10094,0,0.0,0,0.0,False
WS-11203.corp.local,0,0.0,0,0.0,False
VDR-11509,0,0.0,0,0.0,False
LPT-11616,0,0.0,0,0.0,False
ws-11699,0,0.0,0,0.0,False
VDR-11012.corp.local,0,0.0,0,0.0,False
vdr-12243,0,0.0,0,0.0,False
VDR-12894,0,0.0,0,0.0,False
vdr-11495,0,0.0,0,0.0,False
VDR-12222.corp.local,0,0.0,0,0.0,False
LPT-12990.corp.local,0,0.0,0,0.0,False
LPT-10854,0,0.0,0,0.0,False
VDR-10017.corp.local,0,0.0,0,0.0,False
WS-11538,0,0.0,0,0.0,False
WS-10195.corp.local,0,0.0,0,0.0,False
LPT-12354,0,0.0,0,0.0,False
LPT_11181,0,0.0,0,0.0,False
vdr-12883,0,0.0,0,0.0,False
WS-10574.corp.local,0,0.0,0,0.0,False
LPT_11920,0,0.0,0,0.0,False
WS-11738,0,0.0,0,0.0,False
VDR_11404,0,0.0,0,0.0,False
ws-12195,0,0.0,0,0.0,False
VDR-12656.corp.local,0,0.0,0,0.0,False
WS-12793.corp.local,0,0.0,0,0.0,False
VDR-11277,0,0.0,0,0.0,False
WS_10803,0,0.0,0,0.0,False
lpt-11027,0,0.0,0,0.0,False
VDR-11007,2,100.0,4,0.88,True
lpt-10120,0,0.0,0,0.0,False
WS_10301,0,0.0,0,0.0,False
lpt-12196,0,0.0,0,0.0,False
WS-10964,0,0.0,0,0.0,False
WS-12390,0,0.0,0,0.0,False
LPT-12927.corp.local,0,0.0,0,0.0,False
lpt-11862,0,0.0,0,0.0,False
VDR_11600,0,0.0,0,0.0,False
VDR_10343,0,0.0,0,0.0,False
lpt-11238,0,0.0,0,0.0,False
WS-11323,0,0.0,0,0.0,False
VDR_10693,0,0.0,0,0.0,False
vdr-12647,0,0.0,0,0.0,False
LPT_12301,0,0.0,0,0.0,False
VDR-11964,0,0.0,0,0.0,False
lpt-12408,0,0.0,0,0.0,False
WS_12912,0,0.0,0,0.0,False
LPT-11875,0,0.0,0,0.0,False
vdr-10588,0,0.0,0,0.0,False
WS-11648,0,0.0,0,0.0,False
VDR-10960,0,0.0,0,0.0,False
VDR-12971.corp.local,0,0.0,0,0.0,False
LPT_11744,0,0.0,0,0.0,False
WS_12472,0,0.0,0,0.0,False
VDR-12023,0,0.0,0,0.0,False
vdr-10638,0,0.0,0,0.0,False
LPT_10094,0,0.0,0,0.0,False
LPT-11288,0,0.0,0,0.0,False
lpt-10728,0,0.0,0,0.0,False
ws-11141,0,0.0,0,0.0,False
lpt-12144,0,0.0,0,0.0,False
lpt-10197,0,0.0,0,0.0,False
WS-12050,0,0.0,0,0.0,False
lpt-12743,0,0.0,0,0.0,False
VDR-12577.,0,0.0,0,0.0,False
WS-12794,0,0.0,0,0.0,False
WS-10228,0,0.0,0,0.0,False
WS_12037,0,0.0,0,0.0,False
WS-10739,0,0.0,0,0.0,False
lpt-12796,0,0.0,0,0.0,False
LPT-12530.corp.local,0,0.0,0,0.0,False
vdr-12577,0,0.0,0,0.0,False
lpt-12582,0,0.0,0,0.0,False
ws-10809,0,0.0,0,0.0,False
lpt-11183,0,0.0,0,0.0,False
WS-10074,0,0.0,0,0.0,False
lpt-10815,0,0.0,0,0.0,False
LPT_11740,0,0.0,0,0.0,False
ws-10908,0,0.0,0,0.0,False
WS-12062.corp.local,0,0.0,0,0.0,False
LPT-12524,0,0.0,0,0.0,False
VDR-10240,0,0.0,0,0.0,False
LPT_11831,0,0.0,0,0.0,False
VDR-10024.corp.local,0,0.0,0,0.0,False
WS-12887.corp.local,0,0.0,0,0.0,False
lpt-11744,0,0.0,0,0.0,False
WS-10288.corp.local,0,0.0,0,0.0,False
LPT-12158.corp.local,0,0.0,0,0.0,False
ws-10442,0,0.0,0,0.0,False
VDR-12310,0,0.0,0,0.0,False
vdr-10035,0,0.0,0,0.0,False
WS-11372.corp.local,0,0.0,0,0.0,False
VDR-10510.corp.local,0,0.0,0,0.0,False
vdr-10658,0,0.0,0,0.0,False
VDR-12313,0,0.0,0,0.0,False
WS_12605,0,0.0,0,0.0,False
WS-12067.corp.local,0,0.0,0,0.0,False
LPT-10651.corp.local,0,0.0,0,0.0,False
ws-11172,0,0.0,0,0.0,False
WS-12097.corp.local,0,0.0,0,0.0,False
WS_12365,0,0.0,0,0.0,False
WS-10579,0,0.0,0,0.0,False
VDR-11279,0,0.0,0,0.0,False
ws-12117,0,0.0,0,0.0,False
LPT-12049.corp.local,0,0.0,0,0.0,False
