entity_id,entity_type,hypothesis,traceone_risk_score,confidence_score,supporting_signals,counter_evidence,limitations
EMP10314,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.7383,"Auth:0.0, Net:0.0, Ep:8.43, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 6, TS Quality: 0.8333"
EMP10102,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.55,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 4, TS Quality: 1.0"
EMP11437,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.865,"Auth:8.43, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 8, TS Quality: 1.0"
EMP12959,USER,NO_ACTIONABLE_HYPOTHESIS,4.22,0.96,"Auth:4.22, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 10, TS Quality: 0.9"
EMP11221,USER,NO_ACTIONABLE_HYPOTHESIS,6.74,0.815,"Auth:6.74, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 8, TS Quality: 0.875"
EMP12935,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.775,"Auth:4.22, Net:0.0, Ep:4.22, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 5, TS Quality: 1.0"
EMP10705,USER,NO_ACTIONABLE_HYPOTHESIS,21.08,0.9273,"Auth:0.0, Net:8.43, Ep:4.22, Ops:8.43",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 11, TS Quality: 0.8182"
EMP12234,USER,NO_ACTIONABLE_HYPOTHESIS,4.22,0.835,"Auth:0.0, Net:0.0, Ep:4.22, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 7, TS Quality: 1.0"
EMP11973,USER,NO_ACTIONABLE_HYPOTHESIS,16.86,0.9333,"Auth:0.0, Net:0.0, Ep:16.86, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 12, TS Quality: 0.8333"
EMP11517,USER,NO_ACTIONABLE_HYPOTHESIS,11.45,0.8506,"Auth:3.02, Net:0.0, Ep:8.43, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 9, TS Quality: 0.8889"
EMP12976,USER,NO_ACTIONABLE_HYPOTHESIS,25.29,0.805,"Auth:8.43, Net:8.43, Ep:0.0, Ops:8.43",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 10, TS Quality: 0.7"
EMP12232,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.695,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 5, TS Quality: 0.8"
EMP10178,USER,NO_ACTIONABLE_HYPOTHESIS,9.48,0.815,"Auth:5.27, Net:0.0, Ep:4.22, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 8, TS Quality: 0.875"
EMP12030,USER,POSSIBLE_CREDENTIAL_COMPROMISE; POSSIBLE_ACCOUNT_TAKEOVER,72.02,1.0,"Auth:26.35, Net:10.54, Ep:8.78, Ops:26.35",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 20, TS Quality: 1.0"
EMP12926,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.52,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 3, TS Quality: 1.0"
EMP10611,USER,NO_ACTIONABLE_HYPOTHESIS,10.96,0.775,"Auth:6.74, Net:4.22, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 5, TS Quality: 1.0"
EMP10679,USER,NO_ACTIONABLE_HYPOTHESIS,1.99,0.805,"Auth:1.99, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 6, TS Quality: 1.0"
EMP10152,USER,POSSIBLE_CREDENTIAL_COMPROMISE; POSSIBLE_ACCOUNT_TAKEOVER; POSSIBLE_ANOMALOUS_DATA_EXFILTRATION,100.0,0.9368,"Auth:37.5, Net:37.5, Ep:0.0, Ops:37.5",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 76, TS Quality: 0.8421"
EMP12484,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.865,"Auth:4.22, Net:0.0, Ep:0.0, Ops:4.22",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 8, TS Quality: 1.0"
EMP11025,USER,NO_ACTIONABLE_HYPOTHESIS,25.0,1.0,"Auth:0.0, Net:0.0, Ep:25.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 13, TS Quality: 1.0"
EMP10907,USER,NO_ACTIONABLE_HYPOTHESIS,14.05,0.815,"Auth:1.41, Net:0.0, Ep:12.65, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 8, TS Quality: 0.875"
EMP10254,USER,NO_ACTIONABLE_HYPOTHESIS,12.65,0.7778,"Auth:0.0, Net:4.22, Ep:4.22, Ops:4.22",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 7, TS Quality: 0.8571"
EMP12416,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.9273,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 11, TS Quality: 0.8182"
EMP12332,USER,NO_ACTIONABLE_HYPOTHESIS,5.17,0.605,"Auth:0.95, Net:0.0, Ep:4.22, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 6, TS Quality: 0.5"
EMP10346,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.8061,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 9, TS Quality: 0.7778"
EMP10299,USER,NO_ACTIONABLE_HYPOTHESIS,12.65,0.895,"Auth:4.22, Net:4.22, Ep:0.0, Ops:4.22",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 9, TS Quality: 1.0"
EMP12045,USER,NO_ACTIONABLE_HYPOTHESIS,2.15,0.615,"Auth:2.15, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 5, TS Quality: 0.6"
EMP11295,USER,NO_ACTIONABLE_HYPOTHESIS,4.22,0.7778,"Auth:0.0, Net:0.0, Ep:4.22, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 7, TS Quality: 0.8571"
EMP11357,USER,NO_ACTIONABLE_HYPOTHESIS,50.29,0.9692,"Auth:12.65, Net:12.65, Ep:0.0, Ops:25.0",UNCORROBORATED_SINGLE_DIMENSION; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 13, TS Quality: 0.9231"
EMP11422,USER,NO_ACTIONABLE_HYPOTHESIS,1.41,0.835,"Auth:0.0, Net:0.0, Ep:1.41, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 7, TS Quality: 1.0"
EMP12482,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.815,"Auth:0.0, Net:0.0, Ep:8.43, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 8, TS Quality: 0.875"
EMP10139,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.865,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 8, TS Quality: 1.0"
EMP12603,USER,POSSIBLE_CREDENTIAL_COMPROMISE; POSSIBLE_ACCOUNT_TAKEOVER; POSSIBLE_ANOMALOUS_DATA_EXFILTRATION,100.0,0.925,"Auth:37.5, Net:37.5, Ep:12.65, Ops:37.5",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 64, TS Quality: 0.8125"
EMP10246,USER,NO_ACTIONABLE_HYPOTHESIS,6.74,0.835,"Auth:6.74, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 7, TS Quality: 1.0"
EMP10900,USER,POSSIBLE_CREDENTIAL_COMPROMISE; POSSIBLE_ACCOUNT_TAKEOVER; POSSIBLE_ANOMALOUS_DATA_EXFILTRATION,100.0,0.9302,"Auth:37.5, Net:37.5, Ep:0.0, Ops:37.5",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 63, TS Quality: 0.8254"
EMP12130,USER,NO_ACTIONABLE_HYPOTHESIS,1.25,0.52,"Auth:1.25, Net:0.0, Ep:0.0, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 3, TS Quality: 1.0"
EMP11681,USER,NO_ACTIONABLE_HYPOTHESIS,16.86,1.0,"Auth:4.22, Net:0.0, Ep:12.65, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 10, TS Quality: 1.0"
EMP12334,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.7383,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 6, TS Quality: 0.8333"
EMP10889,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.775,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 5, TS Quality: 1.0"
EMP11268,USER,NO_ACTIONABLE_HYPOTHESIS,7.61,0.775,"Auth:7.61, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 5, TS Quality: 1.0"
EMP11926,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.835,"Auth:0.0, Net:0.0, Ep:0.0, Ops:8.43",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 7, TS Quality: 1.0"
EMP11620,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.6717,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 6, TS Quality: 0.6667"
EMP10700,USER,NO_ACTIONABLE_HYPOTHESIS,4.26,0.865,"Auth:4.26, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 8, TS Quality: 1.0"
EMP11061,USER,NO_ACTIONABLE_HYPOTHESIS,16.86,0.9273,"Auth:0.0, Net:0.0, Ep:16.86, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 11, TS Quality: 0.8182"
EMP10485,USER,NO_ACTIONABLE_HYPOTHESIS,28.1,0.95,"Auth:8.43, Net:0.0, Ep:15.46, Ops:4.22",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 16, TS Quality: 0.875"
EMP11356,USER,NO_ACTIONABLE_HYPOTHESIS,4.22,0.55,"Auth:4.22, Net:0.0, Ep:0.0, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 4, TS Quality: 1.0"
EMP12310,USER,NO_ACTIONABLE_HYPOTHESIS,4.22,0.55,"Auth:0.0, Net:0.0, Ep:4.22, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 4, TS Quality: 1.0"
EMP12181,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.55,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 4, TS Quality: 1.0"
EMP10761,USER,NO_ACTIONABLE_HYPOTHESIS,12.65,0.895,"Auth:0.0, Net:0.0, Ep:12.65, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 9, TS Quality: 1.0"
EMP10746,USER,POSSIBLE_CREDENTIAL_COMPROMISE; POSSIBLE_ACCOUNT_TAKEOVER; POSSIBLE_ANOMALOUS_DATA_EXFILTRATION,100.0,0.9784,"Auth:37.5, Net:37.5, Ep:12.65, Ops:37.5",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 74, TS Quality: 0.9459"
EMP10321,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.8506,"Auth:0.0, Net:4.22, Ep:0.0, Ops:4.22",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 9, TS Quality: 0.8889"
EMP12707,USER,NO_ACTIONABLE_HYPOTHESIS,16.86,0.8061,"Auth:8.43, Net:8.43, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 9, TS Quality: 0.7778"
EMP10188,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.865,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 8, TS Quality: 1.0"
EMP10772,USER,POSSIBLE_CREDENTIAL_COMPROMISE; POSSIBLE_ACCOUNT_TAKEOVER; POSSIBLE_ANOMALOUS_DATA_EXFILTRATION,100.0,0.945,"Auth:37.5, Net:37.5, Ep:0.0, Ops:37.5",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 80, TS Quality: 0.8625"
EMP12496,USER,NO_ACTIONABLE_HYPOTHESIS,12.65,1.0,"Auth:0.0, Net:4.22, Ep:0.0, Ops:8.43",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 10, TS Quality: 1.0"
EMP11451,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.45,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 4, TS Quality: 0.75"
EMP12354,USER,NO_ACTIONABLE_HYPOTHESIS,16.86,0.9385,"Auth:4.22, Net:4.22, Ep:4.22, Ops:4.22",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 13, TS Quality: 0.8462"
EMP10410,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.7383,"Auth:0.0, Net:0.0, Ep:8.43, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 6, TS Quality: 0.8333"
EMP11727,USER,NO_ACTIONABLE_HYPOTHESIS,40.47,1.0,"Auth:19.39, Net:0.0, Ep:8.43, Ops:12.65",UNCORROBORATED_SINGLE_DIMENSION; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 10, TS Quality: 1.0"
EMP12852,USER,NO_ACTIONABLE_HYPOTHESIS,16.86,0.7917,"Auth:4.22, Net:4.22, Ep:8.43, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 12, TS Quality: 0.6667"
EMP12216,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.835,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 7, TS Quality: 1.0"
EMP11398,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.835,"Auth:0.0, Net:8.43, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 7, TS Quality: 1.0"
EMP11361,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.815,"Auth:0.0, Net:0.0, Ep:4.22, Ops:4.22",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 8, TS Quality: 0.875"
EMP11657,USER,NO_ACTIONABLE_HYPOTHESIS,4.22,0.7207,"Auth:4.22, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 7, TS Quality: 0.7143"
EMP10051,USER,NO_ACTIONABLE_HYPOTHESIS,12.65,0.96,"Auth:12.65, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 10, TS Quality: 0.9"
EMP11624,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.765,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 8, TS Quality: 0.75"
EMP10063,USER,POSSIBLE_CREDENTIAL_COMPROMISE; POSSIBLE_ACCOUNT_TAKEOVER; POSSIBLE_ANOMALOUS_DATA_EXFILTRATION,100.0,0.92,"Auth:37.5, Net:37.5, Ep:6.32, Ops:37.5",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 70, TS Quality: 0.8"
EMP12789,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.52,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 3, TS Quality: 1.0"
EMP12553,USER,NO_ACTIONABLE_HYPOTHESIS,4.22,0.865,"Auth:0.0, Net:0.0, Ep:4.22, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 8, TS Quality: 1.0"
EMP12530,USER,NO_ACTIONABLE_HYPOTHESIS,11.45,0.8506,"Auth:3.02, Net:0.0, Ep:8.43, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 9, TS Quality: 0.8889"
EMP11090,USER,POSSIBLE_CREDENTIAL_COMPROMISE; POSSIBLE_ACCOUNT_TAKEOVER; POSSIBLE_ANOMALOUS_DATA_EXFILTRATION,100.0,0.9594,"Auth:37.5, Net:37.5, Ep:0.0, Ops:37.5",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 69, TS Quality: 0.8986"
EMP11465,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.49,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 2, TS Quality: 1.0"
EMP11896,USER,NO_ACTIONABLE_HYPOTHESIS,1.41,0.45,"Auth:1.41, Net:0.0, Ep:0.0, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 4, TS Quality: 0.75"
EMP10052,USER,POSSIBLE_CREDENTIAL_COMPROMISE; POSSIBLE_ACCOUNT_TAKEOVER; POSSIBLE_ANOMALOUS_DATA_EXFILTRATION,100.0,0.9437,"Auth:37.5, Net:37.5, Ep:12.65, Ops:37.5",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 71, TS Quality: 0.8592"
EMP12807,USER,NO_ACTIONABLE_HYPOTHESIS,12.65,0.96,"Auth:12.65, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 10, TS Quality: 0.9"
EMP12763,USER,NO_ACTIONABLE_HYPOTHESIS,13.7,0.6717,"Auth:13.7, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 6, TS Quality: 0.6667"
EMP12551,USER,NO_ACTIONABLE_HYPOTHESIS,4.22,0.6636,"Auth:0.0, Net:0.0, Ep:4.22, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 7, TS Quality: 0.5714"
EMP12864,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,1.0,"Auth:4.22, Net:0.0, Ep:4.22, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 10, TS Quality: 1.0"
EMP10544,USER,NO_ACTIONABLE_HYPOTHESIS,21.08,0.9667,"Auth:4.22, Net:0.0, Ep:0.0, Ops:16.86",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 12, TS Quality: 0.9167"
EMP12948,USER,NO_ACTIONABLE_HYPOTHESIS,2.11,0.775,"Auth:2.11, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 5, TS Quality: 1.0"
EMP10450,USER,NO_ACTIONABLE_HYPOTHESIS,4.22,0.7778,"Auth:4.22, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 7, TS Quality: 0.8571"
EMP12515,USER,NO_ACTIONABLE_HYPOTHESIS,12.65,0.9636,"Auth:0.0, Net:0.0, Ep:12.65, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 11, TS Quality: 0.9091"
EMP10044,USER,POSSIBLE_CREDENTIAL_COMPROMISE; POSSIBLE_ACCOUNT_TAKEOVER; POSSIBLE_ANOMALOUS_DATA_EXFILTRATION,100.0,0.9657,"Auth:37.5, Net:37.5, Ep:12.65, Ops:37.5",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 70, TS Quality: 0.9143"
EMP11001,USER,POSSIBLE_CREDENTIAL_COMPROMISE; POSSIBLE_ACCOUNT_TAKEOVER; POSSIBLE_ANOMALOUS_DATA_EXFILTRATION,100.0,0.96,"Auth:37.5, Net:37.5, Ep:0.0, Ops:37.5",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 80, TS Quality: 0.9"
EMP11831,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.835,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 7, TS Quality: 1.0"
EMP10829,USER,NO_ACTIONABLE_HYPOTHESIS,4.22,0.96,"Auth:0.0, Net:0.0, Ep:0.0, Ops:4.22",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 10, TS Quality: 0.9"
EMP10598,USER,NO_ACTIONABLE_HYPOTHESIS,33.73,0.9714,"Auth:0.0, Net:16.86, Ep:4.22, Ops:12.65",UNCORROBORATED_SINGLE_DIMENSION; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 14, TS Quality: 0.9286"
EMP10408,USER,POSSIBLE_CREDENTIAL_COMPROMISE; POSSIBLE_ACCOUNT_TAKEOVER; POSSIBLE_ANOMALOUS_DATA_EXFILTRATION,100.0,0.9316,"Auth:37.5, Net:37.5, Ep:0.0, Ops:37.5",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 76, TS Quality: 0.8289"
EMP12917,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.695,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 5, TS Quality: 0.8"
EMP10256,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.8061,"Auth:0.0, Net:0.0, Ep:8.43, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 9, TS Quality: 0.7778"
EMP12028,USER,NO_ACTIONABLE_HYPOTHESIS,21.08,0.895,"Auth:0.0, Net:8.43, Ep:0.0, Ops:12.65",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 9, TS Quality: 1.0"
EMP12303,USER,NO_ACTIONABLE_HYPOTHESIS,6.32,0.7383,"Auth:6.32, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 6, TS Quality: 0.8333"
EMP11837,USER,NO_ACTIONABLE_HYPOTHESIS,4.22,0.805,"Auth:0.0, Net:0.0, Ep:0.0, Ops:4.22",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 6, TS Quality: 1.0"
EMP11702,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.7778,"Auth:4.22, Net:4.22, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 7, TS Quality: 0.8571"
EMP12490,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.805,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 6, TS Quality: 1.0"
EMP11662,USER,NO_ACTIONABLE_HYPOTHESIS,21.08,0.825,"Auth:0.0, Net:8.43, Ep:12.65, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 12, TS Quality: 0.75"
EMP10144,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.8506,"Auth:0.0, Net:0.0, Ep:8.43, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 9, TS Quality: 0.8889"
EMP12090,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.46,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 1, TS Quality: 1.0"
