user_id,username,department,global_behavior_score,dept_peer_behavior_score,peer_deviation_delta,global_vs_peer_behavior,peer_outlier_flag
EMP11090,pahal.bajwa31,Legal,12.8666,50.0946,12.5294,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP11465,brinda.chauhan94,Customer Support,0.0,-0.8094,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11896,urmi.pall82,Finance,0.0562,-0.9741,-0.3654,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10052,anirudh.ramanathan31,Marketing,13.3724,38.9422,12.979,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP12807,damyanti.wali52,Sales,0.5059,0.3374,0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12763,sanaya.kale52,Marketing,0.548,0.4639,0.1546,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12551,warinder.jaggi19,Sales,0.1686,-0.3372,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12864,pooja.choudhary68,Marketing,0.3372,-0.1686,-0.0562,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10544,harita.sura62,Human Resources,0.8431,1.2556,0.4678,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12948,aadi.mohan96,Operations,0.0843,-0.5059,-0.2529,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10450,charles.mohanty2,Finance,0.1686,-0.6745,-0.253,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12515,onveer.wason58,Sales,0.5059,0.3374,0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10044,gopal.lala36,Human Resources,12.588,32.779,12.2127,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP11001,aarush.prashad25,Procurement,13.0352,25.3994,12.698,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP11831,Unknown,Supply Chain,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10829,chaman.goda59,Legal,0.1686,-0.6741,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10598,ekalinga.walla33,IT,1.349,1.6859,0.8431,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10408,akshay.sarraf2,Procurement,12.1921,23.713,11.8549,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP12917,charita.mannan95,Sales,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10256,naveen.bhagat32,R&D,0.3372,-0.3374,-0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12028,neha_devan64,Supply Chain,0.8431,1.0119,0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12303,lila_srinivasan31,Finance,0.2529,-0.4497,-0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11837,qabil.parikh37,Sales,0.1686,-0.3372,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11702,hemang.bakshi78,Customer Support,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12490,laban.sridhar64,Human Resources,0.0,-1.0073,-0.3753,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11662,aishani.dugal36,Sales,0.8431,1.0119,0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10144,yashica_rao48,Human Resources,0.3372,-0.1023,-0.0381,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12090,vasatika.saha98,R&D,0.0,-1.0119,-0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11292,harsh.sem7,Sales,0.1686,-0.3372,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12155,ekansh.soni57,Marketing,1.6862,3.8789,1.2928,NORMAL_GLOBALLY_ANOMALOUS_PEER,True
EMP10416,arunima.tata4,Finance,0.0562,-0.9741,-0.3654,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10929,aarini.bora51,Marketing,0.3372,-0.1686,-0.0562,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12022,Unknown,Operations,0.8431,1.0119,0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10170,nathaniel_prakash13,Customer Support,0.5059,0.4049,0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11125,indali.aggarwal48,Marketing,0.5059,0.3375,0.1125,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10567,upadhriti.krishnan99,Legal,0.1686,-0.6741,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11590,mahika.som71,Operations,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12673,victor.nagar6,Finance,0.8431,1.1237,0.4215,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10134,sai.bedi96,Human Resources,0.3372,-0.1023,-0.0381,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11717,jatin.saha63,IT,0.3035,-0.4047,-0.2024,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10642,umang.dhaliwal49,Operations,0.8431,1.0119,0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11689,vaishnavi.kant81,Finance,0.3372,-0.225,-0.0844,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12745,prisha.sarkar30,Customer Support,1.2366,2.1589,0.8994,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10554,shaurya.talwar44,Operations,0.527,0.3797,0.1898,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12174,onveer.bansal17,Sales,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11538,jai.chanda34,Sales,0.8094,0.9445,0.4722,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10999,yoshita.raval66,Customer Support,0.5059,0.4049,0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10291,upasna_krishnamurthy12,Finance,12.588,32.4353,12.1664,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP11338,vansha_virk36,Marketing,0.3372,-0.1686,-0.0562,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12247,tanish.dasgupta22,IT Support,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10781,Unknown,Innovation,12.4194,23.8302,11.9135,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP10443,tejas.raghavan27,IT,0.3372,-0.3373,-0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12601,dominic.bawa78,Operations,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12149,teerth.chowdhury93,Legal,0.6745,1.3486,0.3373,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10449,jagvi.sengupta38,Operations,0.1686,-0.3372,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11029,Unknown,Human Resources,0.0,-1.0073,-0.3753,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11992,raksha.saini25,Marketing,1.8549,4.3851,1.4615,NORMAL_GLOBALLY_ANOMALOUS_PEER,True
EMP12403,andrew.vasa6,Sales,0.607,0.5397,0.2698,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12750,darika.parekh27,IT,0.5059,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10000,vrinda.dua82,Human Resources,0.5059,0.3505,0.1306,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11048,quincy.lata26,Finance,0.6745,0.6742,0.2529,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10270,upkaar.doshi48,Operations,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10736,jackson.cherian13,R&D,0.2951,-0.4217,-0.2108,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10298,aradhana.yogi41,Marketing,14.2156,41.4722,13.8222,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP10032,lila.nadkarni27,Operations,0.1686,-0.3372,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12498,lekha.kapoor10,Innovation,0.5059,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10014,ridhi.saini2,Human Resources,13.5997,35.4944,13.2244,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP10093,pahal.roy74,Procurement,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10411,shivani.pillay89,Legal,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11159,adya.shetty2,Human Resources,2.0235,4.4238,1.6482,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP12362,kamala.nazareth82,Procurement,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12819,chakradhar.nagi26,R&D,0.8431,0.6745,0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10149,girik.bhatia28,Customer Support,0.3997,0.15,0.0625,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11600,gagan.mitter67,Procurement,12.8666,25.0622,12.5294,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP11044,mugdha.khare82,Sales,0.8431,1.0119,0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12153,abdul.deep62,Human Resources,0.9574,1.5624,0.5821,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10495,tanmayi.thaman1,Procurement,0.5059,0.3374,0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10332,Unknown,Procurement,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12788,utkarsh.vora38,Marketing,0.5059,0.3375,0.1125,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12066,david.sampath85,Customer Support,0.6745,0.8096,0.3373,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11874,dayita.rout5,R&D,0.1686,-0.6747,-0.3373,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10756,mugdha.shah75,Sales,1.0118,1.3494,0.6746,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10798,udarsh.korpal53,Operations,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12274,praneel.sastry13,Supply Chain,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10203,samaksh.subramanian60,Call Center,11.8036,22.9359,11.4664,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP10463,isha.padmanabhan86,Innovation,0.5059,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12851,kamala.raman22,Supply Chain,11.4663,22.2612,11.1291,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP12749,darika.mandal6,Human Resources,1.0118,1.7084,0.6365,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11583,hemang.bansal35,Human Resources,12.4781,32.484,12.1028,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP10555,vrishti.lala52,Marketing,0.3372,-0.1686,-0.0562,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10174,ridhi.iyer25,Operations,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10289,jonathan.narayanan92,Human Resources,12.6467,32.9365,12.2714,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP10120,lakshit.mand42,Compliance,0.8431,1.0119,0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12839,lipika.parsa25,Finance,0.5059,0.2247,0.0843,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10847,vidhi.krishna41,Call Center,0.8431,1.0119,0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12699,edhitha.balasubramanian33,Finance,0.8431,1.1237,0.4215,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10432,omya.gole7,Finance,0.3372,-0.225,-0.0844,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12969,ekanta.deshmukh53,Marketing,0.3372,-0.1686,-0.0562,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11317,ganga.goswami90,Human Resources,0.3372,-0.1023,-0.0381,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11200,xiti.sem41,Operations,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10393,aarini.deep10,IT Support,12.9839,47.9353,12.6467,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP12031,Unknown,Operations,0.5902,0.5061,0.253,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11800,farhan.sastry34,R&D,0.2951,-0.4217,-0.2108,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11721,frederick.vasa15,IT,0.4047,-0.2024,-0.1012,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10192,ridhi.bala57,Operations,1.0118,1.3494,0.6746,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10266,abhimanyu.gade25,Procurement,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12692,dalaja.sura56,Operations,0.5059,0.3374,0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10805,udarsh.kannan13,Human Resources,0.3372,-0.1023,-0.0381,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10331,janaki.hegde46,Human Resources,0.5059,0.3505,0.1306,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10528,Unknown,Human Resources,0.6266,0.6745,0.2513,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11225,tanay.viswanathan59,Operations,0.2529,-0.1686,-0.0843,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10801,ansh.brahmbhatt77,Customer Support,0.0562,-0.6745,-0.281,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11089,Unknown,Customer Support,0.0,-0.8094,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10764,rachana.madan60,Procurement,0.6745,0.6747,0.3373,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10218,jagat_dasgupta98,Customer Support,1.0118,1.6193,0.6746,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10479,ayushman.nagy50,Legal,0.6745,1.3486,0.3373,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10790,janani.barad1,Finance,0.1686,-0.6745,-0.253,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10478,aachal.mani50,Sales,0.1686,-0.3372,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12645,hemani.bhagat18,Operations,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10727,kabir.sampath9,Customer Support,12.588,29.4059,12.2508,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP10581,nidra.agate60,IT,1.5176,2.0231,1.0117,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11157,jyoti.brar52,Human Resources,0.0,-1.0073,-0.3753,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12547,hemani.oza5,R&D,0.0,-1.0119,-0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11688,pranav.master58,Finance,0.2529,-0.4497,-0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12633,aishani.sem75,Legal,0.0,-1.3482,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10045,kiaan.sen15,Marketing,0.1686,-0.6745,-0.2248,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12849,eiravati.agrawal54,Customer Support,1.1804,2.024,0.8432,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10240,jalsa.bhatti59,Marketing,0.5059,0.3375,0.1125,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10251,aarini.memon10,IT Support,13.5998,50.2697,13.2626,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP10990,dalbir.reddy82,Sales,0.8094,0.9445,0.4722,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10457,darsh.sura85,Sales,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11272,umang.loke95,Operations,0.1686,-0.3372,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10676,yauvani_mannan99,R&D,0.6323,0.2528,0.1264,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11814,dipta_agate15,Procurement,0.4216,0.1688,0.0844,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11533,abdul_mitra65,Operations,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12356,vasatika.dhar45,R&D,0.7588,0.5059,0.2529,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11084,yadavi.pandit87,Innovation,0.0,-1.0119,-0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11511,sudiksha.raman15,R&D,0.8431,0.6745,0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12404,ekiya.chakraborty63,Marketing,0.0,-1.1804,-0.3934,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10257,frederick.kaur54,Procurement,0.1686,-0.3372,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12272,ekta.lal33,R&D,0.1686,-0.6747,-0.3373,NORMAL_GLOBALLY_NORMAL_PEER,False
