sequence_id,entity_id,entity_type,sequence_type,start_time,end_time,duration_seconds,event_count,event_ids,source_datasets,temporal_window_minutes,sequence_confidence,sequence_strength,counter_evidence
SEQ-USR-1010,EMP10044,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-23 16:46:21+00:00,2026-08-23 17:06:42+00:00,1221,2,IAM00002844; IAM00011894,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1011,EMP10052,USER,GENERAL_ACTIVITY_SEQUENCE,2026-01-08 00:00:00+00:00,2026-01-08 00:00:00+00:00,0,2,IAM00006237; IAM00013121,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1012,EMP10052,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-06 19:21:11+00:00,2026-08-06 19:27:31+00:00,380,2,IAM00016034; IAM00013851,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1013,EMP10052,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-08 22:56:00+00:00,2026-08-08 23:39:36+00:00,2616,2,IAM00005723; IAM00017334,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1014,EMP10052,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-15 00:00:00+00:00,2026-08-15 00:00:00+00:00,0,2,IAM00008242; IAM00018134,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1015,EMP10052,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-27 08:11:10+00:00,2026-08-27 09:10:33+00:00,3563,2,IAM00009990; IAM00010349,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1016,EMP10052,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-31 00:00:00+00:00,2026-08-31 00:00:00+00:00,0,2,IAM00002178; IAM00019512,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1017,EMP10052,USER,GENERAL_ACTIVITY_SEQUENCE,2026-09-08 15:01:00+00:00,2026-09-08 15:32:53+00:00,1913,2,IAM00003453; IAM00014320,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1018,EMP10063,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-02 23:09:18+00:00,2026-08-03 00:00:00+00:00,3042,2,IAM00006605; IAM00011827,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1019,EMP10063,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,0,2,IAM00003548; IAM00008537,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1020,EMP10063,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-21 23:18:16+00:00,2026-08-22 00:00:00+00:00,2504,2,IAM00000982; IAM00000636,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1021,EMP10063,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-25 23:51:37+00:00,2026-08-26 00:00:00+00:00,503,2,IAM00006227; IAM00003770,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1022,EMP10077,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-29 18:21:38+00:00,2026-08-29 18:58:48+00:00,2230,2,IAM00000384; IAM00012707,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1023,EMP10085,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-25 00:00:00+00:00,2026-08-25 00:00:00+00:00,0,2,IAM00013110; IAM00013700,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1024,EMP10119,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-31 23:25:39+00:00,2026-08-31 23:59:27+00:00,2028,2,IAM00005108; IAM00019620,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1025,EMP10125,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-14 00:00:00+00:00,2026-08-14 00:52:50+00:00,3170,2,IAM00002713; IAM00000150,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1026,EMP10152,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-07 00:00:00+00:00,2026-08-07 00:00:00+00:00,0,2,IAM00003910; IAM00006689,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1027,EMP10152,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-11 06:20:45+00:00,2026-08-11 06:49:50+00:00,1745,2,IAM00013044; IAM00010129,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1028,EMP10152,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-16 00:00:00+00:00,2026-08-16 00:00:00+00:00,0,2,IAM00000463; IAM00016282,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1029,EMP10152,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-21 15:32:34+00:00,2026-08-21 15:47:11+00:00,877,2,IAM00017513; IAM00007946,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1030,EMP10152,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-23 01:57:00+00:00,2026-08-23 02:26:04+00:00,1744,2,IAM00009045; IAM00014282,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1031,EMP10152,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-27 00:00:00+00:00,2026-08-27 00:46:23+00:00,2783,2,IAM00010848; IAM00017891,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1032,EMP10162,USER,AUTH_TO_ENDPOINT_ALERT,2026-08-29 00:00:00+00:00,2026-08-29 00:00:00+00:00,0,2,EPA00006477; IAM00006354,IAM; Endpoint,60,0.88,100.0,IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1033,EMP10168,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-29 14:20:27+00:00,2026-08-29 14:39:25+00:00,1138,2,IAM00018685; IAM00018115,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1034,EMP10177,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-29 05:54:48+00:00,2026-08-29 06:02:00+00:00,432,2,IAM00008062; IAM00006796,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1035,EMP10190,USER,AUTH_TO_ENDPOINT_ALERT,2026-08-24 00:00:00+00:00,2026-08-24 00:00:00+00:00,0,2,EPA00006706; IAM00017539,IAM; Endpoint,60,0.88,100.0,IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1036,EMP10194,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-13 23:37:27+00:00,2026-08-14 00:00:00+00:00,1353,2,IAM00013328; IAM00004776,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1037,EMP10194,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-14 06:33:07+00:00,2026-08-14 07:25:53+00:00,3166,2,IAM00012625; IAM00009863,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1038,EMP10194,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-22 00:00:00+00:00,2026-08-22 00:00:00+00:00,0,2,IAM00011670; IAM00014760,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1039,EMP10194,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-24 10:27:06+00:00,2026-08-24 10:28:42+00:00,96,2,IAM00014165; IAM00007159,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1040,EMP10195,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-24 23:28:54+00:00,2026-08-25 00:00:00+00:00,1866,2,IAM00017662; IAM00012557,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1041,EMP10202,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-08 03:45:35+00:00,2026-08-08 04:43:15+00:00,3460,2,IAM00002280; IAM00002548,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1042,EMP10203,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-18 21:40:04+00:00,2026-08-18 21:50:50+00:00,646,2,IAM00013317; IAM00016345,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1043,EMP10203,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-21 09:29:13+00:00,2026-08-21 09:40:00+00:00,647,2,IAM00006771; IAM00001789,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1044,EMP10203,USER,GENERAL_ACTIVITY_SEQUENCE,2026-09-04 12:01:46+00:00,2026-09-04 12:28:13+00:00,1587,2,IAM00006498; IAM00005094,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1045,EMP10243,USER,AUTH_TO_ENDPOINT_ALERT,2026-08-07 23:10:01+00:00,2026-08-08 00:00:00+00:00,2999,2,IAM00004077; EPA00004996,IAM; Endpoint,60,0.88,100.0,NONE_OBSERVED
SEQ-USR-1046,EMP10251,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-01 00:00:00+00:00,2026-08-01 00:55:47+00:00,3347,2,IAM00004816; IAM00000155,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1047,EMP10251,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-13 07:24:40+00:00,2026-08-13 07:54:10+00:00,1770,2,IAM00015897; IAM00019796,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1048,EMP10251,USER,AUTH_TO_ENDPOINT_ALERT,2026-08-13 23:06:31+00:00,2026-08-13 23:46:00+00:00,2369,2,EPA00002321; IAM00001894,IAM; Endpoint,60,0.88,100.0,NONE_OBSERVED
SEQ-USR-1049,EMP10251,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-17 00:00:00+00:00,2026-08-17 00:00:00+00:00,0,2,IAM00011657; IAM00019387,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1050,EMP10251,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,0,2,IAM00001064; IAM00006632,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1051,EMP10278,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-22 00:00:00+00:00,2026-08-22 00:00:00+00:00,0,2,IAM00000157; IAM00019882,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1052,EMP10289,USER,GENERAL_ACTIVITY_SEQUENCE,2026-05-08 16:20:00+00:00,2026-05-08 16:59:00+00:00,2340,2,IAM00011864; IAM00002323,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1053,EMP10289,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-16 00:00:00+00:00,2026-08-16 00:00:00+00:00,0,2,IAM00002081; IAM00012786,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1054,EMP10289,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-18 16:05:42+00:00,2026-08-18 16:35:03+00:00,1761,2,IAM00012088; IAM00009204,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1055,EMP10291,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-11 00:00:00+00:00,2026-08-11 00:00:00+00:00,0,2,IAM00007913; IAM00011385,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1056,EMP10291,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-24 03:12:00+00:00,2026-08-24 03:40:17+00:00,1697,2,IAM00017661; IAM00003846,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1057,EMP10291,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-31 11:38:28+00:00,2026-08-31 12:30:00+00:00,3092,2,IAM00002679; IAM00007191,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1058,EMP10291,USER,GENERAL_ACTIVITY_SEQUENCE,2026-09-01 08:36:01+00:00,2026-09-01 09:03:17+00:00,1636,2,IAM00009401; IAM00013863,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1059,EMP10292,USER,AUTH_TO_ENDPOINT_ALERT,2026-08-20 13:15:01+00:00,2026-08-20 14:07:20+00:00,3139,2,IAM00010640; EPA00007963,IAM; Endpoint,60,0.88,100.0,NONE_OBSERVED
SEQ-USR-1060,EMP10296,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-02 23:07:58+00:00,2026-08-03 00:00:00+00:00,3122,2,IAM00004079; IAM00006522,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1061,EMP10296,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-09 00:00:00+00:00,2026-08-09 00:59:12+00:00,3552,3,IAM00013732; IAM00016749; IAM00014332,IAM,60,0.77,90.0,SINGLE_SOURCE_ONLY
SEQ-USR-1062,EMP10296,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-15 23:06:08+00:00,2026-08-16 00:00:00+00:00,3232,2,IAM00002153; IAM00009184,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1063,EMP10296,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,0,2,IAM00002534; IAM00018672,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1064,EMP10296,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-23 11:49:58+00:00,2026-08-23 12:23:24+00:00,2006,2,IAM00004081; IAM00019476,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1065,EMP10296,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-29 23:25:00+00:00,2026-08-30 00:00:00+00:00,2100,2,IAM00001499; IAM00019566,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1066,EMP10296,USER,GENERAL_ACTIVITY_SEQUENCE,2026-09-03 00:00:00+00:00,2026-09-03 00:00:00+00:00,0,2,IAM00011448; IAM00015059,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1067,EMP10297,USER,AUTH_TO_ENDPOINT_ALERT,2026-08-16 03:10:54+00:00,2026-08-16 03:45:24+00:00,2070,2,EPA00007164; IAM00018999,IAM; Endpoint,60,0.88,100.0,NONE_OBSERVED
SEQ-USR-1068,EMP10298,USER,GENERAL_ACTIVITY_SEQUENCE,2026-07-08 05:31:00+00:00,2026-07-08 06:29:00+00:00,3480,2,IAM00009776; IAM00005088,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1069,EMP10298,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-12 00:00:00+00:00,2026-08-12 00:19:01+00:00,1141,2,IAM00010029; IAM00013316,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1070,EMP10298,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-17 02:42:56+00:00,2026-08-17 03:31:12+00:00,2896,2,IAM00006744; IAM00004505,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1071,EMP10298,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-27 00:00:00+00:00,2026-08-27 00:00:00+00:00,0,2,IAM00000523; IAM00005727,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1072,EMP10298,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-31 00:00:00+00:00,2026-08-31 00:00:00+00:00,0,2,IAM00008303; IAM00009942,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1073,EMP10298,USER,GENERAL_ACTIVITY_SEQUENCE,2026-09-08 20:01:30+00:00,2026-09-08 20:31:00+00:00,1770,2,IAM00001301; IAM00000932,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1074,EMP10321,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-15 04:05:31+00:00,2026-08-15 04:11:02+00:00,331,2,IAM00002841; IAM00015674,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1075,EMP10322,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-04 02:48:55+00:00,2026-08-04 03:39:17+00:00,3022,2,IAM00014020; IAM00015488,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1076,EMP10322,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-05 20:14:25+00:00,2026-08-05 20:28:18+00:00,833,2,IAM00008963; IAM00015483,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1077,EMP10322,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-10 00:00:00+00:00,2026-08-10 00:18:53+00:00,1133,2,IAM00000501; IAM00007433,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1078,EMP10322,USER,AUTH_TO_ENDPOINT_ALERT,2026-08-17 09:24:00+00:00,2026-08-17 09:36:21+00:00,741,2,EPA00006589; IAM00015534,IAM; Endpoint,60,0.88,100.0,NONE_OBSERVED
SEQ-USR-1079,EMP10322,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-18 00:16:06+00:00,2026-08-18 01:12:00+00:00,3354,2,IAM00011839; IAM00007105,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1080,EMP10322,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-18 10:33:14+00:00,2026-08-18 10:39:33+00:00,379,2,IAM00018323; IAM00011455,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1081,EMP10322,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-20 08:15:29+00:00,2026-08-20 08:47:23+00:00,1914,2,IAM00008649; IAM00002531,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1082,EMP10322,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-22 00:00:00+00:00,2026-08-22 00:00:00+00:00,0,2,IAM00002781; IAM00016685,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1083,EMP10322,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-23 11:22:23+00:00,2026-08-23 11:59:40+00:00,2237,2,IAM00018317; IAM00008428,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1084,EMP10322,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-31 02:16:14+00:00,2026-08-31 02:52:15+00:00,2161,2,IAM00002918; IAM00017133,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1085,EMP10335,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-08 23:51:59+00:00,2026-08-09 00:00:00+00:00,481,2,IAM00006913; IAM00011507,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1086,EMP10361,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-24 19:33:11+00:00,2026-08-24 20:04:40+00:00,1889,2,IAM00000745; IAM00016098,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1087,EMP10393,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-14 00:00:00+00:00,2026-08-14 00:00:00+00:00,0,2,IAM00005541; IAM00008505,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1088,EMP10393,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-25 17:45:26+00:00,2026-08-25 17:57:04+00:00,698,2,IAM00012105; IAM00008032,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1089,EMP10408,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-04 00:00:00+00:00,2026-08-04 00:11:29+00:00,689,2,IAM00001768; IAM00001252,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1090,EMP10408,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-25 00:00:00+00:00,2026-08-25 00:00:00+00:00,0,2,IAM00007900; IAM00018828,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1091,EMP10408,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-29 23:49:13+00:00,2026-08-30 00:00:00+00:00,647,2,IAM00005865; IAM00001537,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1092,EMP10408,USER,GENERAL_ACTIVITY_SEQUENCE,2026-09-04 12:10:45+00:00,2026-09-04 12:33:15+00:00,1350,2,IAM00010575; IAM00004553,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1093,EMP10426,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-24 00:10:28+00:00,2026-08-24 01:04:50+00:00,3262,2,IAM00017608; IAM00003746,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1094,EMP10429,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-26 00:00:00+00:00,2026-08-26 00:00:00+00:00,0,2,EPA00007355; EPA00007380,Endpoint,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1095,EMP10432,USER,AUTH_TO_ENDPOINT_ALERT,2026-08-20 14:08:23+00:00,2026-08-20 15:01:00+00:00,3157,2,IAM00001587; EPA00003474,IAM; Endpoint,60,0.88,100.0,NONE_OBSERVED
SEQ-USR-1096,EMP10450,USER,AUTH_TO_ENDPOINT_ALERT,2026-08-28 00:00:00+00:00,2026-08-28 01:00:00+00:00,3600,2,EPA00001944; IAM00017146,IAM; Endpoint,60,0.88,100.0,NONE_OBSERVED
SEQ-USR-1097,EMP10454,USER,GENERAL_ACTIVITY_SEQUENCE,2026-06-09 00:00:00+00:00,2026-06-09 00:00:00+00:00,0,2,IAM00005943; IAM00015955,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1098,EMP10459,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-23 17:36:00+00:00,2026-08-23 18:08:43+00:00,1963,2,IAM00010370; IAM00015607,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1099,EMP10472,USER,GENERAL_ACTIVITY_SEQUENCE,2026-01-09 00:00:00+00:00,2026-01-09 00:00:00+00:00,0,2,IAM00000981; IAM00011897,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1100,EMP10472,USER,GENERAL_ACTIVITY_SEQUENCE,2026-04-08 00:00:00+00:00,2026-04-08 00:00:00+00:00,0,2,IAM00008399; IAM00008455,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1101,EMP10472,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-02 20:52:03+00:00,2026-08-02 20:52:26+00:00,23,2,IAM00014238; IAM00013796,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1102,EMP10472,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-03 00:00:00+00:00,2026-08-03 00:00:00+00:00,0,2,IAM00013278; IAM00015176,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1103,EMP10472,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-04 07:06:46+00:00,2026-08-04 08:01:34+00:00,3288,2,IAM00003589; IAM00003883,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
