session_id,iam_event_count,has_failed_login,firewall_log_count,has_firewall_deny,has_threat_flag,present_in_iam,present_in_firewall,match_status,session_event_count,feature_confidence
SID-109115,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-109211,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-109536,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-109685,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-110357,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-110854,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-112094,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-112149,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-112283,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-112564,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-112699,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-112755,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-114091,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-114476,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-114756,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-115017,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-115565,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-116685,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-116962,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-117085,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-117170,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-117235,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-118290,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-118419,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-118617,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-119005,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-119294,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-119608,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-120000,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-120138,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-120278,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-120346,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-120425,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-121121,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-121340,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-121907,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-122118,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-122183,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-122261,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-122977,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-123145,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-123319,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-123437,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-123554,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-124200,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-124271,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-125810,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-126566,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-126619,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-127368,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-127420,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-128289,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-128325,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-129301,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-129449,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-129749,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-130161,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-130163,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-130370,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-130615,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-131103,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-132521,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-132560,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-133226,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-133297,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-135245,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-135912,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-135977,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-136037,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-136047,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-136378,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-136380,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-136382,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-137309,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-137500,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-137505,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-138315,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-139036,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-139386,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-140100,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-140107,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-140429,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-141459,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-142147,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-142287,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-142302,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-142509,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-142568,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-142605,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-144197,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-144242,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-144386,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-144596,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-144760,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-144904,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-145349,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-146106,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-146110,1.0,True,1.0,True,False,True,True,EXACT,2.0,EXACT
SID-146289,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-146725,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-147030,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-147067,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-147068,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-147412,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-147544,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-147624,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-147989,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-148298,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-149323,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-149506,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-150062,0.0,False,1.0,True,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-150250,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-150286,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-150443,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-150695,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-150978,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-151501,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-151534,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-151590,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-151751,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-151762,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-152931,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-153622,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-153705,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-153808,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-153809,0.0,False,1.0,True,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-153912,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-154021,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-154442,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-154993,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-155212,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-155424,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-155628,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-156881,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-156988,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-158205,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-158247,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-158263,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-158577,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-158600,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-158753,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-159179,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-159361,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-159595,0.0,False,1.0,True,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-159602,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-159788,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-160342,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-161527,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-161591,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-162334,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-162837,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-163007,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-164062,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-164156,0.0,False,1.0,True,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-164398,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-164609,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-164726,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-164924,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-165019,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-165831,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-166257,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-166425,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-167018,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-167579,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-167996,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-168011,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-168240,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-168459,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-168531,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-168809,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-168835,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-168901,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-169265,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-169840,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-170201,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-170679,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-170796,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-171021,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-171470,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-171473,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-171535,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-171640,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-172218,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-172370,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-173212,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-173394,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-173587,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-173845,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-173988,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-174124,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-174150,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-174529,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-174688,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-174803,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-175143,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-175244,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-175959,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-176098,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-176132,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-176351,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-176615,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-176672,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-176791,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-177802,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-177824,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-178556,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-179513,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-179879,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-180001,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-180190,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-181133,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-181758,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-181858,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-181907,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-181935,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-182870,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-183065,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-183707,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-183852,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-183854,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-183917,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-184304,0.0,False,1.0,True,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-184440,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-184973,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-185234,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-185277,0.0,False,1.0,True,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-185354,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-186050,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-186164,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-187107,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-187110,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-187739,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-187867,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-187980,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-188150,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-188336,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-188515,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-188520,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-188581,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-188585,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-188925,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-189149,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-189188,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-189396,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-189554,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-189681,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-189896,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-190019,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-190028,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-190137,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-190637,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-191024,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-191052,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-191482,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-191671,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-192150,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-192659,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-192685,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-192708,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-192845,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-192903,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-193426,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-193447,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-193907,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-193974,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-194292,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-194346,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-194431,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-194745,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-194963,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-195127,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-195645,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-195786,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-196084,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-196525,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-196705,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-196734,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-196792,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-197477,0.0,False,1.0,True,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-197542,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-197548,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-197654,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-197988,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-198021,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-198023,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-198446,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-199069,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-199145,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-199298,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-199403,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-199663,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
