hostname,firewall_event_count,firewall_deny_count,threat_flag_count,unique_source_ip_count,unique_destination_ip_count,bytes_sent,bytes_received,session_count,endpoint_alert_count,critical_endpoint_alert_count,is_managed,firewall_deny_ratio,evidence_count,feature_confidence
LPT-12169,7.0,0.0,0.0,3.0,3.0,128143050.44,120811108.68,7.0,4.0,0.0,True,0.0,11.0,EXACT
lpt-10107,1.0,1.0,0.0,1.0,1.0,17482311.68,24526192.64,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
lpt-10414,1.0,0.0,0.0,0.0,1.0,45070294.0,24526192.64,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-11281,4.0,0.0,0.0,2.0,2.0,129904501.24000001,111512729.36,4.0,2.0,2.0,True,0.0,6.0,EXACT
WS-11696,6.0,1.0,1.0,4.0,3.0,149106930.14,165509911.92000002,5.0,2.0,0.0,True,0.16666666666666666,8.0,EXACT
WS-10970,4.0,1.0,1.0,3.0,2.0,74040744.0,151450593.96,3.0,3.0,0.0,True,0.25,7.0,EXACT
LPT_12813,2.0,0.0,0.0,1.0,1.0,30451891.0,53532584.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
VDR-12775.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,EXACT
VDR-12225,6.0,3.0,0.0,3.0,3.0,181945283.86,131764875.84,6.0,7.0,0.0,True,0.5,13.0,EXACT
LPT_10763,2.0,0.0,0.0,2.0,0.0,28700682.22,45216719.12,1.0,0.0,0.0,False,0.0,2.0,PROBABLE
LPT-12643.corp.local,1.0,0.0,0.0,1.0,0.0,9385954.0,30769109.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-12699,3.0,0.0,0.0,0.0,2.0,60499464.22,86793737.28,2.0,5.0,0.0,True,0.0,8.0,EXACT
LPT-11928.corp.local,2.0,1.0,0.0,0.0,0.0,34578123.22,48504577.0,2.0,0.0,0.0,False,0.5,2.0,PROBABLE
WS-11437,10.0,1.0,2.0,5.0,3.0,239550692.64,206655290.04000002,8.0,2.0,1.0,True,0.1,12.0,EXACT
vdr-12178,2.0,0.0,0.0,1.0,0.0,59560366.22,19436880.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
VDR-10960.corp.local,1.0,0.0,0.0,1.0,0.0,47323050.0,20508999.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
lpt-10364,1.0,0.0,0.0,1.0,1.0,23969656.0,18011804.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-11627,8.0,1.0,0.0,3.0,3.0,209212926.46,202273304.68,7.0,3.0,0.0,True,0.125,11.0,EXACT
vdr-10924,1.0,0.0,0.0,1.0,0.0,24819643.22,22674816.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR-11487,5.0,1.0,1.0,3.0,3.0,122656092.22,138426606.72,4.0,4.0,0.0,True,0.2,9.0,EXACT
VDR-10299,2.0,0.0,0.0,1.0,1.0,53464545.22,86454904.44,2.0,2.0,0.0,True,0.0,4.0,EXACT
LPT-10127,2.0,1.0,1.0,0.0,1.0,33356216.32,50095943.64,2.0,2.0,0.0,True,0.5,4.0,EXACT
LPT-10418,4.0,2.0,1.0,2.0,0.0,89027745.0,118642679.64,3.0,3.0,0.0,True,0.5,7.0,EXACT
lpt-12014,1.0,0.0,0.0,0.0,1.0,24819643.22,23152558.08,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR-10010,7.0,1.0,1.0,4.0,3.0,150364410.28,196698340.28,6.0,0.0,0.0,True,0.14285714285714285,7.0,EXACT
LPT-10375,5.0,2.0,1.0,4.0,1.0,134434151.66,123234423.12,5.0,1.0,0.0,True,0.4,6.0,EXACT
VDR_12936,2.0,0.0,0.0,2.0,1.0,49639286.44,89357700.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
LPT_10496,3.0,1.0,0.0,3.0,0.0,74458929.66,109179061.0,3.0,0.0,0.0,False,0.3333333333333333,3.0,PROBABLE
VDR-10387.corp.local,2.0,2.0,0.0,1.0,2.0,55657428.04,70911006.0,1.0,0.0,0.0,False,1.0,2.0,PROBABLE
VDR-10940,5.0,0.0,1.0,1.0,2.0,148159445.54,89919933.68,5.0,2.0,0.0,True,0.0,7.0,EXACT
VDR-10744,7.0,2.0,1.0,2.0,3.0,182710803.44,175492817.12,6.0,4.0,2.0,False,0.2857142857142857,11.0,PROBABLE
ws-11172,1.0,0.0,0.0,1.0,1.0,24819643.22,4071551.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR_11068,1.0,0.0,0.0,0.0,0.0,35481585.0,2924195.84,0.0,0.0,0.0,False,0.0,1.0,PROBABLE
lpt-11903,1.0,0.0,0.0,1.0,0.0,24819643.22,35185102.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
lpt-12349,1.0,0.0,0.0,1.0,0.0,46651146.24,24702110.0,0.0,0.0,0.0,False,0.0,1.0,PROBABLE
ws-10128,1.0,1.0,0.0,1.0,0.0,18633195.52,17542676.48,0.0,0.0,0.0,False,1.0,1.0,PROBABLE
LPT-11185.corp.local,3.0,2.0,0.0,1.0,3.0,89504480.12,104948914.84,3.0,0.0,0.0,False,0.6666666666666666,3.0,PROBABLE
VDR_12958,2.0,0.0,1.0,1.0,2.0,59737289.0,69853716.64,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
LPT_10905,1.0,0.0,0.0,0.0,0.0,24819643.22,31720533.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR-10168,7.0,1.0,1.0,3.0,2.0,205550122.82,161786512.92000002,5.0,3.0,0.0,True,0.14285714285714285,10.0,EXACT
WS-10874,5.0,1.0,1.0,4.0,1.0,103703015.22,130391837.12,3.0,3.0,0.0,True,0.2,8.0,EXACT
VDR-10621,6.0,2.0,0.0,4.0,2.0,169867620.44,145576470.64,6.0,1.0,0.0,True,0.3333333333333333,7.0,EXACT
WS-11953,9.0,1.0,1.0,3.0,7.0,204852102.32,262538297.68,8.0,3.0,0.0,True,0.1111111111111111,12.0,EXACT
LPT-12475.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,EXACT
VDR_12663,2.0,1.0,0.0,1.0,0.0,44952363.86,32626126.0,1.0,0.0,0.0,False,0.5,2.0,PROBABLE
ws-11952,1.0,0.0,0.0,0.0,1.0,37145389.0,49907947.52,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
WS-11365,6.0,3.0,0.0,5.0,2.0,148289077.66,192059507.4,5.0,3.0,0.0,True,0.5,9.0,EXACT
WS-12549,12.0,4.0,0.0,5.0,7.0,288350363.96,258756380.44,9.0,1.0,0.0,False,0.3333333333333333,13.0,PROBABLE
WS-12910.corp.local,1.0,0.0,0.0,1.0,0.0,24819643.22,5313436.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
WS-10969,2.0,0.0,0.0,1.0,1.0,42171878.22,68539050.64,2.0,2.0,0.0,False,0.0,4.0,PROBABLE
VDR-12554.corp.local,1.0,1.0,0.0,1.0,0.0,34375012.0,13063328.0,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
LPT-11887.corp.local,1.0,0.0,0.0,1.0,0.0,24819643.22,24526192.64,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
WS-12409.corp.local,1.0,0.0,0.0,0.0,0.0,39932846.0,36579518.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR_10667,2.0,1.0,1.0,2.0,1.0,37132771.96,36236437.64,2.0,0.0,0.0,False,0.5,2.0,PROBABLE
VDR_11575,1.0,1.0,0.0,0.0,0.0,24819643.22,24814478.0,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
VDR-10279.corp.local,4.0,3.0,0.0,2.0,2.0,88590658.25999999,85482445.64,4.0,0.0,0.0,False,0.75,4.0,PROBABLE
LPT-10931,8.0,1.0,1.0,1.0,3.0,194634007.04,207781488.92000002,8.0,0.0,0.0,True,0.125,8.0,EXACT
VDR-11166.corp.local,1.0,0.0,0.0,1.0,1.0,23926723.0,38802390.0,0.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR-10793,6.0,2.0,1.0,3.0,4.0,83668026.24,137481425.92000002,6.0,2.0,0.0,True,0.3333333333333333,8.0,EXACT
vdr-12308,3.0,1.0,1.0,2.0,1.0,68144112.8,79280893.0,3.0,0.0,0.0,False,0.3333333333333333,3.0,PROBABLE
VDR-10396,8.0,3.0,0.0,3.0,5.0,250119414.04000002,225046800.28,8.0,1.0,0.0,True,0.375,9.0,EXACT
VDR_12618,1.0,0.0,0.0,1.0,1.0,24819643.22,32645026.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR-12978,6.0,2.0,1.0,3.0,5.0,116348605.12,119010920.56,4.0,1.0,0.0,True,0.3333333333333333,7.0,EXACT
LPT_12852,1.0,0.0,0.0,1.0,0.0,21109197.0,1356839.0,0.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT_11577,1.0,0.0,0.0,1.0,1.0,8493827.0,3583014.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-10129.corp.local,1.0,0.0,0.0,1.0,1.0,33564917.76,49986383.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-11062,11.0,3.0,2.0,5.0,8.0,261372266.56,244784019.04000002,10.0,4.0,1.0,True,0.2727272727272727,15.0,EXACT
LPT-11705.corp.local,3.0,2.0,0.0,2.0,3.0,76855076.52,8451596.120000001,3.0,0.0,0.0,False,0.6666666666666666,3.0,PROBABLE
WS-12337.corp.local,2.0,0.0,0.0,1.0,1.0,55220595.54,25406651.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
LPT-12657,4.0,1.0,0.0,3.0,1.0,92501511.44,119301225.64,4.0,1.0,0.0,True,0.25,5.0,EXACT
WS-12337,10.0,2.0,2.0,5.0,6.0,348168162.22,298525592.48,7.0,4.0,0.0,True,0.2,14.0,EXACT
VDR_12367,2.0,0.0,0.0,1.0,2.0,29412286.22,71391643.64,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
WS-12283,8.0,4.0,0.0,3.0,2.0,187057587.64,134387606.68,6.0,3.0,1.0,True,0.5,11.0,EXACT
LPT-11274,8.0,3.0,1.0,4.0,4.0,197490848.85999998,204133060.4,6.0,1.0,0.0,True,0.375,9.0,EXACT
LPT-12253.corp.local,2.0,0.0,0.0,2.0,0.0,61643606.0,35893227.64,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
VDR-12367,9.0,0.0,1.0,6.0,5.0,245326590.24,191556163.64,8.0,3.0,1.0,True,0.0,12.0,EXACT
ws-12559,1.0,0.0,0.0,0.0,1.0,24819643.22,24526192.64,0.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-12763,11.0,0.0,0.0,4.0,3.0,242323248.1,298685554.0,10.0,2.0,0.0,True,0.0,13.0,EXACT
lpt-11597,1.0,0.0,0.0,0.0,0.0,19727155.0,10025553.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT_11887,1.0,0.0,0.0,0.0,0.0,36011811.0,37283710.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
WS_10264,1.0,0.0,0.0,1.0,1.0,26090432.0,35129556.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR-11091.corp.local,1.0,0.0,0.0,0.0,1.0,21573283.84,30097844.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
ws-11873,1.0,1.0,0.0,1.0,1.0,24819643.22,39877284.0,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
WS_10970,1.0,0.0,1.0,0.0,1.0,10454531.0,10379707.0,0.0,0.0,0.0,False,0.0,1.0,PROBABLE
WS-11590,6.0,1.0,0.0,3.0,4.0,186077267.64,198824182.92000002,4.0,1.0,0.0,True,0.16666666666666666,7.0,EXACT
LPT-10378,5.0,1.0,0.0,3.0,2.0,114880335.88,108186032.64,5.0,6.0,0.0,True,0.2,11.0,EXACT
WS_11260,1.0,0.0,0.0,1.0,1.0,14653509.0,33524775.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
vdr-11068,1.0,0.0,0.0,1.0,0.0,21679303.0,20316922.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
WS_12874,1.0,0.0,0.0,0.0,0.0,22523412.48,30862182.4,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
lpt-12292,2.0,0.0,0.0,1.0,0.0,28724970.0,43734539.64,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
WS-12204,7.0,2.0,1.0,2.0,3.0,205286601.32,178786527.32,6.0,1.0,0.0,True,0.2857142857142857,8.0,EXACT
LPT-12285,8.0,3.0,1.0,2.0,2.0,189478631.01999998,215797886.36,6.0,2.0,0.0,True,0.375,10.0,EXACT
lpt-12378,2.0,1.0,0.0,2.0,0.0,51373473.22,36931973.120000005,2.0,0.0,0.0,False,0.5,2.0,PROBABLE
VDR-12137.corp.local,1.0,1.0,0.0,0.0,1.0,5829141.0,25388045.0,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
LPT-11322,6.0,1.0,0.0,2.0,3.0,158942959.54,172141200.76,4.0,5.0,1.0,True,0.16666666666666666,11.0,EXACT
LPT_12644,1.0,0.0,0.0,1.0,0.0,24819643.22,46336573.44,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
lpt-11918,2.0,0.0,0.0,2.0,2.0,25018872.66,4824185.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
ws-12047,4.0,1.0,1.0,2.0,1.0,83027040.22,103265039.52000001,3.0,0.0,0.0,False,0.25,4.0,PROBABLE
lpt-11631,1.0,1.0,0.0,0.0,0.0,24819643.22,18297651.2,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
VDR-10924.corp.local,1.0,0.0,1.0,0.0,0.0,24819643.22,47511568.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
vdr-12562,1.0,0.0,0.0,1.0,1.0,15332026.0,24526192.64,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
ws-11111,3.0,0.0,1.0,0.0,3.0,39752089.72,74706881.64,3.0,0.0,0.0,False,0.0,3.0,PROBABLE
VDR-11858,4.0,1.0,0.0,2.0,4.0,117348916.4,122389059.36,4.0,3.0,0.0,True,0.25,7.0,EXACT
ws-10369,1.0,0.0,1.0,0.0,0.0,48108666.88,24526192.64,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-11627.corp.local,1.0,0.0,0.0,1.0,1.0,17984613.0,28284387.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR_11302,1.0,0.0,0.0,0.0,1.0,49141744.0,24526192.64,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR-12499,4.0,0.0,0.0,4.0,2.0,106676343.22,62928805.36,4.0,5.0,0.0,True,0.0,9.0,EXACT
VDR_10886,2.0,0.0,0.0,2.0,0.0,57800519.22,61476359.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
WS-10786,7.0,1.0,0.0,1.0,4.0,274884662.62,180240839.68,6.0,2.0,1.0,True,0.14285714285714285,9.0,EXACT
vdr-10248,1.0,1.0,1.0,0.0,1.0,24819643.22,19853436.0,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
VDR-11407,10.0,2.0,0.0,3.0,6.0,225407871.0,322286816.2,8.0,0.0,0.0,True,0.2,10.0,EXACT
vdr-11752,2.0,0.0,1.0,1.0,1.0,59231111.0,49052385.28,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
LPT_10851,1.0,1.0,0.0,0.0,0.0,49869235.0,8967573.0,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
WS_10579,1.0,1.0,0.0,0.0,0.0,29023006.0,9343508.48,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
VDR_12113,1.0,0.0,0.0,1.0,1.0,21778923.52,4683659.0,0.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR-12836.corp.local,1.0,0.0,0.0,0.0,1.0,24819643.22,10013900.8,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR-12770.corp.local,1.0,0.0,0.0,1.0,0.0,17835130.88,12096849.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-12969,3.0,0.0,0.0,1.0,2.0,95204041.86,65472386.64,2.0,2.0,0.0,False,0.0,5.0,PROBABLE
LPT_12584,2.0,0.0,0.0,0.0,2.0,16036546.0,70307220.64,1.0,0.0,0.0,False,0.0,2.0,PROBABLE
WS_11242,1.0,0.0,0.0,0.0,1.0,3632938.0,8582463.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
vdr-12922,2.0,0.0,0.0,1.0,1.0,82589194.24000001,46146990.2,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
WS-11395.corp.local,2.0,0.0,1.0,1.0,0.0,47174461.22,32284642.52,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
LPT-11781.corp.local,1.0,0.0,0.0,1.0,0.0,36795103.0,38350622.72,0.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR-10778.corp.local,2.0,0.0,0.0,2.0,0.0,35098103.8,77791506.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
VDR-10768,5.0,2.0,1.0,2.0,2.0,159275446.54,104770760.44,3.0,1.0,0.0,True,0.4,6.0,EXACT
LPT-12207,8.0,0.0,2.0,3.0,4.0,194395344.44,181629043.68,8.0,1.0,0.0,True,0.0,9.0,EXACT
lpt-10188,2.0,1.0,1.0,1.0,1.0,35000022.68,74320753.88,1.0,0.0,0.0,False,0.5,2.0,PROBABLE
vdr-10328,1.0,1.0,0.0,1.0,0.0,24108244.0,24526192.64,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
lpt-10021,1.0,0.0,0.0,1.0,0.0,49130117.0,16033473.0,0.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR-11575,9.0,2.0,0.0,5.0,6.0,218144507.94,173780079.92,7.0,2.0,0.0,True,0.2222222222222222,11.0,EXACT
WS_11939,1.0,0.0,0.0,0.0,0.0,24819643.22,42504323.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
vdr-10072,1.0,0.0,0.0,1.0,0.0,5672048.64,30447366.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
WS-10606.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,EXACT
LPT-10439.corp.local,1.0,0.0,0.0,1.0,1.0,24819643.22,48443244.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-12681,3.0,1.0,0.0,1.0,2.0,79344653.44,90033075.84,3.0,4.0,0.0,True,0.3333333333333333,7.0,EXACT
VDR-11874.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,EXACT
VDR-12071.corp.local,1.0,0.0,0.0,1.0,0.0,37791797.0,37537504.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT_10479,1.0,0.0,0.0,1.0,1.0,8973463.0,19500725.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
vdr-11509,1.0,0.0,0.0,0.0,0.0,4827125.76,24526192.64,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-11202,14.0,6.0,1.0,9.0,5.0,349852021.18,351228488.08,13.0,1.0,0.0,False,0.42857142857142855,15.0,PROBABLE
LPT-12904.corp.local,2.0,0.0,1.0,1.0,1.0,96271698.0,42361960.64,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
ws-10711,3.0,1.0,0.0,1.0,2.0,38636002.0,98316467.0,3.0,0.0,0.0,False,0.3333333333333333,3.0,PROBABLE
lpt-11638,1.0,0.0,0.0,1.0,1.0,26040732.0,43778247.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
WS-11672.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,EXACT
VDR-10040,7.0,2.0,0.0,3.0,1.0,139500953.0,167591891.72,7.0,5.0,0.0,True,0.2857142857142857,12.0,EXACT
WS-12619,1.0,0.0,0.0,0.0,0.0,7906263.04,35588096.0,1.0,1.0,0.0,True,0.0,2.0,EXACT
vdr-12441,2.0,1.0,0.0,2.0,2.0,49419236.18,36592829.64,2.0,0.0,0.0,False,0.5,2.0,PROBABLE
vdr-10929,1.0,0.0,0.0,1.0,0.0,24819643.22,24526192.64,0.0,0.0,0.0,False,0.0,1.0,PROBABLE
WS-11624.corp.local,1.0,0.0,0.0,0.0,1.0,44066459.0,77926.0,0.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-12657.corp.local,1.0,1.0,0.0,0.0,0.0,24819643.22,7765917.0,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
LPT_10745,1.0,1.0,0.0,1.0,1.0,24819643.22,31267993.6,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
LPT-10639.corp.local,2.0,0.0,0.0,1.0,1.0,69873698.22,25367937.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
WS-12509,4.0,2.0,0.0,1.0,3.0,119418452.42,105168489.6,2.0,2.0,0.0,True,0.5,6.0,EXACT
ws-10351,2.0,0.0,0.0,2.0,1.0,97466464.84,89638512.64,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
vdr-11083,1.0,1.0,1.0,0.0,0.0,24819643.22,37564990.0,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
lpt-12505,4.0,0.0,1.0,2.0,2.0,122791834.44,100619209.28,4.0,0.0,0.0,False,0.0,4.0,PROBABLE
WS-12933,6.0,1.0,0.0,2.0,5.0,132786279.0,112570821.64,6.0,0.0,0.0,True,0.16666666666666666,6.0,EXACT
vdr-12054,1.0,0.0,0.0,1.0,1.0,40660703.0,21674410.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-10581.corp.local,2.0,0.0,0.0,2.0,0.0,40945216.0,47961866.24,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
VDR-12893.corp.local,1.0,0.0,0.0,1.0,0.0,1607392.0,24526192.64,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-12375,1.0,0.0,1.0,1.0,0.0,24819643.22,49875525.0,1.0,3.0,0.0,True,0.0,4.0,EXACT
LPT-11597.corp.local,1.0,0.0,0.0,1.0,1.0,25518346.24,24526192.64,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-12569,3.0,2.0,1.0,1.0,2.0,74458929.66,72242726.64,3.0,0.0,0.0,True,0.6666666666666666,3.0,EXACT
LPT-12080.corp.local,1.0,0.0,0.0,1.0,1.0,23261251.0,30012624.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
ws-11043,1.0,1.0,0.0,1.0,0.0,49419386.88,24526192.64,0.0,0.0,0.0,False,1.0,1.0,PROBABLE
lpt-10066,3.0,1.0,0.0,2.0,3.0,63511115.22,97132616.0,3.0,0.0,0.0,False,0.3333333333333333,3.0,PROBABLE
WS-11289,8.0,2.0,1.0,3.0,4.0,238412920.22,209078792.16,6.0,5.0,0.0,True,0.25,13.0,EXACT
lpt-11816,1.0,1.0,0.0,0.0,1.0,6560633.0,24526192.64,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
LPT-12245,10.0,1.0,0.0,8.0,2.0,210107132.44,294225257.12,8.0,3.0,0.0,True,0.1,13.0,EXACT
LPT-11176.corp.local,2.0,0.0,0.0,1.0,1.0,78695524.0,38983328.64,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
VDR_10672,2.0,0.0,0.0,0.0,2.0,71483165.0,51186135.04,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
LPT_11300,3.0,0.0,0.0,1.0,2.0,104495667.94,76489698.64,3.0,0.0,0.0,False,0.0,3.0,PROBABLE
LPT-11011.corp.local,2.0,0.0,0.0,1.0,2.0,70889647.22,53821480.96,1.0,0.0,0.0,False,0.0,2.0,PROBABLE
LPT-12167.corp.local,1.0,0.0,0.0,1.0,0.0,17647534.08,14910750.72,0.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT_12921,1.0,0.0,0.0,0.0,0.0,24819643.22,18444510.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
lpt-11278,1.0,1.0,0.0,0.0,0.0,44417679.36,24526192.64,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
ws-11553,3.0,0.0,1.0,1.0,1.0,81775783.8,69532610.64,2.0,0.0,0.0,False,0.0,3.0,PROBABLE
VDR-11980,8.0,0.0,2.0,5.0,2.0,182598516.62,207054958.88,6.0,2.0,0.0,True,0.0,10.0,EXACT
lpt-11065,1.0,1.0,0.0,1.0,0.0,36972900.0,49083842.56,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
ws-11000,2.0,2.0,0.0,1.0,1.0,49777483.0,63864613.0,2.0,0.0,0.0,False,1.0,2.0,PROBABLE
VDR-10555,9.0,3.0,0.0,5.0,5.0,172677802.66,262749220.28,9.0,2.0,0.0,True,0.3333333333333333,11.0,EXACT
vdr-10079,1.0,1.0,0.0,0.0,1.0,44921360.0,24526192.64,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
