user_id,username,assigned_cluster,cluster_label,drift_distance,drift_score,drift_confidence,drift_category,cluster_changed
EMP10705,bimala.raval96,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.336,20.04,0.8821,MODERATE_DRIFT,False
EMP12234,tristan.ravi53,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.4012,21.02,0.8771,MODERATE_DRIFT,False
EMP11973,edhitha.pathak81,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.6993,40.49,0.7874,MODERATE_DRIFT,False
EMP11517,anita.dutt25,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.6973,25.46,0.8549,MODERATE_DRIFT,False
EMP12976,aayush.koshy48,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.3054,19.58,0.8845,STABLE,False
EMP12232,Unknown,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.3938,20.91,0.8777,MODERATE_DRIFT,False
EMP10178,tanveer.ghose11,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.6213,24.32,0.8605,MODERATE_DRIFT,False
EMP12030,urishilla.dugar5,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,3.6657,54.99,0.7318,HIGH_DRIFT,False
EMP12926,ronith.bhatti96,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.9399,29.1,0.8375,MODERATE_DRIFT,False
EMP10611,Unknown,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.269,34.04,0.8151,MODERATE_DRIFT,False
EMP10679,ira.khanna17,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.3852,20.78,0.8783,MODERATE_DRIFT,False
EMP10152,finn.vig49,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,2.0838,31.26,0.8276,MODERATE_DRIFT,False
EMP12484,aahana.seth4,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.7264,25.9,0.8528,MODERATE_DRIFT,False
EMP11025,darsh.patla51,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,5.2701,79.05,0.6549,HIGH_DRIFT,False
EMP10907,sneha.loke46,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.1863,32.79,0.8206,MODERATE_DRIFT,False
EMP10254,wriddhish_arora70,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.0041,30.06,0.833,MODERATE_DRIFT,False
EMP12416,harish.bhatia99,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,0.6172,9.26,0.9419,STABLE,False
EMP12332,shravya.mand51,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.3418,20.13,0.8817,MODERATE_DRIFT,False
EMP10346,dipta_oza8,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,0.6336,9.5,0.9404,STABLE,False
EMP10299,anmol.bhatt26,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,0.6006,9.01,0.9433,STABLE,False
EMP12045,girik.gaba54,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.9688,29.53,0.8355,MODERATE_DRIFT,False
EMP11295,utkarsh.bakshi57,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.1809,17.71,0.8944,STABLE,False
EMP11357,nandini.buch11,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,4.6617,69.93,0.682,HIGH_DRIFT,False
EMP11422,rishi.contractor33,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.328,19.92,0.8828,STABLE,False
EMP12482,chakrika.nagar94,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.6796,25.19,0.8562,MODERATE_DRIFT,False
EMP10139,isaac.dugar28,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.094,16.41,0.9014,STABLE,False
EMP12603,gautam.dass68,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,5.8658,87.99,0.6303,HIGH_DRIFT,False
EMP10246,rohan.dash48,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,0.8754,13.13,0.9195,STABLE,False
EMP10900,lohit.reddy93,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,1.9269,28.9,0.8384,MODERATE_DRIFT,False
EMP12130,krishna.kata74,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.6899,40.35,0.788,MODERATE_DRIFT,False
EMP11681,ayushman.varty42,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.0919,31.38,0.827,MODERATE_DRIFT,False
EMP12334,bahadurjit.sridhar62,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.8602,27.9,0.8432,MODERATE_DRIFT,False
EMP10889,chanchal.tank46,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,0.9425,14.14,0.9139,STABLE,False
EMP11268,krishna.babu43,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.7373,26.06,0.852,MODERATE_DRIFT,False
EMP11926,chatresh.varty75,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.209,33.13,0.8191,MODERATE_DRIFT,False
EMP11620,ira.choudhury44,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.8949,28.42,0.8407,MODERATE_DRIFT,False
EMP10700,charles.brar31,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,0.4865,7.3,0.9536,STABLE,False
EMP11061,ekansh.ahuja25,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.672,40.08,0.7891,MODERATE_DRIFT,False
EMP10485,hardik.kuruvilla24,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.5622,38.43,0.796,MODERATE_DRIFT,False
EMP11356,jeet.tara32,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.5696,38.54,0.7956,MODERATE_DRIFT,False
EMP12310,zashil.chaudhari74,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.3016,34.52,0.8129,MODERATE_DRIFT,False
EMP12181,hemal.kohli58,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,0.9425,14.14,0.9139,STABLE,False
EMP10761,dayita.dasgupta48,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.9576,29.36,0.8363,MODERATE_DRIFT,False
EMP10746,oviya.acharya25,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,3.7845,56.77,0.7255,HIGH_DRIFT,False
EMP10321,kalpit.mody99,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.7871,26.81,0.8484,MODERATE_DRIFT,False
EMP12707,indira.pant51,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.5898,23.85,0.8628,MODERATE_DRIFT,False
EMP10188,wakeeta.srivastava97,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.5255,22.88,0.8676,MODERATE_DRIFT,False
EMP10772,gagan_bhandari75,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,4.3184,64.78,0.6984,HIGH_DRIFT,False
EMP12496,anusha.bawa86,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.2006,33.01,0.8196,MODERATE_DRIFT,False
EMP11451,arunima.dube10,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.4845,37.27,0.801,MODERATE_DRIFT,False
EMP12354,gagan.raman49,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,0.688,10.32,0.9356,STABLE,False
EMP10410,onveer.om63,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.7872,26.81,0.8484,MODERATE_DRIFT,False
EMP11727,bhavya.sem13,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,3.9594,59.39,0.7164,HIGH_DRIFT,False
EMP12852,warinder.wali82,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.9656,29.48,0.8357,MODERATE_DRIFT,False
EMP12216,urvashi.handa11,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.1911,17.87,0.8936,STABLE,False
EMP11398,yauvani_chacko81,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.9727,44.59,0.7708,MODERATE_DRIFT,False
EMP11361,inaya.sridhar38,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.9383,29.07,0.8376,MODERATE_DRIFT,False
EMP11657,yadavi.balay60,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,0.9061,13.59,0.9169,STABLE,False
EMP10051,ekbal.malhotra95,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.8135,27.2,0.8465,MODERATE_DRIFT,False
EMP11624,bishakha_ghose98,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,0.3432,5.15,0.9668,STABLE,False
EMP10063,ira.tara4,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,2.1903,32.85,0.8203,MODERATE_DRIFT,False
EMP12789,tamanna.kala64,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.2896,34.34,0.8137,MODERATE_DRIFT,False
EMP12553,tanish.kurian86,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.1039,16.56,0.9006,STABLE,False
EMP12530,wazir.das67,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.5376,23.06,0.8667,MODERATE_DRIFT,False
EMP11090,pahal.bajwa31,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,2.4355,36.53,0.8041,MODERATE_DRIFT,False
EMP11465,brinda.chauhan94,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.1622,32.43,0.8222,MODERATE_DRIFT,False
EMP11896,urmi.pall82,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.449,21.73,0.8734,MODERATE_DRIFT,False
EMP10052,anirudh.ramanathan31,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,2.2986,34.48,0.8131,MODERATE_DRIFT,False
EMP12807,damyanti.wali52,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.9958,29.94,0.8336,MODERATE_DRIFT,False
EMP12763,sanaya.kale52,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.5447,23.17,0.8662,MODERATE_DRIFT,False
EMP12551,warinder.jaggi19,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.1809,17.71,0.8944,STABLE,False
EMP12864,pooja.choudhary68,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.3564,20.35,0.8806,MODERATE_DRIFT,False
EMP10544,harita.sura62,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.9576,29.36,0.8363,MODERATE_DRIFT,False
EMP12948,aadi.mohan96,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.5446,38.17,0.7972,MODERATE_DRIFT,False
EMP10450,charles.mohanty2,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.066,15.99,0.9037,STABLE,False
EMP12515,onveer.wason58,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.1582,32.37,0.8225,MODERATE_DRIFT,False
EMP10044,gopal.lala36,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,3.4238,51.36,0.7449,HIGH_DRIFT,False
EMP11001,aarush.prashad25,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,2.0802,31.2,0.8278,MODERATE_DRIFT,False
EMP11831,Unknown,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,0.2458,3.69,0.976,STABLE,False
EMP10829,chaman.goda59,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.2781,19.17,0.8867,STABLE,False
EMP10598,ekalinga.walla33,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.4804,37.21,0.8013,MODERATE_DRIFT,False
EMP10408,akshay.sarraf2,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,4.6993,70.49,0.6803,HIGH_DRIFT,False
EMP12917,charita.mannan95,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.7609,26.41,0.8503,MODERATE_DRIFT,False
EMP10256,naveen.bhagat32,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.6839,25.26,0.8559,MODERATE_DRIFT,False
EMP12028,neha_devan64,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.0893,31.34,0.8272,MODERATE_DRIFT,False
EMP12303,lila_srinivasan31,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,0.2856,4.28,0.9722,STABLE,False
EMP11837,qabil.parikh37,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.9861,29.79,0.8343,MODERATE_DRIFT,False
EMP11702,hemang.bakshi78,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.4362,21.54,0.8744,MODERATE_DRIFT,False
EMP12490,laban.sridhar64,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,0.9085,13.63,0.9167,STABLE,False
EMP11662,aishani.dugal36,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.952,44.28,0.7721,MODERATE_DRIFT,False
EMP10144,yashica_rao48,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.5223,22.83,0.8679,MODERATE_DRIFT,False
EMP12090,vasatika.saha98,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.8005,42.01,0.7812,MODERATE_DRIFT,False
EMP11292,harsh.sem7,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.2374,18.56,0.8899,STABLE,False
EMP12155,ekansh.soni57,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.9154,28.73,0.8393,MODERATE_DRIFT,False
EMP10416,arunima.tata4,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.1875,17.81,0.8939,STABLE,False
EMP10929,aarini.bora51,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.0155,15.23,0.9078,STABLE,False
EMP12022,Unknown,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.7755,26.63,0.8492,MODERATE_DRIFT,False
EMP10170,nathaniel_prakash13,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.0017,30.03,0.8332,MODERATE_DRIFT,False
EMP11125,indali.aggarwal48,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.056,30.84,0.8295,MODERATE_DRIFT,False
EMP10567,upadhriti.krishnan99,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.8496,27.74,0.8439,MODERATE_DRIFT,False
EMP11590,mahika.som71,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.0015,30.02,0.8332,MODERATE_DRIFT,False
EMP12673,victor.nagar6,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.8337,42.51,0.7792,MODERATE_DRIFT,False
EMP10134,sai.bedi96,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.8021,27.03,0.8473,MODERATE_DRIFT,False
EMP11717,jatin.saha63,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.3381,20.07,0.882,MODERATE_DRIFT,False
EMP10642,umang.dhaliwal49,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.7755,26.63,0.8492,MODERATE_DRIFT,False
EMP11689,vaishnavi.kant81,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.1314,16.97,0.8984,STABLE,False
EMP12745,prisha.sarkar30,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.8996,43.49,0.7752,MODERATE_DRIFT,False
EMP10554,shaurya.talwar44,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.695,25.43,0.8551,MODERATE_DRIFT,False
EMP12174,onveer.bansal17,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.3851,20.78,0.8783,MODERATE_DRIFT,False
EMP11538,jai.chanda34,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.668,25.02,0.857,MODERATE_DRIFT,False
EMP10999,yoshita.raval66,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.6695,40.04,0.7893,MODERATE_DRIFT,False
EMP10291,upasna_krishnamurthy12,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,2.6684,40.03,0.7894,MODERATE_DRIFT,False
EMP11338,vansha_virk36,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.3566,35.35,0.8093,MODERATE_DRIFT,False
EMP12247,tanish.dasgupta22,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.5635,23.45,0.8648,MODERATE_DRIFT,False
EMP10781,Unknown,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,9.276,100.0,0.5188,HIGH_DRIFT,False
EMP10443,tejas.raghavan27,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.1725,17.59,0.8951,STABLE,False
EMP12601,dominic.bawa78,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.009,15.13,0.9083,STABLE,False
EMP12149,teerth.chowdhury93,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.556,23.34,0.8654,MODERATE_DRIFT,False
EMP10449,jagvi.sengupta38,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,0.8841,13.26,0.9188,STABLE,False
EMP11029,Unknown,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.4258,21.39,0.8752,MODERATE_DRIFT,False
EMP11992,raksha.saini25,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,3.367,50.51,0.7481,HIGH_DRIFT,False
EMP12403,andrew.vasa6,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.4699,22.05,0.8718,MODERATE_DRIFT,False
EMP12750,darika.parekh27,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.1375,17.06,0.8979,STABLE,False
EMP10000,vrinda.dua82,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.5916,38.87,0.7942,MODERATE_DRIFT,False
EMP11048,quincy.lata26,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.2383,33.57,0.8171,MODERATE_DRIFT,False
EMP10270,upkaar.doshi48,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.2659,18.99,0.8876,STABLE,False
EMP10736,jackson.cherian13,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,0.9134,13.7,0.9163,STABLE,False
EMP10298,aradhana.yogi41,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,4.3346,65.02,0.6976,HIGH_DRIFT,False
EMP10032,lila.nadkarni27,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.0329,30.49,0.8311,MODERATE_DRIFT,False
EMP12498,lekha.kapoor10,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.2457,33.69,0.8166,MODERATE_DRIFT,False
EMP10014,ridhi.saini2,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,1.9789,29.68,0.8348,MODERATE_DRIFT,False
EMP10093,pahal.roy74,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.3196,19.79,0.8834,STABLE,False
EMP10411,shivani.pillay89,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.1865,32.8,0.8206,MODERATE_DRIFT,False
EMP11159,adya.shetty2,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,3.3163,49.74,0.751,MODERATE_DRIFT,False
EMP12362,kamala.nazareth82,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.2757,34.14,0.8146,MODERATE_DRIFT,False
EMP12819,chakradhar.nagi26,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.2325,18.49,0.8903,STABLE,False
EMP10149,girik.bhatia28,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.6847,25.27,0.8558,MODERATE_DRIFT,False
EMP11600,gagan.mitter67,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,2.4394,36.59,0.8039,MODERATE_DRIFT,False
EMP11044,mugdha.khare82,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.97,44.55,0.771,MODERATE_DRIFT,False
EMP12153,abdul.deep62,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.113,31.7,0.8256,MODERATE_DRIFT,False
EMP10495,tanmayi.thaman1,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.5895,38.84,0.7943,MODERATE_DRIFT,False
EMP10332,Unknown,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,0.5217,7.83,0.9504,STABLE,False
EMP12788,utkarsh.vora38,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.8728,28.09,0.8423,MODERATE_DRIFT,False
EMP12066,david.sampath85,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.2755,19.13,0.8869,STABLE,False
EMP11874,dayita.rout5,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.5965,23.95,0.8623,MODERATE_DRIFT,False
EMP10756,mugdha.shah75,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.5735,38.6,0.7953,MODERATE_DRIFT,False
EMP10798,udarsh.korpal53,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.5918,23.88,0.8627,MODERATE_DRIFT,False
EMP12274,praneel.sastry13,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.631,24.46,0.8598,MODERATE_DRIFT,False
EMP10203,samaksh.subramanian60,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,2.4488,36.73,0.8033,MODERATE_DRIFT,False
EMP10463,isha.padmanabhan86,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.0494,30.74,0.8299,MODERATE_DRIFT,False
EMP12851,kamala.raman22,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,7.1536,100.0,0.583,HIGH_DRIFT,False
EMP12749,darika.mandal6,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,3.1779,47.67,0.7588,MODERATE_DRIFT,False
EMP11583,hemang.bansal35,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,4.4658,66.99,0.6913,HIGH_DRIFT,False
EMP10555,vrishti.lala52,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.6343,24.51,0.8595,MODERATE_DRIFT,False
EMP10174,ridhi.iyer25,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.8138,27.21,0.8465,MODERATE_DRIFT,False
EMP10289,jonathan.narayanan92,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,1.5988,23.98,0.8622,MODERATE_DRIFT,False
EMP10120,lakshit.mand42,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.055,30.83,0.8295,MODERATE_DRIFT,False
EMP12839,lipika.parsa25,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.19,32.85,0.8203,MODERATE_DRIFT,False
EMP10847,vidhi.krishna41,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.5598,23.4,0.8651,MODERATE_DRIFT,False
EMP12699,edhitha.balasubramanian33,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.3341,35.01,0.8108,MODERATE_DRIFT,False
EMP10432,omya.gole7,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.3563,20.34,0.8806,MODERATE_DRIFT,False
EMP12969,ekanta.deshmukh53,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.9292,28.94,0.8383,MODERATE_DRIFT,False
EMP11317,ganga.goswami90,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.3807,20.71,0.8787,MODERATE_DRIFT,False
EMP11200,xiti.sem41,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.4038,21.06,0.8769,MODERATE_DRIFT,False
EMP10393,aarini.deep10,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,1.3908,20.86,0.8779,MODERATE_DRIFT,False
EMP12031,Unknown,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.8684,28.03,0.8426,MODERATE_DRIFT,False
EMP11800,farhan.sastry34,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.3845,35.77,0.8075,MODERATE_DRIFT,False
EMP11721,frederick.vasa15,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.1274,31.91,0.8246,MODERATE_DRIFT,False
