event_id,event_timestamp,event_type,event_category,user_id,hostname,device_id,session_id,source_ip,destination_ip,department,severity,action,source_dataset,source_record_id,data_quality_status,resolution_confidence
IAM00014481,Unknown,login_failed,AUTHENTICATION,EMP10317,WS-10317,DEV28388,Unknown,192.168.70.191,Unknown,Call Center,Info,LOGIN_FAILED,IAM,IAM00014481,UNKNOWN,EXACT
IAM00001695,2026-09-06 14:22:36,login_success,AUTHENTICATION,EMP10795,VDR-10795,DEV34018,SID785493,192.168.59.37,Unknown,Unknown,Medium,LOGIN_SUCCESS,IAM,IAM00001695,REPAIRED,EXACT
IAM00001632,2026-09-07 09:13:06,login_success,AUTHENTICATION,EMP11969,VDR-11969,DEV22580,SID303551,Unknown,Unknown,Unknown,Low,LOGIN_SUCCESS,IAM,IAM00001632,UNKNOWN,EXACT
IAM00008500,2026-08-23 00:00:00,login_success,AUTHENTICATION,EMP11411,VDR-11411,DEV96424,Unknown,Unknown,Unknown,Brand,High,LOGIN_SUCCESS,IAM,IAM00008500,UNKNOWN,EXACT
IAM00009796,2026-08-22 06:29:28,other,AUTHENTICATION,EMP10845,Unknown,DEV40924,SID-761290,192.168.119.1,Unknown,Operations,High,OTHER,IAM,IAM00009796,REPAIRED,EXACT
IAM00016398,2026-08-26 14:42:42,login_success,AUTHENTICATION,EMP11001,VDR-11001,DEV81188,SID692231,Unknown,Unknown,Procurement,High,LOGIN_SUCCESS,IAM,IAM00016398,UNKNOWN,EXACT
IAM00006344,2026-08-30 13:44:08,login_success,AUTHENTICATION,EMP10540,WS-10540,DEV83284,SID583041,192.168.175.195,Unknown,Unknown,High,LOGIN_SUCCESS,IAM,IAM00006344,REPAIRED,EXACT
IAM00009028,2026-08-21 00:00:00,login_success,AUTHENTICATION,EMP10750,Unknown,DEV41079,SID303611,104.39.84.130,Unknown,Unknown,Low,LOGIN_SUCCESS,IAM,IAM00009028,REPAIRED,EXACT
IAM00019876,2026-08-05 06:45:32,login_success,AUTHENTICATION,EMP11269,WS-11269,Unknown,SID558111,Unknown,Unknown,Finance,Medium,LOGIN_SUCCESS,IAM,IAM00019876,UNKNOWN,EXACT
IAM00016832,2026-08-26 23:20:00,login_success,AUTHENTICATION,EMP11877,VDR-11877,DEV51558,Unknown,Unknown,Unknown,Supply Chain,High,LOGIN_SUCCESS,IAM,IAM00016832,UNKNOWN,EXACT
IAM00017893,2026-08-13 00:00:00,login_success,AUTHENTICATION,EMP12179,WS-12179,DEV57451,Unknown,Unknown,Unknown,Unknown,Medium,LOGIN_SUCCESS,IAM,IAM00017893,UNKNOWN,EXACT
IAM00011019,2026-08-02 17:40:34,login_success,AUTHENTICATION,EMP11788,LPT-11788,Unknown,SID171239,192.168.182.20,Unknown,Marketing,Info,LOGIN_SUCCESS,IAM,IAM00011019,REPAIRED,EXACT
IAM00002644,2026-08-21 08:44:00,login_failed,AUTHENTICATION,EMP11178,LPT-11178,DEV11424,Unknown,134.214.48.30,Unknown,Unknown,Info,LOGIN_FAILED,IAM,IAM00002644,IMPUTED,EXACT
IAM00018557,2026-09-02 00:45:04,login_success,AUTHENTICATION,EMP11559,VDR-11559,DEV85650,SID715746,192.168.14.231,Unknown,Unknown,Low,LOGIN_SUCCESS,IAM,IAM00018557,REPAIRED,EXACT
IAM00000277,2026-08-17 15:27:14,login_success,AUTHENTICATION,EMP10606,WS-10606,DEV10025,SID484519,Unknown,Unknown,Unknown,High,LOGIN_SUCCESS,IAM,IAM00000277,UNKNOWN,EXACT
IAM00000759,2026-08-27 16:20:33,login_success,AUTHENTICATION,EMP11829,WS-11829,DEV43827,SID105481,175.129.29.65,Unknown,Supply Chain,Info,LOGIN_SUCCESS,IAM,IAM00000759,REPAIRED,EXACT
IAM00004991,Unknown,login_success,AUTHENTICATION,EMP10280,WS-10280,DEV59436,SID161473,207.18.160.109,Unknown,IT,Low,LOGIN_SUCCESS,IAM,IAM00004991,UNKNOWN,EXACT
IAM00003438,2026-08-30 05:51:48,login_success,AUTHENTICATION,EMP10585,VDR-10585,Unknown,SID194230,56.41.11.203,Unknown,Human Resources,Medium,LOGIN_SUCCESS,IAM,IAM00003438,VALID,EXACT
IAM00000401,Unknown,login_success,AUTHENTICATION,EMP10340,VDR-10340,Unknown,SID919749,192.168.195.151,Unknown,Finance,Low,LOGIN_SUCCESS,IAM,IAM00000401,UNKNOWN,EXACT
IAM00017849,Unknown,login_success,AUTHENTICATION,EMP12111,LPT-12111,DEV47712,SID736536,Unknown,Unknown,Sales,Medium,LOGIN_SUCCESS,IAM,IAM00017849,UNKNOWN,EXACT
IAM00010888,2026-08-13 18:35:41,login_failed,AUTHENTICATION,EMP10912,LPT-10912,Unknown,SID353274,172.16.186.37,Unknown,Operations,High,LOGIN_FAILED,IAM,IAM00010888,REPAIRED,EXACT
IAM00005264,2026-08-17 18:54:33,login_failed,AUTHENTICATION,EMP12505,LPT-12505,DEV68365,SID357127,30.115.22.53,Unknown,Supply Chain,High,LOGIN_FAILED,IAM,IAM00005264,REPAIRED,EXACT
IAM00013994,2026-08-17 00:00:00,login_failed,AUTHENTICATION,EMP12775,VDR-12775,DEV18826,Unknown,192.168.5.2,Unknown,Innovation,High,LOGIN_FAILED,IAM,IAM00013994,REPAIRED,EXACT
IAM00011264,2026-09-01 15:43:28,login_failed,AUTHENTICATION,EMP10446,LPT-10446,DEV73001,SID850207,192.168.6.22,Unknown,IT Support,Medium,LOGIN_FAILED,IAM,IAM00011264,REPAIRED,EXACT
IAM00019608,2026-07-09 05:49:00,login_success,AUTHENTICATION,EMP10746,WS-10746,DEV75210,Unknown,172.16.228.59,Unknown,Human Resources,Low,LOGIN_SUCCESS,IAM,IAM00019608,REPAIRED,EXACT
IAM00004561,2026-09-03 06:24:05,login_success,AUTHENTICATION,EMP12550,WS-12550,DEV50159,SID685934,Unknown,Unknown,R&D,High,LOGIN_SUCCESS,IAM,IAM00004561,UNKNOWN,EXACT
IAM00000365,2026-08-06 23:24:39,login_failed,AUTHENTICATION,EMP12079,VDR-12079,DEV67458,SID961370,Unknown,Unknown,Call Center,Low,LOGIN_FAILED,IAM,IAM00000365,UNKNOWN,EXACT
IAM00000883,2026-08-31 13:23:00,login_failed,AUTHENTICATION,EMP10554,WS-10554,DEV37594,Unknown,15.243.10.56,Unknown,Operations,Medium,LOGIN_FAILED,IAM,IAM00000883,REPAIRED,EXACT
IAM00005465,Unknown,login_success,AUTHENTICATION,EMP10843,VDR-10843,DEV28423,Unknown,185.219.137.216,Unknown,Operations,Medium,LOGIN_SUCCESS,IAM,IAM00005465,UNKNOWN,EXACT
IAM00018271,Unknown,login_failed,AUTHENTICATION,EMP12423,VDR-12423,DEV24383,Unknown,Unknown,Unknown,IT,Low,LOGIN_FAILED,IAM,IAM00018271,UNKNOWN,EXACT
IAM00010074,2026-08-26 14:04:32,login_success,AUTHENTICATION,EMP12777,VDR-12777,Unknown,SID190608,Unknown,Unknown,R&D,High,LOGIN_SUCCESS,IAM,IAM00010074,UNKNOWN,EXACT
IAM00006398,2026-01-08 05:43:00,login_success,AUTHENTICATION,EMP10356,LPT-10356,DEV64559,Unknown,Unknown,Unknown,Legal,Info,LOGIN_SUCCESS,IAM,IAM00006398,UNKNOWN,EXACT
IAM00007012,2026-08-06 02:27:35,login_success,AUTHENTICATION,EMP12061,LPT-12061,DEV17731,SID983969,172.16.61.194,Unknown,IT,Medium,LOGIN_SUCCESS,IAM,IAM00007012,REPAIRED,EXACT
IAM00014128,2026-10-08 09:14:00,login_success,AUTHENTICATION,EMP10781,WS-10781,Unknown,SID705402,192.168.32.10,Unknown,R&D,High,LOGIN_SUCCESS,IAM,IAM00014128,VALID,EXACT
IAM00003459,2026-08-27 13:30:00,login_success,AUTHENTICATION,EMP12353,VDR-12353,DEV50470,Unknown,Unknown,Unknown,Sales,Info,LOGIN_SUCCESS,IAM,IAM00003459,UNKNOWN,EXACT
IAM00014663,2026-08-17 10:16:23,login_success,AUTHENTICATION,EMP10525,LPT-10525,DEV22214,Unknown,192.168.254.61,Unknown,IT Support,Info,LOGIN_SUCCESS,IAM,IAM00014663,REPAIRED,EXACT
IAM00014377,2026-08-19 00:03:30,login_success,AUTHENTICATION,EMP12579,VDR-12579,DEV22006,SID271554,10.70.53.0,Unknown,IT,High,LOGIN_SUCCESS,IAM,IAM00014377,IMPUTED,EXACT
IAM00004374,2026-08-29 12:39:01,other,AUTHENTICATION,EMP12157,VDR-12157,DEV50940,Unknown,Unknown,Unknown,Marketing,Low,OTHER,IAM,IAM00004374,UNKNOWN,EXACT
IAM00015556,Unknown,login_success,AUTHENTICATION,EMP12197,LPT-12197,DEV61366,Unknown,Unknown,Unknown,Human Resources,Medium,LOGIN_SUCCESS,IAM,IAM00015556,UNKNOWN,EXACT
IAM00008339,2026-08-13 14:26:18,login_success,AUTHENTICATION,EMP10320,LPT-10320,Unknown,SID469797,Unknown,Unknown,Marketing,Low,LOGIN_SUCCESS,IAM,IAM00008339,UNKNOWN,EXACT
IAM00015981,Unknown,login_failed,AUTHENTICATION,EMP11232,VDR-11232,DEV13019,SID232927,172.16.177.36,Unknown,Sales,Low,LOGIN_FAILED,IAM,IAM00015981,UNKNOWN,EXACT
IAM00016222,2026-08-20 22:24:00,login_success,AUTHENTICATION,EMP12027,LPT-12027,DEV90481,SID461004,Unknown,Unknown,Unknown,Low,LOGIN_SUCCESS,IAM,IAM00016222,UNKNOWN,EXACT
IAM00008614,2026-08-12 00:00:00,other,AUTHENTICATION,EMP11821,VDR-11821,DEV38664,Unknown,Unknown,Unknown,Marketing,High,OTHER,IAM,IAM00008614,UNKNOWN,EXACT
IAM00019041,Unknown,login_failed,AUTHENTICATION,EMP12235,VDR-12235,DEV77458,Unknown,168.224.82.161,Unknown,Human Resources,Medium,LOGIN_FAILED,IAM,IAM00019041,UNKNOWN,EXACT
IAM00016213,2026-08-28 01:49:00,login_success,AUTHENTICATION,EMP12767,LPT-12767,DEV43629,SID849855,197.123.103.243,Unknown,Finance,High,LOGIN_SUCCESS,IAM,IAM00016213,REPAIRED,EXACT
IAM00013290,2026-08-24 03:27:56,other,AUTHENTICATION,EMP11104,WS-11104,DEV83877,SID-473409,163.78.28.61,Unknown,Unknown,Medium,OTHER,IAM,IAM00013290,REPAIRED,EXACT
IAM00019419,Unknown,login_failed,AUTHENTICATION,EMP11359,LPT-11359,DEV66547,Unknown,Unknown,Unknown,Unknown,High,LOGIN_FAILED,IAM,IAM00019419,UNKNOWN,EXACT
IAM00005379,2026-05-08 06:46:00,login_failed,AUTHENTICATION,EMP12418,WS-12418,Unknown,SID843137,Unknown,Unknown,Unknown,Info,LOGIN_FAILED,IAM,IAM00005379,UNKNOWN,EXACT
IAM00012904,2026-09-07 20:27:22,login_success,AUTHENTICATION,EMP11321,LPT-11321,DEV12810,SID859629,Unknown,Unknown,Unknown,Low,LOGIN_SUCCESS,IAM,IAM00012904,UNKNOWN,EXACT
IAM00000582,2026-08-01 09:18:26,login_failed,AUTHENTICATION,EMP12546,WS-12546,DEV38336,SID617454,Unknown,Unknown,Unknown,Info,LOGIN_FAILED,IAM,IAM00000582,UNKNOWN,EXACT
IAM00019344,2026-09-09 06:57:22,login_success,AUTHENTICATION,EMP11846,VDR-11846,DEV25429,SID584977,172.16.175.219,Unknown,IT,High,LOGIN_SUCCESS,IAM,IAM00019344,VALID,EXACT
IAM00015925,Unknown,login_failed,AUTHENTICATION,EMP12111,LPT-12111,DEV47712,Unknown,Unknown,Unknown,Sales,High,LOGIN_FAILED,IAM,IAM00015925,UNKNOWN,EXACT
IAM00006142,2026-09-05 04:05:23,login_success,AUTHENTICATION,EMP10251,VDR-10251,DEV18357,SID259499,192.168.90.247,Unknown,IT,Medium,LOGIN_SUCCESS,IAM,IAM00006142,VALID,EXACT
IAM00009370,2026-08-07 04:33:40,login_success,AUTHENTICATION,EMP12604,VDR-12604,Unknown,SID342883,192.168.192.83,Unknown,Marketing,Low,LOGIN_SUCCESS,IAM,IAM00009370,IMPUTED,EXACT
IAM00000213,2026-08-31 20:37:04,login_success,AUTHENTICATION,EMP10741,LPT-10741,DEV95426,SID124331,Unknown,Unknown,IT,Medium,LOGIN_SUCCESS,IAM,IAM00000213,UNKNOWN,EXACT
IAM00008999,2026-08-07 01:51:54,login_success,AUTHENTICATION,EMP10957,LPT-10957,DEV95078,Unknown,172.16.197.158,Unknown,Unknown,Info,LOGIN_SUCCESS,IAM,IAM00008999,REPAIRED,EXACT
IAM00016908,2026-09-03 15:04:32,other,AUTHENTICATION,EMP10139,WS-10139,Unknown,Unknown,Unknown,Unknown,Legal,Low,OTHER,IAM,IAM00016908,UNKNOWN,EXACT
IAM00003394,Unknown,login_success,AUTHENTICATION,EMP10332,WS-10332,DEV99463,SID380484,Unknown,Unknown,Supply Chain,High,LOGIN_SUCCESS,IAM,IAM00003394,UNKNOWN,EXACT
IAM00003763,2026-08-15 21:28:19,login_success,AUTHENTICATION,EMP12937,LPT-12937,DEV25279,SID486287,172.16.47.181,Unknown,Procurement,Medium,LOGIN_SUCCESS,IAM,IAM00003763,VALID,EXACT
IAM00016155,2026-09-01 14:38:48,login_success,AUTHENTICATION,EMP11444,WS-11444,DEV85692,Unknown,192.168.130.178,Unknown,Human Resources,Low,LOGIN_SUCCESS,IAM,IAM00016155,VALID,EXACT
IAM00011170,2026-08-12 08:49:33,login_failed,AUTHENTICATION,EMP11942,VDR-11942,DEV78920,Unknown,Unknown,Unknown,Unknown,Medium,LOGIN_FAILED,IAM,IAM00011170,UNKNOWN,EXACT
IAM00009429,2026-09-01 12:35:04,login_failed,AUTHENTICATION,EMP12848,WS-12848,DEV71268,SID-992324,Unknown,Unknown,Finance,Medium,LOGIN_FAILED,IAM,IAM00009429,UNKNOWN,EXACT
IAM00010398,2026-08-27 11:07:51,login_failed,AUTHENTICATION,EMP12325,VDR-12325,DEV55332,Unknown,Unknown,Unknown,Human Resources,Low,LOGIN_FAILED,IAM,IAM00010398,UNKNOWN,EXACT
IAM00007301,2026-08-22 13:45:52,login_success,AUTHENTICATION,EMP10496,LPT-10496,DEV46899,SID758281,11.1.136.77,Unknown,Marketing,High,LOGIN_SUCCESS,IAM,IAM00007301,VALID,EXACT
IAM00016325,2026-09-05 16:05:49,login_failed,AUTHENTICATION,EMP10746,WS-10746,Unknown,Unknown,172.16.209.153,Unknown,Human Resources,Low,LOGIN_FAILED,IAM,IAM00016325,REPAIRED,EXACT
IAM00000519,Unknown,login_failed,AUTHENTICATION,EMP12913,WS-12913,DEV52978,Unknown,Unknown,Unknown,Unknown,High,LOGIN_FAILED,IAM,IAM00000519,UNKNOWN,EXACT
IAM00001033,2026-08-01 00:00:00,login_success,AUTHENTICATION,EMP10968,LPT-10968,DEV65550,SID780067,192.168.189.173,Unknown,Supply Chain,Info,LOGIN_SUCCESS,IAM,IAM00001033,REPAIRED,EXACT
IAM00000157,2026-08-22 00:00:00,login_failed,AUTHENTICATION,EMP10278,VDR-10278,DEV79003,SID373363,Unknown,Unknown,Unknown,High,LOGIN_FAILED,IAM,IAM00000157,UNKNOWN,EXACT
IAM00007419,2026-08-31 00:00:00,login_failed,AUTHENTICATION,EMP10218,VDR-10218,DEV99181,SID335882,Unknown,Unknown,Customer Support,Low,LOGIN_FAILED,IAM,IAM00007419,UNKNOWN,EXACT
IAM00010497,2026-08-14 17:19:56,login_failed,AUTHENTICATION,EMP10212,LPT-10212,DEV16632,SID302615,56.223.243.79,Unknown,R&D,High,LOGIN_FAILED,IAM,IAM00010497,REPAIRED,EXACT
IAM00016239,2026-08-17 11:22:25,login_success,AUTHENTICATION,EMP12378,LPT-12378,DEV85191,SID455043,Unknown,Unknown,Customer Support,Info,LOGIN_SUCCESS,IAM,IAM00016239,UNKNOWN,EXACT
IAM00018740,2026-08-20 19:43:00,login_success,AUTHENTICATION,EMP12852,LPT-12852,DEV27337,SID878009,192.168.98.131,Unknown,R&D,Low,LOGIN_SUCCESS,IAM,IAM00018740,REPAIRED,EXACT
IAM00002341,2026-08-31 00:00:00,login_success,AUTHENTICATION,EMP10187,WS-10187,DEV77552,SID689073,Unknown,Unknown,Sales,High,LOGIN_SUCCESS,IAM,IAM00002341,UNKNOWN,EXACT
IAM00016326,2026-09-03 01:47:24,login_failed,AUTHENTICATION,EMP10114,LPT-10114,DEV67898,Unknown,172.16.207.121,Unknown,Marketing,Low,LOGIN_FAILED,IAM,IAM00016326,REPAIRED,EXACT
IAM00011419,2026-08-18 15:53:26,other,AUTHENTICATION,EMP11644,VDR-11644,DEV80028,Unknown,172.16.108.117,Unknown,Human Resources,Medium,OTHER,IAM,IAM00011419,VALID,EXACT
IAM00010772,2026-08-30 06:15:40,login_failed,AUTHENTICATION,EMP12844,VDR-12844,DEV19253,Unknown,172.16.28.114,Unknown,Sales,Medium,LOGIN_FAILED,IAM,IAM00010772,VALID,EXACT
IAM00009089,2026-06-09 02:30:00,login_success,AUTHENTICATION,EMP12808,Unknown,DEV39607,SID473649,Unknown,Unknown,Finance,High,LOGIN_SUCCESS,IAM,IAM00009089,UNKNOWN,EXACT
IAM00009085,2026-08-17 14:22:23,login_success,AUTHENTICATION,EMP10115,WS-10115,DEV23979,Unknown,173.152.63.249,Unknown,Unknown,High,LOGIN_SUCCESS,IAM,IAM00009085,REPAIRED,EXACT
IAM00009746,2026-08-18 15:54:29,login_failed,AUTHENTICATION,EMP10902,VDR-10902,Unknown,Unknown,192.168.179.13,Unknown,IT,High,LOGIN_FAILED,IAM,IAM00009746,REPAIRED,EXACT
IAM00013526,2026-08-01 16:18:13,login_failed,AUTHENTICATION,EMP12830,WS-12830,DEV79017,Unknown,Unknown,Unknown,Operations,Low,LOGIN_FAILED,IAM,IAM00013526,UNKNOWN,EXACT
IAM00015649,2026-08-05 21:50:05,login_failed,AUTHENTICATION,EMP12975,VDR-12975,DEV64598,Unknown,Unknown,Unknown,Sales,Low,LOGIN_FAILED,IAM,IAM00015649,UNKNOWN,EXACT
IAM00004008,2026-08-05 23:51:04,login_success,AUTHENTICATION,EMP10746,WS-10746,DEV75210,Unknown,Unknown,Unknown,Human Resources,Low,LOGIN_SUCCESS,IAM,IAM00004008,UNKNOWN,EXACT
IAM00002207,2026-08-25 16:13:43,login_success,AUTHENTICATION,EMP11042,VDR-11042,Unknown,Unknown,Unknown,Unknown,Unknown,Info,LOGIN_SUCCESS,IAM,IAM00002207,UNKNOWN,EXACT
IAM00006711,2026-08-08 00:00:00,login_success,AUTHENTICATION,EMP12373,VDR-12373,DEV55579,SID573291,211.97.202.12,Unknown,Operations,High,LOGIN_SUCCESS,IAM,IAM00006711,REPAIRED,EXACT
IAM00009398,2026-09-08 20:04:00,other,AUTHENTICATION,EMP12778,LPT-12778,DEV97441,Unknown,Unknown,Unknown,Operations,Medium,OTHER,IAM,IAM00009398,UNKNOWN,EXACT
IAM00012268,2026-08-30 00:00:00,login_success,AUTHENTICATION,EMP11662,LPT-11662,DEV68314,SID241447,172.16.201.238,Unknown,Sales,High,LOGIN_SUCCESS,IAM,IAM00012268,VALID,EXACT
IAM00003544,2026-09-07 06:24:42,login_failed,AUTHENTICATION,EMP10468,WS-10468,DEV10568,Unknown,172.16.4.22,Unknown,Procurement,Medium,LOGIN_FAILED,IAM,IAM00003544,IMPUTED,EXACT
IAM00016535,2026-08-10 00:49:41,login_failed,AUTHENTICATION,EMP12418,WS-12418,DEV59411,Unknown,Unknown,Unknown,Marketing,Low,LOGIN_FAILED,IAM,IAM00016535,UNKNOWN,EXACT
IAM00010319,2026-08-21 12:10:37,login_success,AUTHENTICATION,EMP11561,LPT-11561,DEV28737,Unknown,199.167.171.168,Unknown,IT,Low,LOGIN_SUCCESS,IAM,IAM00010319,VALID,EXACT
IAM00007409,2026-09-07 12:28:35,login_success,AUTHENTICATION,EMP11640,LPT-11640,DEV51670,SID207852,192.168.115.204,Unknown,Support,Low,LOGIN_SUCCESS,IAM,IAM00007409,REPAIRED,EXACT
IAM00012194,2026-08-19 03:04:30,login_failed,AUTHENTICATION,EMP12583,LPT-12583,DEV91232,Unknown,Unknown,Unknown,IT,High,LOGIN_FAILED,IAM,IAM00012194,UNKNOWN,EXACT
IAM00018701,2026-08-20 14:03:59,login_success,AUTHENTICATION,EMP12643,LPT-12643,DEV11348,Unknown,Unknown,Unknown,Unknown,Low,LOGIN_SUCCESS,IAM,IAM00018701,UNKNOWN,EXACT
IAM00013939,2026-08-08 04:41:00,login_failed,AUTHENTICATION,EMP12304,LPT-12304,DEV41573,Unknown,Unknown,Unknown,Unknown,High,LOGIN_FAILED,IAM,IAM00013939,UNKNOWN,EXACT
IAM00008498,2026-08-18 02:33:31,login_success,AUTHENTICATION,EMP10956,LPT-10956,DEV89794,SID188027,203.59.67.100,Unknown,IT Support,High,LOGIN_SUCCESS,IAM,IAM00008498,REPAIRED,EXACT
IAM00010607,2026-04-08 05:36:00,login_success,AUTHENTICATION,EMP10126,WS-10126,DEV97881,SID283764,172.16.132.252,Unknown,Finance,Info,LOGIN_SUCCESS,IAM,IAM00010607,REPAIRED,EXACT
IAM00014355,2026-12-08 00:00:00,login_success,AUTHENTICATION,EMP12650,VDR-12650,DEV70735,SID539890,Unknown,Unknown,Unknown,Medium,LOGIN_SUCCESS,IAM,IAM00014355,UNKNOWN,EXACT
IAM00000446,2026-08-10 19:30:41,login_failed,AUTHENTICATION,EMP11358,WS-11358,DEV44521,Unknown,192.168.183.41,Unknown,IT,Info,LOGIN_FAILED,IAM,IAM00000446,REPAIRED,EXACT
IAM00000697,2026-08-18 14:35:52,other,AUTHENTICATION,EMP10573,WS-10573,DEV80136,Unknown,192.168.29.223,Unknown,Finance,High,OTHER,IAM,IAM00000697,REPAIRED,EXACT
IAM00006570,2026-06-08 00:00:00,login_failed,AUTHENTICATION,EMP11892,VDR-11892,DEV15269,Unknown,Unknown,Unknown,Human Resources,Medium,LOGIN_FAILED,IAM,IAM00006570,UNKNOWN,EXACT
IAM00003891,2026-09-07 08:11:42,login_success,AUTHENTICATION,EMP11347,WS-11347,DEV47104,Unknown,Unknown,Unknown,Legal,Medium,LOGIN_SUCCESS,IAM,IAM00003891,UNKNOWN,EXACT
IAM00003044,2026-09-06 00:00:00,login_success,AUTHENTICATION,EMP12777,VDR-12777,DEV81246,Unknown,202.105.20.251,Unknown,R&D,Medium,LOGIN_SUCCESS,IAM,IAM00003044,REPAIRED,EXACT
IAM00012467,2026-08-08 19:36:00,login_failed,AUTHENTICATION,EMP10745,LPT-10745,DEV70845,Unknown,Unknown,Unknown,Operations,Medium,LOGIN_FAILED,IAM,IAM00012467,UNKNOWN,EXACT
