sequence_id,entity_id,entity_type,event_id,source_dataset,source_record_id,event_timestamp,event_category,role_in_sequence
SEQ-USR-1011,EMP10052,USER,IAM00013121,IAM,IAM00013121,2026-01-08 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1012,EMP10052,USER,IAM00016034,IAM,IAM00016034,2026-08-06 19:21:11+00:00,AUTHENTICATION,step_1
SEQ-USR-1012,EMP10052,USER,IAM00013851,IAM,IAM00013851,2026-08-06 19:27:31+00:00,AUTHENTICATION,step_2
SEQ-USR-1013,EMP10052,USER,IAM00005723,IAM,IAM00005723,2026-08-08 22:56:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1013,EMP10052,USER,IAM00017334,IAM,IAM00017334,2026-08-08 23:39:36+00:00,AUTHENTICATION,step_2
SEQ-USR-1014,EMP10052,USER,IAM00008242,IAM,IAM00008242,2026-08-15 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1014,EMP10052,USER,IAM00018134,IAM,IAM00018134,2026-08-15 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1015,EMP10052,USER,IAM00009990,IAM,IAM00009990,2026-08-27 08:11:10+00:00,AUTHENTICATION,step_1
SEQ-USR-1015,EMP10052,USER,IAM00010349,IAM,IAM00010349,2026-08-27 09:10:33+00:00,AUTHENTICATION,step_2
SEQ-USR-1016,EMP10052,USER,IAM00002178,IAM,IAM00002178,2026-08-31 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1016,EMP10052,USER,IAM00019512,IAM,IAM00019512,2026-08-31 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1017,EMP10052,USER,IAM00003453,IAM,IAM00003453,2026-09-08 15:01:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1017,EMP10052,USER,IAM00014320,IAM,IAM00014320,2026-09-08 15:32:53+00:00,AUTHENTICATION,step_2
SEQ-USR-1018,EMP10063,USER,IAM00006605,IAM,IAM00006605,2026-08-02 23:09:18+00:00,AUTHENTICATION,step_1
SEQ-USR-1018,EMP10063,USER,IAM00011827,IAM,IAM00011827,2026-08-03 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1019,EMP10063,USER,IAM00003548,IAM,IAM00003548,2026-08-19 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1019,EMP10063,USER,IAM00008537,IAM,IAM00008537,2026-08-19 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1020,EMP10063,USER,IAM00000982,IAM,IAM00000982,2026-08-21 23:18:16+00:00,AUTHENTICATION,step_1
SEQ-USR-1020,EMP10063,USER,IAM00000636,IAM,IAM00000636,2026-08-22 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1021,EMP10063,USER,IAM00006227,IAM,IAM00006227,2026-08-25 23:51:37+00:00,AUTHENTICATION,step_1
SEQ-USR-1021,EMP10063,USER,IAM00003770,IAM,IAM00003770,2026-08-26 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1022,EMP10077,USER,IAM00000384,IAM,IAM00000384,2026-08-29 18:21:38+00:00,AUTHENTICATION,step_1
SEQ-USR-1022,EMP10077,USER,IAM00012707,IAM,IAM00012707,2026-08-29 18:58:48+00:00,AUTHENTICATION,step_2
SEQ-USR-1023,EMP10085,USER,IAM00013110,IAM,IAM00013110,2026-08-25 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1023,EMP10085,USER,IAM00013700,IAM,IAM00013700,2026-08-25 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1024,EMP10119,USER,IAM00005108,IAM,IAM00005108,2026-08-31 23:25:39+00:00,AUTHENTICATION,step_1
SEQ-USR-1024,EMP10119,USER,IAM00019620,IAM,IAM00019620,2026-08-31 23:59:27+00:00,AUTHENTICATION,step_2
SEQ-USR-1025,EMP10125,USER,IAM00002713,IAM,IAM00002713,2026-08-14 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1025,EMP10125,USER,IAM00000150,IAM,IAM00000150,2026-08-14 00:52:50+00:00,AUTHENTICATION,step_2
SEQ-USR-1026,EMP10152,USER,IAM00003910,IAM,IAM00003910,2026-08-07 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1026,EMP10152,USER,IAM00006689,IAM,IAM00006689,2026-08-07 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1027,EMP10152,USER,IAM00013044,IAM,IAM00013044,2026-08-11 06:20:45+00:00,AUTHENTICATION,step_1
SEQ-USR-1027,EMP10152,USER,IAM00010129,IAM,IAM00010129,2026-08-11 06:49:50+00:00,AUTHENTICATION,step_2
SEQ-USR-1028,EMP10152,USER,IAM00000463,IAM,IAM00000463,2026-08-16 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1028,EMP10152,USER,IAM00016282,IAM,IAM00016282,2026-08-16 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1029,EMP10152,USER,IAM00017513,IAM,IAM00017513,2026-08-21 15:32:34+00:00,AUTHENTICATION,step_1
SEQ-USR-1029,EMP10152,USER,IAM00007946,IAM,IAM00007946,2026-08-21 15:47:11+00:00,AUTHENTICATION,step_2
SEQ-USR-1030,EMP10152,USER,IAM00009045,IAM,IAM00009045,2026-08-23 01:57:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1030,EMP10152,USER,IAM00014282,IAM,IAM00014282,2026-08-23 02:26:04+00:00,AUTHENTICATION,step_2
SEQ-USR-1031,EMP10152,USER,IAM00010848,IAM,IAM00010848,2026-08-27 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1031,EMP10152,USER,IAM00017891,IAM,IAM00017891,2026-08-27 00:46:23+00:00,AUTHENTICATION,step_2
SEQ-USR-1032,EMP10162,USER,EPA00006477,Endpoint,EPA00006477,2026-08-29 00:00:00+00:00,ENDPOINT_ALERT,step_1
SEQ-USR-1032,EMP10162,USER,IAM00006354,IAM,IAM00006354,2026-08-29 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1033,EMP10168,USER,IAM00018685,IAM,IAM00018685,2026-08-29 14:20:27+00:00,AUTHENTICATION,step_1
SEQ-USR-1033,EMP10168,USER,IAM00018115,IAM,IAM00018115,2026-08-29 14:39:25+00:00,AUTHENTICATION,step_2
SEQ-USR-1034,EMP10177,USER,IAM00008062,IAM,IAM00008062,2026-08-29 05:54:48+00:00,AUTHENTICATION,step_1
SEQ-USR-1034,EMP10177,USER,IAM00006796,IAM,IAM00006796,2026-08-29 06:02:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1035,EMP10190,USER,EPA00006706,Endpoint,EPA00006706,2026-08-24 00:00:00+00:00,ENDPOINT_ALERT,step_1
SEQ-USR-1035,EMP10190,USER,IAM00017539,IAM,IAM00017539,2026-08-24 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1036,EMP10194,USER,IAM00013328,IAM,IAM00013328,2026-08-13 23:37:27+00:00,AUTHENTICATION,step_1
SEQ-USR-1036,EMP10194,USER,IAM00004776,IAM,IAM00004776,2026-08-14 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1037,EMP10194,USER,IAM00012625,IAM,IAM00012625,2026-08-14 06:33:07+00:00,AUTHENTICATION,step_1
SEQ-USR-1037,EMP10194,USER,IAM00009863,IAM,IAM00009863,2026-08-14 07:25:53+00:00,AUTHENTICATION,step_2
SEQ-USR-1038,EMP10194,USER,IAM00011670,IAM,IAM00011670,2026-08-22 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1038,EMP10194,USER,IAM00014760,IAM,IAM00014760,2026-08-22 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1039,EMP10194,USER,IAM00014165,IAM,IAM00014165,2026-08-24 10:27:06+00:00,AUTHENTICATION,step_1
SEQ-USR-1039,EMP10194,USER,IAM00007159,IAM,IAM00007159,2026-08-24 10:28:42+00:00,AUTHENTICATION,step_2
SEQ-USR-1040,EMP10195,USER,IAM00017662,IAM,IAM00017662,2026-08-24 23:28:54+00:00,AUTHENTICATION,step_1
SEQ-USR-1040,EMP10195,USER,IAM00012557,IAM,IAM00012557,2026-08-25 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1041,EMP10202,USER,IAM00002280,IAM,IAM00002280,2026-08-08 03:45:35+00:00,AUTHENTICATION,step_1
SEQ-USR-1041,EMP10202,USER,IAM00002548,IAM,IAM00002548,2026-08-08 04:43:15+00:00,AUTHENTICATION,step_2
SEQ-USR-1042,EMP10203,USER,IAM00013317,IAM,IAM00013317,2026-08-18 21:40:04+00:00,AUTHENTICATION,step_1
SEQ-USR-1042,EMP10203,USER,IAM00016345,IAM,IAM00016345,2026-08-18 21:50:50+00:00,AUTHENTICATION,step_2
SEQ-USR-1043,EMP10203,USER,IAM00006771,IAM,IAM00006771,2026-08-21 09:29:13+00:00,AUTHENTICATION,step_1
SEQ-USR-1043,EMP10203,USER,IAM00001789,IAM,IAM00001789,2026-08-21 09:40:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1044,EMP10203,USER,IAM00006498,IAM,IAM00006498,2026-09-04 12:01:46+00:00,AUTHENTICATION,step_1
SEQ-USR-1044,EMP10203,USER,IAM00005094,IAM,IAM00005094,2026-09-04 12:28:13+00:00,AUTHENTICATION,step_2
SEQ-USR-1045,EMP10243,USER,IAM00004077,IAM,IAM00004077,2026-08-07 23:10:01+00:00,AUTHENTICATION,step_1
SEQ-USR-1045,EMP10243,USER,EPA00004996,Endpoint,EPA00004996,2026-08-08 00:00:00+00:00,ENDPOINT_ALERT,step_2
SEQ-USR-1046,EMP10251,USER,IAM00004816,IAM,IAM00004816,2026-08-01 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1046,EMP10251,USER,IAM00000155,IAM,IAM00000155,2026-08-01 00:55:47+00:00,AUTHENTICATION,step_2
SEQ-USR-1047,EMP10251,USER,IAM00015897,IAM,IAM00015897,2026-08-13 07:24:40+00:00,AUTHENTICATION,step_1
SEQ-USR-1047,EMP10251,USER,IAM00019796,IAM,IAM00019796,2026-08-13 07:54:10+00:00,AUTHENTICATION,step_2
SEQ-USR-1048,EMP10251,USER,EPA00002321,Endpoint,EPA00002321,2026-08-13 23:06:31+00:00,ENDPOINT_ALERT,step_1
SEQ-USR-1048,EMP10251,USER,IAM00001894,IAM,IAM00001894,2026-08-13 23:46:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1049,EMP10251,USER,IAM00011657,IAM,IAM00011657,2026-08-17 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1049,EMP10251,USER,IAM00019387,IAM,IAM00019387,2026-08-17 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1050,EMP10251,USER,IAM00001064,IAM,IAM00001064,2026-08-20 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1050,EMP10251,USER,IAM00006632,IAM,IAM00006632,2026-08-20 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1051,EMP10278,USER,IAM00000157,IAM,IAM00000157,2026-08-22 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1051,EMP10278,USER,IAM00019882,IAM,IAM00019882,2026-08-22 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1052,EMP10289,USER,IAM00011864,IAM,IAM00011864,2026-05-08 16:20:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1052,EMP10289,USER,IAM00002323,IAM,IAM00002323,2026-05-08 16:59:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1053,EMP10289,USER,IAM00002081,IAM,IAM00002081,2026-08-16 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1053,EMP10289,USER,IAM00012786,IAM,IAM00012786,2026-08-16 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1054,EMP10289,USER,IAM00012088,IAM,IAM00012088,2026-08-18 16:05:42+00:00,AUTHENTICATION,step_1
SEQ-USR-1054,EMP10289,USER,IAM00009204,IAM,IAM00009204,2026-08-18 16:35:03+00:00,AUTHENTICATION,step_2
SEQ-USR-1055,EMP10291,USER,IAM00007913,IAM,IAM00007913,2026-08-11 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1055,EMP10291,USER,IAM00011385,IAM,IAM00011385,2026-08-11 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1056,EMP10291,USER,IAM00017661,IAM,IAM00017661,2026-08-24 03:12:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1056,EMP10291,USER,IAM00003846,IAM,IAM00003846,2026-08-24 03:40:17+00:00,AUTHENTICATION,step_2
SEQ-USR-1057,EMP10291,USER,IAM00002679,IAM,IAM00002679,2026-08-31 11:38:28+00:00,AUTHENTICATION,step_1
SEQ-USR-1057,EMP10291,USER,IAM00007191,IAM,IAM00007191,2026-08-31 12:30:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1058,EMP10291,USER,IAM00009401,IAM,IAM00009401,2026-09-01 08:36:01+00:00,AUTHENTICATION,step_1
SEQ-USR-1058,EMP10291,USER,IAM00013863,IAM,IAM00013863,2026-09-01 09:03:17+00:00,AUTHENTICATION,step_2
SEQ-USR-1059,EMP10292,USER,IAM00010640,IAM,IAM00010640,2026-08-20 13:15:01+00:00,AUTHENTICATION,step_1
SEQ-USR-1059,EMP10292,USER,EPA00007963,Endpoint,EPA00007963,2026-08-20 14:07:20+00:00,ENDPOINT_ALERT,step_2
SEQ-USR-1060,EMP10296,USER,IAM00004079,IAM,IAM00004079,2026-08-02 23:07:58+00:00,AUTHENTICATION,step_1
SEQ-USR-1060,EMP10296,USER,IAM00006522,IAM,IAM00006522,2026-08-03 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1061,EMP10296,USER,IAM00013732,IAM,IAM00013732,2026-08-09 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1061,EMP10296,USER,IAM00016749,IAM,IAM00016749,2026-08-09 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1061,EMP10296,USER,IAM00014332,IAM,IAM00014332,2026-08-09 00:59:12+00:00,AUTHENTICATION,step_3
SEQ-USR-1062,EMP10296,USER,IAM00002153,IAM,IAM00002153,2026-08-15 23:06:08+00:00,AUTHENTICATION,step_1
SEQ-USR-1062,EMP10296,USER,IAM00009184,IAM,IAM00009184,2026-08-16 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1063,EMP10296,USER,IAM00002534,IAM,IAM00002534,2026-08-19 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1063,EMP10296,USER,IAM00018672,IAM,IAM00018672,2026-08-19 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1064,EMP10296,USER,IAM00004081,IAM,IAM00004081,2026-08-23 11:49:58+00:00,AUTHENTICATION,step_1
SEQ-USR-1064,EMP10296,USER,IAM00019476,IAM,IAM00019476,2026-08-23 12:23:24+00:00,AUTHENTICATION,step_2
SEQ-USR-1065,EMP10296,USER,IAM00001499,IAM,IAM00001499,2026-08-29 23:25:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1065,EMP10296,USER,IAM00019566,IAM,IAM00019566,2026-08-30 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1066,EMP10296,USER,IAM00011448,IAM,IAM00011448,2026-09-03 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1066,EMP10296,USER,IAM00015059,IAM,IAM00015059,2026-09-03 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1067,EMP10297,USER,EPA00007164,Endpoint,EPA00007164,2026-08-16 03:10:54+00:00,ENDPOINT_ALERT,step_1
SEQ-USR-1067,EMP10297,USER,IAM00018999,IAM,IAM00018999,2026-08-16 03:45:24+00:00,AUTHENTICATION,step_2
SEQ-USR-1068,EMP10298,USER,IAM00009776,IAM,IAM00009776,2026-07-08 05:31:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1068,EMP10298,USER,IAM00005088,IAM,IAM00005088,2026-07-08 06:29:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1069,EMP10298,USER,IAM00010029,IAM,IAM00010029,2026-08-12 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1069,EMP10298,USER,IAM00013316,IAM,IAM00013316,2026-08-12 00:19:01+00:00,AUTHENTICATION,step_2
SEQ-USR-1070,EMP10298,USER,IAM00006744,IAM,IAM00006744,2026-08-17 02:42:56+00:00,AUTHENTICATION,step_1
SEQ-USR-1070,EMP10298,USER,IAM00004505,IAM,IAM00004505,2026-08-17 03:31:12+00:00,AUTHENTICATION,step_2
SEQ-USR-1071,EMP10298,USER,IAM00000523,IAM,IAM00000523,2026-08-27 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1071,EMP10298,USER,IAM00005727,IAM,IAM00005727,2026-08-27 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1072,EMP10298,USER,IAM00008303,IAM,IAM00008303,2026-08-31 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1072,EMP10298,USER,IAM00009942,IAM,IAM00009942,2026-08-31 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1073,EMP10298,USER,IAM00001301,IAM,IAM00001301,2026-09-08 20:01:30+00:00,AUTHENTICATION,step_1
SEQ-USR-1073,EMP10298,USER,IAM00000932,IAM,IAM00000932,2026-09-08 20:31:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1074,EMP10321,USER,IAM00002841,IAM,IAM00002841,2026-08-15 04:05:31+00:00,AUTHENTICATION,step_1
SEQ-USR-1074,EMP10321,USER,IAM00015674,IAM,IAM00015674,2026-08-15 04:11:02+00:00,AUTHENTICATION,step_2
SEQ-USR-1075,EMP10322,USER,IAM00014020,IAM,IAM00014020,2026-08-04 02:48:55+00:00,AUTHENTICATION,step_1
SEQ-USR-1075,EMP10322,USER,IAM00015488,IAM,IAM00015488,2026-08-04 03:39:17+00:00,AUTHENTICATION,step_2
SEQ-USR-1076,EMP10322,USER,IAM00008963,IAM,IAM00008963,2026-08-05 20:14:25+00:00,AUTHENTICATION,step_1
SEQ-USR-1076,EMP10322,USER,IAM00015483,IAM,IAM00015483,2026-08-05 20:28:18+00:00,AUTHENTICATION,step_2
SEQ-USR-1077,EMP10322,USER,IAM00000501,IAM,IAM00000501,2026-08-10 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1077,EMP10322,USER,IAM00007433,IAM,IAM00007433,2026-08-10 00:18:53+00:00,AUTHENTICATION,step_2
SEQ-USR-1078,EMP10322,USER,EPA00006589,Endpoint,EPA00006589,2026-08-17 09:24:00+00:00,ENDPOINT_ALERT,step_1
SEQ-USR-1078,EMP10322,USER,IAM00015534,IAM,IAM00015534,2026-08-17 09:36:21+00:00,AUTHENTICATION,step_2
SEQ-USR-1079,EMP10322,USER,IAM00011839,IAM,IAM00011839,2026-08-18 00:16:06+00:00,AUTHENTICATION,step_1
SEQ-USR-1079,EMP10322,USER,IAM00007105,IAM,IAM00007105,2026-08-18 01:12:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1080,EMP10322,USER,IAM00018323,IAM,IAM00018323,2026-08-18 10:33:14+00:00,AUTHENTICATION,step_1
SEQ-USR-1080,EMP10322,USER,IAM00011455,IAM,IAM00011455,2026-08-18 10:39:33+00:00,AUTHENTICATION,step_2
SEQ-USR-1081,EMP10322,USER,IAM00008649,IAM,IAM00008649,2026-08-20 08:15:29+00:00,AUTHENTICATION,step_1
SEQ-USR-1081,EMP10322,USER,IAM00002531,IAM,IAM00002531,2026-08-20 08:47:23+00:00,AUTHENTICATION,step_2
SEQ-USR-1082,EMP10322,USER,IAM00002781,IAM,IAM00002781,2026-08-22 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1082,EMP10322,USER,IAM00016685,IAM,IAM00016685,2026-08-22 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1083,EMP10322,USER,IAM00018317,IAM,IAM00018317,2026-08-23 11:22:23+00:00,AUTHENTICATION,step_1
SEQ-USR-1083,EMP10322,USER,IAM00008428,IAM,IAM00008428,2026-08-23 11:59:40+00:00,AUTHENTICATION,step_2
SEQ-USR-1084,EMP10322,USER,IAM00002918,IAM,IAM00002918,2026-08-31 02:16:14+00:00,AUTHENTICATION,step_1
SEQ-USR-1084,EMP10322,USER,IAM00017133,IAM,IAM00017133,2026-08-31 02:52:15+00:00,AUTHENTICATION,step_2
SEQ-USR-1085,EMP10335,USER,IAM00006913,IAM,IAM00006913,2026-08-08 23:51:59+00:00,AUTHENTICATION,step_1
SEQ-USR-1085,EMP10335,USER,IAM00011507,IAM,IAM00011507,2026-08-09 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1086,EMP10361,USER,IAM00000745,IAM,IAM00000745,2026-08-24 19:33:11+00:00,AUTHENTICATION,step_1
SEQ-USR-1086,EMP10361,USER,IAM00016098,IAM,IAM00016098,2026-08-24 20:04:40+00:00,AUTHENTICATION,step_2
SEQ-USR-1087,EMP10393,USER,IAM00005541,IAM,IAM00005541,2026-08-14 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1087,EMP10393,USER,IAM00008505,IAM,IAM00008505,2026-08-14 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1088,EMP10393,USER,IAM00012105,IAM,IAM00012105,2026-08-25 17:45:26+00:00,AUTHENTICATION,step_1
SEQ-USR-1088,EMP10393,USER,IAM00008032,IAM,IAM00008032,2026-08-25 17:57:04+00:00,AUTHENTICATION,step_2
SEQ-USR-1089,EMP10408,USER,IAM00001768,IAM,IAM00001768,2026-08-04 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1089,EMP10408,USER,IAM00001252,IAM,IAM00001252,2026-08-04 00:11:29+00:00,AUTHENTICATION,step_2
SEQ-USR-1090,EMP10408,USER,IAM00007900,IAM,IAM00007900,2026-08-25 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1090,EMP10408,USER,IAM00018828,IAM,IAM00018828,2026-08-25 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1091,EMP10408,USER,IAM00005865,IAM,IAM00005865,2026-08-29 23:49:13+00:00,AUTHENTICATION,step_1
SEQ-USR-1091,EMP10408,USER,IAM00001537,IAM,IAM00001537,2026-08-30 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1092,EMP10408,USER,IAM00010575,IAM,IAM00010575,2026-09-04 12:10:45+00:00,AUTHENTICATION,step_1
SEQ-USR-1092,EMP10408,USER,IAM00004553,IAM,IAM00004553,2026-09-04 12:33:15+00:00,AUTHENTICATION,step_2
SEQ-USR-1093,EMP10426,USER,IAM00017608,IAM,IAM00017608,2026-08-24 00:10:28+00:00,AUTHENTICATION,step_1
SEQ-USR-1093,EMP10426,USER,IAM00003746,IAM,IAM00003746,2026-08-24 01:04:50+00:00,AUTHENTICATION,step_2
SEQ-USR-1094,EMP10429,USER,EPA00007355,Endpoint,EPA00007355,2026-08-26 00:00:00+00:00,ENDPOINT_ALERT,step_1
SEQ-USR-1094,EMP10429,USER,EPA00007380,Endpoint,EPA00007380,2026-08-26 00:00:00+00:00,ENDPOINT_ALERT,step_2
SEQ-USR-1095,EMP10432,USER,IAM00001587,IAM,IAM00001587,2026-08-20 14:08:23+00:00,AUTHENTICATION,step_1
SEQ-USR-1095,EMP10432,USER,EPA00003474,Endpoint,EPA00003474,2026-08-20 15:01:00+00:00,ENDPOINT_ALERT,step_2
SEQ-USR-1096,EMP10450,USER,EPA00001944,Endpoint,EPA00001944,2026-08-28 00:00:00+00:00,ENDPOINT_ALERT,step_1
SEQ-USR-1096,EMP10450,USER,IAM00017146,IAM,IAM00017146,2026-08-28 01:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1097,EMP10454,USER,IAM00005943,IAM,IAM00005943,2026-06-09 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1097,EMP10454,USER,IAM00015955,IAM,IAM00015955,2026-06-09 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1098,EMP10459,USER,IAM00010370,IAM,IAM00010370,2026-08-23 17:36:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1098,EMP10459,USER,IAM00015607,IAM,IAM00015607,2026-08-23 18:08:43+00:00,AUTHENTICATION,step_2
SEQ-USR-1099,EMP10472,USER,IAM00000981,IAM,IAM00000981,2026-01-09 00:00:00+00:00,AUTHENTICATION,step_1
