entity_id,entity_type,event_id,source_dataset,source_record_id,event_category,event_timestamp,severity,action,data_quality_status,resolution_confidence
VDR-11846,HOST,IAM00019344,IAM,IAM00019344,AUTHENTICATION,2026-09-09 06:57:22,High,LOGIN_SUCCESS,VALID,EXACT
EMP12111,USER,IAM00015925,IAM,IAM00015925,AUTHENTICATION,Unknown,High,LOGIN_FAILED,UNKNOWN,EXACT
EMP10251,USER,IAM00006142,IAM,IAM00006142,AUTHENTICATION,2026-09-05 04:05:23,Medium,LOGIN_SUCCESS,VALID,EXACT
VDR-12604,HOST,IAM00009370,IAM,IAM00009370,AUTHENTICATION,2026-08-07 04:33:40,Low,LOGIN_SUCCESS,IMPUTED,EXACT
LPT-10741,HOST,IAM00000213,IAM,IAM00000213,AUTHENTICATION,2026-08-31 20:37:04,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-10957,HOST,IAM00008999,IAM,IAM00008999,AUTHENTICATION,2026-08-07 01:51:54,Info,LOGIN_SUCCESS,REPAIRED,EXACT
WS-10139,HOST,IAM00016908,IAM,IAM00016908,AUTHENTICATION,2026-09-03 15:04:32,Low,OTHER,UNKNOWN,EXACT
WS-10332,HOST,IAM00003394,IAM,IAM00003394,AUTHENTICATION,Unknown,High,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-12937,HOST,IAM00003763,IAM,IAM00003763,AUTHENTICATION,2026-08-15 21:28:19,Medium,LOGIN_SUCCESS,VALID,EXACT
WS-11444,HOST,IAM00016155,IAM,IAM00016155,AUTHENTICATION,2026-09-01 14:38:48,Low,LOGIN_SUCCESS,VALID,EXACT
EMP11942,USER,IAM00011170,IAM,IAM00011170,AUTHENTICATION,2026-08-12 08:49:33,Medium,LOGIN_FAILED,UNKNOWN,EXACT
WS-12848,HOST,IAM00009429,IAM,IAM00009429,AUTHENTICATION,2026-09-01 12:35:04,Medium,LOGIN_FAILED,UNKNOWN,EXACT
VDR-12325,HOST,IAM00010398,IAM,IAM00010398,AUTHENTICATION,2026-08-27 11:07:51,Low,LOGIN_FAILED,UNKNOWN,EXACT
LPT-10496,HOST,IAM00007301,IAM,IAM00007301,AUTHENTICATION,2026-08-22 13:45:52,High,LOGIN_SUCCESS,VALID,EXACT
EMP10746,USER,IAM00016325,IAM,IAM00016325,AUTHENTICATION,2026-09-05 16:05:49,Low,LOGIN_FAILED,REPAIRED,EXACT
LPT-10968,HOST,IAM00001033,IAM,IAM00001033,AUTHENTICATION,2026-08-01 00:00:00,Info,LOGIN_SUCCESS,REPAIRED,EXACT
EMP10278,USER,IAM00000157,IAM,IAM00000157,AUTHENTICATION,2026-08-22 00:00:00,High,LOGIN_FAILED,UNKNOWN,EXACT
VDR-10218,HOST,IAM00007419,IAM,IAM00007419,AUTHENTICATION,2026-08-31 00:00:00,Low,LOGIN_FAILED,UNKNOWN,EXACT
LPT-10212,HOST,IAM00010497,IAM,IAM00010497,AUTHENTICATION,2026-08-14 17:19:56,High,LOGIN_FAILED,REPAIRED,EXACT
LPT-12378,HOST,IAM00016239,IAM,IAM00016239,AUTHENTICATION,2026-08-17 11:22:25,Info,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-12852,HOST,IAM00018740,IAM,IAM00018740,AUTHENTICATION,2026-08-20 19:43:00,Low,LOGIN_SUCCESS,REPAIRED,EXACT
LPT-10114,HOST,IAM00016326,IAM,IAM00016326,AUTHENTICATION,2026-09-03 01:47:24,Low,LOGIN_FAILED,REPAIRED,EXACT
VDR-11644,HOST,IAM00011419,IAM,IAM00011419,AUTHENTICATION,2026-08-18 15:53:26,Medium,OTHER,VALID,EXACT
VDR-12844,HOST,IAM00010772,IAM,IAM00010772,AUTHENTICATION,2026-08-30 06:15:40,Medium,LOGIN_FAILED,VALID,EXACT
WS-10115,HOST,IAM00009085,IAM,IAM00009085,AUTHENTICATION,2026-08-17 14:22:23,High,LOGIN_SUCCESS,REPAIRED,EXACT
VDR-10902,HOST,IAM00009746,IAM,IAM00009746,AUTHENTICATION,2026-08-18 15:54:29,High,LOGIN_FAILED,REPAIRED,EXACT
WS-12830,HOST,IAM00013526,IAM,IAM00013526,AUTHENTICATION,2026-08-01 16:18:13,Low,LOGIN_FAILED,UNKNOWN,EXACT
VDR-12975,HOST,IAM00015649,IAM,IAM00015649,AUTHENTICATION,2026-08-05 21:50:05,Low,LOGIN_FAILED,UNKNOWN,EXACT
EMP10746,USER,IAM00004008,IAM,IAM00004008,AUTHENTICATION,2026-08-05 23:51:04,Low,LOGIN_SUCCESS,UNKNOWN,EXACT
VDR-11042,HOST,IAM00002207,IAM,IAM00002207,AUTHENTICATION,2026-08-25 16:13:43,Info,LOGIN_SUCCESS,UNKNOWN,EXACT
VDR-12373,HOST,IAM00006711,IAM,IAM00006711,AUTHENTICATION,2026-08-08 00:00:00,High,LOGIN_SUCCESS,REPAIRED,EXACT
LPT-12778,HOST,IAM00009398,IAM,IAM00009398,AUTHENTICATION,2026-09-08 20:04:00,Medium,OTHER,UNKNOWN,EXACT
LPT-11662,HOST,IAM00012268,IAM,IAM00012268,AUTHENTICATION,2026-08-30 00:00:00,High,LOGIN_SUCCESS,VALID,EXACT
WS-10468,HOST,IAM00003544,IAM,IAM00003544,AUTHENTICATION,2026-09-07 06:24:42,Medium,LOGIN_FAILED,IMPUTED,EXACT
EMP12418,USER,IAM00016535,IAM,IAM00016535,AUTHENTICATION,2026-08-10 00:49:41,Low,LOGIN_FAILED,UNKNOWN,EXACT
LPT-11561,HOST,IAM00010319,IAM,IAM00010319,AUTHENTICATION,2026-08-21 12:10:37,Low,LOGIN_SUCCESS,VALID,EXACT
LPT-11640,HOST,IAM00007409,IAM,IAM00007409,AUTHENTICATION,2026-09-07 12:28:35,Low,LOGIN_SUCCESS,REPAIRED,EXACT
LPT-12583,HOST,IAM00012194,IAM,IAM00012194,AUTHENTICATION,2026-08-19 03:04:30,High,LOGIN_FAILED,UNKNOWN,EXACT
LPT-12643,HOST,IAM00018701,IAM,IAM00018701,AUTHENTICATION,2026-08-20 14:03:59,Low,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-12304,HOST,IAM00013939,IAM,IAM00013939,AUTHENTICATION,2026-08-08 04:41:00,High,LOGIN_FAILED,UNKNOWN,EXACT
LPT-10956,HOST,IAM00008498,IAM,IAM00008498,AUTHENTICATION,2026-08-18 02:33:31,High,LOGIN_SUCCESS,REPAIRED,EXACT
WS-10126,HOST,IAM00010607,IAM,IAM00010607,AUTHENTICATION,2026-04-08 05:36:00,Info,LOGIN_SUCCESS,REPAIRED,EXACT
VDR-12650,HOST,IAM00014355,IAM,IAM00014355,AUTHENTICATION,2026-12-08 00:00:00,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
EMP11358,USER,IAM00000446,IAM,IAM00000446,AUTHENTICATION,2026-08-10 19:30:41,Info,LOGIN_FAILED,REPAIRED,EXACT
WS-10573,HOST,IAM00000697,IAM,IAM00000697,AUTHENTICATION,2026-08-18 14:35:52,High,OTHER,REPAIRED,EXACT
VDR-11892,HOST,IAM00006570,IAM,IAM00006570,AUTHENTICATION,2026-06-08 00:00:00,Medium,LOGIN_FAILED,UNKNOWN,EXACT
WS-11347,HOST,IAM00003891,IAM,IAM00003891,AUTHENTICATION,2026-09-07 08:11:42,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
VDR-12777,HOST,IAM00003044,IAM,IAM00003044,AUTHENTICATION,2026-09-06 00:00:00,Medium,LOGIN_SUCCESS,REPAIRED,EXACT
LPT-10745,HOST,IAM00012467,IAM,IAM00012467,AUTHENTICATION,2026-08-08 19:36:00,Medium,LOGIN_FAILED,UNKNOWN,EXACT
EMP12418,USER,IAM00016256,IAM,IAM00016256,AUTHENTICATION,2026-09-09 00:00:00,Low,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-10565,HOST,IAM00019549,IAM,IAM00019549,AUTHENTICATION,2026-08-19 02:22:05,Medium,LOGIN_SUCCESS,REPAIRED,EXACT
VDR-10255,HOST,IAM00011225,IAM,IAM00011225,AUTHENTICATION,2026-08-20 03:48:05,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
EMP12067,USER,IAM00005537,IAM,IAM00005537,AUTHENTICATION,2026-08-20 07:07:25,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
EMP10785,USER,IAM00005730,IAM,IAM00005730,AUTHENTICATION,2026-08-20 05:06:48,Medium,LOGIN_FAILED,REPAIRED,EXACT
EMP10063,USER,IAM00005565,IAM,IAM00005565,AUTHENTICATION,2026-08-28 19:26:00,Info,LOGIN_SUCCESS,UNKNOWN,EXACT
WS-10625,HOST,IAM00002079,IAM,IAM00002079,AUTHENTICATION,2026-08-21 18:40:45,Medium,LOGIN_SUCCESS,VALID,EXACT
WS-10786,HOST,IAM00007021,IAM,IAM00007021,AUTHENTICATION,2026-09-02 11:11:54,Info,OTHER,UNKNOWN,EXACT
EMP12567,USER,IAM00013532,IAM,IAM00013532,AUTHENTICATION,2026-08-14 04:21:14,High,LOGIN_FAILED,VALID,EXACT
EMP12831,USER,IAM00007826,IAM,IAM00007826,AUTHENTICATION,2026-08-25 11:05:59,Medium,LOGIN_SUCCESS,REPAIRED,EXACT
VDR-10885,HOST,IAM00009832,IAM,IAM00009832,AUTHENTICATION,2026-08-07 14:57:16,Info,LOGIN_FAILED,UNKNOWN,EXACT
WS-12309,HOST,IAM00008800,IAM,IAM00008800,AUTHENTICATION,2026-09-07 21:03:33,High,LOGIN_SUCCESS,UNKNOWN,EXACT
VDR-12157,HOST,IAM00004578,IAM,IAM00004578,AUTHENTICATION,2026-08-24 00:00:00,High,LOGIN_SUCCESS,REPAIRED,EXACT
EMP12850,USER,IAM00018194,IAM,IAM00018194,AUTHENTICATION,2026-08-11 11:01:51,Info,LOGIN_SUCCESS,IMPUTED,EXACT
WS-10261,HOST,IAM00004100,IAM,IAM00004100,AUTHENTICATION,2026-08-25 00:00:00,Info,LOGIN_SUCCESS,REPAIRED,EXACT
WS-10048,HOST,IAM00015355,IAM,IAM00015355,AUTHENTICATION,2026-08-31 14:59:00,Medium,OTHER,UNKNOWN,EXACT
LPT-10989,HOST,IAM00008599,IAM,IAM00008599,AUTHENTICATION,2026-08-15 22:35:35,High,LOGIN_SUCCESS,REPAIRED,EXACT
VDR-12825,HOST,IAM00014527,IAM,IAM00014527,AUTHENTICATION,Unknown,Info,LOGIN_FAILED,UNKNOWN,EXACT
WS-11397,HOST,IAM00016637,IAM,IAM00016637,AUTHENTICATION,2026-08-11 23:43:25,Low,LOGIN_FAILED,REPAIRED,EXACT
EMP11665,USER,IAM00013201,IAM,IAM00013201,AUTHENTICATION,2026-08-11 03:26:08,Info,LOGIN_SUCCESS,REPAIRED,EXACT
VDR-11363,HOST,IAM00003157,IAM,IAM00003157,AUTHENTICATION,2026-08-09 20:05:43,Info,LOGIN_FAILED,REPAIRED,EXACT
LPT-12796,HOST,IAM00014065,IAM,IAM00014065,AUTHENTICATION,2026-11-08 11:21:00,High,LOGIN_SUCCESS,UNKNOWN,EXACT
VDR-12978,HOST,IAM00016698,IAM,IAM00016698,AUTHENTICATION,2026-08-18 22:21:18,Info,LOGIN_FAILED,REPAIRED,EXACT
EMP11226,USER,IAM00012440,IAM,IAM00012440,AUTHENTICATION,2026-04-08 00:00:00,Medium,LOGIN_FAILED,UNKNOWN,EXACT
VDR-12216,HOST,IAM00002876,IAM,IAM00002876,AUTHENTICATION,2026-09-04 05:57:43,High,LOGIN_FAILED,UNKNOWN,EXACT
LPT-10245,HOST,IAM00016940,IAM,IAM00016940,AUTHENTICATION,2026-08-28 00:00:00,High,LOGIN_FAILED,REPAIRED,EXACT
EMP10785,USER,IAM00000877,IAM,IAM00000877,AUTHENTICATION,2026-08-03 03:28:48,Medium,LOGIN_SUCCESS,REPAIRED,EXACT
VDR-11958,HOST,IAM00017359,IAM,IAM00017359,AUTHENTICATION,2026-09-03 20:34:41,Info,LOGIN_FAILED,REPAIRED,EXACT
EMP12505,USER,IAM00013370,IAM,IAM00013370,AUTHENTICATION,2026-08-16 16:32:57,Low,OTHER,REPAIRED,EXACT
VDR-10673,HOST,IAM00007353,IAM,IAM00007353,AUTHENTICATION,2026-08-22 07:48:06,Info,LOGIN_FAILED,IMPUTED,EXACT
WS-12833,HOST,IAM00018246,IAM,IAM00018246,AUTHENTICATION,2026-08-18 00:00:00,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
EMP11226,USER,IAM00008344,IAM,IAM00008344,AUTHENTICATION,Unknown,Low,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-12285,HOST,IAM00018689,IAM,IAM00018689,AUTHENTICATION,Unknown,Medium,OTHER,UNKNOWN,EXACT
EMP10393,USER,IAM00015162,IAM,IAM00015162,AUTHENTICATION,2026-08-23 00:15:36,Medium,LOGIN_SUCCESS,VALID,EXACT
EMP11801,USER,IAM00005233,IAM,IAM00005233,AUTHENTICATION,2026-08-09 10:12:48,Medium,LOGIN_FAILED,UNKNOWN,EXACT
EMP12425,USER,IAM00008512,IAM,IAM00008512,AUTHENTICATION,2026-08-21 11:46:39,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-11085,HOST,IAM00014709,IAM,IAM00014709,AUTHENTICATION,2026-08-04 04:03:44,Medium,LOGIN_FAILED,REPAIRED,EXACT
EMP10985,USER,IAM00015634,IAM,IAM00015634,AUTHENTICATION,2026-08-29 00:00:00,Medium,LOGIN_FAILED,VALID,EXACT
LPT-10733,HOST,IAM00012151,IAM,IAM00012151,AUTHENTICATION,2026-08-01 00:00:00,Low,LOGIN_SUCCESS,UNKNOWN,EXACT
WS-11502,HOST,IAM00018759,IAM,IAM00018759,AUTHENTICATION,2026-09-01 16:35:34,Info,LOGIN_SUCCESS,REPAIRED,EXACT
VDR-12976,HOST,IAM00017975,IAM,IAM00017975,AUTHENTICATION,2026-08-21 10:00:19,Medium,LOGIN_SUCCESS,VALID,EXACT
WS-11126,HOST,IAM00018414,IAM,IAM00018414,AUTHENTICATION,2026-08-19 07:30:00,Info,LOGIN_SUCCESS,IMPUTED,EXACT
EMP10912,USER,IAM00015777,IAM,IAM00015777,AUTHENTICATION,2026-08-04 00:05:54,High,OTHER,UNKNOWN,EXACT
EMP12901,USER,IAM00017307,IAM,IAM00017307,AUTHENTICATION,2026-09-02 20:08:07,Medium,LOGIN_FAILED,REPAIRED,EXACT
LPT-10423,HOST,IAM00002261,IAM,IAM00002261,AUTHENTICATION,2026-08-05 11:16:44,Info,OTHER,REPAIRED,EXACT
EMP12254,USER,IAM00004400,IAM,IAM00004400,AUTHENTICATION,2026-08-16 03:45:00,High,LOGIN_SUCCESS,REPAIRED,EXACT
LPT-11257,HOST,IAM00005766,IAM,IAM00005766,AUTHENTICATION,2026-07-09 00:00:00,High,OTHER,UNKNOWN,EXACT
WS-12192,HOST,IAM00002994,IAM,IAM00002994,AUTHENTICATION,2026-09-01 21:17:16,Medium,LOGIN_SUCCESS,REPAIRED,EXACT
EMP11226,USER,IAM00006874,IAM,IAM00006874,AUTHENTICATION,2026-08-08 00:00:00,High,LOGIN_SUCCESS,UNKNOWN,EXACT
VDR-10285,HOST,IAM00019136,IAM,IAM00019136,AUTHENTICATION,2026-02-09 00:00:00,Info,LOGIN_FAILED,REPAIRED,EXACT
EMP10393,USER,IAM00010693,IAM,IAM00010693,AUTHENTICATION,2026-08-05 19:18:44,High,LOGIN_FAILED,UNKNOWN,EXACT
LPT-10685,HOST,IAM00016875,IAM,IAM00016875,AUTHENTICATION,2026-08-21 00:48:47,High,LOGIN_FAILED,UNKNOWN,EXACT
VDR-11396,HOST,IAM00001300,IAM,IAM00001300,AUTHENTICATION,2026-08-15 12:22:53,Low,LOGIN_FAILED,REPAIRED,EXACT
VDR-11003,HOST,IAM00011951,IAM,IAM00011951,AUTHENTICATION,2026-08-09 22:21:17,Info,LOGIN_SUCCESS,IMPUTED,EXACT
EMP12579,USER,IAM00013518,IAM,IAM00013518,AUTHENTICATION,2026-08-26 02:42:04,High,LOGIN_FAILED,UNKNOWN,EXACT
LPT-12700,HOST,IAM00005796,IAM,IAM00005796,AUTHENTICATION,2026-08-25 00:00:00,Info,LOGIN_SUCCESS,UNKNOWN,EXACT
WS-12287,HOST,IAM00019290,IAM,IAM00019290,AUTHENTICATION,2026-05-08 10:08:00,Medium,OTHER,REPAIRED,EXACT
LPT-12372,HOST,IAM00019571,IAM,IAM00019571,AUTHENTICATION,Unknown,Low,LOGIN_SUCCESS,UNKNOWN,EXACT
VDR-11579,HOST,IAM00010417,IAM,IAM00010417,AUTHENTICATION,2026-10-08 00:00:00,Info,LOGIN_SUCCESS,REPAIRED,EXACT
WS-11739,HOST,IAM00006425,IAM,IAM00006425,AUTHENTICATION,Unknown,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
WS-11893,HOST,IAM00018659,IAM,IAM00018659,AUTHENTICATION,2026-08-27 13:46:43,Info,LOGIN_FAILED,UNKNOWN,EXACT
LPT-12211,HOST,IAM00014746,IAM,IAM00014746,AUTHENTICATION,Unknown,Low,LOGIN_SUCCESS,UNKNOWN,EXACT
VDR-10799,HOST,IAM00002185,IAM,IAM00002185,AUTHENTICATION,2026-09-05 02:27:17,Medium,LOGIN_SUCCESS,VALID,EXACT
LPT-12747,HOST,IAM00016569,IAM,IAM00016569,AUTHENTICATION,2026-06-08 00:00:00,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
EMP10203,USER,IAM00002467,IAM,IAM00002467,AUTHENTICATION,2026-09-06 11:51:29,Info,LOGIN_FAILED,REPAIRED,EXACT
