entity_id,entity_type,outlier_dimension_count,active_dimensions,auth_zscore,network_zscore,endpoint_zscore,off_hours_zscore,multi_dimension_outlier_score,outlier_confidence,is_multi_dimensional_outlier
EMP10544,USER,1,OFF_HOURS,0.67,0.0,0.0,2.7,0.74,0.65,False
EMP12948,USER,0,NONE,0.0,-0.67,-2.02,-0.67,-0.81,0.5,False
EMP10450,USER,0,NONE,0.67,-1.35,0.0,0.0,-0.14,0.5,False
EMP12515,USER,1,ENDPOINT,-1.35,-1.35,2.02,-0.67,-0.37,0.65,False
EMP10044,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,10.12,20.0,1.35,18.89,12.15,0.95,True
EMP11001,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,12.14,20.0,0.0,20.0,12.64,0.95,True
EMP11831,USER,0,NONE,-0.67,-0.67,0.0,-0.67,-0.5,0.5,False
EMP10829,USER,0,NONE,-0.67,-0.67,0.0,0.67,-0.23,0.5,False
EMP10598,USER,2,NETWORK_IP|OFF_HOURS,0.0,2.7,0.67,2.02,1.25,0.8,True
EMP10408,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,8.77,20.0,0.0,20.0,11.63,0.95,True
EMP12917,USER,0,NONE,-1.35,-2.02,0.0,-1.35,-1.18,0.5,False
EMP10256,USER,0,NONE,-1.35,0.0,1.35,-0.67,-0.2,0.5,False
EMP12028,USER,1,OFF_HOURS,-0.67,1.35,0.0,2.02,0.54,0.65,False
EMP12303,USER,0,NONE,0.67,-0.67,0.0,-0.67,-0.1,0.5,False
EMP11837,USER,0,NONE,-0.67,-0.67,-1.35,0.67,-0.57,0.5,False
EMP11702,USER,0,NONE,0.67,0.67,-0.67,0.0,0.2,0.5,False
EMP12490,USER,0,NONE,-0.67,0.0,0.0,-0.67,-0.34,0.5,False
EMP11662,USER,1,ENDPOINT,-1.35,1.35,2.02,0.0,0.44,0.65,False
EMP10144,USER,0,NONE,-0.67,-1.35,1.35,0.0,-0.2,0.5,False
EMP12090,USER,0,NONE,-1.35,-2.02,-1.35,-2.02,-1.65,0.5,False
EMP11292,USER,0,NONE,0.0,-1.35,-0.67,-0.67,-0.64,0.5,False
EMP12155,USER,2,NETWORK_IP|OFF_HOURS,1.35,2.02,1.35,2.02,1.65,0.8,True
EMP10416,USER,0,NONE,0.0,-1.35,0.0,-0.67,-0.47,0.5,False
EMP10929,USER,0,NONE,0.67,-0.67,0.67,-0.67,0.07,0.5,False
EMP12022,USER,1,OFF_HOURS,0.0,1.35,-0.67,2.02,0.57,0.65,False
EMP10170,USER,1,AUTHENTICATION,2.02,0.0,-0.67,0.0,0.44,0.65,False
EMP11125,USER,1,ENDPOINT,-0.67,-1.35,2.02,-0.67,-0.17,0.65,False
EMP10567,USER,0,NONE,0.67,0.0,-1.35,0.0,-0.14,0.5,False
EMP11590,USER,0,NONE,-1.35,-2.02,-0.67,0.0,-1.08,0.5,False
EMP12673,USER,1,ENDPOINT,0.0,0.0,2.7,0.67,0.81,0.65,False
EMP10134,USER,0,NONE,-1.35,0.0,0.67,0.67,-0.1,0.5,False
EMP11717,USER,0,NONE,0.67,-2.02,0.0,-0.67,-0.44,0.5,False
EMP10642,USER,1,OFF_HOURS,0.0,1.35,-0.67,2.02,0.57,0.65,False
EMP11689,USER,0,NONE,0.67,0.67,0.0,0.0,0.37,0.5,False
EMP12745,USER,1,AUTHENTICATION,2.7,0.0,1.57,0.67,1.34,0.65,False
EMP10554,USER,0,NONE,0.67,0.0,-0.67,-1.35,-0.24,0.5,False
EMP12174,USER,0,NONE,-0.67,0.0,1.35,-0.67,0.0,0.5,False
EMP11538,USER,0,NONE,1.35,-0.67,1.35,-0.67,0.44,0.5,False
EMP10999,USER,1,OFF_HOURS,-0.67,-0.67,-0.22,2.02,-0.02,0.65,False
EMP10291,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,10.79,20.0,0.67,18.89,12.18,0.95,True
EMP11338,USER,0,NONE,-0.67,-2.02,1.35,-2.02,-0.77,0.5,False
EMP12247,USER,0,NONE,0.0,0.0,0.0,1.35,0.27,0.5,False
EMP10781,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,20.0,13.49,0.67,15.51,12.64,0.95,True
EMP10443,USER,0,NONE,0.67,0.0,0.67,0.0,0.37,0.5,False
EMP12601,USER,0,NONE,0.0,-0.67,0.0,0.0,-0.17,0.5,False
EMP12149,USER,0,NONE,1.35,0.67,0.67,0.0,0.74,0.5,False
EMP10449,USER,0,NONE,-0.67,0.0,0.67,-0.67,-0.17,0.5,False
EMP11029,USER,0,NONE,-1.35,-1.35,-0.67,-0.67,-1.04,0.5,False
EMP11992,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,2.7,2.7,-1.35,2.02,1.55,0.95,True
EMP12403,USER,0,NONE,0.67,0.0,0.67,0.67,0.5,0.5,False
EMP12750,USER,0,NONE,0.67,1.35,0.0,0.0,0.54,0.5,False
EMP10000,USER,0,NONE,-1.35,-2.02,0.67,1.35,-0.47,0.5,False
EMP11048,USER,1,ENDPOINT,0.67,-0.67,2.02,0.0,0.54,0.65,False
EMP10270,USER,0,NONE,-0.67,-0.67,1.35,-0.67,-0.17,0.5,False
EMP10736,USER,0,NONE,0.0,-0.67,0.67,-0.67,-0.13,0.5,False
EMP10298,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,16.86,20.0,-0.67,20.0,13.89,0.95,True
EMP10032,USER,0,NONE,-0.67,0.67,-1.35,-0.67,-0.51,0.5,False
EMP12498,USER,1,ENDPOINT,-0.67,-1.35,2.02,-1.35,-0.3,0.65,False
EMP10014,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,14.16,18.89,1.35,20.0,13.31,0.95,True
EMP10093,USER,0,NONE,1.35,0.0,0.0,0.0,0.41,0.5,False
EMP10411,USER,0,NONE,-0.67,1.35,0.0,-1.35,-0.13,0.5,False
EMP11159,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,2.7,2.7,-0.67,2.7,1.86,0.95,True
EMP12362,USER,0,NONE,0.0,-2.02,-1.35,-0.67,-0.98,0.5,False
EMP12819,USER,0,NONE,0.67,0.67,1.35,0.67,0.84,0.5,False
EMP10149,USER,0,NONE,0.67,-0.67,-1.12,-0.67,-0.38,0.5,False
EMP11600,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,11.47,20.0,0.0,20.0,12.44,0.95,True
EMP11044,USER,1,NETWORK_IP,-0.67,2.7,-1.35,0.67,0.27,0.65,False
EMP12153,USER,0,NONE,1.35,1.35,0.67,0.0,0.91,0.5,False
EMP10495,USER,1,ENDPOINT,-1.35,-1.35,2.02,-2.02,-0.64,0.65,False
EMP10332,USER,0,NONE,-0.67,-0.67,0.0,-0.67,-0.5,0.5,False
EMP12788,USER,0,NONE,0.67,0.0,1.35,-0.67,0.4,0.5,False
EMP12066,USER,0,NONE,0.0,0.67,0.67,1.35,0.6,0.5,False
EMP11874,USER,0,NONE,-1.35,-0.67,0.0,0.67,-0.44,0.5,False
EMP10756,USER,0,NONE,0.0,-1.35,1.35,-2.02,-0.4,0.5,False
EMP10798,USER,0,NONE,0.67,-2.02,-0.67,-0.67,-0.61,0.5,False
EMP12274,USER,0,NONE,-1.35,-1.35,-0.67,0.0,-0.91,0.5,False
EMP10203,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,12.82,17.54,-0.67,16.86,11.44,0.95,True
EMP10463,USER,1,ENDPOINT,-0.67,0.0,2.02,-0.67,0.17,0.65,False
EMP12851,USER,4,AUTHENTICATION|NETWORK_IP|ENDPOINT|OFF_HOURS,8.77,16.19,4.72,16.19,11.1,1.0,True
EMP12749,USER,1,OFF_HOURS,-1.35,0.67,0.67,2.7,0.47,0.65,False
EMP11583,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,16.19,16.19,0.67,16.86,12.44,0.95,True
EMP10555,USER,0,NONE,0.0,1.35,0.0,0.0,0.34,0.5,False
EMP10174,USER,0,NONE,-0.67,0.67,0.0,0.67,0.1,0.5,False
EMP10289,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,12.14,19.56,-0.67,18.89,12.14,0.95,True
EMP10120,USER,1,OFF_HOURS,-0.67,1.35,0.0,2.02,0.54,0.65,False
EMP12839,USER,1,ENDPOINT,-0.67,-1.35,2.02,-1.35,-0.3,0.65,False
EMP10847,USER,1,NETWORK_IP,0.0,2.02,0.67,0.67,0.81,0.65,False
EMP12699,USER,1,ENDPOINT,0.0,1.35,2.02,0.0,0.84,0.65,False
EMP10432,USER,0,NONE,1.35,0.0,0.0,-1.35,0.14,0.5,False
EMP12969,USER,0,NONE,0.67,-2.02,0.0,0.67,-0.17,0.5,False
EMP11317,USER,0,NONE,1.35,-0.67,-0.67,0.0,0.07,0.5,False
EMP11200,USER,0,NONE,0.0,0.67,-0.67,0.67,0.13,0.5,False
EMP10393,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,13.49,19.56,-0.67,18.89,12.55,0.95,True
EMP12031,USER,0,NONE,1.35,-0.67,-0.67,0.67,0.2,0.5,False
EMP11800,USER,0,NONE,0.0,0.67,-1.35,-0.67,-0.3,0.5,False
EMP11721,USER,0,NONE,0.0,-2.02,1.35,-1.35,-0.44,0.5,False
EMP10192,USER,1,NETWORK_IP,1.35,2.7,-1.35,0.0,0.74,0.65,False
EMP10266,USER,0,NONE,-0.67,-0.67,0.0,-0.67,-0.5,0.5,False
EMP12692,USER,0,NONE,0.67,0.67,-0.67,0.67,0.34,0.5,False
EMP10805,USER,0,NONE,-1.35,-1.35,1.35,-2.02,-0.81,0.5,False
EMP10331,USER,0,NONE,-0.67,0.67,-0.67,1.35,0.07,0.5,False
EMP10528,USER,1,ENDPOINT,0.0,0.0,2.02,-1.35,0.23,0.65,False
EMP11225,USER,0,NONE,0.0,0.0,0.67,0.0,0.17,0.5,False
EMP10801,USER,0,NONE,0.0,-1.35,0.22,0.0,-0.28,0.5,False
EMP11089,USER,0,NONE,-0.67,-2.02,-0.22,-2.02,-1.17,0.5,False
EMP10764,USER,0,NONE,1.35,-0.67,1.35,0.0,0.58,0.5,False
EMP10218,USER,1,AUTHENTICATION,2.7,0.0,-0.67,1.35,0.91,0.65,False
EMP10479,USER,0,NONE,0.0,-2.02,0.0,-1.35,-0.78,0.5,False
EMP10790,USER,0,NONE,-0.67,-2.02,0.67,-1.35,-0.81,0.5,False
EMP10478,USER,0,NONE,-0.67,-1.35,0.67,-0.67,-0.51,0.5,False
EMP12645,USER,0,NONE,-0.67,-1.35,-0.67,-0.67,-0.84,0.5,False
EMP10727,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,16.19,14.16,-0.22,20.0,12.34,0.95,True
EMP10581,USER,2,NETWORK_IP|OFF_HOURS,1.35,2.7,-0.67,2.02,1.32,0.8,True
EMP11157,USER,0,NONE,-1.35,-1.35,0.0,0.0,-0.74,0.5,False
EMP12547,USER,0,NONE,0.0,0.0,-1.35,0.0,-0.34,0.5,False
EMP11688,USER,0,NONE,0.67,-1.35,0.0,-1.35,-0.41,0.5,False
EMP12633,USER,0,NONE,-0.67,-1.35,-0.67,-0.67,-0.84,0.5,False
EMP10045,USER,0,NONE,0.0,0.0,0.67,0.0,0.17,0.5,False
EMP12849,USER,1,AUTHENTICATION,3.37,0.0,0.67,0.67,1.31,0.65,False
EMP10240,USER,0,NONE,0.67,-1.35,-0.67,1.35,-0.03,0.5,False
EMP10251,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,14.84,18.21,1.35,20.0,13.34,0.95,True
EMP10990,USER,0,NONE,1.35,1.35,-1.35,0.0,0.41,0.5,False
EMP10457,USER,0,NONE,0.0,1.35,-0.67,-1.35,-0.1,0.5,False
EMP11272,USER,0,NONE,-0.67,0.0,0.67,-1.35,-0.3,0.5,False
EMP10676,USER,0,NONE,0.0,0.0,0.67,0.0,0.17,0.5,False
EMP11814,USER,0,NONE,0.67,0.0,0.0,-1.35,-0.07,0.5,False
EMP11533,USER,0,NONE,-0.67,0.0,-0.67,-2.02,-0.77,0.5,False
EMP12356,USER,1,ENDPOINT,-0.67,-0.67,2.02,-2.02,-0.27,0.65,False
EMP11084,USER,0,NONE,-2.02,-1.35,0.0,-1.35,-1.21,0.5,False
EMP11511,USER,0,NONE,0.67,0.67,1.35,0.67,0.84,0.5,False
EMP12404,USER,0,NONE,-0.67,-1.35,0.0,-1.35,-0.81,0.5,False
EMP10257,USER,0,NONE,-1.35,0.0,-0.67,0.67,-0.44,0.5,False
EMP12272,USER,0,NONE,-1.35,-2.02,0.67,-2.02,-1.15,0.5,False
EMP10368,USER,0,NONE,0.0,-0.67,1.35,0.0,0.17,0.5,False
EMP12050,USER,0,NONE,0.0,0.0,0.67,0.0,0.17,0.5,False
EMP12973,USER,2,NETWORK_IP|OFF_HOURS,0.0,2.02,0.67,2.7,1.21,0.8,True
EMP12844,USER,1,OFF_HOURS,1.35,0.67,-0.67,2.02,0.81,0.65,False
EMP10354,USER,0,NONE,0.0,-0.67,-0.67,-0.67,-0.47,0.5,False
EMP11299,USER,0,NONE,0.67,0.67,0.0,0.67,0.5,0.5,False
EMP11864,USER,0,NONE,0.67,0.0,0.0,1.35,0.47,0.5,False
EMP12219,USER,1,AUTHENTICATION,2.02,0.0,1.35,0.67,1.08,0.65,False
EMP11196,USER,0,NONE,-0.67,-1.35,0.0,-0.67,-0.67,0.5,False
EMP11830,USER,0,NONE,0.0,0.0,0.67,-1.35,-0.1,0.5,False
EMP12202,USER,1,ENDPOINT,0.0,0.0,2.02,-0.67,0.37,0.65,False
EMP11302,USER,0,NONE,0.0,-0.67,1.35,-1.35,-0.1,0.5,False
EMP10682,USER,0,NONE,0.0,0.67,0.0,1.35,0.44,0.5,False
EMP11381,USER,0,NONE,0.67,-0.67,1.35,0.67,0.51,0.5,False
EMP10507,USER,0,NONE,0.67,0.0,-0.67,-1.35,-0.24,0.5,False
EMP10211,USER,0,NONE,0.67,-0.67,-0.67,0.67,0.0,0.5,False
EMP11454,USER,0,NONE,0.67,0.67,0.0,1.35,0.64,0.5,False
EMP10819,USER,0,NONE,0.0,0.0,0.67,0.0,0.17,0.5,False
EMP11650,USER,0,NONE,1.35,-0.67,-0.67,-1.35,-0.2,0.5,False
EMP12909,USER,0,NONE,1.35,1.35,0.67,0.0,0.91,0.5,False
EMP10582,USER,0,NONE,0.67,-0.67,-0.67,-0.67,-0.27,0.5,False
EMP10175,USER,0,NONE,-1.35,-2.02,1.35,-2.02,-0.98,0.5,False
EMP11712,USER,0,NONE,0.0,-1.35,1.35,-0.67,-0.13,0.5,False
EMP10430,USER,0,NONE,-0.67,-2.02,0.0,-0.67,-0.84,0.5,False
EMP11507,USER,1,ENDPOINT,0.67,1.35,2.02,1.35,1.31,0.65,False
EMP10744,USER,0,NONE,0.0,-1.35,0.67,-0.67,-0.3,0.5,False
EMP11362,USER,0,NONE,0.0,0.0,0.0,0.67,0.13,0.5,False
EMP11097,USER,1,AUTHENTICATION,2.02,0.67,-0.67,1.35,0.88,0.65,False
EMP10506,USER,1,AUTHENTICATION,2.02,-1.35,0.67,0.0,0.44,0.65,False
EMP10945,USER,0,NONE,0.0,-0.67,1.35,-0.67,0.04,0.5,False
EMP11135,USER,0,NONE,0.0,-0.67,-1.35,-0.67,-0.64,0.5,False
EMP11023,USER,0,NONE,-0.67,0.67,0.0,-0.67,-0.17,0.5,False
EMP10196,USER,0,NONE,0.67,0.67,0.0,-0.67,0.23,0.5,False
EMP12512,USER,0,NONE,1.35,0.67,-0.67,-0.67,0.27,0.5,False
EMP10088,USER,0,NONE,0.0,0.67,-0.67,-1.35,-0.27,0.5,False
EMP11047,USER,1,OFF_HOURS,1.35,-0.67,0.0,2.02,0.64,0.65,False
EMP12878,USER,0,NONE,0.0,-0.67,0.67,-0.67,-0.13,0.5,False
EMP12025,USER,1,ENDPOINT,0.67,0.0,2.02,-0.67,0.57,0.65,False
EMP12943,USER,0,NONE,0.67,0.67,-0.67,1.35,0.47,0.5,False
EMP10678,USER,0,NONE,-1.35,-1.35,0.0,-1.35,-1.01,0.5,False
EMP11034,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,2.7,3.37,0.0,2.02,2.06,0.95,True
EMP10564,USER,0,NONE,0.0,0.0,0.0,-0.67,-0.13,0.5,False
EMP10343,USER,0,NONE,0.0,-1.35,1.35,-1.35,-0.27,0.5,False
EMP12346,USER,0,NONE,-0.67,-1.35,0.0,-0.67,-0.67,0.5,False
EMP10025,USER,0,NONE,0.0,-2.02,-0.67,-1.35,-0.94,0.5,False
EMP10940,USER,0,NONE,-0.67,-1.35,0.0,-1.35,-0.81,0.5,False
EMP11859,USER,0,NONE,1.35,1.35,-0.67,0.67,0.71,0.5,False
EMP12892,USER,0,NONE,0.67,-0.67,1.35,-0.67,0.24,0.5,False
EMP12795,USER,1,OFF_HOURS,-0.67,1.35,1.35,2.02,0.88,0.65,False
EMP11488,USER,0,NONE,0.0,0.0,0.67,0.0,0.17,0.5,False
EMP11525,USER,0,NONE,-0.67,0.0,1.35,-0.67,0.0,0.5,False
EMP12422,USER,0,NONE,-0.67,1.35,0.0,0.67,0.27,0.5,False
EMP12574,USER,0,NONE,0.67,-0.67,-1.35,0.0,-0.3,0.5,False
EMP10650,USER,1,AUTHENTICATION,2.02,0.0,0.67,0.67,0.91,0.65,False
EMP10867,USER,0,NONE,-0.67,1.35,0.67,0.0,0.3,0.5,False
EMP11350,USER,0,NONE,-0.67,-0.67,-0.67,-0.67,-0.67,0.5,False
EMP10067,USER,0,NONE,0.0,0.0,0.67,0.0,0.17,0.5,False
EMP12249,USER,0,NONE,0.67,0.0,-0.67,0.0,0.03,0.5,False
EMP10621,USER,0,NONE,-1.35,0.67,-1.35,0.0,-0.58,0.5,False
EMP10651,USER,0,NONE,-0.67,-0.67,0.67,-1.35,-0.47,0.5,False
EMP12195,USER,0,NONE,0.0,-1.35,1.35,0.0,0.0,0.5,False
EMP10602,USER,1,NETWORK_IP,-0.67,2.02,0.0,-0.67,0.17,0.65,False
EMP12911,USER,0,NONE,-0.67,-0.67,1.35,-2.02,-0.44,0.5,False
EMP10423,USER,0,NONE,0.67,0.0,-1.35,0.0,-0.14,0.5,False
EMP12171,USER,0,NONE,0.0,-0.67,1.35,0.67,0.3,0.5,False
EMP12805,USER,1,AUTHENTICATION,2.02,-2.02,-0.67,0.67,0.07,0.65,False
EMP11910,USER,0,NONE,0.0,-0.67,-0.67,-0.67,-0.47,0.5,False
EMP12861,USER,0,NONE,0.0,0.0,0.67,0.0,0.17,0.5,False
EMP11113,USER,0,NONE,-0.67,-0.67,1.35,-1.35,-0.3,0.5,False
EMP11477,USER,0,NONE,-0.67,-1.35,-1.35,-0.67,-1.01,0.5,False
EMP11553,USER,0,NONE,-0.67,-2.02,-0.67,-2.02,-1.28,0.5,False
EMP10124,USER,0,NONE,-0.67,-1.35,0.0,0.0,-0.54,0.5,False
EMP12541,USER,0,NONE,-0.67,0.67,-0.67,-0.67,-0.34,0.5,False
