source_node,source_type,relationship,target_node,target_type,confidence,provenance
EMP12864,USER,OWN_DEVICE,LPT-12864,HOST,EXACT,Identity_Master
EMP10544,USER,OWN_DEVICE,WS-10544,HOST,EXACT,Identity_Master
EMP12948,USER,OWN_DEVICE,VDR-12948.,HOST,EXACT,Identity_Master
EMP10450,USER,OWN_DEVICE,WS-10450,HOST,EXACT,Identity_Master
EMP12515,USER,OWN_DEVICE,WS-12515.,HOST,EXACT,Identity_Master
EMP10044,USER,OWN_DEVICE,VDR-10044,HOST,EXACT,Identity_Master
EMP11001,USER,OWN_DEVICE,VDR-11001,HOST,EXACT,Identity_Master
EMP11831,USER,OWN_DEVICE,LPT-11831,HOST,EXACT,Identity_Master
EMP10829,USER,OWN_DEVICE,WS-10829,HOST,EXACT,Identity_Master
EMP10598,USER,OWN_DEVICE,VDR-10598,HOST,EXACT,Identity_Master
EMP10408,USER,OWN_DEVICE,WS-10408.,HOST,EXACT,Identity_Master
EMP12917,USER,OWN_DEVICE,VDR-12917,HOST,EXACT,Identity_Master
EMP10256,USER,OWN_DEVICE,WS-10256,HOST,EXACT,Identity_Master
EMP12028,USER,OWN_DEVICE,WS-12028,HOST,EXACT,Identity_Master
EMP12303,USER,OWN_DEVICE,LPT-12303,HOST,EXACT,Identity_Master
EMP11837,USER,OWN_DEVICE,LPT-11837,HOST,EXACT,Identity_Master
EMP11702,USER,OWN_DEVICE,VDR-11702,HOST,EXACT,Identity_Master
EMP12490,USER,OWN_DEVICE,VDR-12490,HOST,EXACT,Identity_Master
EMP10144,USER,OWN_DEVICE,LPT-10144,HOST,EXACT,Identity_Master
EMP12090,USER,OWN_DEVICE,VDR-12090,HOST,EXACT,Identity_Master
EMP11292,USER,OWN_DEVICE,VDR-11292,HOST,EXACT,Identity_Master
EMP10416,USER,OWN_DEVICE,LPT-10416,HOST,EXACT,Identity_Master
EMP10929,USER,OWN_DEVICE,VDR-10929,HOST,EXACT,Identity_Master
EMP12022,USER,OWN_DEVICE,VDR-12022,HOST,EXACT,Identity_Master
EMP10170,USER,OWN_DEVICE,VDR-10170,HOST,EXACT,Identity_Master
EMP11125,USER,OWN_DEVICE,LPT-11125,HOST,EXACT,Identity_Master
EMP10567,USER,OWN_DEVICE,LPT-10567,HOST,EXACT,Identity_Master
EMP11590,USER,OWN_DEVICE,WS-11590,HOST,EXACT,Identity_Master
EMP12673,USER,OWN_DEVICE,WS-12673,HOST,EXACT,Identity_Master
EMP10134,USER,OWN_DEVICE,WS-10134.,HOST,EXACT,Identity_Master
EMP11717,USER,OWN_DEVICE,LPT-11717,HOST,EXACT,Identity_Master
EMP10642,USER,OWN_DEVICE,VDR-10642,HOST,EXACT,Identity_Master
EMP11689,USER,OWN_DEVICE,LPT-11689,HOST,EXACT,Identity_Master
EMP10554,USER,OWN_DEVICE,WS-10554,HOST,EXACT,Identity_Master
EMP12174,USER,OWN_DEVICE,VDR-12174,HOST,EXACT,Identity_Master
EMP11538,USER,OWN_DEVICE,WS-11538,HOST,EXACT,Identity_Master
EMP10291,USER,OWN_DEVICE,VDR-10291,HOST,EXACT,Identity_Master
EMP11338,USER,OWN_DEVICE,VDR-11338,HOST,EXACT,Identity_Master
EMP12247,USER,OWN_DEVICE,VDR-12247.,HOST,EXACT,Identity_Master
EMP10781,USER,OWN_DEVICE,WS-10781,HOST,EXACT,Identity_Master
EMP10443,USER,OWN_DEVICE,VDR-10443,HOST,EXACT,Identity_Master
EMP12601,USER,OWN_DEVICE,WS-12601,HOST,EXACT,Identity_Master
EMP12149,USER,OWN_DEVICE,LPT-12149,HOST,EXACT,Identity_Master
EMP10449,USER,OWN_DEVICE,VDR-10449.,HOST,EXACT,Identity_Master
EMP11029,USER,OWN_DEVICE,LPT-11029,HOST,EXACT,Identity_Master
EMP11992,USER,OWN_DEVICE,LPT-11992,HOST,EXACT,Identity_Master
EMP12750,USER,OWN_DEVICE,VDR-12750,HOST,EXACT,Identity_Master
EMP10000,USER,OWN_DEVICE,WS-10000,HOST,EXACT,Identity_Master
EMP11048,USER,OWN_DEVICE,LPT-11048,HOST,EXACT,Identity_Master
EMP10270,USER,OWN_DEVICE,VDR-10270,HOST,EXACT,Identity_Master
EMP10736,USER,OWN_DEVICE,VDR-10736,HOST,EXACT,Identity_Master
EMP10298,USER,OWN_DEVICE,LPT-10298,HOST,EXACT,Identity_Master
EMP10032,USER,OWN_DEVICE,WS-10032,HOST,EXACT,Identity_Master
EMP12498,USER,OWN_DEVICE,VDR-12498,HOST,EXACT,Identity_Master
EMP10014,USER,OWN_DEVICE,WS-10014,HOST,EXACT,Identity_Master
EMP10093,USER,OWN_DEVICE,VDR-10093.,HOST,EXACT,Identity_Master
EMP10411,USER,OWN_DEVICE,WS-10411,HOST,EXACT,Identity_Master
EMP11159,USER,OWN_DEVICE,WS-11159,HOST,EXACT,Identity_Master
EMP12362,USER,OWN_DEVICE,VDR-12362,HOST,EXACT,Identity_Master
EMP12819,USER,OWN_DEVICE,WS-12819,HOST,EXACT,Identity_Master
EMP10149,USER,OWN_DEVICE,WS-10149,HOST,EXACT,Identity_Master
EMP11600,USER,OWN_DEVICE,VDR-11600,HOST,EXACT,Identity_Master
EMP11044,USER,OWN_DEVICE,WS-11044,HOST,EXACT,Identity_Master
EMP12153,USER,OWN_DEVICE,VDR-12153,HOST,EXACT,Identity_Master
EMP10495,USER,OWN_DEVICE,VDR-10495,HOST,EXACT,Identity_Master
EMP10332,USER,OWN_DEVICE,WS-10332,HOST,EXACT,Identity_Master
EMP12788,USER,OWN_DEVICE,WS-12788,HOST,EXACT,Identity_Master
EMP12066,USER,OWN_DEVICE,LPT-12066,HOST,EXACT,Identity_Master
EMP11874,USER,OWN_DEVICE,VDR-11874.,HOST,EXACT,Identity_Master
EMP10756,USER,OWN_DEVICE,VDR-10756,HOST,EXACT,Identity_Master
EMP10798,USER,OWN_DEVICE,LPT-10798,HOST,EXACT,Identity_Master
EMP12274,USER,OWN_DEVICE,WS-12274,HOST,EXACT,Identity_Master
EMP10203,USER,OWN_DEVICE,VDR-10203,HOST,EXACT,Identity_Master
EMP10463,USER,OWN_DEVICE,LPT-10463,HOST,EXACT,Identity_Master
EMP12851,USER,OWN_DEVICE,WS-12851.,HOST,EXACT,Identity_Master
EMP12749,USER,OWN_DEVICE,VDR-12749,HOST,EXACT,Identity_Master
EMP11583,USER,OWN_DEVICE,VDR-11583,HOST,EXACT,Identity_Master
EMP10555,USER,OWN_DEVICE,VDR-10555,HOST,EXACT,Identity_Master
EMP10174,USER,OWN_DEVICE,WS-10174,HOST,EXACT,Identity_Master
EMP10289,USER,OWN_DEVICE,LPT-10289.,HOST,EXACT,Identity_Master
EMP10120,USER,OWN_DEVICE,LPT-10120,HOST,EXACT,Identity_Master
EMP12839,USER,OWN_DEVICE,WS-12839,HOST,EXACT,Identity_Master
EMP10847,USER,OWN_DEVICE,VDR-10847,HOST,EXACT,Identity_Master
EMP12699,USER,OWN_DEVICE,LPT-12699,HOST,EXACT,Identity_Master
EMP10432,USER,OWN_DEVICE,WS-10432,HOST,EXACT,Identity_Master
EMP12969,USER,OWN_DEVICE,LPT-12969.,HOST,EXACT,Identity_Master
EMP11317,USER,OWN_DEVICE,WS-11317,HOST,EXACT,Identity_Master
EMP11200,USER,OWN_DEVICE,LPT-11200,HOST,EXACT,Identity_Master
EMP10393,USER,OWN_DEVICE,WS-10393,HOST,EXACT,Identity_Master
EMP12031,USER,OWN_DEVICE,WS-12031,HOST,EXACT,Identity_Master
EMP11800,USER,OWN_DEVICE,LPT-11800,HOST,EXACT,Identity_Master
EMP11721,USER,OWN_DEVICE,LPT-11721,HOST,EXACT,Identity_Master
EMP10266,USER,OWN_DEVICE,WS-10266,HOST,EXACT,Identity_Master
EMP12692,USER,OWN_DEVICE,VDR-12692,HOST,EXACT,Identity_Master
EMP10805,USER,OWN_DEVICE,VDR-10805,HOST,EXACT,Identity_Master
EMP10331,USER,OWN_DEVICE,LPT-10331,HOST,EXACT,Identity_Master
EMP10528,USER,OWN_DEVICE,VDR-10528.,HOST,EXACT,Identity_Master
EMP11225,USER,OWN_DEVICE,VDR-11225,HOST,EXACT,Identity_Master
EMP10801,USER,OWN_DEVICE,VDR-10801.,HOST,EXACT,Identity_Master
EMP11089,USER,OWN_DEVICE,WS-11089,HOST,EXACT,Identity_Master
EMP10764,USER,OWN_DEVICE,WS-10764,HOST,EXACT,Identity_Master
EMP10218,USER,OWN_DEVICE,VDR-10218,HOST,EXACT,Identity_Master
EMP10479,USER,OWN_DEVICE,LPT-10479,HOST,EXACT,Identity_Master
EMP10790,USER,OWN_DEVICE,VDR-10790.,HOST,EXACT,Identity_Master
EMP10478,USER,OWN_DEVICE,VDR-10478,HOST,EXACT,Identity_Master
EMP12645,USER,OWN_DEVICE,LPT-12645,HOST,EXACT,Identity_Master
EMP10727,USER,OWN_DEVICE,WS-10727.,HOST,EXACT,Identity_Master
EMP10581,USER,OWN_DEVICE,LPT-10581,HOST,EXACT,Identity_Master
EMP11157,USER,OWN_DEVICE,VDR-11157,HOST,EXACT,Identity_Master
EMP12547,USER,OWN_DEVICE,LPT-12547,HOST,EXACT,Identity_Master
EMP11688,USER,OWN_DEVICE,WS-11688,HOST,EXACT,Identity_Master
EMP12633,USER,OWN_DEVICE,WS-12633,HOST,EXACT,Identity_Master
EMP10045,USER,OWN_DEVICE,WS-10045,HOST,EXACT,Identity_Master
EMP12849,USER,OWN_DEVICE,WS-12849,HOST,EXACT,Identity_Master
EMP10240,USER,OWN_DEVICE,VDR-10240,HOST,EXACT,Identity_Master
EMP10251,USER,OWN_DEVICE,VDR-10251,HOST,EXACT,Identity_Master
EMP10990,USER,OWN_DEVICE,VDR-10990,HOST,EXACT,Identity_Master
EMP10457,USER,OWN_DEVICE,VDR-10457,HOST,EXACT,Identity_Master
EMP11272,USER,OWN_DEVICE,VDR-11272,HOST,EXACT,Identity_Master
EMP10676,USER,OWN_DEVICE,LPT-10676,HOST,EXACT,Identity_Master
EMP11814,USER,OWN_DEVICE,WS-11814,HOST,EXACT,Identity_Master
EMP11533,USER,OWN_DEVICE,WS-11533,HOST,EXACT,Identity_Master
EMP12356,USER,OWN_DEVICE,WS-12356,HOST,EXACT,Identity_Master
EMP11084,USER,OWN_DEVICE,WS-11084,HOST,EXACT,Identity_Master
EMP11511,USER,OWN_DEVICE,LPT-11511,HOST,EXACT,Identity_Master
EMP12404,USER,OWN_DEVICE,VDR-12404,HOST,EXACT,Identity_Master
EMP10257,USER,OWN_DEVICE,LPT-10257,HOST,EXACT,Identity_Master
EMP12272,USER,OWN_DEVICE,VDR-12272,HOST,EXACT,Identity_Master
EMP10368,USER,OWN_DEVICE,WS-10368,HOST,EXACT,Identity_Master
EMP12050,USER,OWN_DEVICE,WS-12050.,HOST,EXACT,Identity_Master
EMP12973,USER,OWN_DEVICE,LPT-12973,HOST,EXACT,Identity_Master
EMP12844,USER,OWN_DEVICE,VDR-12844,HOST,EXACT,Identity_Master
EMP10354,USER,OWN_DEVICE,VDR-10354,HOST,EXACT,Identity_Master
EMP11299,USER,OWN_DEVICE,LPT-11299,HOST,EXACT,Identity_Master
EMP11864,USER,OWN_DEVICE,WS-11864.,HOST,EXACT,Identity_Master
EMP12219,USER,OWN_DEVICE,WS-12219,HOST,EXACT,Identity_Master
EMP11196,USER,OWN_DEVICE,WS-11196,HOST,EXACT,Identity_Master
EMP11830,USER,OWN_DEVICE,LPT-11830,HOST,EXACT,Identity_Master
EMP12202,USER,OWN_DEVICE,LPT-12202,HOST,EXACT,Identity_Master
EMP11302,USER,OWN_DEVICE,VDR-11302,HOST,EXACT,Identity_Master
EMP10682,USER,OWN_DEVICE,LPT-10682,HOST,EXACT,Identity_Master
EMP11381,USER,OWN_DEVICE,WS-11381,HOST,EXACT,Identity_Master
EMP10507,USER,OWN_DEVICE,WS-10507,HOST,EXACT,Identity_Master
EMP10211,USER,OWN_DEVICE,WS-10211,HOST,EXACT,Identity_Master
EMP11454,USER,OWN_DEVICE,WS-11454,HOST,EXACT,Identity_Master
EMP10819,USER,OWN_DEVICE,WS-10819,HOST,EXACT,Identity_Master
EMP11650,USER,OWN_DEVICE,VDR-11650,HOST,EXACT,Identity_Master
EMP12909,USER,OWN_DEVICE,WS-12909,HOST,EXACT,Identity_Master
EMP10582,USER,OWN_DEVICE,WS-10582,HOST,EXACT,Identity_Master
EMP10175,USER,OWN_DEVICE,WS-10175,HOST,EXACT,Identity_Master
EMP11712,USER,OWN_DEVICE,VDR-11712,HOST,EXACT,Identity_Master
EMP10430,USER,OWN_DEVICE,WS-10430,HOST,EXACT,Identity_Master
EMP11507,USER,OWN_DEVICE,VDR-11507,HOST,EXACT,Identity_Master
EMP10744,USER,OWN_DEVICE,VDR-10744.,HOST,EXACT,Identity_Master
EMP11362,USER,OWN_DEVICE,WS-11362,HOST,EXACT,Identity_Master
EMP11097,USER,OWN_DEVICE,LPT-11097,HOST,EXACT,Identity_Master
EMP10506,USER,OWN_DEVICE,WS-10506,HOST,EXACT,Identity_Master
EMP10945,USER,OWN_DEVICE,WS-10945,HOST,EXACT,Identity_Master
EMP11135,USER,OWN_DEVICE,WS-11135,HOST,EXACT,Identity_Master
EMP11023,USER,OWN_DEVICE,LPT-11023,HOST,EXACT,Identity_Master
EMP10196,USER,OWN_DEVICE,VDR-10196.,HOST,EXACT,Identity_Master
EMP12512,USER,OWN_DEVICE,WS-12512,HOST,EXACT,Identity_Master
EMP10088,USER,OWN_DEVICE,WS-10088,HOST,EXACT,Identity_Master
EMP11047,USER,OWN_DEVICE,VDR-11047.,HOST,EXACT,Identity_Master
EMP12878,USER,OWN_DEVICE,WS-12878,HOST,EXACT,Identity_Master
EMP12025,USER,OWN_DEVICE,VDR-12025,HOST,EXACT,Identity_Master
EMP12943,USER,OWN_DEVICE,LPT-12943,HOST,EXACT,Identity_Master
EMP10678,USER,OWN_DEVICE,LPT-10678,HOST,EXACT,Identity_Master
EMP11034,USER,OWN_DEVICE,LPT-11034,HOST,EXACT,Identity_Master
EMP10564,USER,OWN_DEVICE,WS-10564.,HOST,EXACT,Identity_Master
EMP12346,USER,OWN_DEVICE,WS-12346,HOST,EXACT,Identity_Master
EMP10025,USER,OWN_DEVICE,LPT-10025,HOST,EXACT,Identity_Master
EMP10940,USER,OWN_DEVICE,VDR-10940,HOST,EXACT,Identity_Master
EMP12892,USER,OWN_DEVICE,VDR-12892,HOST,EXACT,Identity_Master
EMP12795,USER,OWN_DEVICE,LPT-12795,HOST,EXACT,Identity_Master
EMP11488,USER,OWN_DEVICE,LPT-11488,HOST,EXACT,Identity_Master
EMP11525,USER,OWN_DEVICE,VDR-11525,HOST,EXACT,Identity_Master
EMP12422,USER,OWN_DEVICE,WS-12422,HOST,EXACT,Identity_Master
EMP12574,USER,OWN_DEVICE,LPT-12574,HOST,EXACT,Identity_Master
EMP10650,USER,OWN_DEVICE,LPT-10650,HOST,EXACT,Identity_Master
EMP10867,USER,OWN_DEVICE,VDR-10867,HOST,EXACT,Identity_Master
EMP11350,USER,OWN_DEVICE,VDR-11350,HOST,EXACT,Identity_Master
EMP10067,USER,OWN_DEVICE,LPT-10067,HOST,EXACT,Identity_Master
EMP12249,USER,OWN_DEVICE,LPT-12249,HOST,EXACT,Identity_Master
EMP10621,USER,OWN_DEVICE,VDR-10621,HOST,EXACT,Identity_Master
EMP10651,USER,OWN_DEVICE,LPT-10651.,HOST,EXACT,Identity_Master
EMP12195,USER,OWN_DEVICE,WS-12195,HOST,EXACT,Identity_Master
EMP10602,USER,OWN_DEVICE,WS-10602,HOST,EXACT,Identity_Master
EMP12911,USER,OWN_DEVICE,LPT-12911,HOST,EXACT,Identity_Master
EMP10423,USER,OWN_DEVICE,LPT-10423,HOST,EXACT,Identity_Master
EMP12171,USER,OWN_DEVICE,LPT-12171,HOST,EXACT,Identity_Master
EMP12805,USER,OWN_DEVICE,LPT-12805.,HOST,EXACT,Identity_Master
EMP11910,USER,OWN_DEVICE,VDR-11910.,HOST,EXACT,Identity_Master
EMP12861,USER,OWN_DEVICE,VDR-12861,HOST,EXACT,Identity_Master
EMP11113,USER,OWN_DEVICE,WS-11113,HOST,EXACT,Identity_Master
EMP11477,USER,OWN_DEVICE,WS-11477.,HOST,EXACT,Identity_Master
EMP11553,USER,OWN_DEVICE,WS-11553.,HOST,EXACT,Identity_Master
EMP10124,USER,OWN_DEVICE,VDR-10124,HOST,EXACT,Identity_Master
EMP12541,USER,OWN_DEVICE,LPT-12541,HOST,EXACT,Identity_Master
EMP11866,USER,OWN_DEVICE,LPT-11866,HOST,EXACT,Identity_Master
EMP11872,USER,OWN_DEVICE,VDR-11872.,HOST,EXACT,Identity_Master
EMP10532,USER,OWN_DEVICE,VDR-10532,HOST,EXACT,Identity_Master
EMP12009,USER,OWN_DEVICE,WS-12009,HOST,EXACT,Identity_Master
EMP11057,USER,OWN_DEVICE,LPT-11057,HOST,EXACT,Identity_Master
EMP12907,USER,OWN_DEVICE,LPT-12907,HOST,EXACT,Identity_Master
EMP11690,USER,OWN_DEVICE,WS-11690,HOST,EXACT,Identity_Master
EMP11487,USER,OWN_DEVICE,VDR-11487,HOST,EXACT,Identity_Master
EMP10557,USER,OWN_DEVICE,LPT-10557,HOST,EXACT,Identity_Master
EMP12561,USER,OWN_DEVICE,WS-12561,HOST,EXACT,Identity_Master
EMP11173,USER,OWN_DEVICE,LPT-11173,HOST,EXACT,Identity_Master
EMP10176,USER,OWN_DEVICE,LPT-10176,HOST,EXACT,Identity_Master
EMP10322,USER,OWN_DEVICE,VDR-10322,HOST,EXACT,Identity_Master
EMP11188,USER,OWN_DEVICE,VDR-11188,HOST,EXACT,Identity_Master
EMP11461,USER,OWN_DEVICE,WS-11461,HOST,EXACT,Identity_Master
EMP12478,USER,OWN_DEVICE,WS-12478,HOST,EXACT,Identity_Master
EMP11545,USER,OWN_DEVICE,WS-11545,HOST,EXACT,Identity_Master
EMP10695,USER,OWN_DEVICE,WS-10695,HOST,EXACT,Identity_Master
EMP11628,USER,OWN_DEVICE,VDR-11628,HOST,EXACT,Identity_Master
EMP10080,USER,OWN_DEVICE,LPT-10080,HOST,EXACT,Identity_Master
EMP12525,USER,OWN_DEVICE,VDR-12525,HOST,EXACT,Identity_Master
EMP11149,USER,OWN_DEVICE,LPT-11149,HOST,EXACT,Identity_Master
EMP11151,USER,OWN_DEVICE,LPT-11151,HOST,EXACT,Identity_Master
EMP10471,USER,OWN_DEVICE,WS-10471,HOST,EXACT,Identity_Master
EMP12230,USER,OWN_DEVICE,WS-12230,HOST,EXACT,Identity_Master
EMP12011,USER,OWN_DEVICE,LPT-12011,HOST,EXACT,Identity_Master
EMP11706,USER,OWN_DEVICE,WS-11706,HOST,EXACT,Identity_Master
EMP10812,USER,OWN_DEVICE,WS-10812,HOST,EXACT,Identity_Master
EMP11234,USER,OWN_DEVICE,LPT-11234,HOST,EXACT,Identity_Master
EMP12246,USER,OWN_DEVICE,WS-12246,HOST,EXACT,Identity_Master
EMP10568,USER,OWN_DEVICE,WS-10568,HOST,EXACT,Identity_Master
EMP12425,USER,OWN_DEVICE,LPT-12425,HOST,EXACT,Identity_Master
EMP11653,USER,OWN_DEVICE,VDR-11653,HOST,EXACT,Identity_Master
EMP10141,USER,OWN_DEVICE,LPT-10141,HOST,EXACT,Identity_Master
EMP10511,USER,OWN_DEVICE,LPT-10511,HOST,EXACT,Identity_Master
EMP11612,USER,OWN_DEVICE,WS-11612,HOST,EXACT,Identity_Master
EMP11809,USER,OWN_DEVICE,WS-11809,HOST,EXACT,Identity_Master
EMP12866,USER,OWN_DEVICE,WS-12866,HOST,EXACT,Identity_Master
EMP11684,USER,OWN_DEVICE,VDR-11684,HOST,EXACT,Identity_Master
EMP10610,USER,OWN_DEVICE,WS-10610,HOST,EXACT,Identity_Master
EMP12810,USER,OWN_DEVICE,LPT-12810,HOST,EXACT,Identity_Master
EMP11966,USER,OWN_DEVICE,VDR-11966,HOST,EXACT,Identity_Master
EMP10831,USER,OWN_DEVICE,WS-10831,HOST,EXACT,Identity_Master
EMP10177,USER,OWN_DEVICE,LPT-10177,HOST,EXACT,Identity_Master
EMP10857,USER,OWN_DEVICE,VDR-10857,HOST,EXACT,Identity_Master
EMP10693,USER,OWN_DEVICE,VDR-10693,HOST,EXACT,Identity_Master
EMP11736,USER,OWN_DEVICE,LPT-11736,HOST,EXACT,Identity_Master
EMP11072,USER,OWN_DEVICE,LPT-11072,HOST,EXACT,Identity_Master
EMP11278,USER,OWN_DEVICE,LPT-11278,HOST,EXACT,Identity_Master
EMP11503,USER,OWN_DEVICE,WS-11503,HOST,EXACT,Identity_Master
EMP10183,USER,OWN_DEVICE,LPT-10183,HOST,EXACT,Identity_Master
EMP11468,USER,OWN_DEVICE,WS-11468,HOST,EXACT,Identity_Master
