node_id,node_type,label,department,status,source_dataset,source_record_id
EMP12130,USER,krishna.kata74,Customer Support,On Leave,canonical_users,EMP12130
EMP11681,USER,ayushman.varty42,Sales,Active,canonical_users,EMP11681
EMP12334,USER,bahadurjit.sridhar62,Sales,Active,canonical_users,EMP12334
EMP10889,USER,chanchal.tank46,Marketing,Active,canonical_users,EMP10889
EMP11268,USER,krishna.babu43,Innovation,Active,canonical_users,EMP11268
EMP11926,USER,chatresh.varty75,Finance,Terminated,canonical_users,EMP11926
EMP11620,USER,ira.choudhury44,R&D,Terminated,canonical_users,EMP11620
EMP10700,USER,charles.brar31,Call Center,Active,canonical_users,EMP10700
EMP11061,USER,ekansh.ahuja25,Marketing,Active,canonical_users,EMP11061
EMP10485,USER,hardik.kuruvilla24,Customer Support,Active,canonical_users,EMP10485
EMP11356,USER,jeet.tara32,Legal,Active,canonical_users,EMP11356
EMP12310,USER,zashil.chaudhari74,Operations,Disabled,canonical_users,EMP12310
EMP12181,USER,hemal.kohli58,Marketing,Active,canonical_users,EMP12181
EMP10761,USER,dayita.dasgupta48,R&D,Active,canonical_users,EMP10761
EMP10746,USER,oviya.acharya25,Human Resources,Active,canonical_users,EMP10746
EMP10321,USER,kalpit.mody99,R&D,Active,canonical_users,EMP10321
EMP12707,USER,indira.pant51,Marketing,Active,canonical_users,EMP12707
EMP10188,USER,wakeeta.srivastava97,Sales,Active,canonical_users,EMP10188
EMP10772,USER,gagan_bhandari75,Operations,Active,canonical_users,EMP10772
EMP12496,USER,anusha.bawa86,Supply Chain,Active,canonical_users,EMP12496
EMP11451,USER,arunima.dube10,Operations,Active,canonical_users,EMP11451
EMP12354,USER,gagan.raman49,Operations,Active,canonical_users,EMP12354
EMP10410,USER,onveer.om63,Supply Chain,Active,canonical_users,EMP10410
EMP11727,USER,bhavya.sem13,IT,On Leave,canonical_users,EMP11727
EMP12852,USER,warinder.wali82,R&D,Terminated,canonical_users,EMP12852
EMP12216,USER,urvashi.handa11,Customer Support,Terminated,canonical_users,EMP12216
EMP11398,USER,yauvani_chacko81,Human Resources,Terminated,canonical_users,EMP11398
EMP11361,USER,inaya.sridhar38,Human Resources,Active,canonical_users,EMP11361
EMP11657,USER,yadavi.balay60,Sales,Active,canonical_users,EMP11657
EMP10051,USER,ekbal.malhotra95,Finance,Active,canonical_users,EMP10051
EMP11624,USER,bishakha_ghose98,Sales,Active,canonical_users,EMP11624
EMP10063,USER,ira.tara4,Human Resources,Active,canonical_users,EMP10063
EMP12789,USER,tamanna.kala64,Legal,Active,canonical_users,EMP12789
EMP12553,USER,tanish.kurian86,IT,Disabled,canonical_users,EMP12553
EMP12530,USER,wazir.das67,Human Resources,Active,canonical_users,EMP12530
EMP11090,USER,pahal.bajwa31,Legal,On Leave,canonical_users,EMP11090
EMP11465,USER,brinda.chauhan94,Customer Support,Active,canonical_users,EMP11465
EMP11896,USER,urmi.pall82,Finance,Terminated,canonical_users,EMP11896
EMP10052,USER,anirudh.ramanathan31,Marketing,Active,canonical_users,EMP10052
EMP12807,USER,damyanti.wali52,Sales,Active,canonical_users,EMP12807
EMP12763,USER,sanaya.kale52,Marketing,Active,canonical_users,EMP12763
EMP12551,USER,warinder.jaggi19,Sales,Active,canonical_users,EMP12551
EMP12864,USER,pooja.choudhary68,Marketing,Active,canonical_users,EMP12864
EMP10544,USER,harita.sura62,Human Resources,Disabled,canonical_users,EMP10544
EMP12948,USER,aadi.mohan96,Operations,Disabled,canonical_users,EMP12948
EMP10450,USER,charles.mohanty2,Finance,On Leave,canonical_users,EMP10450
EMP12515,USER,onveer.wason58,Sales,Disabled,canonical_users,EMP12515
EMP10044,USER,gopal.lala36,Human Resources,Active,canonical_users,EMP10044
EMP11001,USER,aarush.prashad25,Procurement,Terminated,canonical_users,EMP11001
EMP11831,USER,Unknown,Supply Chain,Active,canonical_users,EMP11831
EMP10829,USER,chaman.goda59,Legal,Active,canonical_users,EMP10829
EMP10598,USER,ekalinga.walla33,IT,Active,canonical_users,EMP10598
EMP10408,USER,akshay.sarraf2,Procurement,Active,canonical_users,EMP10408
EMP12917,USER,charita.mannan95,Sales,Active,canonical_users,EMP12917
EMP10256,USER,naveen.bhagat32,R&D,Terminated,canonical_users,EMP10256
EMP12028,USER,neha_devan64,Supply Chain,Active,canonical_users,EMP12028
EMP12303,USER,lila_srinivasan31,Finance,Active,canonical_users,EMP12303
EMP11837,USER,qabil.parikh37,Sales,Active,canonical_users,EMP11837
EMP11702,USER,hemang.bakshi78,Customer Support,On Leave,canonical_users,EMP11702
EMP12490,USER,laban.sridhar64,Human Resources,Terminated,canonical_users,EMP12490
EMP11662,USER,aishani.dugal36,Sales,Active,canonical_users,EMP11662
EMP10144,USER,yashica_rao48,Human Resources,Disabled,canonical_users,EMP10144
EMP12090,USER,vasatika.saha98,R&D,Active,canonical_users,EMP12090
EMP11292,USER,harsh.sem7,Sales,Active,canonical_users,EMP11292
EMP12155,USER,ekansh.soni57,Marketing,Disabled,canonical_users,EMP12155
EMP10416,USER,arunima.tata4,Finance,Active,canonical_users,EMP10416
EMP10929,USER,aarini.bora51,Marketing,On Leave,canonical_users,EMP10929
EMP12022,USER,Unknown,Operations,Active,canonical_users,EMP12022
EMP10170,USER,nathaniel_prakash13,Customer Support,Active,canonical_users,EMP10170
EMP11125,USER,indali.aggarwal48,Marketing,Disabled,canonical_users,EMP11125
EMP10567,USER,upadhriti.krishnan99,Legal,Active,canonical_users,EMP10567
EMP11590,USER,mahika.som71,Operations,Disabled,canonical_users,EMP11590
EMP12673,USER,victor.nagar6,Finance,Disabled,canonical_users,EMP12673
EMP10134,USER,sai.bedi96,Human Resources,Active,canonical_users,EMP10134
EMP11717,USER,jatin.saha63,IT,On Leave,canonical_users,EMP11717
EMP10642,USER,umang.dhaliwal49,Operations,Active,canonical_users,EMP10642
EMP11689,USER,vaishnavi.kant81,Finance,Disabled,canonical_users,EMP11689
EMP12745,USER,prisha.sarkar30,Customer Support,Disabled,canonical_users,EMP12745
EMP10554,USER,shaurya.talwar44,Operations,Active,canonical_users,EMP10554
EMP12174,USER,onveer.bansal17,Sales,Terminated,canonical_users,EMP12174
EMP11538,USER,jai.chanda34,Sales,Active,canonical_users,EMP11538
EMP10999,USER,yoshita.raval66,Customer Support,Active,canonical_users,EMP10999
EMP10291,USER,upasna_krishnamurthy12,Finance,Active,canonical_users,EMP10291
EMP11338,USER,vansha_virk36,Marketing,Active,canonical_users,EMP11338
EMP12247,USER,tanish.dasgupta22,IT Support,Terminated,canonical_users,EMP12247
EMP10781,USER,Unknown,Innovation,Active,canonical_users,EMP10781
EMP10443,USER,tejas.raghavan27,IT,Active,canonical_users,EMP10443
EMP12601,USER,dominic.bawa78,Operations,Disabled,canonical_users,EMP12601
EMP12149,USER,teerth.chowdhury93,Legal,Active,canonical_users,EMP12149
EMP10449,USER,jagvi.sengupta38,Operations,Active,canonical_users,EMP10449
EMP11029,USER,Unknown,Human Resources,Active,canonical_users,EMP11029
EMP11992,USER,raksha.saini25,Marketing,Active,canonical_users,EMP11992
EMP12403,USER,andrew.vasa6,Sales,Disabled,canonical_users,EMP12403
EMP12750,USER,darika.parekh27,IT,Active,canonical_users,EMP12750
EMP10000,USER,vrinda.dua82,Human Resources,Active,canonical_users,EMP10000
EMP11048,USER,quincy.lata26,Finance,Active,canonical_users,EMP11048
EMP10270,USER,upkaar.doshi48,Operations,Active,canonical_users,EMP10270
EMP10736,USER,jackson.cherian13,R&D,Disabled,canonical_users,EMP10736
EMP10298,USER,aradhana.yogi41,Marketing,Active,canonical_users,EMP10298
EMP10032,USER,lila.nadkarni27,Operations,Active,canonical_users,EMP10032
EMP12498,USER,lekha.kapoor10,Innovation,Active,canonical_users,EMP12498
EMP10014,USER,ridhi.saini2,Human Resources,Active,canonical_users,EMP10014
EMP10093,USER,pahal.roy74,Procurement,Active,canonical_users,EMP10093
EMP10411,USER,shivani.pillay89,Legal,Active,canonical_users,EMP10411
EMP11159,USER,adya.shetty2,Human Resources,Active,canonical_users,EMP11159
EMP12362,USER,kamala.nazareth82,Procurement,Active,canonical_users,EMP12362
EMP12819,USER,chakradhar.nagi26,R&D,Active,canonical_users,EMP12819
EMP10149,USER,girik.bhatia28,Customer Support,Active,canonical_users,EMP10149
EMP11600,USER,gagan.mitter67,Procurement,Active,canonical_users,EMP11600
EMP11044,USER,mugdha.khare82,Sales,On Leave,canonical_users,EMP11044
EMP12153,USER,abdul.deep62,Human Resources,Active,canonical_users,EMP12153
EMP10495,USER,tanmayi.thaman1,Procurement,Active,canonical_users,EMP10495
EMP10332,USER,Unknown,Procurement,Active,canonical_users,EMP10332
EMP12788,USER,utkarsh.vora38,Marketing,Active,canonical_users,EMP12788
EMP12066,USER,david.sampath85,Customer Support,Active,canonical_users,EMP12066
EMP11874,USER,dayita.rout5,R&D,Active,canonical_users,EMP11874
EMP10756,USER,mugdha.shah75,Sales,Active,canonical_users,EMP10756
EMP10798,USER,udarsh.korpal53,Operations,Active,canonical_users,EMP10798
EMP12274,USER,praneel.sastry13,Supply Chain,Blocked,canonical_users,EMP12274
EMP10203,USER,samaksh.subramanian60,Call Center,Active,canonical_users,EMP10203
EMP10463,USER,isha.padmanabhan86,Innovation,Disabled,canonical_users,EMP10463
EMP12851,USER,kamala.raman22,Supply Chain,Active,canonical_users,EMP12851
EMP12749,USER,darika.mandal6,Human Resources,Active,canonical_users,EMP12749
EMP11583,USER,hemang.bansal35,Human Resources,Active,canonical_users,EMP11583
EMP10555,USER,vrishti.lala52,Marketing,On Leave,canonical_users,EMP10555
EMP10174,USER,ridhi.iyer25,Operations,Active,canonical_users,EMP10174
EMP10289,USER,jonathan.narayanan92,Human Resources,Active,canonical_users,EMP10289
EMP10120,USER,lakshit.mand42,Compliance,Terminated,canonical_users,EMP10120
EMP12839,USER,lipika.parsa25,Finance,Disabled,canonical_users,EMP12839
EMP10847,USER,vidhi.krishna41,Call Center,On Leave,canonical_users,EMP10847
EMP12699,USER,edhitha.balasubramanian33,Finance,Active,canonical_users,EMP12699
EMP10432,USER,omya.gole7,Finance,On Leave,canonical_users,EMP10432
EMP12969,USER,ekanta.deshmukh53,Marketing,Active,canonical_users,EMP12969
EMP11317,USER,ganga.goswami90,Human Resources,Active,canonical_users,EMP11317
EMP11200,USER,xiti.sem41,Operations,Active,canonical_users,EMP11200
EMP10393,USER,aarini.deep10,IT Support,On Leave,canonical_users,EMP10393
EMP12031,USER,Unknown,Operations,Active,canonical_users,EMP12031
EMP11800,USER,farhan.sastry34,R&D,Active,canonical_users,EMP11800
EMP11721,USER,frederick.vasa15,IT,Active,canonical_users,EMP11721
EMP10192,USER,ridhi.bala57,Operations,Active,canonical_users,EMP10192
EMP10266,USER,abhimanyu.gade25,Procurement,Terminated,canonical_users,EMP10266
EMP12692,USER,dalaja.sura56,Operations,Active,canonical_users,EMP12692
EMP10805,USER,udarsh.kannan13,Human Resources,Active,canonical_users,EMP10805
EMP10331,USER,janaki.hegde46,Human Resources,Blocked,canonical_users,EMP10331
EMP10528,USER,Unknown,Human Resources,Active,canonical_users,EMP10528
EMP11225,USER,tanay.viswanathan59,Operations,Active,canonical_users,EMP11225
EMP10801,USER,ansh.brahmbhatt77,Customer Support,Active,canonical_users,EMP10801
EMP11089,USER,Unknown,Customer Support,Active,canonical_users,EMP11089
EMP10764,USER,rachana.madan60,Procurement,Active,canonical_users,EMP10764
EMP10218,USER,jagat_dasgupta98,Customer Support,Active,canonical_users,EMP10218
EMP10479,USER,ayushman.nagy50,Legal,Active,canonical_users,EMP10479
EMP10790,USER,janani.barad1,Finance,Active,canonical_users,EMP10790
EMP10478,USER,aachal.mani50,Sales,Active,canonical_users,EMP10478
EMP12645,USER,hemani.bhagat18,Operations,Active,canonical_users,EMP12645
EMP10727,USER,kabir.sampath9,Customer Support,Active,canonical_users,EMP10727
EMP10581,USER,nidra.agate60,IT,Active,canonical_users,EMP10581
EMP11157,USER,jyoti.brar52,Human Resources,Active,canonical_users,EMP11157
EMP12547,USER,hemani.oza5,R&D,Active,canonical_users,EMP12547
EMP11688,USER,pranav.master58,Finance,Terminated,canonical_users,EMP11688
EMP12633,USER,aishani.sem75,Legal,Active,canonical_users,EMP12633
EMP10045,USER,kiaan.sen15,Marketing,Active,canonical_users,EMP10045
EMP12849,USER,eiravati.agrawal54,Customer Support,Active,canonical_users,EMP12849
EMP10240,USER,jalsa.bhatti59,Marketing,Disabled,canonical_users,EMP10240
EMP10251,USER,aarini.memon10,IT Support,Active,canonical_users,EMP10251
EMP10990,USER,dalbir.reddy82,Sales,Active,canonical_users,EMP10990
EMP10457,USER,darsh.sura85,Sales,Active,canonical_users,EMP10457
EMP11272,USER,umang.loke95,Operations,Active,canonical_users,EMP11272
EMP10676,USER,yauvani_mannan99,R&D,Active,canonical_users,EMP10676
EMP11814,USER,dipta_agate15,Procurement,Active,canonical_users,EMP11814
EMP11533,USER,abdul_mitra65,Operations,Active,canonical_users,EMP11533
EMP12356,USER,vasatika.dhar45,R&D,Active,canonical_users,EMP12356
EMP11084,USER,yadavi.pandit87,Innovation,Active,canonical_users,EMP11084
EMP11511,USER,sudiksha.raman15,R&D,Active,canonical_users,EMP11511
EMP12404,USER,ekiya.chakraborty63,Marketing,Active,canonical_users,EMP12404
EMP10257,USER,frederick.kaur54,Procurement,Active,canonical_users,EMP10257
EMP12272,USER,ekta.lal33,R&D,Active,canonical_users,EMP12272
EMP10368,USER,turvi.sarkar90,Supply Chain,Active,canonical_users,EMP10368
EMP12050,USER,aditya.nayar99,Procurement,Active,canonical_users,EMP12050
EMP12973,USER,manya_chakrabarti30,Operations,Active,canonical_users,EMP12973
EMP12844,USER,omaja.mangat18,Sales,Active,canonical_users,EMP12844
EMP10354,USER,nidra.mall33,Human Resources,Active,canonical_users,EMP10354
EMP11299,USER,ojasvi_vohra60,Compliance,Active,canonical_users,EMP11299
EMP11864,USER,isaac.bir96,Marketing,Active,canonical_users,EMP11864
EMP12219,USER,dalaja.lata76,Compliance,Active,canonical_users,EMP12219
EMP11196,USER,odika.rajagopal41,Operations,Active,canonical_users,EMP11196
EMP11830,USER,atharv.peri95,Operations,Active,canonical_users,EMP11830
EMP12202,USER,upma.kohli12,Marketing,Active,canonical_users,EMP12202
EMP11302,USER,Unknown,Finance,Active,canonical_users,EMP11302
EMP10682,USER,dhruv.sami40,R&D,On Leave,canonical_users,EMP10682
EMP11381,USER,jairaj_acharya41,Human Resources,Active,canonical_users,EMP11381
EMP10507,USER,dipta.narayan36,Finance,Active,canonical_users,EMP10507
EMP10211,USER,krishna_seth41,Operations,Active,canonical_users,EMP10211
EMP11454,USER,meera.kaur84,Finance,Active,canonical_users,EMP11454
EMP10819,USER,oni.wable49,Procurement,Active,canonical_users,EMP10819
EMP11650,USER,charita.rattan19,IT,Disabled,canonical_users,EMP11650
EMP12909,USER,varsha_swamy83,Call Center,Blocked,canonical_users,EMP12909
EMP10582,USER,charan.deshmukh24,Sales,Active,canonical_users,EMP10582
EMP10175,USER,benjamin.rau26,Procurement,Active,canonical_users,EMP10175
EMP11712,USER,vasatika.kunda70,IT,Active,canonical_users,EMP11712
EMP10430,USER,dhruv.bose40,Compliance,Active,canonical_users,EMP10430
EMP11507,USER,owen.badal65,Human Resources,Terminated,canonical_users,EMP11507
EMP10744,USER,dayamai.din39,Operations,Active,canonical_users,EMP10744
EMP11362,USER,meghana.jaggi6,Human Resources,Active,canonical_users,EMP11362
EMP11097,USER,nirja.jani16,IT,Active,canonical_users,EMP11097
EMP10506,USER,ekanta.ravel60,Innovation,Active,canonical_users,EMP10506
EMP10945,USER,sachi.shetty87,Finance,Active,canonical_users,EMP10945
EMP11135,USER,nandini.pai30,Sales,Active,canonical_users,EMP11135
EMP11023,USER,aashi.raju60,R&D,Active,canonical_users,EMP11023
EMP10196,USER,omaja.soman68,Operations,Active,canonical_users,EMP10196
EMP12512,USER,Unknown,Customer Support,Active,canonical_users,EMP12512
EMP10088,USER,hema.yadav5,Sales,Active,canonical_users,EMP10088
EMP11047,USER,riya.trivedi40,R&D,Active,canonical_users,EMP11047
EMP12878,USER,zayyan.contractor3,Customer Support,Terminated,canonical_users,EMP12878
EMP12025,USER,oliver.devan65,R&D,Active,canonical_users,EMP12025
EMP12943,USER,jatin.garde4,Supply Chain,Active,canonical_users,EMP12943
EMP10678,USER,avi.kalla37,Procurement,Active,canonical_users,EMP10678
EMP11034,USER,anamika.gala90,Legal,Active,canonical_users,EMP11034
EMP10564,USER,rayaan.aggarwal35,Procurement,Active,canonical_users,EMP10564
EMP10343,USER,ayaan.kala66,Sales,Blocked,canonical_users,EMP10343
EMP12346,USER,upasna.vig49,Procurement,Active,canonical_users,EMP12346
EMP10025,USER,naveen.johal55,Finance,Active,canonical_users,EMP10025
EMP10940,USER,Unknown,Supply Chain,Active,canonical_users,EMP10940
EMP11859,USER,aachal.sarraf5,Sales,Active,canonical_users,EMP11859
EMP12892,USER,nirja.bhakta26,IT Support,Blocked,canonical_users,EMP12892
EMP12795,USER,zehaan.naik32,Procurement,Active,canonical_users,EMP12795
EMP11488,USER,gaurangi.viswanathan21,R&D,Active,canonical_users,EMP11488
EMP11525,USER,yamini.cherian93,Procurement,Active,canonical_users,EMP11525
EMP12422,USER,madhav.grover92,Operations,Active,canonical_users,EMP12422
EMP12574,USER,vanya.rana13,Sales,Terminated,canonical_users,EMP12574
EMP10650,USER,darika.sha73,Finance,Active,canonical_users,EMP10650
EMP10867,USER,nathan.madan77,IT,Active,canonical_users,EMP10867
EMP11350,USER,utkarsh.nadig92,Operations,Active,canonical_users,EMP11350
EMP10067,USER,wyatt.bora78,Human Resources,Active,canonical_users,EMP10067
EMP12249,USER,hemal.naik73,Operations,Active,canonical_users,EMP12249
EMP10621,USER,bhanumati_ratta30,Sales,Active,canonical_users,EMP10621
EMP10651,USER,pranit.srinivas94,R&D,On Leave,canonical_users,EMP10651
EMP12195,USER,balendra.jha12,Procurement,Active,canonical_users,EMP12195
EMP10602,USER,sai_goda99,Procurement,Active,canonical_users,EMP10602
EMP12911,USER,charan.dhawan17,Sales,Active,canonical_users,EMP12911
EMP10423,USER,bahadurjit.dyal80,Legal,On Leave,canonical_users,EMP10423
EMP12171,USER,bishakha.bajaj79,Human Resources,Active,canonical_users,EMP12171
EMP12805,USER,anamika.hayer81,Marketing,Active,canonical_users,EMP12805
EMP11910,USER,jonathan.lalla10,Human Resources,Active,canonical_users,EMP11910
EMP12861,USER,lakshmi.gill13,Finance,Active,canonical_users,EMP12861
EMP11113,USER,rachana.jani60,Support,Terminated,canonical_users,EMP11113
EMP11477,USER,odika.mann97,Operations,Active,canonical_users,EMP11477
EMP11553,USER,zaid_chad19,Legal,Active,canonical_users,EMP11553
EMP10124,USER,sathvik.kadakia72,Operations,Active,canonical_users,EMP10124
EMP12541,USER,saumya.contractor14,Support,Active,canonical_users,EMP12541
EMP12903,USER,farhan.pathak41,Sales,Active,canonical_users,EMP12903
EMP11866,USER,leena.sankaran10,Finance,Active,canonical_users,EMP11866
EMP11872,USER,janani.narula52,Sales,Active,canonical_users,EMP11872
EMP10532,USER,jack.mallick72,R&D,Active,canonical_users,EMP10532
EMP12009,USER,gautam.bala88,Marketing,Active,canonical_users,EMP12009
EMP11057,USER,turvi.devan14,Procurement,Active,canonical_users,EMP11057
EMP12907,USER,ekani.kalita20,IT,Active,canonical_users,EMP12907
EMP11690,USER,madhav.handa28,Human Resources,Active,canonical_users,EMP11690
EMP11487,USER,manya.sridhar12,Operations,Active,canonical_users,EMP11487
EMP10557,USER,watika.sami2,Finance,Active,canonical_users,EMP10557
EMP12561,USER,oviya.pradhan73,Human Resources,Active,canonical_users,EMP12561
EMP11173,USER,Unknown,Legal,Active,canonical_users,EMP11173
EMP10176,USER,lajita.choudhury92,Customer Support,Active,canonical_users,EMP10176
EMP10322,USER,bakhshi.dora47,Support,Active,canonical_users,EMP10322
EMP11188,USER,pranav.dara5,Marketing,Active,canonical_users,EMP11188
EMP11461,USER,Unknown,Operations,Active,canonical_users,EMP11461
EMP12478,USER,tanay.khosla86,Marketing,Active,canonical_users,EMP12478
EMP11545,USER,hritik.shan95,Procurement,Active,canonical_users,EMP11545
EMP10695,USER,charita_dhingra41,Legal,Active,canonical_users,EMP10695
EMP11628,USER,gautami.chaudhry69,IT,Blocked,canonical_users,EMP11628
EMP10080,USER,ubika.anne68,Supply Chain,Active,canonical_users,EMP10080
EMP12525,USER,oeshi.gara54,R&D,Terminated,canonical_users,EMP12525
EMP11149,USER,ekaraj.kaur18,Marketing,Active,canonical_users,EMP11149
EMP11151,USER,aadhya.saini38,Operations,Active,canonical_users,EMP11151
EMP10862,USER,gauri.nagi49,Finance,Active,canonical_users,EMP10862
EMP11260,USER,alexander.gaba61,Customer Support,Terminated,canonical_users,EMP11260
EMP10439,USER,william.sankaran18,Operations,Terminated,canonical_users,EMP10439
EMP10471,USER,ekaraj_sharaf36,Legal,Active,canonical_users,EMP10471
EMP12230,USER,chakradev.loyal14,Human Resources,Active,canonical_users,EMP12230
EMP12011,USER,wishi.ganesh63,Procurement,Active,canonical_users,EMP12011
EMP11706,USER,jyoti.saraf98,Operations,Active,canonical_users,EMP11706
EMP10812,USER,advika.mani57,Sales,Active,canonical_users,EMP10812
EMP11234,USER,gaurika.chopra35,Brand,Active,canonical_users,EMP11234
EMP12246,USER,unni.hayer3,Finance,Active,canonical_users,EMP12246
EMP10568,USER,mekhala.nadig40,Sales,Active,canonical_users,EMP10568
EMP12425,USER,jeet.rajagopalan64,R&D,Active,canonical_users,EMP12425
EMP11653,USER,balhaar.bhakta94,Procurement,Active,canonical_users,EMP11653
EMP10141,USER,Unknown,Operations,On Leave,canonical_users,EMP10141
EMP10511,USER,samaksh.dutt66,Finance,Terminated,canonical_users,EMP10511
EMP11612,USER,aarush.vasa18,Operations,Active,canonical_users,EMP11612
EMP12605,USER,tripti.chander54,Call Center,Terminated,canonical_users,EMP12605
EMP11809,USER,girish.atwal74,Brand,Active,canonical_users,EMP11809
EMP12866,USER,abhiram.bahri83,Customer Support,Active,canonical_users,EMP12866
EMP11684,USER,timothy.gopal8,Supply Chain,Active,canonical_users,EMP11684
EMP10610,USER,ojasvi.gour94,Human Resources,Active,canonical_users,EMP10610
EMP12810,USER,garima.kant8,Customer Support,Active,canonical_users,EMP12810
EMP11966,USER,varsha.bhakta93,Finance,Active,canonical_users,EMP11966
EMP10831,USER,nilima.bahri98,Operations,On Leave,canonical_users,EMP10831
EMP10177,USER,jason.rege12,Sales,Active,canonical_users,EMP10177
EMP10857,USER,manbir_subramaniam95,Finance,Disabled,canonical_users,EMP10857
EMP10693,USER,wriddhish.babu12,Supply Chain,Disabled,canonical_users,EMP10693
EMP11736,USER,vanya.desai85,Operations,Active,canonical_users,EMP11736
EMP11072,USER,yashoda.kannan15,R&D,Active,canonical_users,EMP11072
EMP11278,USER,niharika.lad59,Procurement,Active,canonical_users,EMP11278
EMP11503,USER,turvi.pillay41,Support,Active,canonical_users,EMP11503
EMP10183,USER,arjun.dara86,Human Resources,Active,canonical_users,EMP10183
EMP11468,USER,neelima_varty56,Human Resources,Active,canonical_users,EMP11468
EMP12227,USER,sanaya.korpal34,R&D,Active,canonical_users,EMP12227
EMP12727,USER,unni.borra40,Operations,Blocked,canonical_users,EMP12727
EMP10565,USER,vidhi.balan53,Finance,Active,canonical_users,EMP10565
EMP12901,USER,advay.jayaraman98,Legal,Active,canonical_users,EMP12901
EMP12340,USER,gautami.contractor31,IT Support,Blocked,canonical_users,EMP12340
EMP11985,USER,yochana.shere98,Compliance,Active,canonical_users,EMP11985
EMP11829,USER,azad.dewan44,Procurement,Active,canonical_users,EMP11829
EMP12850,USER,jatin.nigam57,IT,Active,canonical_users,EMP12850
EMP10486,USER,thomas.kaul29,Sales,Active,canonical_users,EMP10486
EMP12940,USER,aryan.prabhu29,Marketing,Active,canonical_users,EMP12940
EMP11204,USER,karan.zachariah68,Sales,On Leave,canonical_users,EMP11204
EMP10370,USER,tejas.dhaliwal72,Customer Support,Disabled,canonical_users,EMP10370
