hostname,firewall_event_count,firewall_deny_count,threat_flag_count,unique_source_ip_count,unique_destination_ip_count,bytes_sent,bytes_received,session_count,endpoint_alert_count,critical_endpoint_alert_count,is_managed,firewall_deny_ratio,evidence_count,feature_confidence,observation_count,valid_timestamp_count,distinct_active_days,distinct_active_hours,min_ts,max_ts,unknown_timestamp_count,historical_span_days,timestamp_quality_score,eligibility_status,baseline_confidence,baseline_method,baseline_window,population_deny_ratio_median,population_deny_ratio_mad,population_endpoint_alert_median,population_endpoint_alert_mad,firewall_deny_abs_dev,firewall_deny_rel_dev,firewall_deny_zscore,firewall_deny_ratio_zscore,bytes_sent_zscore,bytes_received_zscore,unique_source_ip_zscore,unique_destination_ip_zscore,endpoint_alert_zscore,network_deviation,endpoint_deviation,volume_deviation,behavior_deviation_score,network_deviation_status,endpoint_deviation_status,volume_deviation_status,overall_deviation_status,multi_signal_deviation_count
WS-11672,6.0,2.0,0.0,3.0,4.0,141604633.46,111335554.92,5.0,4.0,0.0,False,0.3333333333333333,10.0,PROBABLE,14,7,7,5,2026-08-01 00:00:00,2026-08-28 11:41:26,7,27.49,0.5,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.3333,2.013,1.3737,1.349,2.0235,4.0,2.0235,4.0,2.013,2.6788,UNUSUAL,OUTLIER,UNUSUAL,ELEVATED,1
VDR-10825.corp.local,1.0,0.0,0.0,0.0,1.0,17711396.0,38894007.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6989,-0.224,-0.6745,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,0
VDR-11910,5.0,1.0,2.0,3.0,3.0,87548982.53999999,120404940.8,4.0,1.0,0.0,False,0.2,6.0,PROBABLE,9,4,4,4,2026-08-03 20:02:10,2026-09-04 16:50:56,5,31.87,0.4444,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2,0.8298,1.5737,1.349,1.349,1.0,1.349,1.0,1.5737,1.3076,NORMAL,NORMAL,UNUSUAL,NORMAL,0
vdr-12579,2.0,0.0,0.0,1.0,0.0,64113847.92,76942225.0,1.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3168,0.6151,0.0,-0.6745,0.0,0.0,0.0,0.6151,0.205,NORMAL,NORMAL,NORMAL,NORMAL,0
ws-11393,2.0,1.0,0.0,1.0,2.0,61210303.22,39468417.64,2.0,0.0,0.0,False,0.5,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.2533,-0.2114,0.0,0.6745,0.0,1.0,0.0,0.2533,0.4178,NORMAL,NORMAL,NORMAL,NORMAL,0
WS-10117.corp.local,2.0,0.0,1.0,2.0,1.0,63548061.22,43898459.64,1.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3044,-0.1137,0.6745,0.0,0.0,0.0,0.0,0.3044,0.1015,NORMAL,NORMAL,NORMAL,NORMAL,0
WS-10190,4.0,0.0,1.0,2.0,1.0,65306045.14,109476491.28,4.0,5.0,0.0,False,0.0,9.0,PROBABLE,17,12,10,7,2026-07-08 00:00:00,2026-09-07 10:50:35,5,61.45,0.7059,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3429,1.3327,0.6745,0.0,5.0,0.0,5.0,1.3327,2.1109,NORMAL,OUTLIER,NORMAL,UNUSUAL,1
LPT-12169,7.0,0.0,0.0,3.0,3.0,128143050.44,120811108.68,7.0,4.0,0.0,True,0.0,11.0,EXACT,16,8,8,6,2026-08-08 20:30:05,2026-08-29 02:58:37,8,20.27,0.5,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7183,1.5826,1.349,1.349,4.0,1.349,4.0,1.7183,2.3558,NORMAL,OUTLIER,UNUSUAL,UNUSUAL,1
lpt-10107,1.0,1.0,0.0,1.0,1.0,17482311.68,24526192.64,1.0,0.0,0.0,False,1.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.7039,-0.5409,0.0,0.0,0.0,1.0,0.0,0.0,0.3333,NORMAL,NORMAL,NORMAL,NORMAL,0
lpt-10414,1.0,0.0,0.0,0.0,1.0,45070294.0,24526192.64,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.5409,-0.6745,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,0
LPT-11281,4.0,0.0,0.0,2.0,2.0,129904501.24,111512729.36,4.0,2.0,2.0,True,0.0,6.0,EXACT,10,5,5,4,2026-08-05 04:00:06,2026-09-09 01:40:01,5,34.9,0.5,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7569,1.3776,0.6745,0.6745,2.0,0.6745,2.0,1.7569,1.4771,NORMAL,UNUSUAL,UNUSUAL,NORMAL,0
WS-11696,6.0,1.0,1.0,4.0,3.0,149106930.14,165509911.92000002,5.0,2.0,0.0,True,0.1666666666666666,8.0,EXACT,14,5,5,5,2026-08-02 22:06:46,2026-08-25 11:21:33,9,22.55,0.3571,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1667,2.1772,2.5685,2.0235,1.349,2.0,1.349,2.0,2.5685,1.9725,NORMAL,UNUSUAL,ELEVATED,UNUSUAL,1
WS-10970,4.0,1.0,1.0,3.0,2.0,74040744.0,151450593.96,3.0,3.0,0.0,True,0.25,7.0,EXACT,10,5,5,4,2026-08-01 19:56:44,2026-09-06 09:58:39,5,35.58,0.5,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.5341,2.2584,1.349,0.6745,3.0,1.0,3.0,2.2584,2.0861,NORMAL,ELEVATED,UNUSUAL,UNUSUAL,1
LPT_12813,2.0,0.0,0.0,1.0,1.0,30451891.0,53532584.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,0.0988,0.0,0.0,0.0,0.0,0.0,0.0988,0.0329,NORMAL,NORMAL,NORMAL,NORMAL,0
VDR-12775.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,EXACT,0,0,0,0,,,0,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0865,-1.0819,-0.6745,-0.6745,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,0
VDR-12225,6.0,3.0,0.0,3.0,3.0,181945283.86,131764875.84,6.0,7.0,0.0,True,0.5,13.0,EXACT,18,10,7,8,2026-08-03 10:51:10,2026-09-06 21:02:00,8,34.42,0.5556,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5,2.896,1.8242,1.349,1.349,7.0,3.0,7.0,2.896,4.2987,ELEVATED,OUTLIER,ELEVATED,OUTLIER,3
LPT_10763,2.0,0.0,0.0,2.0,0.0,28700682.22,45216719.12,1.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4583,-0.0846,0.6745,-0.6745,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,0
LPT-12643.corp.local,1.0,0.0,0.0,1.0,0.0,9385954.0,30769109.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8811,-0.4032,0.0,-0.6745,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,0
LPT-12699,3.0,0.0,0.0,0.0,2.0,60499464.22,86793737.28,2.0,5.0,0.0,True,0.0,8.0,EXACT,14,8,8,6,2026-03-08 21:33:00,2026-08-23 22:15:49,6,168.03,0.5714,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2377,0.8324,-0.6745,0.6745,5.0,0.6745,5.0,0.8324,2.169,NORMAL,OUTLIER,NORMAL,UNUSUAL,1
LPT-11928.corp.local,2.0,1.0,0.0,0.0,0.0,34578123.22,48504577.0,2.0,0.0,0.0,False,0.5,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,-0.3297,-0.0121,-0.6745,-0.6745,0.0,1.0,0.0,0.0,0.3333,NORMAL,NORMAL,NORMAL,NORMAL,0
WS-11437,10.0,1.0,2.0,5.0,3.0,239550692.64,206655290.04,8.0,2.0,1.0,True,0.1,12.0,EXACT,16,6,6,5,2026-03-09 00:00:00,2026-09-03 07:06:47,10,178.3,0.375,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1,4.1569,3.4759,2.698,1.349,2.0,1.349,2.0,4.1569,2.502,NORMAL,UNUSUAL,OUTLIER,ELEVATED,1
vdr-12178,2.0,0.0,0.0,1.0,0.0,59560366.22,19436880.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2172,-0.6532,0.0,-0.6745,0.0,0.0,0.0,0.2172,0.0724,NORMAL,NORMAL,NORMAL,NORMAL,0
VDR-10960.corp.local,1.0,0.0,0.0,1.0,0.0,47323050.0,20508999.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0507,-0.6295,0.0,-0.6745,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,0
lpt-10364,1.0,0.0,0.0,1.0,1.0,23969656.0,18011804.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5619,-0.6846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,0
LPT-11627,8.0,1.0,0.0,3.0,3.0,209212926.46,202273304.68,7.0,3.0,0.0,True,0.125,11.0,EXACT,15,4,4,4,2026-08-08 06:10:03,2026-09-01 09:25:41,11,24.14,0.2667,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.125,3.4928,3.3793,1.349,1.349,3.0,1.349,3.0,3.4928,2.6139,NORMAL,ELEVATED,ELEVATED,ELEVATED,2
vdr-10924,1.0,0.0,0.0,1.0,0.0,24819643.22,22674816.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5433,-0.5818,0.0,-0.6745,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,0
VDR-11487,5.0,1.0,1.0,3.0,3.0,122656092.22,138426606.72,4.0,4.0,0.0,True,0.2,9.0,EXACT,13,6,5,6,2026-08-02 05:48:46,2026-09-07 14:36:46,7,36.37,0.4615,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2,1.5982,1.9712,1.349,1.349,4.0,1.349,4.0,1.9712,2.4401,NORMAL,OUTLIER,UNUSUAL,UNUSUAL,1
VDR-10299,2.0,0.0,0.0,1.0,1.0,53464545.22,86454904.44,2.0,2.0,0.0,True,0.0,4.0,EXACT,11,9,8,7,2026-08-01 00:00:00,2026-09-03 09:49:01,2,33.41,0.8182,SUFFICIENT_HISTORY,HIGH,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0837,0.8249,0.0,0.0,2.0,0.0,2.0,0.8249,0.9416,NORMAL,UNUSUAL,NORMAL,NORMAL,0
LPT-10127,2.0,1.0,1.0,0.0,1.0,33356216.32,50095943.64,2.0,2.0,0.0,True,0.5,4.0,EXACT,7,4,4,3,2026-08-12 15:17:30,2026-09-08 07:47:57,3,26.69,0.5714,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,-0.3564,0.023,-0.6745,0.0,2.0,1.0,2.0,0.023,1.0077,NORMAL,UNUSUAL,NORMAL,NORMAL,0
LPT-10418,4.0,2.0,1.0,2.0,0.0,89027745.0,118642679.64,3.0,3.0,0.0,True,0.5,7.0,EXACT,13,7,6,6,2026-08-03 19:37:12,2026-09-07 15:48:29,6,34.84,0.5385,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.5,0.8622,1.5348,0.6745,-0.6745,3.0,2.0,3.0,1.5348,2.1783,UNUSUAL,ELEVATED,UNUSUAL,UNUSUAL,1
lpt-12014,1.0,0.0,0.0,0.0,1.0,24819643.22,23152558.08,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5433,-0.5712,-0.6745,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,0
VDR-10010,7.0,1.0,1.0,4.0,3.0,150364410.28,196698340.28,6.0,0.0,0.0,True,0.1428571428571428,7.0,EXACT,13,5,4,4,2026-08-09 06:53:47,2026-08-20 06:53:27,8,11.0,0.3846,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1429,2.2047,3.2563,2.0235,1.349,0.0,1.349,0.0,3.2563,1.5351,NORMAL,NORMAL,ELEVATED,UNUSUAL,1
LPT-10375,5.0,2.0,1.0,4.0,1.0,134434151.66,123234423.12,5.0,1.0,0.0,True,0.4,6.0,EXACT,10,5,4,4,2026-08-17 00:35:23,2026-08-28 00:34:36,5,11.0,0.5,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.4,1.856,1.6361,2.0235,0.0,1.0,2.0,1.0,1.856,1.6187,UNUSUAL,NORMAL,UNUSUAL,UNUSUAL,0
VDR_12936,2.0,0.0,0.0,2.0,1.0,49639286.44,89357700.0,2.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8889,0.6745,0.0,0.0,0.0,0.0,0.8889,0.2963,NORMAL,NORMAL,NORMAL,NORMAL,0
LPT_10496,3.0,1.0,0.0,3.0,0.0,74458929.66,109179061.0,3.0,0.0,0.0,False,0.3333333333333333,3.0,PROBABLE,3,0,0,0,,,3,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.5433,1.3261,1.349,-0.6745,0.0,1.0,0.0,1.3261,0.7754,NORMAL,NORMAL,NORMAL,NORMAL,0
VDR-10387.corp.local,2.0,2.0,0.0,1.0,2.0,55657428.04,70911006.0,1.0,0.0,0.0,False,1.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.1317,0.4821,0.0,0.6745,0.0,2.0,0.0,0.4821,0.8274,UNUSUAL,NORMAL,NORMAL,NORMAL,0
VDR-10940,5.0,0.0,1.0,1.0,2.0,148159445.54,89919933.68,5.0,2.0,0.0,True,0.0,7.0,EXACT,11,6,6,5,2026-04-08 17:46:00,2026-09-09 07:13:00,5,153.56,0.5455,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1565,0.9013,0.0,0.6745,2.0,0.6745,2.0,2.1565,1.6103,NORMAL,UNUSUAL,UNUSUAL,UNUSUAL,0
VDR-10744,7.0,2.0,1.0,2.0,3.0,182710803.44,175492817.12,6.0,4.0,2.0,False,0.2857142857142857,11.0,PROBABLE,15,7,6,6,2026-08-01 01:21:34,2026-09-04 17:15:00,8,34.66,0.4667,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.2857,2.9127,2.7887,0.6745,1.349,4.0,2.0,4.0,2.9127,2.9709,UNUSUAL,OUTLIER,ELEVATED,ELEVATED,2
ws-11172,1.0,0.0,0.0,1.0,1.0,24819643.22,4071551.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5433,-0.9921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,0
VDR_11068,1.0,0.0,0.0,0.0,0.0,35481585.0,2924195.84,0.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3099,-1.0174,-0.6745,-0.6745,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,0
lpt-11903,1.0,0.0,0.0,1.0,0.0,24819643.22,35185102.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5433,-0.3058,0.0,-0.6745,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,0
lpt-12349,1.0,0.0,0.0,1.0,0.0,46651146.24,24702110.0,0.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0654,-0.537,0.0,-0.6745,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,0
ws-10128,1.0,1.0,0.0,1.0,0.0,18633195.52,17542676.48,0.0,0.0,0.0,False,1.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.6787,-0.6949,0.0,-0.6745,0.0,1.0,0.0,0.0,0.3333,NORMAL,NORMAL,NORMAL,NORMAL,0
LPT-11185.corp.local,3.0,2.0,0.0,1.0,3.0,89504480.12,104948914.84,3.0,0.0,0.0,False,0.6666666666666666,3.0,PROBABLE,3,0,0,0,,,3,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.6667,0.8726,1.2328,0.0,1.349,0.0,2.0,0.0,1.2328,1.0776,UNUSUAL,NORMAL,NORMAL,NORMAL,0
VDR_12958,2.0,0.0,1.0,1.0,2.0,59737289.0,69853716.64,2.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221,0.4588,0.0,0.6745,0.0,0.6745,0.0,0.4588,0.3778,NORMAL,NORMAL,NORMAL,NORMAL,0
