log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country
FW000008539,2026-03-08 00:00:00+00:00,Unknown,Unknown,Unknown,443,25,TCP,ALLOW,26905208.0,24526192.64,SID296803,False,ALLOW_WEB,Russia
FW000003800,2026-08-28 00:00:00+00:00,lpt-11299,Unknown,Unknown,443,3389,TCP,ALLOW,38911739.0,41161430.0,SID787610,False,UNKNOWN,United States
FW000010782,Unknown,LPT-10842,Unknown,212.163.80.67,8443,53,TCP,ALLOW,36830616.0,24526192.64,SID535530,False,MONITOR_DB_ACCESS,Unknown
FW000009004,2026-09-04 16:06:40+00:00,Unknown,Unknown,Unknown,1433,3389,TCP,ALLOW,43780920.0,41194567.0,SID916554,True,block_tor_exit,unknown
FW000023602,2026-08-27 10:30:48+00:00,LPT-12843,Unknown,172.151.155.186,443,8080,TCP,DENY,24819643.22,4771475.0,SID550712,False,Unknown,Unknown
FW000008301,2026-08-09 04:28:54+00:00,VDR-11599,Unknown,Unknown,8443,3306,ICMP,ALLOW,24819643.22,47895945.0,SID184900,False,Unknown,IN
FW000008945,2026-08-29 05:34:23+00:00,VDR-11047,Unknown,172.16.48.100,443,3389,TCP,ALLOW,24819643.22,37127287.0,Unknown,False,ALLOW_WEB,Russia
FW000026442,2026-08-06 11:56:12+00:00,LPT-12370,Unknown,192.168.211.188,135,8443,TCP,ALLOW,28802832.0,16431185.92,Unknown,False,BLOCK_EXTERNAL_RDP,IN
FW000005721,2026-01-08 00:00:00+00:00,LPT_11751,Unknown,202.251.108.84,80,53,TCP,ALLOW,48755707.0,24526192.64,SID331359,False,block_tor_exit,China
FW000027420,Unknown,LPT-11683,172.16.190.39,192.168.53.57,3306,445,TCP,DENY,24819643.22,38746517.0,Unknown,False,MONITOR_DB_ACCESS,Unknown
FW000021832,2026-04-08 17:49:00+00:00,VDR-11264,Unknown,Unknown,3389,53,TCP,ALLOW,47344876.0,24526192.64,SID772491,False,Unknown,US
FW000000737,2026-10-08 08:24:00+00:00,VDR-10599,Unknown,Unknown,1433,8080,UDP,ALLOW,24819643.22,24526192.64,sid914418,False,ALLOW_INTERNAL_DNS,IN
FW000025249,2026-08-25 04:25:00+00:00,WS-12077,172.16.30.48,113.168.91.146,25,8080,TCP,ALLOW,19476522.0,24526192.64,SID504338,False,allow_office_apps,United States
FW000008944,2026-08-08 02:28:06+00:00,VDR-12312,Unknown,172.16.61.25,443,22,TCP,ALLOW,46331420.0,26933750.0,Unknown,False,Unknown,RU
FW000007651,2026-08-16 00:06:07+00:00,WS-12232,10.38.136.0,Unknown,3306,443,TCP,ALLOW,45992400.0,23477616.64,SID-629452,False,BLOCK_EXTERNAL_RDP,CN
FW000008226,2026-08-09 04:56:00+00:00,WS-10325,Unknown,90.101.122.41,3389,25,UDP,ALLOW,24819643.22,4949010.0,SID-518246,False,ALLOW_WEB,Unknown
FW000006217,2026-08-01 05:20:40+00:00,VDR-12464,172.16.247.35,Unknown,3389,443,TCP,DENY,39884181.0,45143746.56,sid242697,False,DENY_TELNET,Unknown
FW000015063,2026-09-01 00:00:00+00:00,Unknown,Unknown,192.168.198.8,443,443,TCP,DENY,15997880.32,42134729.0,SID997151,False,block_tor_exit,unknown
FW000028466,2026-09-08 10:13:05+00:00,VDR-10843,Unknown,192.168.185.116,135,8080,TCP,ALLOW,32713900.0,25286876.0,sid763339,False,DENY_TELNET,United States
FW000014665,Unknown,VDR-10718,172.16.24.64,192.168.153.88,443,8080,TCP,ALLOW,44407193.6,6638209.0,SID104189,False,BLOCK_EXTERNAL_RDP,China
FW000011605,2026-08-09 09:35:14+00:00,WS-10546,Unknown,Unknown,3389,445,TCP,ALLOW,24819643.22,24526192.64,SID335655,False,block_tor_exit,China
FW000002993,2026-08-26 00:00:00+00:00,WS_10252,Unknown,187.147.89.171,443,1433,TCP,ALLOW,36283679.0,24526192.64,SID714560,False,Unknown,unknown
FW000005101,2026-08-29 21:33:23+00:00,Unknown,172.16.127.6,Unknown,3389,3389,ICMP,ALLOW,24819643.22,46204596.0,Unknown,False,block_tor_exit,IN
FW000000429,Unknown,lpt-11011,Unknown,Unknown,443,443,TCP,ALLOW,33029976.0,24526192.64,SID882944,False,UNKNOWN,China
FW000028507,2026-08-28 17:47:03+00:00,LPT-10854,Unknown,Unknown,445,443,TCP,DENY,24819643.22,24526192.64,SID940336,True,Unknown,Unknown
FW000004161,2026-08-18 23:38:59+00:00,VDR-10482,Unknown,172.16.220.49,443,8080,UDP,ALLOW,24819643.22,46934177.0,SID-670517,False,ALLOW_INTERNAL_DNS,India
FW000007101,2026-08-09 18:46:12+00:00,LPT-11055,192.168.11.62,Unknown,3389,25,TCP,ALLOW,49461329.92,1572864.0,SID538498,False,Unknown,CN
FW000022267,2026-02-08 12:14:00+00:00,LPT-10356,Unknown,152.71.247.39,8080,443,TCP,DENY,18652452.0,32388589.0,SID329262,False,Unknown,Unknown
FW000019303,2026-09-02 00:00:00+00:00,Unknown,Unknown,Unknown,3389,443,TCP,ALLOW,19202469.0,25842703.0,SID998455,False,ALLOW_INTERNAL_DNS,US
FW000017610,Unknown,LPT-11870,Unknown,121.108.104.116,22,53,ICMP,ALLOW,28163533.0,23915413.0,SID-692608,False,Unknown,RU
FW000020256,Unknown,WS_11243,Unknown,Unknown,1433,8443,UDP,ALLOW,24819643.22,38452978.0,sid888925,True,ALLOW_INTERNAL_DNS,IN
FW000012297,2026-09-01 22:34:04+00:00,VDR-12883,Unknown,Unknown,3306,443,TCP,DENY,45935403.0,28110039.04,SID281899,False,UNKNOWN,India
FW000024319,2026-08-31 08:22:36+00:00,LPT-12158,155.90.72.156,143.107.18.136,135,443,ICMP,ALLOW,24819643.22,18182307.84,SID364978,False,Unknown,unknown
FW000001792,2026-08-23 18:55:00+00:00,WS_12992,Unknown,86.97.154.216,3306,443,TCP,DENY,24819643.22,34226001.0,SID-691786,False,DENY_TELNET,unknown
FW000000897,Unknown,LPT-10909.corp.local,Unknown,192.168.136.175,80,80,TCP,ALLOW,44199203.0,24526192.64,Unknown,False,UNKNOWN,Unknown
FW000022843,2026-08-01 10:34:33+00:00,VDR-11632,Unknown,11.154.83.112,445,443,ICMP,DENY,37401471.0,6807637.0,SID733944,False,UNKNOWN,United States
FW000026906,2026-08-18 23:40:19+00:00,WS-10602,192.168.203.7,80.162.192.16,1433,3389,TCP,ALLOW,48015126.0,37787701.0,SID867802,False,BLOCK_EXTERNAL_RDP,RU
FW000001599,Unknown,VDR-11575,Unknown,21.61.48.53,135,1433,TCP,ALLOW,16728092.0,24526192.64,SID477233,False,block_tor_exit,IN
FW000011118,2026-08-08 10:51:12+00:00,WS-11806,Unknown,Unknown,443,53,TCP,ALLOW,24819643.22,44813546.0,SID563073,False,block_tor_exit,United States
FW000002880,2026-08-04 16:32:06+00:00,WS-11564,192.168.202.246,Unknown,443,3389,TCP,ALLOW,31032243.0,29371865.0,SID819389,False,BLOCK_EXTERNAL_RDP,United States
FW000024131,2026-08-02 11:29:59+00:00,VDR-10231,Unknown,175.114.149.222,8443,8080,TCP,DENY,1256036.0,37476384.0,SID898422,False,BLOCK_EXTERNAL_RDP,unknown
FW000009419,2026-09-09 00:00:00+00:00,VDR-12200.corp.local,Unknown,172.16.119.167,443,1433,TCP,ALLOW,11046062.08,37170715.0,SID250529,False,DENY_TELNET,US
FW000027731,2026-09-01 04:11:01+00:00,LPT-12755,58.83.187.197,Unknown,8080,53,TCP,DENY,37747537.0,40548433.92,SID395360,False,Unknown,US
FW000028977,2026-09-07 19:03:07+00:00,WS-10941,Unknown,Unknown,8080,445,UDP,ALLOW,1955811.0,48806639.0,SID109124,False,DENY_TELNET,Unknown
FW000028680,Unknown,VDR-11082,Unknown,27.125.234.20,8443,443,TCP,ALLOW,14088416.0,27295606.0,SID574481,False,Unknown,IN
FW000010945,2026-08-23 01:20:00+00:00,VDR-12017,Unknown,192.168.228.127,8080,443,TCP,ALLOW,21083845.0,24526192.64,SID921722,False,DENY_TELNET,ind
FW000028092,2026-08-29 18:21:57+00:00,WS-12037,Unknown,Unknown,443,25,TCP,ALLOW,38066762.0,24526192.64,SID145416,False,ALLOW_INTERNAL_DNS,IN
FW000011538,2026-08-25 07:17:24+00:00,WS-10049,172.16.156.49,192.168.181.72,135,8443,ICMP,ALLOW,32172881.92,24526192.64,SID809607,False,Unknown,RU
FW000012147,2026-07-08 15:47:00+00:00,LPT-10076,Unknown,192.168.106.69,443,445,TCP,DENY,24819643.22,42729472.0,SID811306,False,DENY_TELNET,United States
FW000026086,2026-08-09 14:52:46+00:00,Unknown,192.168.17.39,Unknown,80,8080,TCP,DENY,24819643.22,47499231.0,Unknown,False,allow_office_apps,IN
FW000014162,2026-08-08 04:02:00+00:00,Unknown,Unknown,Unknown,80,53,TCP,ALLOW,49565083.0,37181194.24,SID-708407,False,allow_office_apps,unknown
FW000024683,2026-08-23 00:00:00+00:00,VDR-11343,78.232.212.230,192.168.143.146,443,22,UDP,ALLOW,4563739.0,11806965.76,SID409076,False,allow_office_apps,US
FW000005743,Unknown,VDR-10503,Unknown,214.211.176.212,8443,53,TCP,ALLOW,43818265.0,15868370.0,SID457382,True,DENY_TELNET,Unknown
FW000004739,2026-09-09 00:00:00+00:00,LPT-12743,172.16.180.233,192.168.221.59,53,25,TCP,ALLOW,9896265.0,35786415.0,SID772015,False,UNKNOWN,Unknown
FW000007199,2026-08-22 22:29:51+00:00,LPT-10437,172.16.102.184,189.240.208.35,443,3389,TCP,ALLOW,19236904.96,19563255.0,SID333254,False,BLOCK_EXTERNAL_RDP,Unknown
FW000005816,Unknown,WS-12447,Unknown,Unknown,22,443,TCP,ALLOW,2002780.16,24526192.64,Unknown,False,allow_office_apps,unknown
FW000026881,2026-09-09 05:18:45+00:00,LPT-10616,Unknown,Unknown,135,443,TCP,ALLOW,41248016.0,29169346.56,SID950116,False,Unknown,ind
FW000011098,2026-03-08 20:11:00+00:00,LPT-11805,Unknown,Unknown,25,1433,UDP,ALLOW,27931877.0,29470677.0,Unknown,False,DENY_TELNET,unknown
FW000014470,2026-07-08 00:00:00+00:00,WS-10814,86.88.100.11,Unknown,443,8080,ICMP,DENY,24819643.22,8230325.0,SID531136,False,DENY_TELNET,Unknown
FW000006423,2026-08-21 11:03:00+00:00,WS-11041,214.0.129.63,Unknown,445,80,TCP,ALLOW,32531283.0,24526192.64,SID521609,False,allow_office_apps,unknown
FW000018798,2026-09-08 10:25:43+00:00,VDR-12436,172.16.252.155,159.195.194.93,135,3306,TCP,ALLOW,24819643.22,24526192.64,SID706740,False,allow_office_apps,Unknown
FW000023495,Unknown,WS-11895,192.168.199.223,172.16.55.96,443,25,TCP,ALLOW,15625326.0,30746779.0,SID865127,False,DENY_TELNET,Unknown
FW000013084,2026-09-04 03:08:38+00:00,lpt-12778,Unknown,Unknown,3306,443,TCP,ALLOW,49133102.0,24526192.64,SID-463585,False,DENY_TELNET,Unknown
FW000016566,2026-08-21 05:36:16+00:00,WS-12723,10.187.231.0,Unknown,8080,443,UDP,DENY,33640403.0,24526192.64,SID585639,False,allow_office_apps,Unknown
FW000025408,2026-08-11 02:50:49+00:00,WS-10074,Unknown,Unknown,443,445,TCP,ALLOW,8175385.0,24526192.64,SID851313,False,UNKNOWN,RU
FW000019613,2026-08-24 17:14:21+00:00,LPT-11710.corp.local,Unknown,172.16.149.204,443,22,TCP,ALLOW,25444675.0,21535163.0,SID-623901,False,allow_office_apps,India
FW000007470,2026-08-15 02:57:00+00:00,LPT_11903,Unknown,210.6.231.19,443,443,UDP,ALLOW,20639347.0,47857019.0,SID335255,False,allow_office_apps,Russia
FW000022385,Unknown,ws-12204,Unknown,Unknown,443,443,TCP,ALLOW,7524075.52,41374539.0,SID492908,False,MONITOR_DB_ACCESS,ind
FW000023078,2026-08-04 06:22:35+00:00,VDR-12247,192.168.233.252,200.41.66.155,443,445,TCP,ALLOW,24819643.22,46342016.0,SID702175,False,Unknown,Unknown
FW000024125,Unknown,LPT-12520,192.168.209.155,172.16.170.74,445,8080,TCP,ALLOW,24819643.22,24526192.64,Unknown,False,BLOCK_EXTERNAL_RDP,Unknown
FW000012478,Unknown,Unknown,Unknown,Unknown,443,443,TCP,DENY,49544779.0,34036638.0,SID588800,False,DENY_TELNET,Unknown
FW000003101,Unknown,vdr-11843,Unknown,112.28.222.134,22,53,TCP,ALLOW,19547080.0,24526192.64,Unknown,False,ALLOW_INTERNAL_DNS,China
FW000015212,Unknown,LPT-11627,Unknown,Unknown,445,8443,TCP,ALLOW,47729438.0,23535307.0,sid458433,False,ALLOW_INTERNAL_DNS,ind
FW000013372,2026-08-03 16:57:17+00:00,VDR_10631,Unknown,172.16.2.114,1433,53,TCP,ALLOW,24819643.22,28163109.0,SID753399,False,block_tor_exit,US
FW000007118,2026-09-03 03:33:10+00:00,LPT-11478,Unknown,100.43.85.68,445,22,UDP,DENY,24819643.22,24056436.0,SID-314044,False,Unknown,Russia
FW000019700,Unknown,WS-12999,192.168.101.233,Unknown,25,22,TCP,ALLOW,28370526.0,24526192.64,SID850726,False,BLOCK_EXTERNAL_RDP,CN
FW000014620,2026-09-05 22:53:09+00:00,LPT-12541,140.175.207.223,50.159.245.89,80,135,TCP,ALLOW,32642170.88,46976204.8,SID582115,False,allow_office_apps,Russia
FW000010325,Unknown,Unknown,192.168.148.34,Unknown,3389,8080,TCP,ALLOW,42586323.0,38661404.0,Unknown,False,ALLOW_INTERNAL_DNS,ind
FW000007754,2026-08-16 20:41:00+00:00,VDR-10743,172.16.97.250,172.16.57.8,3389,443,TCP,DENY,9705491.0,24526192.64,Unknown,False,Unknown,Russia
FW000006290,2026-08-07 01:21:56+00:00,vdr-12732,112.159.19.211,Unknown,25,443,TCP,DENY,20618445.0,23340422.0,SID937475,True,allow_office_apps,RU
FW000007970,2026-08-23 19:19:28+00:00,LPT-12542.corp.local,Unknown,Unknown,80,443,UDP,ALLOW,3107576.0,45525887.0,SID254504,False,block_tor_exit,Unknown
FW000019212,2026-07-09 16:33:00+00:00,VDR-10005,192.168.163.43,Unknown,22,80,TCP,ALLOW,20524979.0,17871476.0,SID335762,False,allow_office_apps,United States
FW000004956,Unknown,VDR-11394,52.159.12.248,Unknown,3389,8443,TCP,ALLOW,24819643.22,9709813.76,SID531143,False,DENY_TELNET,Unknown
FW000010100,2026-08-06 12:34:37+00:00,WS-12337,Unknown,172.16.237.206,443,135,TCP,DENY,44010127.0,48244791.0,Unknown,False,MONITOR_DB_ACCESS,United States
FW000000424,2026-08-07 03:35:54+00:00,ws-12913,Unknown,170.84.241.160,443,53,TCP,ALLOW,10245765.0,32808929.28,sid639238,False,ALLOW_INTERNAL_DNS,RU
FW000009792,2026-08-21 09:08:06+00:00,LPT-12951,192.168.188.85,192.168.110.6,80,3389,TCP,ALLOW,11743248.0,23239715.0,sid706195,False,BLOCK_EXTERNAL_RDP,Unknown
FW000013186,2026-09-09 06:29:59+00:00,VDR-11265,Unknown,81.211.42.17,443,25,UDP,DENY,22995574.0,11572573.0,SID707580,False,ALLOW_WEB,United States
FW000017529,2026-04-09 14:48:00+00:00,LPT-11842,124.5.106.189,192.168.25.125,22,53,UDP,ALLOW,24819643.22,13547876.0,Unknown,False,UNKNOWN,Unknown
FW000011267,Unknown,VDR-12095,Unknown,172.16.132.188,8443,135,TCP,ALLOW,24819643.22,251658.24,sid890237,False,ALLOW_INTERNAL_DNS,United States
FW000013721,Unknown,VDR-10698.corp.local,Unknown,Unknown,443,1433,TCP,ALLOW,16148070.4,43448846.0,SID254382,False,ALLOW_WEB,India
FW000027402,Unknown,LPT-10183,172.16.47.248,Unknown,135,443,TCP,ALLOW,13289567.0,49885990.0,Unknown,False,UNKNOWN,CN
FW000013210,2026-08-03 20:32:41+00:00,VDR-12218,192.168.14.27,Unknown,443,135,TCP,ALLOW,39304732.0,24526192.64,SID770400,False,UNKNOWN,CN
FW000026987,2026-08-02 04:45:18+00:00,WS-12874.corp.local,89.183.221.141,176.192.189.228,443,3306,TCP,DENY,46859974.0,22567252.0,SID464275,False,Unknown,unknown
FW000026621,Unknown,LPT-12634.corp.local,Unknown,81.205.45.5,445,443,TCP,ALLOW,30871570.0,20831007.0,SID436969,False,Unknown,IN
FW000014922,2026-01-08 03:45:00+00:00,WS-11711,172.16.196.39,72.207.246.231,22,443,TCP,ALLOW,21654775.0,44251759.0,SID992364,False,allow_office_apps,IN
FW000006426,2026-08-15 08:13:00+00:00,VDR-10482,192.168.221.141,193.45.150.160,8443,22,TCP,ALLOW,24819643.22,12818871.0,SID282487,False,block_tor_exit,Unknown
FW000028816,Unknown,LPT-11156,Unknown,122.69.111.61,80,22,TCP,ALLOW,24819643.22,45148377.0,SID100947,False,block_tor_exit,India
FW000007476,2026-09-03 22:45:39+00:00,VDR-12075,Unknown,Unknown,1433,53,TCP,ALLOW,1896224.0,4611336.0,Unknown,False,UNKNOWN,IN
FW000010884,2026-08-24 03:54:36+00:00,VDR-10736,Unknown,Unknown,22,445,TCP,DENY,16505377.0,27711098.88,SID603359,False,ALLOW_INTERNAL_DNS,unknown
FW000010557,2026-08-09 23:11:21+00:00,WS-10476,190.240.19.92,81.116.7.4,443,443,TCP,DENY,49108319.0,32002037.0,SID381305,False,Unknown,IN
FW000007919,2026-06-08 09:05:00+00:00,WS-11936,Unknown,95.95.44.149,443,443,TCP,DENY,24819643.22,24526192.64,sid288467,True,ALLOW_INTERNAL_DNS,RU
FW000005115,2026-09-09 17:39:44+00:00,lpt-11259,Unknown,Unknown,53,443,TCP,DENY,24819643.22,26938568.0,SID720221,False,BLOCK_EXTERNAL_RDP,CN
FW000001617,Unknown,VDR-12893,216.237.162.72,189.28.52.148,443,3389,TCP,ALLOW,36958003.0,32082309.12,SID872670,False,UNKNOWN,CN
FW000028756,Unknown,LPT-12250,Unknown,197.88.174.175,8443,1433,TCP,ALLOW,24819643.22,44767243.0,SID736208,False,BLOCK_EXTERNAL_RDP,US
FW000020131,2026-08-19 02:45:11+00:00,LPT-11156,Unknown,49.144.107.164,135,1433,ICMP,ALLOW,29871683.0,27287529.0,SID360727,False,ALLOW_INTERNAL_DNS,Unknown
FW000000937,2026-08-27 23:26:41+00:00,VDR-12706,Unknown,Unknown,443,8443,UDP,DENY,27859792.0,29611786.24,SID710702,False,block_tor_exit,US
FW000005223,2026-09-07 09:42:20+00:00,LPT-12135,192.167.240.74,Unknown,445,443,TCP,ALLOW,8886600.0,4866308.0,Unknown,False,Unknown,Unknown
FW000016554,2026-08-31 18:57:45+00:00,lpt-11753,Unknown,Unknown,3306,8443,ICMP,ALLOW,24819643.22,49686498.0,SID190983,False,Unknown,US
FW000025692,Unknown,LPT_10897,Unknown,Unknown,443,445,TCP,ALLOW,14802745.0,24526192.64,SID174243,False,Unknown,RU
FW000016279,2026-04-09 14:41:00+00:00,VDR-12091,19.9.121.17,Unknown,135,135,UDP,ALLOW,18259066.88,39429235.0,SID-642825,False,Unknown,United States
FW000029742,2026-08-08 00:00:00+00:00,WS-10413,Unknown,72.79.78.146,53,3306,TCP,ALLOW,22187817.0,39533277.0,Unknown,True,ALLOW_WEB,IN
FW000010828,Unknown,ws-10982,192.168.12.83,106.221.97.7,443,443,TCP,ALLOW,20702733.0,39443284.0,SID174628,False,Unknown,Unknown
FW000027016,2026-07-09 08:40:00+00:00,vdr-10847,192.168.51.62,Unknown,25,1433,TCP,DENY,24819643.22,24526192.64,SID587955,False,ALLOW_WEB,unknown
