event_id,timestamp,user_id,username,department,event_type,auth_method,source_ip,hostname,device_id,session_id,mfa_passed,failure_reason,risk_score,geo_location
IAM00018081,2026-08-04 08:56:32,EMP12175,ira.kaul35,Unknown,login_success,SSO,Unknown,WS-12175,DEV44487,SID494071,False,Not Applicable,75.0,IN
IAM00015178,2026-09-06 21:47:12,EMP12704,vedhika.khatri69,Procurement,login_failed,Biometric,172.16.82.192,LPT-12704,DEV49043,Unknown,False,OTP expired,46.0,Unknown
IAM00001123,2026-08-26 19:16:45,EMP10486,thomas.kaul29,Unknown,login_failed,Certificate,192.168.75.75,WS-10486,DEV48479,SID505840,True,timeout,99.0,remote
IAM00008713,Unknown,EMP10726,orinder_sanghvi74,IT,login_success,otp,142.16.111.169,Unknown,DEV72670,Unknown,False,Not Applicable,50.0,Punjab
IAM00007968,2026-08-13 08:36:28,EMP12197,qasim.rout20,Human Resources,login_failed,Biometric,172.16.58.169,LPT-12197,Unknown,SID184227,True,account locked,90.0,Punjab
IAM00000908,2026-08-31 18:20:13,EMP12144,krishna.gala53,Brand,login_failed,Certificate,Unknown,LPT-12144,DEV10044,SID243770,False,Unknown,23.0,Unknown
IAM00013125,Unknown,EMP12056,chakradev.ramaswamy82,Legal,other,Certificate,Unknown,LPT-12056,DEV99390,Unknown,False,Not Applicable,29.0,Delhi
IAM00014481,Unknown,EMP10317,girik.merchant23,Call Center,login_failed,Biometric,192.168.70.191,WS-10317,DEV28388,Unknown,False,bad token,50.0,Delhi
IAM00001695,2026-09-06 14:22:36,EMP10795,aditya.nagarajan68,Unknown,login_success,Certificate,192.168.59.37,VDR-10795,DEV34018,SID785493,True,Not Applicable,61.0,Delhi
IAM00001632,2026-09-07 09:13:06,EMP11969,theodore.pandya55,Unknown,login_success,Certificate,Unknown,VDR-11969,DEV22580,SID303551,True,Not Applicable,3.0,IN
IAM00008500,2026-08-23 00:00:00,EMP11411,zaid.raval52,Brand,login_success,otp,Unknown,VDR-11411,DEV96424,Unknown,True,Not Applicable,78.0,PB
IAM00009796,2026-08-22 06:29:28,EMP10845,abeer.kashyap41,Operations,other,Password,192.168.119.1,Unknown,DEV40924,SID-761290,True,Not Applicable,93.0,UNKNOWN
IAM00016398,2026-08-26 14:42:42,EMP11001,aarush.prashad25,Procurement,login_success,Certificate,Unknown,VDR-11001,DEV81188,SID692231,True,Not Applicable,92.0,Delhi
IAM00006344,2026-08-30 13:44:08,EMP10540,zinal.samra91,Unknown,login_success,Certificate,192.168.175.195,WS-10540,DEV83284,SID583041,True,Not Applicable,81.0,DL
IAM00009028,2026-08-21 00:00:00,EMP10750,WAZIR.BOBAL30,Unknown,login_success,SSO,104.39.84.130,Unknown,DEV41079,SID303611,True,Not Applicable,11.0,IN
IAM00019876,2026-08-05 06:45:32,EMP11269,ekavir.kalita10,Finance,login_success,Certificate,Unknown,WS-11269,Unknown,SID558111,True,Not Applicable,64.0,UNKNOWN
IAM00016832,2026-08-26 23:20:00,EMP11877,osha.mani16,Supply Chain,login_success,MFA,Unknown,VDR-11877,DEV51558,Unknown,True,Not Applicable,94.0,UNKNOWN
IAM00017893,2026-08-13 00:00:00,EMP12179,bhavika.naidu97,Unknown,login_success,Biometric,Unknown,WS-12179,DEV57451,Unknown,True,Not Applicable,52.0,IN
IAM00011019,2026-08-02 17:40:34,EMP11788,yadavi.kaur93,Marketing,login_success,Password,192.168.182.20,LPT-11788,Unknown,SID171239,True,Not Applicable,50.0,India
IAM00002644,2026-08-21 08:44:00,EMP11178,mason.goyal5,Unknown,login_failed,SSO,134.214.48.30,LPT-11178,DEV11424,Unknown,False,Unknown,50.0,ind
IAM00018557,2026-09-02 00:45:04,EMP11559,girish.jayaraman91,Unknown,login_success,SSO,192.168.14.231,VDR-11559,DEV85650,SID715746,True,Not Applicable,24.0,Unknown
IAM00000277,2026-08-17 15:27:14,EMP10606,hemani.bose33,Unknown,login_success,Password,Unknown,WS-10606,DEV10025,SID484519,True,Not Applicable,78.0,Delhi
IAM00000759,2026-08-27 16:20:33,EMP11829,Unknown,Supply Chain,login_success,SSO,175.129.29.65,WS-11829,DEV43827,SID105481,True,Not Applicable,50.0,Unknown
IAM00004991,Unknown,EMP10280,naksh.wali11,IT,login_success,otp,207.18.160.109,WS-10280,DEV59436,SID161473,True,Not Applicable,29.0,PB
IAM00003438,2026-08-30 05:51:48,EMP10585,jagdish.reddy67,Human Resources,login_success,Password,56.41.11.203,VDR-10585,Unknown,SID194230,False,Not Applicable,60.0,IN
IAM00000401,Unknown,EMP10340,prisha.venkataraman28,Finance,login_success,Certificate,192.168.195.151,VDR-10340,Unknown,SID919749,True,Not Applicable,17.0,Unknown
IAM00017849,Unknown,EMP12111,CHATRESH.KRISH60,Sales,login_success,Biometric,Unknown,LPT-12111,DEV47712,SID736536,False,Not Applicable,55.0,Maharashtra
IAM00010888,2026-08-13 18:35:41,EMP10912,mohammed_devan20,Operations,login_failed,SSO,172.16.186.37,LPT-10912,Unknown,SID353274,False,Unknown,77.0,Unknown
IAM00005264,2026-08-17 18:54:33,EMP12505,radhika.bath93,Supply Chain,login_failed,Password,30.115.22.53,LPT-12505,DEV68365,SID357127,True,Unknown,72.0,UNKNOWN
IAM00013994,2026-08-17 00:00:00,EMP12775,AZAD.DARA84,Innovation,login_failed,otp,192.168.5.2,VDR-12775,DEV18826,Unknown,True,unknown user,80.0,PB
IAM00011264,2026-09-01 15:43:28,EMP10446,arunima.ramaswamy21,IT Support,login_failed,Biometric,192.168.6.22,LPT-10446,DEV73001,SID850207,False,Unknown,47.0,Unknown
IAM00019608,2026-07-09 05:49:00,EMP10746,oviya.acharya25,Human Resources,login_success,Biometric,172.16.228.59,WS-10746,DEV75210,Unknown,True,Not Applicable,14.0,India
IAM00004561,2026-09-03 06:24:05,EMP12550,charan.vora9,R&D,login_success,SSO,Unknown,WS-12550,DEV50159,SID685934,True,Not Applicable,99.0,DL
IAM00000365,2026-08-06 23:24:39,EMP12079,upasna.choudhary60,Call Center,login_failed,Biometric,Unknown,VDR-12079,DEV67458,SID961370,True,Unknown,6.0,Delhi
IAM00000883,2026-08-31 13:23:00,EMP10554,Unknown,Operations,login_failed,SSO,15.243.10.56,WS-10554,DEV37594,Unknown,True,account locked,50.0,Delhi
IAM00005465,Unknown,EMP10843,amol.dayal53,Operations,login_success,otp,185.219.137.216,VDR-10843,DEV28423,Unknown,True,Not Applicable,70.0,Unknown
IAM00018271,Unknown,EMP12423,PRISHA.MAHAL39,IT,login_failed,Certificate,Unknown,VDR-12423,DEV24383,Unknown,False,bad token,19.0,Maharashtra
IAM00010074,2026-08-26 14:04:32,EMP12777,yamini.lal74,R&D,login_success,MFA,Unknown,VDR-12777,Unknown,SID190608,True,Not Applicable,100.0,India
IAM00006398,2026-01-08 05:43:00,EMP10356,samaksh.munshi71,Legal,login_success,Biometric,Unknown,LPT-10356,DEV64559,Unknown,True,Not Applicable,50.0,PB
IAM00007012,2026-08-06 02:27:35,EMP12061,harish.sura83,IT,login_success,Biometric,172.16.61.194,LPT-12061,DEV17731,SID983969,True,Not Applicable,48.0,PB
IAM00014128,2026-10-08 09:14:00,EMP10781,rohan.wali29,R&D,login_success,SSO,192.168.32.10,WS-10781,Unknown,SID705402,True,Not Applicable,90.0,IN
IAM00003459,2026-08-27 13:30:00,EMP12353,veda_sidhu82,Sales,login_success,Certificate,Unknown,VDR-12353,DEV50470,Unknown,False,Not Applicable,50.0,ind
IAM00014663,2026-08-17 10:16:23,EMP10525,sachi_sinha77,IT Support,login_success,Certificate,192.168.254.61,LPT-10525,DEV22214,Unknown,True,Not Applicable,50.0,IN
IAM00014377,2026-08-19 00:03:30,EMP12579,balveer.nair93,IT,login_success,SSO,10.70.53.0,VDR-12579,DEV22006,SID271554,True,Not Applicable,80.0,remote
IAM00004374,2026-08-29 12:39:01,EMP12157,vansha.chadha57,Marketing,other,MFA,Unknown,VDR-12157,DEV50940,Unknown,True,Not Applicable,9.0,PB
IAM00015556,Unknown,EMP12197,qasim.rout20,Human Resources,login_success,Password,Unknown,LPT-12197,DEV61366,Unknown,False,Not Applicable,50.0,remote
IAM00008339,2026-08-13 14:26:18,EMP10320,hredhaan.tank29,Marketing,login_success,Biometric,Unknown,LPT-10320,Unknown,SID469797,True,Not Applicable,0.0,ind
IAM00015981,Unknown,EMP11232,gaurangi.mistry16,Sales,login_failed,MFA,172.16.177.36,VDR-11232,DEV13019,SID232927,False,Unknown,15.0,PB
IAM00016222,2026-08-20 22:24:00,EMP12027,BHAVIKA.MALL58,Unknown,login_success,Password,Unknown,LPT-12027,DEV90481,SID461004,True,Not Applicable,9.0,Punjab
IAM00008614,2026-08-12 00:00:00,EMP11821,caleb.murty72,Marketing,other,Certificate,Unknown,VDR-11821,DEV38664,Unknown,False,Not Applicable,79.0,PB
IAM00019041,Unknown,EMP12235,pahal.pingle94,Human Resources,login_failed,Biometric,168.224.82.161,VDR-12235,DEV77458,Unknown,False,invalid credentials,46.0,PB
IAM00016213,2026-08-28 01:49:00,EMP12767,pahal.chokshi86,Finance,login_success,Password,197.123.103.243,LPT-12767,DEV43629,SID849855,True,Not Applicable,92.0,ind
IAM00013290,2026-08-24 03:27:56,EMP11104,JACK.CHACKO10,Unknown,other,otp,163.78.28.61,WS-11104,DEV83877,SID-473409,False,Not Applicable,63.0,Maharashtra
IAM00019419,Unknown,EMP11359,gaurika.patla96,Unknown,login_failed,otp,Unknown,LPT-11359,DEV66547,Unknown,False,Unknown,82.0,PB
IAM00005379,2026-05-08 06:46:00,EMP12418,warda.dua80,Unknown,login_failed,Certificate,Unknown,WS-12418,Unknown,SID843137,True,bad token,50.0,UNKNOWN
IAM00012904,2026-09-07 20:27:22,EMP11321,arin.rattan45,Unknown,login_success,Certificate,Unknown,LPT-11321,DEV12810,SID859629,True,Not Applicable,13.0,UNKNOWN
IAM00000582,2026-08-01 09:18:26,EMP12546,reva.nayak73,Unknown,login_failed,Password,Unknown,WS-12546,DEV38336,SID617454,False,wrong_password,50.0,remote
IAM00019344,2026-09-09 06:57:22,EMP11846,chakrika.mohanty20,IT,login_success,Password,172.16.175.219,VDR-11846,DEV25429,SID584977,True,Not Applicable,81.0,UNKNOWN
IAM00015925,Unknown,EMP12111,chatresh.krish60,Sales,login_failed,Biometric,Unknown,LPT-12111,DEV47712,Unknown,False,expired password,90.0,remote
IAM00006142,2026-09-05 04:05:23,EMP10251,aarini.memon10,IT,login_success,Password,192.168.90.247,VDR-10251,DEV18357,SID259499,True,Not Applicable,40.0,ind
IAM00009370,2026-08-07 04:33:40,EMP12604,aachal.balan76,Marketing,login_success,Certificate,192.168.192.83,VDR-12604,Unknown,SID342883,True,Not Applicable,20.0,Unknown
IAM00000213,2026-08-31 20:37:04,EMP10741,LIBNI.BHATNAGAR11,IT,login_success,SSO,Unknown,LPT-10741,DEV95426,SID124331,True,Not Applicable,38.0,Unknown
IAM00008999,2026-08-07 01:51:54,EMP10957,gautami.chaudhry72,Unknown,login_success,SSO,172.16.197.158,LPT-10957,DEV95078,Unknown,True,Not Applicable,50.0,ind
IAM00016908,2026-09-03 15:04:32,EMP10139,isaac.dugar28,Legal,other,Certificate,Unknown,WS-10139,Unknown,Unknown,False,Not Applicable,10.0,UNKNOWN
IAM00003394,Unknown,EMP10332,ijaya.palla17,Supply Chain,login_success,Biometric,Unknown,WS-10332,DEV99463,SID380484,True,Not Applicable,98.0,Unknown
IAM00003763,2026-08-15 21:28:19,EMP12937,turvi.garg83,Procurement,login_success,Biometric,172.16.47.181,LPT-12937,DEV25279,SID486287,True,Not Applicable,59.0,Delhi
IAM00016155,2026-09-01 14:38:48,EMP11444,nitesh_dugar65,Human Resources,login_success,otp,192.168.130.178,WS-11444,DEV85692,Unknown,True,Not Applicable,10.0,Unknown
IAM00011170,2026-08-12 08:49:33,EMP11942,hemangini.mand46,Unknown,login_failed,otp,Unknown,VDR-11942,DEV78920,Unknown,False,Unknown,33.0,IN
IAM00009429,2026-09-01 12:35:04,EMP12848,mekhala.singhal56,Finance,login_failed,SSO,Unknown,WS-12848,DEV71268,SID-992324,False,OTP expired,50.0,Unknown
IAM00010398,2026-08-27 11:07:51,EMP12325,laban.sankar26,Human Resources,login_failed,Certificate,Unknown,VDR-12325,DEV55332,Unknown,False,Unknown,17.0,Delhi
IAM00007301,2026-08-22 13:45:52,EMP10496,ati.chaudhary14,Marketing,login_success,Biometric,11.1.136.77,LPT-10496,DEV46899,SID758281,False,Not Applicable,98.0,UNKNOWN
IAM00016325,2026-09-05 16:05:49,EMP10746,oviya.acharya25,Human Resources,login_failed,Certificate,172.16.209.153,WS-10746,Unknown,Unknown,False,expired password,22.0,Unknown
IAM00000519,Unknown,EMP12913,reyansh.cheema32,Unknown,login_failed,otp,Unknown,WS-12913,DEV52978,Unknown,True,timeout,74.0,IN
IAM00001033,2026-08-01 00:00:00,EMP10968,raksha_johal11,Supply Chain,login_success,Password,192.168.189.173,LPT-10968,DEV65550,SID780067,True,Not Applicable,50.0,Punjab
IAM00000157,2026-08-22 00:00:00,EMP10278,david.lad68,Unknown,login_failed,Biometric,Unknown,VDR-10278,DEV79003,SID373363,False,Unknown,81.0,UNKNOWN
IAM00007419,2026-08-31 00:00:00,EMP10218,jagat_dasgupta98,Customer Support,login_failed,SSO,Unknown,VDR-10218,DEV99181,SID335882,False,invalid credentials,1.0,DL
IAM00010497,2026-08-14 17:19:56,EMP10212,advaith_agate35,R&D,login_failed,Password,56.223.243.79,LPT-10212,DEV16632,SID302615,False,Unknown,80.0,Unknown
IAM00016239,2026-08-17 11:22:25,EMP12378,RACHITA.NARAYAN1,Customer Support,login_success,SSO,Unknown,LPT-12378,DEV85191,SID455043,False,Not Applicable,50.0,India
IAM00018740,2026-08-20 19:43:00,EMP12852,WARINDER.WALI82,R&D,login_success,Password,192.168.98.131,LPT-12852,DEV27337,SID878009,True,Not Applicable,13.0,UNKNOWN
IAM00002341,2026-08-31 00:00:00,EMP10187,samar.khare6,Sales,login_success,Certificate,Unknown,WS-10187,DEV77552,SID689073,True,Not Applicable,73.0,Punjab
IAM00016326,2026-09-03 01:47:24,EMP10114,chatura.dube60,Marketing,login_failed,Biometric,172.16.207.121,LPT-10114,DEV67898,Unknown,False,bad token,18.0,Unknown
IAM00011419,2026-08-18 15:53:26,EMP11644,ayushman.dara8,Human Resources,other,SSO,172.16.108.117,VDR-11644,DEV80028,Unknown,True,Not Applicable,55.0,DL
IAM00010772,2026-08-30 06:15:40,EMP12844,omaja.mangat18,Sales,login_failed,MFA,172.16.28.114,VDR-12844,DEV19253,Unknown,False,timeout,68.0,Maharashtra
IAM00009089,2026-06-09 02:30:00,EMP12808,ZINAL.KARNIK88,Finance,login_success,SSO,Unknown,Unknown,DEV39607,SID473649,True,Not Applicable,74.0,Delhi
IAM00009085,2026-08-17 14:22:23,EMP10115,anay.prabhu39,Unknown,login_success,Certificate,173.152.63.249,WS-10115,DEV23979,Unknown,True,Not Applicable,81.0,IN
IAM00009746,2026-08-18 15:54:29,EMP10902,meghana.wali56,IT,login_failed,MFA,192.168.179.13,VDR-10902,Unknown,Unknown,False,expired password,78.0,India
IAM00013526,2026-08-01 16:18:13,EMP12830,jairaj.ben13,Operations,login_failed,otp,Unknown,WS-12830,DEV79017,Unknown,False,invalid credentials,16.0,Delhi
IAM00015649,2026-08-05 21:50:05,EMP12975,warjas.barman48,Sales,login_failed,Password,Unknown,VDR-12975,DEV64598,Unknown,False,timeout,5.0,Unknown
IAM00004008,2026-08-05 23:51:04,EMP10746,oviya.acharya25,Human Resources,login_success,otp,Unknown,WS-10746,DEV75210,Unknown,True,Not Applicable,3.0,UNKNOWN
IAM00002207,2026-08-25 16:13:43,EMP11042,chaman.memon27,Unknown,login_success,Certificate,Unknown,VDR-11042,Unknown,Unknown,True,Not Applicable,50.0,Delhi
IAM00006711,2026-08-08 00:00:00,EMP12373,mitali.goel62,Operations,login_success,MFA,211.97.202.12,VDR-12373,DEV55579,SID573291,True,Not Applicable,84.0,IN
IAM00009398,2026-09-08 20:04:00,EMP12778,ethan.babu56,Operations,other,Certificate,Unknown,LPT-12778,DEV97441,Unknown,True,Not Applicable,50.0,UNKNOWN
IAM00012268,2026-08-30 00:00:00,EMP11662,aishani.dugal36,Sales,login_success,Certificate,172.16.201.238,LPT-11662,DEV68314,SID241447,False,Not Applicable,99.0,Unknown
IAM00003544,2026-09-07 06:24:42,EMP10468,inaya.vala59,Procurement,login_failed,Biometric,172.16.4.22,WS-10468,DEV10568,Unknown,False,unknown user,50.0,ind
IAM00016535,2026-08-10 00:49:41,EMP12418,warda_dua80,Marketing,login_failed,MFA,Unknown,WS-12418,DEV59411,Unknown,False,invalid credentials,30.0,UNKNOWN
IAM00010319,2026-08-21 12:10:37,EMP11561,aradhana.sarraf50,IT,login_success,SSO,199.167.171.168,LPT-11561,DEV28737,Unknown,False,Not Applicable,21.0,Punjab
IAM00007409,2026-09-07 12:28:35,EMP11640,meghana.chana6,Support,login_success,Biometric,192.168.115.204,LPT-11640,DEV51670,SID207852,False,Not Applicable,12.0,Unknown
IAM00012194,2026-08-19 03:04:30,EMP12583,pallavi.dhingra3,IT,login_failed,Biometric,Unknown,LPT-12583,DEV91232,Unknown,False,bad token,84.0,Unknown
IAM00018701,2026-08-20 14:03:59,EMP12643,yash.madan58,Unknown,login_success,Password,Unknown,LPT-12643,DEV11348,Unknown,True,Not Applicable,20.0,Punjab
IAM00013939,2026-08-08 04:41:00,EMP12304,hiral.sheth32,Unknown,login_failed,Biometric,Unknown,LPT-12304,DEV41573,Unknown,True,account locked,93.0,India
IAM00008498,2026-08-18 02:33:31,EMP10956,devika.contractor43,IT Support,login_success,SSO,203.59.67.100,LPT-10956,DEV89794,SID188027,True,Not Applicable,100.0,Delhi
IAM00010607,2026-04-08 05:36:00,EMP10126,unnati.dass69,Finance,login_success,SSO,172.16.132.252,WS-10126,DEV97881,SID283764,True,Not Applicable,50.0,remote
IAM00014355,2026-12-08 00:00:00,EMP12650,hemal.sarin58,Unknown,login_success,Certificate,Unknown,VDR-12650,DEV70735,SID539890,True,Not Applicable,63.0,PB
IAM00000446,2026-08-10 19:30:41,EMP11358,lavanya.pillai59,IT,login_failed,SSO,192.168.183.41,WS-11358,DEV44521,Unknown,False,wrong_password,50.0,Punjab
IAM00000697,2026-08-18 14:35:52,EMP10573,alexander.bumb98,Finance,other,SSO,192.168.29.223,WS-10573,DEV80136,Unknown,False,Not Applicable,71.0,ind
IAM00006570,2026-06-08 00:00:00,EMP11892,sudiksha.patil75,Human Resources,login_failed,Password,Unknown,VDR-11892,DEV15269,Unknown,False,unknown user,63.0,PB
IAM00003891,2026-09-07 08:11:42,EMP11347,shravya.chopra88,Legal,login_success,MFA,Unknown,WS-11347,DEV47104,Unknown,True,Not Applicable,50.0,India
IAM00003044,2026-09-06 00:00:00,EMP12777,yamini.lal74,R&D,login_success,SSO,202.105.20.251,VDR-12777,DEV81246,Unknown,False,Not Applicable,70.0,remote
IAM00012467,2026-08-08 19:36:00,EMP10745,lopa.bali80,Operations,login_failed,otp,Unknown,LPT-10745,DEV70845,Unknown,False,invalid credentials,55.0,Delhi
IAM00016256,2026-09-09 00:00:00,EMP12418,warda.dua80,Unknown,login_success,MFA,Unknown,WS-12418,DEV59411,SID781413,True,Not Applicable,7.0,ind
IAM00019549,2026-08-19 02:22:05,EMP10565,vidhi.balan53,Finance,login_success,SSO,192.168.171.139,LPT-10565,DEV26389,SID512528,True,Not Applicable,66.0,Delhi
IAM00011225,2026-08-20 03:48:05,EMP10255,jonathan.sem1,IT,login_success,MFA,Unknown,VDR-10255,Unknown,SID981443,True,Not Applicable,64.0,Punjab
IAM00005537,2026-08-20 07:07:25,EMP12067,qarin.bhagat83,R&D,login_success,otp,Unknown,WS-12067,Unknown,Unknown,False,Not Applicable,57.0,PB
IAM00005730,2026-08-20 05:06:48,EMP10785,Unknown,Unknown,login_failed,Password,192.168.247.169,LPT-10785,Unknown,Unknown,False,Unknown,68.0,Unknown
IAM00005565,2026-08-28 19:26:00,EMP10063,ira.tara4,Human Resources,login_success,Password,Unknown,WS-10063,DEV33819,Unknown,False,Not Applicable,50.0,India
IAM00002079,2026-08-21 18:40:45,EMP10625,dominic.loyal90,Procurement,login_success,Certificate,172.16.115.112,WS-10625,DEV95820,SID682182,False,Not Applicable,40.0,DL
IAM00007021,2026-09-02 11:11:54,EMP10786,gavin.samra37,Unknown,other,Biometric,Unknown,WS-10786,DEV28293,Unknown,True,Not Applicable,50.0,Maharashtra
IAM00006867,2026-08-13 00:00:00,EMP12039,arunima.sridhar65,Human Resources,login_success,otp,Unknown,WS-12039,DEV58395,Unknown,True,Not Applicable,37.0,India
IAM00013532,2026-08-14 04:21:14,EMP12567,sara.borah1,IT,login_failed,Certificate,84.193.140.135,VDR-12567,DEV78025,Unknown,False,invalid credentials,98.0,remote
IAM00007826,2026-08-25 11:05:59,EMP12831,chatresh.nagi33,Brand,login_success,MFA,105.101.120.30,LPT-12831,DEV87428,SID540616,True,Not Applicable,40.0,remote
IAM00009832,2026-08-07 14:57:16,EMP10885,TARA.DASH81,Legal,login_failed,otp,Unknown,VDR-10885,Unknown,Unknown,False,invalid credentials,50.0,Delhi
IAM00008800,2026-09-07 21:03:33,EMP12309,ira.ahuja17,Human Resources,login_success,MFA,Unknown,WS-12309,DEV58488,SID875740,True,Not Applicable,80.0,PB
IAM00004578,2026-08-24 00:00:00,EMP12157,vansha.chadha57,Unknown,login_success,SSO,124.203.71.103,VDR-12157,DEV50940,SID271756,True,Not Applicable,80.0,ind
IAM00018194,2026-08-11 11:01:51,EMP12850,jatin.nigam57,IT Support,login_success,Certificate,10.106.208.0,WS-12850,DEV16862,SID930722,True,Not Applicable,50.0,Unknown
IAM00004100,2026-08-25 00:00:00,EMP10261,pavani_atwal76,Finance,login_success,SSO,23.65.63.199,WS-10261,Unknown,SID487209,True,Not Applicable,50.0,Punjab
IAM00015355,2026-08-31 14:59:00,EMP10048,george.dayal65,Brand,other,Password,Unknown,WS-10048,DEV48752,Unknown,True,Not Applicable,34.0,India
IAM00008599,2026-08-15 22:35:35,EMP10989,samaksh.arya80,Legal,login_success,otp,192.168.135.187,LPT-10989,DEV27143,SID878439,True,Not Applicable,73.0,DL
IAM00014527,Unknown,EMP12825,indali.goswami21,Unknown,login_failed,Password,Unknown,VDR-12825,DEV58627,Unknown,True,expired password,50.0,PB
IAM00016637,2026-08-11 23:43:25,EMP11397,kalpit.palla51,Sales,login_failed,Biometric,194.8.102.192,WS-11397,DEV83813,Unknown,False,Unknown,27.0,IN
IAM00013201,2026-08-11 03:26:08,EMP11665,oni.goda48,Human Resources,login_success,Certificate,192.168.79.62,VDR-11665,DEV49335,SID296851,True,Not Applicable,50.0,India
IAM00010708,2026-08-22 01:41:55,EMP12039,arunima.sridhar65,Human Resources,login_failed,MFA,Unknown,WS-12039,DEV58395,Unknown,False,account locked,50.0,Unknown
IAM00003157,2026-08-09 20:05:43,EMP11363,chatura_sankar90,Finance,login_failed,Password,104.51.12.103,VDR-11363,DEV76764,SID-269176,True,bad token,50.0,UNKNOWN
IAM00002400,2026-08-19 03:21:10,EMP11356,jeet.tara32,Legal,login_failed,Certificate,172.16.159.40,LPT-11356,DEV89370,Unknown,False,bad token,50.0,Unknown
IAM00013773,2026-08-24 17:36:44,EMP10130,ARJUN.DEOL3,IT,login_success,MFA,Unknown,LPT-10130,Unknown,SID872243,True,Not Applicable,90.0,Maharashtra
IAM00014065,2026-11-08 11:21:00,EMP12796,charvi.krishnan2,Unknown,login_success,Certificate,Unknown,LPT-12796,DEV50826,SID220420,True,Not Applicable,80.0,Unknown
IAM00016698,2026-08-18 22:21:18,EMP12978,ria.thakkar89,Unknown,login_failed,Password,172.16.105.189,VDR-12978,DEV85574,SID253003,False,wrong_password,50.0,remote
IAM00012440,2026-04-08 00:00:00,EMP11226,tanveer.dugar93,Legal,login_failed,Certificate,Unknown,LPT-11226,DEV46040,SID755167,False,account locked,55.0,PB
IAM00002876,2026-09-04 05:57:43,EMP12216,urvashi.handa11,Unknown,login_failed,Certificate,Unknown,VDR-12216,DEV58305,Unknown,False,expired password,96.0,Maharashtra
IAM00016940,2026-08-28 00:00:00,EMP10245,netra.mitter48,Unknown,login_failed,SSO,80.127.18.250,LPT-10245,DEV72676,SID460563,False,invalid credentials,93.0,Unknown
IAM00000877,2026-08-03 03:28:48,EMP10785,jackson.balasubramanian40,R&D,login_success,Certificate,61.113.209.226,LPT-10785,DEV68224,Unknown,True,Not Applicable,57.0,India
IAM00017359,2026-09-03 20:34:41,EMP11958,vanya.parekh93,Unknown,login_failed,SSO,66.187.132.239,VDR-11958,DEV76176,Unknown,False,wrong_password,50.0,PB
